valid_time,time,latitude,t2m
2000-01,2000-01-01,5.486,298.9754
2000-01,2000-01-01,5.486,298.95404
2000-01,2000-01-01,5.236,299.46033
2000-01,2000-01-01,5.236,299.45172
2000-02,2000-02-01,5.486,299.60675
2000-02,2000-02-01,5.486,299.53726
2000-02,2000-02-01,5.236,299.8377
2000-02,2000-02-01,5.236,299.86136
2000-03,2000-03-01,5.486,300.42783
2000-03,2000-03-01,5.486,300.4053
2000-03,2000-03-01,5.236,300.4684
2000-03,2000-03-01,5.236,300.49915
2000-04,2000-04-01,5.486,300.20224
2000-04,2000-04-01,5.486,300.11316
2000-04,2000-04-01,5.236,300.4523
2000-04,2000-04-01,5.236,300.45166
2000-05,2000-05-01,5.486,299.32935
2000-05,2000-05-01,5.486,299.31885
2000-05,2000-05-01,5.236,299.91177
2000-05,2000-05-01,5.236,299.92194
2000-06,2000-06-01,5.486,298.1955
2000-06,2000-06-01,5.486,298.15237
2000-06,2000-06-01,5.236,298.6692
2000-06,2000-06-01,5.236,298.6513
2000-07,2000-07-01,5.486,297.43216
2000-07,2000-07-01,5.486,297.42093
2000-07,2000-07-01,5.236,297.73026
2000-07,2000-07-01,5.236,297.73462
2000-08,2000-08-01,5.486,297.263
2000-08,2000-08-01,5.486,297.21234
2000-08,2000-08-01,5.236,296.87573
2000-08,2000-08-01,5.236,296.93414
2000-09,2000-09-01,5.486,297.63602
2000-09,2000-09-01,5.486,297.60803
2000-09,2000-09-01,5.236,296.7002
2000-09,2000-09-01,5.236,296.79852
2000-10,2000-10-01,5.486,298.2726
2000-10,2000-10-01,5.486,298.25854
2000-10,2000-10-01,5.236,297.97815
2000-10,2000-10-01,5.236,298.03094
2000-11,2000-11-01,5.486,298.86813
2000-11,2000-11-01,5.486,298.89258
2000-11,2000-11-01,5.236,299.45334
2000-11,2000-11-01,5.236,299.4922
2000-12,2000-12-01,5.486,298.63638
2000-12,2000-12-01,5.486,298.6676
2000-12,2000-12-01,5.236,299.52884
2000-12,2000-12-01,5.236,299.55685
2001-01,2001-01-01,5.486,299.09348
2001-01,2001-01-01,5.486,299.07828
2001-01,2001-01-01,5.236,299.15158
2001-01,2001-01-01,5.236,299.18594
2001-02,2001-02-01,5.486,299.74045
2001-02,2001-02-01,5.486,299.73193
2001-02,2001-02-01,5.236,299.76505
2001-02,2001-02-01,5.236,299.7934
2001-03,2001-03-01,5.486,300.022
2001-03,2001-03-01,5.486,299.99356
2001-03,2001-03-01,5.236,300.29977
2001-03,2001-03-01,5.236,300.30518
2001-04,2001-04-01,5.486,299.74127
2001-04,2001-04-01,5.486,299.64203
2001-04,2001-04-01,5.236,300.30386
2001-04,2001-04-01,5.236,300.28668
2001-05,2001-05-01,5.486,299.0582
2001-05,2001-05-01,5.486,299.0265
2001-05,2001-05-01,5.236,299.74228
2001-05,2001-05-01,5.236,299.765
2001-06,2001-06-01,5.486,297.9241
2001-06,2001-06-01,5.486,297.8836
2001-06,2001-06-01,5.236,298.53027
2001-06,2001-06-01,5.236,298.50354
2001-07,2001-07-01,5.486,297.43484
2001-07,2001-07-01,5.486,297.41293
2001-07,2001-07-01,5.236,297.71332
2001-07,2001-07-01,5.236,297.74384
2001-08,2001-08-01,5.486,297.17664
2001-08,2001-08-01,5.486,297.10333
2001-08,2001-08-01,5.236,297.00986
2001-08,2001-08-01,5.236,297.01617
2001-09,2001-09-01,5.486,297.1933
2001-09,2001-09-01,5.486,297.13687
2001-09,2001-09-01,5.236,297.06705
2001-09,2001-09-01,5.236,297.0554
2001-10,2001-10-01,5.486,298.3336
2001-10,2001-10-01,5.486,298.29813
2001-10,2001-10-01,5.236,298.53714
2001-10,2001-10-01,5.236,298.5334
2001-11,2001-11-01,5.486,298.88452
2001-11,2001-11-01,5.486,298.8816
2001-11,2001-11-01,5.236,299.22534
2001-11,2001-11-01,5.236,299.23605
2001-12,2001-12-01,5.486,299.189
2001-12,2001-12-01,5.486,299.20316
2001-12,2001-12-01,5.236,299.77948
2001-12,2001-12-01,5.236,299.79904
2002-01,2002-01-01,5.486,299.2044
2002-01,2002-01-01,5.486,299.2015
2002-01,2002-01-01,5.236,299.57428
2002-01,2002-01-01,5.236,299.6056
2002-02,2002-02-01,5.486,300.22113
2002-02,2002-02-01,5.486,300.21893
2002-02,2002-02-01,5.236,300.0446
2002-02,2002-02-01,5.236,300.08142
2002-03,2002-03-01,5.486,300.51776
2002-03,2002-03-01,5.486,300.48245
2002-03,2002-03-01,5.236,300.3753
2002-03,2002-03-01,5.236,300.4066
