valid_time,time,latitude,t2m
2000-01,2000-01-01,5.713,299.61853
2000-01,2000-01-01,5.713,300.08646
2000-01,2000-01-01,5.713,300.55927
2000-01,2000-01-01,5.463,299.88684
2000-01,2000-01-01,5.463,299.70407
2000-01,2000-01-01,5.463,299.771
2000-02,2000-02-01,5.713,300.43945
2000-02,2000-02-01,5.713,300.54102
2000-02,2000-02-01,5.713,300.92447
2000-02,2000-02-01,5.463,300.2776
2000-02,2000-02-01,5.463,299.64633
2000-02,2000-02-01,5.463,299.71338
2000-03,2000-03-01,5.713,301.1785
2000-03,2000-03-01,5.713,301.38687
2000-03,2000-03-01,5.713,301.78888
2000-03,2000-03-01,5.463,301.22406
2000-03,2000-03-01,5.463,300.5894
2000-03,2000-03-01,5.463,300.61554
2000-04,2000-04-01,5.713,300.6509
2000-04,2000-04-01,5.713,301.06158
2000-04,2000-04-01,5.713,301.43204
2000-04,2000-04-01,5.463,301.0028
2000-04,2000-04-01,5.463,300.75226
2000-04,2000-04-01,5.463,300.74518
2000-05,2000-05-01,5.713,299.79633
2000-05,2000-05-01,5.713,300.32135
2000-05,2000-05-01,5.713,300.8272
2000-05,2000-05-01,5.463,300.2883
2000-05,2000-05-01,5.463,300.2685
2000-05,2000-05-01,5.463,300.38763
2000-06,2000-06-01,5.713,298.41498
2000-06,2000-06-01,5.713,298.77167
2000-06,2000-06-01,5.713,299.17938
2000-06,2000-06-01,5.463,298.7702
2000-06,2000-06-01,5.463,298.53906
2000-06,2000-06-01,5.463,298.67853
2000-07,2000-07-01,5.713,297.71872
2000-07,2000-07-01,5.713,297.9156
2000-07,2000-07-01,5.713,298.20752
2000-07,2000-07-01,5.463,297.80396
2000-07,2000-07-01,5.463,297.3281
2000-07,2000-07-01,5.463,297.39072
2000-08,2000-08-01,5.713,297.37164
2000-08,2000-08-01,5.713,297.49796
2000-08,2000-08-01,5.713,297.75812
2000-08,2000-08-01,5.463,297.3247
2000-08,2000-08-01,5.463,296.6548
2000-08,2000-08-01,5.463,296.6185
2000-09,2000-09-01,5.713,297.9308
