valid_time,time,latitude,t2m
2000-01,2000-01-01,-34.8,294.13406
2000-01,2000-01-01,-34.8,294.38293
2000-01,2000-01-01,-35.05,293.29922
2000-01,2000-01-01,-35.05,293.49603
2000-02,2000-02-01,-34.8,296.8971
2000-02,2000-02-01,-34.8,297.37784
2000-02,2000-02-01,-35.05,295.9582
2000-02,2000-02-01,-35.05,296.36868
2000-03,2000-03-01,-34.8,293.05148
2000-03,2000-03-01,-34.8,292.18903
2000-03,2000-03-01,-35.05,292.35205
2000-03,2000-03-01,-35.05,291.43588
2000-04,2000-04-01,-34.8,290.5783
2000-04,2000-04-01,-34.8,289.10034
2000-04,2000-04-01,-35.05,290.07562
2000-04,2000-04-01,-35.05,288.52277
2000-05,2000-05-01,-34.8,286.93658
2000-05,2000-05-01,-34.8,285.06073
2000-05,2000-05-01,-35.05,286.6585
2000-05,2000-05-01,-35.05,284.73755
2000-06,2000-06-01,-34.8,284.9898
2000-06,2000-06-01,-34.8,283.2307
2000-06,2000-06-01,-35.05,284.871
2000-06,2000-06-01,-35.05,283.04758
2000-07,2000-07-01,-34.8,284.61472
2000-07,2000-07-01,-34.8,283.25842
2000-07,2000-07-01,-35.05,284.48837
2000-07,2000-07-01,-35.05,283.08463
2000-08,2000-08-01,-34.8,284.6697
2000-08,2000-08-01,-34.8,283.34576
2000-08,2000-08-01,-35.05,284.47583
2000-08,2000-08-01,-35.05,283.1213
2000-09,2000-09-01,-34.8,287.06253
2000-09,2000-09-01,-34.8,286.2808
2000-09,2000-09-01,-35.05,286.70905
2000-09,2000-09-01,-35.05,285.95944
2000-10,2000-10-01,-34.8,288.1846
2000-10,2000-10-01,-34.8,287.46274
2000-10,2000-10-01,-35.05,287.70343
2000-10,2000-10-01,-35.05,286.99423
2000-11,2000-11-01,-34.8,292.6662
2000-11,2000-11-01,-34.8,292.84152
2000-11,2000-11-01,-35.05,291.71585
2000-11,2000-11-01,-35.05,291.77795
2000-12,2000-12-01,-34.8,293.4451
2000-12,2000-12-01,-34.8,293.49722
2000-12,2000-12-01,-35.05,292.44122
2000-12,2000-12-01,-35.05,292.41232
2001-01,2001-01-01,-34.8,297.00858
2001-01,2001-01-01,-34.8,297.76428
2001-01,2001-01-01,-35.05,295.85526
2001-01,2001-01-01,-35.05,296.49966
2001-02,2001-02-01,-34.8,296.42944
2001-02,2001-02-01,-34.8,296.6598
2001-02,2001-02-01,-35.05,295.34018
2001-02,2001-02-01,-35.05,295.46652
2001-03,2001-03-01,-34.8,292.27405
2001-03,2001-03-01,-34.8,291.47644
2001-03,2001-03-01,-35.05,291.57172
2001-03,2001-03-01,-35.05,290.70447
2001-04,2001-04-01,-34.8,289.58008
2001-04,2001-04-01,-34.8,288.25052
2001-04,2001-04-01,-35.05,289.13342
2001-04,2001-04-01,-35.05,287.74756
2001-05,2001-05-01,-34.8,287.37738
2001-05,2001-05-01,-34.8,285.5788
2001-05,2001-05-01,-35.05,287.13098
2001-05,2001-05-01,-35.05,285.24133
2001-06,2001-06-01,-34.8,285.8399
