valid_time,time,latitude,t2m
2000-01,2000-01-01,35.266,276.5926
2000-01,2000-01-01,35.266,275.90512
2000-01,2000-01-01,35.016,277.38446
2000-01,2000-01-01,35.016,276.49036
2000-02,2000-02-01,35.266,279.56927
2000-02,2000-02-01,35.266,278.77356
2000-02,2000-02-01,35.016,280.161
2000-02,2000-02-01,35.016,278.99316
2000-03,2000-03-01,35.266,280.2387
2000-03,2000-03-01,35.266,279.70316
2000-03,2000-03-01,35.016,280.8014
2000-03,2000-03-01,35.016,279.74194
2000-04,2000-04-01,35.266,286.52524
2000-04,2000-04-01,35.266,286.06735
2000-04,2000-04-01,35.016,287.3639
2000-04,2000-04-01,35.016,286.21802
2000-05,2000-05-01,35.266,293.7714
2000-05,2000-05-01,35.266,293.13925
2000-05,2000-05-01,35.016,294.4243
2000-05,2000-05-01,35.016,293.08542
2000-06,2000-06-01,35.266,296.4705
2000-06,2000-06-01,35.266,295.4881
2000-06,2000-06-01,35.016,296.98572
2000-06,2000-06-01,35.016,295.14938
2000-07,2000-07-01,35.266,298.81787
2000-07,2000-07-01,35.266,297.3863
2000-07,2000-07-01,35.016,299.25385
2000-07,2000-07-01,35.016,296.91516
2000-08,2000-08-01,35.266,297.63007
2000-08,2000-08-01,35.266,296.41833
2000-08,2000-08-01,35.016,298.0204
2000-08,2000-08-01,35.016,295.9417
2000-09,2000-09-01,35.266,294.81696
2000-09,2000-09-01,35.266,293.8279
2000-09,2000-09-01,35.016,295.38403
2000-09,2000-09-01,35.016,293.81128
2000-10,2000-10-01,35.266,285.14038
2000-10,2000-10-01,35.266,284.43488
2000-10,2000-10-01,35.016,285.75186
2000-10,2000-10-01,35.016,284.5587
2000-11,2000-11-01,35.266,274.87598
2000-11,2000-11-01,35.266,273.72278
2000-11,2000-11-01,35.016,275.93634
2000-11,2000-11-01,35.016,274.4516
2000-12,2000-12-01,35.266,273.20465
2000-12,2000-12-01,35.266,272.31055
2000-12,2000-12-01,35.016,274.62885
2000-12,2000-12-01,35.016,273.73108
2001-01,2001-01-01,35.266,270.53534
2001-01,2001-01-01,35.266,269.70422
2001-01,2001-01-01,35.016,272.35492
2001-01,2001-01-01,35.016,271.34113
2001-02,2001-02-01,35.266,275.9817
2001-02,2001-02-01,35.266,275.3064
2001-02,2001-02-01,35.016,277.52112
2001-02,2001-02-01,35.016,276.65875
2001-03,2001-03-01,35.266,280.2685
2001-03,2001-03-01,35.266,279.4722
2001-03,2001-03-01,35.016,281.2671
2001-03,2001-03-01,35.016,279.89902
2001-04,2001-04-01,35.266,286.44034
2001-04,2001-04-01,35.266,285.7621
2001-04,2001-04-01,35.016,287.27246
2001-04,2001-04-01,35.016,285.9892
2001-05,2001-05-01,35.266,292.5661
2001-05,2001-05-01,35.266,291.7382
2001-05,2001-05-01,35.016,293.23795
2001-05,2001-05-01,35.016,291.69955
2001-06,2001-06-01,35.266,297.18634
2001-06,2001-06-01,35.266,296.21878
2001-06,2001-06-01,35.016,297.86166
2001-06,2001-06-01,35.016,296.17642
2001-07,2001-07-01,35.266,298.5046
2001-07,2001-07-01,35.266,297.45737
2001-07,2001-07-01,35.016,298.83865
2001-07,2001-07-01,35.016,297.01212
2001-08,2001-08-01,35.266,296.2707
2001-08,2001-08-01,35.266,294.6303
2001-08,2001-08-01,35.016,296.6895
2001-08,2001-08-01,35.016,294.32855
2001-09,2001-09-01,35.266,294.2473
2001-09,2001-09-01,35.266,293.22284
2001-09,2001-09-01,35.016,294.71643
2001-09,2001-09-01,35.016,292.99304
2001-10,2001-10-01,35.266,288.01056
2001-10,2001-10-01,35.266,287.2137
2001-10,2001-10-01,35.016,288.5096
2001-10,2001-10-01,35.016,287.2872
2001-11,2001-11-01,35.266,280.7632
2001-11,2001-11-01,35.266,279.93842
2001-11,2001-11-01,35.016,281.20535
2001-11,2001-11-01,35.016,280.02002
2001-12,2001-12-01,35.266,274.31607
2001-12,2001-12-01,35.266,273.59656
2001-12,2001-12-01,35.016,274.7475
2001-12,2001-12-01,35.016,273.7535
2002-01,2002-01-01,35.266,274.74982
2002-01,2002-01-01,35.266,274.14774
2002-01,2002-01-01,35.016,275.01395
2002-01,2002-01-01,35.016,273.81403
2002-02,2002-02-01,35.266,275.84286
2002-02,2002-02-01,35.266,275.28305
2002-02,2002-02-01,35.016,276.9733
2002-02,2002-02-01,35.016,275.71118
2002-03,2002-03-01,35.266,281.0356
2002-03,2002-03-01,35.266,280.2992
2002-03,2002-03-01,35.016,281.67828
2002-03,2002-03-01,35.016,280.39557
2002-04,2002-04-01,35.266,289.32523
2002-04,2002-04-01,35.266,288.6849
2002-04,2002-04-01,35.016,290.065
2002-04,2002-04-01,35.016,288.81293
2002-05,2002-05-01,35.266,292.33536
2002-05,2002-05-01,35.266,291.65182
2002-05,2002-05-01,35.016,292.9256
2002-05,2002-05-01,35.016,291.54556
2002-06,2002-06-01,35.266,298.8633
2002-06,2002-06-01,35.266,298.05832
2002-06,2002-06-01,35.016,299.39703
2002-06,2002-06-01,35.016,297.9163
2002-07,2002-07-01,35.266,298.18134
2002-07,2002-07-01,35.266,296.8579
2002-07,2002-07-01,35.016,298.38092
2002-07,2002-07-01,35.016,296.2129
2002-08,2002-08-01,35.266,297.16193
2002-08,2002-08-01,35.266,296.0546
2002-08,2002-08-01,35.016,297.87317
2002-08,2002-08-01,35.016,296.016
2002-09,2002-09-01,35.266,292.41876
2002-09,2002-09-01,35.266,291.70688
2002-09,2002-09-01,35.016,292.9041
2002-09,2002-09-01,35.016,291.49704
2002-10,2002-10-01,35.266,285.94052
2002-10,2002-10-01,35.266,285.231
2002-10,2002-10-01,35.016,286.4849
2002-10,2002-10-01,35.016,285.15442
2002-11,2002-11-01,35.266,278.54745
2002-11,2002-11-01,35.266,277.73224
2002-11,2002-11-01,35.016,279.25998
2002-11,2002-11-01,35.016,278.2551
2002-12,2002-12-01,35.266,272.58356
2002-12,2002-12-01,35.266,271.96777
2002-12,2002-12-01,35.016,274.0208
2002-12,2002-12-01,35.016,272.888
2003-01,2003-01-01,35.266,277.50937
2003-01,2003-01-01,35.266,276.7625
2003-01,2003-01-01,35.016,278.01746
2003-01,2003-01-01,35.016,277.2122
2003-02,2003-02-01,35.266,276.91843
2003-02,2003-02-01,35.266,276.03934
2003-02,2003-02-01,35.016,277.63916
2003-02,2003-02-01,35.016,276.33658
2003-03,2003-03-01,35.266,280.6214
2003-03,2003-03-01,35.266,279.74075
2003-03,2003-03-01,35.016,281.3575
2003-03,2003-03-01,35.016,279.77246
2003-04,2003-04-01,35.266,286.26688
2003-04,2003-04-01,35.266,285.43002
2003-04,2003-04-01,35.016,286.96973
2003-04,2003-04-01,35.016,285.49442
2003-05,2003-05-01,35.266,292.4503
2003-05,2003-05-01,35.266,291.57443
2003-05,2003-05-01,35.016,293.06583
2003-05,2003-05-01,35.016,291.5328
2003-06,2003-06-01,35.266,295.8824
2003-06,2003-06-01,35.266,294.77725
2003-06,2003-06-01,35.016,296.4064
2003-06,2003-06-01,35.016,294.56366
2003-07,2003-07-01,35.266,301.23294
2003-07,2003-07-01,35.266,300.29068
2003-07,2003-07-01,35.016,301.59763
2003-07,2003-07-01,35.016,299.81662
2003-08,2003-08-01,35.266,298.01758
2003-08,2003-08-01,35.266,297.06693
2003-08,2003-08-01,35.016,298.2958
2003-08,2003-08-01,35.016,296.38882
2003-09,2003-09-01,35.266,293.7238
2003-09,2003-09-01,35.266,292.8061
2003-09,2003-09-01,35.016,294.30084
2003-09,2003-09-01,35.016,292.6085
2003-10,2003-10-01,35.266,288.929
2003-10,2003-10-01,35.266,288.07605
2003-10,2003-10-01,35.016,289.39218
2003-10,2003-10-01,35.016,288.2429
2003-11,2003-11-01,35.266,279.66083
2003-11,2003-11-01,35.266,278.961
2003-11,2003-11-01,35.016,280.5113
2003-11,2003-11-01,35.016,279.462
2003-12,2003-12-01,35.266,274.85446
2003-12,2003-12-01,35.266,274.18295
2003-12,2003-12-01,35.016,275.4657
2003-12,2003-12-01,35.016,274.60712
2004-01,2004-01-01,35.266,275.1192
2004-01,2004-01-01,35.266,274.43747
2004-01,2004-01-01,35.016,275.66574
2004-01,2004-01-01,35.016,274.54572
2004-02,2004-02-01,35.266,273.92865
2004-02,2004-02-01,35.266,272.86554
2004-02,2004-02-01,35.016,275.32922
2004-02,2004-02-01,35.016,273.62073
2004-03,2004-03-01,35.266,283.36734
2004-03,2004-03-01,35.266,282.3399
2004-03,2004-03-01,35.016,284.32913
2004-03,2004-03-01,35.016,282.6374
2004-04,2004-04-01,35.266,284.50085
2004-04,2004-04-01,35.266,283.8805
2004-04,2004-04-01,35.016,285.55774
2004-04,2004-04-01,35.016,284.07834
2004-05,2004-05-01,35.266,292.95218
2004-05,2004-05-01,35.266,292.3428
2004-05,2004-05-01,35.016,293.75238
2004-05,2004-05-01,35.016,292.35492
2004-06,2004-06-01,35.266,296.66476
2004-06,2004-06-01,35.266,295.95996
2004-06,2004-06-01,35.016,297.3183
2004-06,2004-06-01,35.016,295.88934
2004-07,2004-07-01,35.266,297.7851
2004-07,2004-07-01,35.266,296.881
2004-07,2004-07-01,35.016,298.33484
2004-07,2004-07-01,35.016,296.58377
2004-08,2004-08-01,35.266,295.94693
2004-08,2004-08-01,35.266,295.10187
2004-08,2004-08-01,35.016,296.4899
2004-08,2004-08-01,35.016,294.6495
2004-09,2004-09-01,35.266,292.81583
2004-09,2004-09-01,35.266,291.91586
2004-09,2004-09-01,35.016,293.39514
2004-09,2004-09-01,35.016,291.7736
2004-10,2004-10-01,35.266,285.78656
2004-10,2004-10-01,35.266,285.00754
2004-10,2004-10-01,35.016,286.74136
2004-10,2004-10-01,35.016,285.4071
2004-11,2004-11-01,35.266,278.88666
2004-11,2004-11-01,35.266,277.83334
2004-11,2004-11-01,35.016,279.62878
2004-11,2004-11-01,35.016,278.17123
2004-12,2004-12-01,35.266,273.57297
2004-12,2004-12-01,35.266,272.8716
2004-12,2004-12-01,35.016,274.39212
2004-12,2004-12-01,35.016,273.87408
2005-01,2005-01-01,35.266,277.06125
2005-01,2005-01-01,35.266,276.47925
2005-01,2005-01-01,35.016,277.86722
2005-01,2005-01-01,35.016,277.00198
2005-02,2005-02-01,35.266,277.7058
2005-02,2005-02-01,35.266,276.93747
2005-02,2005-02-01,35.016,278.5252
2005-02,2005-02-01,35.016,277.33456
2005-03,2005-03-01,35.266,278.76727
2005-03,2005-03-01,35.266,277.9649
2005-03,2005-03-01,35.016,280.0291
2005-03,2005-03-01,35.016,278.65997
2005-04,2005-04-01,35.266,285.34958
2005-04,2005-04-01,35.266,284.431
2005-04,2005-04-01,35.016,286.395
2005-04,2005-04-01,35.016,284.81027
2005-05,2005-05-01,35.266,291.85663
2005-05,2005-05-01,35.266,290.97092
2005-05,2005-05-01,35.016,292.61984
2005-05,2005-05-01,35.016,290.90253
2005-06,2005-06-01,35.266,296.82132
2005-06,2005-06-01,35.266,296.197
2005-06,2005-06-01,35.016,297.49182
2005-06,2005-06-01,35.016,296.08643
2005-07,2005-07-01,35.266,299.86313
2005-07,2005-07-01,35.266,298.9203
2005-07,2005-07-01,35.016,300.34207
2005-07,2005-07-01,35.016,298.58167
2005-08,2005-08-01,35.266,296.6845
2005-08,2005-08-01,35.266,295.5999
2005-08,2005-08-01,35.016,297.31195
2005-08,2005-08-01,35.016,295.24524
2005-09,2005-09-01,35.266,293.82684
2005-09,2005-09-01,35.266,292.69543
2005-09,2005-09-01,35.016,294.7149
2005-09,2005-09-01,35.016,292.88837
2005-10,2005-10-01,35.266,285.9356
2005-10,2005-10-01,35.266,285.2459
2005-10,2005-10-01,35.016,286.57663
2005-10,2005-10-01,35.016,285.53214
2005-11,2005-11-01,35.266,280.3832
2005-11,2005-11-01,35.266,279.7678
2005-11,2005-11-01,35.016,281.2446
2005-11,2005-11-01,35.016,280.3694
2005-12,2005-12-01,35.266,275.82312
2005-12,2005-12-01,35.266,274.98898
2005-12,2005-12-01,35.016,276.4033
2005-12,2005-12-01,35.016,275.5626
2006-01,2006-01-01,35.266,276.3348
2006-01,2006-01-01,35.266,275.7641
2006-01,2006-01-01,35.016,276.98926
2006-01,2006-01-01,35.016,276.26254
2006-02,2006-02-01,35.266,278.14368
2006-02,2006-02-01,35.266,277.36984
2006-02,2006-02-01,35.016,278.94714
2006-02,2006-02-01,35.016,277.85315
2006-03,2006-03-01,35.266,281.55792
2006-03,2006-03-01,35.266,280.94455
2006-03,2006-03-01,35.016,282.33926
2006-03,2006-03-01,35.016,281.0896
2006-04,2006-04-01,35.266,288.1324
2006-04,2006-04-01,35.266,287.38754
2006-04,2006-04-01,35.016,288.9606
2006-04,2006-04-01,35.016,287.63638
2006-05,2006-05-01,35.266,294.12094
2006-05,2006-05-01,35.266,293.29672
2006-05,2006-05-01,35.016,294.7901
2006-05,2006-05-01,35.016,293.2539
2006-06,2006-06-01,35.266,298.22397
2006-06,2006-06-01,35.266,297.2634
2006-06,2006-06-01,35.016,298.73996
2006-06,2006-06-01,35.016,297.18576
2006-07,2006-07-01,35.266,297.65585
2006-07,2006-07-01,35.266,296.56842
2006-07,2006-07-01,35.016,298.2574
2006-07,2006-07-01,35.016,296.29984
2006-08,2006-08-01,35.266,294.87408
2006-08,2006-08-01,35.266,293.87842
2006-08,2006-08-01,35.016,295.23434
2006-08,2006-08-01,35.016,293.50873
2006-09,2006-09-01,35.266,290.18027
2006-09,2006-09-01,35.266,289.1643
2006-09,2006-09-01,35.016,290.9249
2006-09,2006-09-01,35.016,289.21478
2006-10,2006-10-01,35.266,285.7437
2006-10,2006-10-01,35.266,284.7851
2006-10,2006-10-01,35.016,286.5281
2006-10,2006-10-01,35.016,285.1001
2006-11,2006-11-01,35.266,281.0377
2006-11,2006-11-01,35.266,280.20956
2006-11,2006-11-01,35.016,281.63138
2006-11,2006-11-01,35.016,280.56732
2006-12,2006-12-01,35.266,273.30234
2006-12,2006-12-01,35.266,272.36658
2006-12,2006-12-01,35.016,273.91544
2006-12,2006-12-01,35.016,273.0536
2007-01,2007-01-01,35.266,270.56866
2007-01,2007-01-01,35.266,269.57544
2007-01,2007-01-01,35.016,272.1765
2007-01,2007-01-01,35.016,271.22528
2007-02,2007-02-01,35.266,275.899
2007-02,2007-02-01,35.266,275.0807
2007-02,2007-02-01,35.016,277.20337
2007-02,2007-02-01,35.016,276.05054
2007-03,2007-03-01,35.266,282.33707
2007-03,2007-03-01,35.266,281.65472
2007-03,2007-03-01,35.016,283.25323
2007-03,2007-03-01,35.016,282.03854
2007-04,2007-04-01,35.266,285.21753
2007-04,2007-04-01,35.266,284.41125
2007-04,2007-04-01,35.016,286.16504
2007-04,2007-04-01,35.016,284.6444
2007-05,2007-05-01,35.266,290.29993
2007-05,2007-05-01,35.266,289.39682
2007-05,2007-05-01,35.016,291.10153
2007-05,2007-05-01,35.016,289.44293
2007-06,2007-06-01,35.266,296.76044
2007-06,2007-06-01,35.266,295.75992
2007-06,2007-06-01,35.016,297.375
2007-06,2007-06-01,35.016,295.62598
2007-07,2007-07-01,35.266,298.69635
2007-07,2007-07-01,35.266,297.5876
2007-07,2007-07-01,35.016,299.11646
2007-07,2007-07-01,35.016,297.081
2007-08,2007-08-01,35.266,298.79434
2007-08,2007-08-01,35.266,298.0064
2007-08,2007-08-01,35.016,299.3337
2007-08,2007-08-01,35.016,297.51926
2007-09,2007-09-01,35.266,294.22092
2007-09,2007-09-01,35.266,293.28433
2007-09,2007-09-01,35.016,294.85596
2007-09,2007-09-01,35.016,293.0965
2007-10,2007-10-01,35.266,287.87228
2007-10,2007-10-01,35.266,287.14505
2007-10,2007-10-01,35.016,288.44336
2007-10,2007-10-01,35.016,287.23883
2007-11,2007-11-01,35.266,280.89413
2007-11,2007-11-01,35.266,280.0949
2007-11,2007-11-01,35.016,281.79706
2007-11,2007-11-01,35.016,280.71216
2007-12,2007-12-01,35.266,274.32904
2007-12,2007-12-01,35.266,273.21942
2007-12,2007-12-01,35.016,275.22955
2007-12,2007-12-01,35.016,273.71686
2008-01,2008-01-01,35.266,272.16196
2008-01,2008-01-01,35.266,271.39035
2008-01,2008-01-01,35.016,273.32712
2008-01,2008-01-01,35.016,271.93002
2008-02,2008-02-01,35.266,276.2345
2008-02,2008-02-01,35.266,275.4254
2008-02,2008-02-01,35.016,277.6557
2008-02,2008-02-01,35.016,276.3141
2008-03,2008-03-01,35.266,282.02814
2008-03,2008-03-01,35.266,280.91736
2008-03,2008-03-01,35.016,282.9594
2008-03,2008-03-01,35.016,281.188
2008-04,2008-04-01,35.266,286.10794
2008-04,2008-04-01,35.266,285.3218
2008-04,2008-04-01,35.016,286.8282
2008-04,2008-04-01,35.016,285.46857
2008-05,2008-05-01,35.266,290.48712
2008-05,2008-05-01,35.266,289.7615
2008-05,2008-05-01,35.016,291.2767
2008-05,2008-05-01,35.016,289.8358
2008-06,2008-06-01,35.266,297.40176
2008-06,2008-06-01,35.266,296.61176
2008-06,2008-06-01,35.016,298.0246
2008-06,2008-06-01,35.016,296.61377
2008-07,2008-07-01,35.266,296.99664
2008-07,2008-07-01,35.266,295.79266
2008-07,2008-07-01,35.016,297.29327
2008-07,2008-07-01,35.016,295.2364
2008-08,2008-08-01,35.266,296.84186
2008-08,2008-08-01,35.266,295.4895
2008-08,2008-08-01,35.016,297.44482
2008-08,2008-08-01,35.016,295.13647
2008-09,2008-09-01,35.266,293.10028
2008-09,2008-09-01,35.266,292.24893
2008-09,2008-09-01,35.016,293.7691
2008-09,2008-09-01,35.016,292.06677
2008-10,2008-10-01,35.266,286.71368
2008-10,2008-10-01,35.266,285.90067
2008-10,2008-10-01,35.016,287.28058
2008-10,2008-10-01,35.016,286.06314
2008-11,2008-11-01,35.266,280.5339
2008-11,2008-11-01,35.266,279.72647
2008-11,2008-11-01,35.016,281.0881
2008-11,2008-11-01,35.016,280.04532
2008-12,2008-12-01,35.266,275.40863
2008-12,2008-12-01,35.266,274.13177
2008-12,2008-12-01,35.016,276.49597
2008-12,2008-12-01,35.016,275.12726
2009-01,2009-01-01,35.266,275.91434
2009-01,2009-01-01,35.266,275.29077
2009-01,2009-01-01,35.016,276.75757
2009-01,2009-01-01,35.016,275.95447
2009-02,2009-02-01,35.266,279.193
2009-02,2009-02-01,35.266,278.46945
2009-02,2009-02-01,35.016,279.9751
2009-02,2009-02-01,35.016,278.97668
2009-03,2009-03-01,35.266,282.5435
2009-03,2009-03-01,35.266,281.86545
2009-03,2009-03-01,35.016,283.29117
2009-03,2009-03-01,35.016,281.9685
2009-04,2009-04-01,35.266,285.91193
2009-04,2009-04-01,35.266,285.15475
2009-04,2009-04-01,35.016,286.6367
2009-04,2009-04-01,35.016,285.19504
2009-05,2009-05-01,35.266,293.05878
2009-05,2009-05-01,35.266,292.1701
2009-05,2009-05-01,35.016,293.69678
2009-05,2009-05-01,35.016,292.13736
2009-06,2009-06-01,35.266,295.23065
2009-06,2009-06-01,35.266,294.5049
2009-06,2009-06-01,35.016,295.9657
2009-06,2009-06-01,35.016,294.61353
2009-07,2009-07-01,35.266,299.4608
2009-07,2009-07-01,35.266,298.5349
2009-07,2009-07-01,35.016,299.86835
2009-07,2009-07-01,35.016,298.01825
2009-08,2009-08-01,35.266,297.3147
2009-08,2009-08-01,35.266,296.44327
2009-08,2009-08-01,35.016,297.86768
2009-08,2009-08-01,35.016,296.27145
2009-09,2009-09-01,35.266,292.51202
2009-09,2009-09-01,35.266,291.4769
2009-09,2009-09-01,35.016,293.11777
2009-09,2009-09-01,35.016,291.20102
2009-10,2009-10-01,35.266,285.5431
2009-10,2009-10-01,35.266,284.77496
2009-10,2009-10-01,35.016,286.29584
2009-10,2009-10-01,35.016,284.93137
2009-11,2009-11-01,35.266,280.59473
2009-11,2009-11-01,35.266,279.88574
2009-11,2009-11-01,35.016,281.0067
2009-11,2009-11-01,35.016,280.08478
2009-12,2009-12-01,35.266,273.00427
2009-12,2009-12-01,35.266,272.08865
2009-12,2009-12-01,35.016,273.80795
2009-12,2009-12-01,35.016,272.25534
2010-01,2010-01-01,35.266,273.6734
2010-01,2010-01-01,35.266,272.88925
