valid_time,time,latitude,t2m
2000-01,2000-01-01,31.236,287.5349
2000-01,2000-01-01,31.236,287.20224
2000-01,2000-01-01,31.236,286.67468
2000-01,2000-01-01,30.986,286.73944
2000-01,2000-01-01,30.986,286.20273
2000-01,2000-01-01,30.986,285.85352
2000-02,2000-02-01,31.236,287.87003
2000-02,2000-02-01,31.236,287.6286
2000-02,2000-02-01,31.236,287.3031
2000-02,2000-02-01,30.986,287.29224
2000-02,2000-02-01,30.986,286.861
2000-02,2000-02-01,30.986,286.58722
2000-03,2000-03-01,31.236,288.3213
2000-03,2000-03-01,31.236,288.29166
2000-03,2000-03-01,31.236,288.3131
2000-03,2000-03-01,30.986,288.2382
2000-03,2000-03-01,30.986,288.14328
2000-03,2000-03-01,30.986,288.09818
2000-04,2000-04-01,31.236,291.39322
2000-04,2000-04-01,31.236,291.70908
2000-04,2000-04-01,31.236,292.33026
2000-04,2000-04-01,30.986,292.3811
2000-04,2000-04-01,30.986,292.8489
2000-04,2000-04-01,30.986,293.1237
2000-05,2000-05-01,31.236,293.85468
2000-05,2000-05-01,31.236,294.13593
2000-05,2000-05-01,31.236,294.65314
2000-05,2000-05-01,30.986,294.678
2000-05,2000-05-01,30.986,295.10193
2000-05,2000-05-01,30.986,295.36023
2000-06,2000-06-01,31.236,296.52408
2000-06,2000-06-01,31.236,296.8385
2000-06,2000-06-01,31.236,297.38147
2000-06,2000-06-01,30.986,297.18427
2000-06,2000-06-01,30.986,297.70706
2000-06,2000-06-01,30.986,298.06268
2000-07,2000-07-01,31.236,298.93167
2000-07,2000-07-01,31.236,299.11362
2000-07,2000-07-01,31.236,299.45123
2000-07,2000-07-01,30.986,299.48962
2000-07,2000-07-01,30.986,299.80484
2000-07,2000-07-01,30.986,299.94125
2000-08,2000-08-01,31.236,299.27487
2000-08,2000-08-01,31.236,299.39993
2000-08,2000-08-01,31.236,299.68567
2000-08,2000-08-01,30.986,299.64047
2000-08,2000-08-01,30.986,299.85696
2000-08,2000-08-01,30.986,299.91846
2000-09,2000-09-01,31.236,298.5806
2000-09,2000-09-01,31.236,298.56787
2000-09,2000-09-01,31.236,298.6135
2000-09,2000-09-01,30.986,298.63678
2000-09,2000-09-01,30.986,298.60684
2000-09,2000-09-01,30.986,298.5208
2000-10,2000-10-01,31.236,296.0371
2000-10,2000-10-01,31.236,295.93896
2000-10,2000-10-01,31.236,295.84366
2000-10,2000-10-01,30.986,295.68604
2000-10,2000-10-01,30.986,295.5238
2000-10,2000-10-01,30.986,295.44995
2000-11,2000-11-01,31.236,293.9441
2000-11,2000-11-01,31.236,293.7114
2000-11,2000-11-01,31.236,293.4119
2000-11,2000-11-01,30.986,293.20874
2000-11,2000-11-01,30.986,292.8501
2000-11,2000-11-01,30.986,292.68994
2000-12,2000-12-01,31.236,290.56342
2000-12,2000-12-01,31.236,290.25275
2000-12,2000-12-01,31.236,289.78683
2000-12,2000-12-01,30.986,289.61475
2000-12,2000-12-01,30.986,289.1544
2000-12,2000-12-01,30.986,288.83707
2001-01,2001-01-01,31.236,289.0703
2001-01,2001-01-01,31.236,288.73474
2001-01,2001-01-01,31.236,288.24258
2001-01,2001-01-01,30.986,288.20807
2001-01,2001-01-01,30.986,287.6833
2001-01,2001-01-01,30.986,287.326
2001-02,2001-02-01,31.236,289.04672
2001-02,2001-02-01,31.236,288.81757
2001-02,2001-02-01,31.236,288.50073
2001-02,2001-02-01,30.986,288.45282
2001-02,2001-02-01,30.986,288.08176
2001-02,2001-02-01,30.986,287.8028
2001-03,2001-03-01,31.236,290.76318
2001-03,2001-03-01,31.236,290.83585
2001-03,2001-03-01,31.236,291.0802
2001-03,2001-03-01,30.986,291.07172
2001-03,2001-03-01,30.986,291.21265
2001-03,2001-03-01,30.986,291.29474
2001-04,2001-04-01,31.236,291.95728
2001-04,2001-04-01,31.236,292.12033
2001-04,2001-04-01,31.236,292.46393
2001-04,2001-04-01,30.986,292.6297
2001-04,2001-04-01,30.986,292.86456
2001-04,2001-04-01,30.986,292.97113
2001-05,2001-05-01,31.236,294.10318
2001-05,2001-05-01,31.236,294.4032
2001-05,2001-05-01,31.236,295.03564
2001-05,2001-05-01,30.986,295.0749
2001-05,2001-05-01,30.986,295.61728
2001-05,2001-05-01,30.986,295.973
2001-06,2001-06-01,31.236,296.16885
2001-06,2001-06-01,31.236,296.40253
2001-06,2001-06-01,31.236,296.9028
2001-06,2001-06-01,30.986,296.8531
2001-06,2001-06-01,30.986,297.29764
2001-06,2001-06-01,30.986,297.60068
2001-07,2001-07-01,31.236,298.9039
2001-07,2001-07-01,31.236,299.0991
2001-07,2001-07-01,31.236,299.4998
2001-07,2001-07-01,30.986,299.44748
2001-07,2001-07-01,30.986,299.83954
2001-07,2001-07-01,30.986,300.00378
2001-08,2001-08-01,31.236,300.18738
2001-08,2001-08-01,31.236,300.26337
2001-08,2001-08-01,31.236,300.50336
2001-08,2001-08-01,30.986,300.51678
2001-08,2001-08-01,30.986,300.6871
2001-08,2001-08-01,30.986,300.72842
2001-09,2001-09-01,31.236,299.56757
2001-09,2001-09-01,31.236,299.52795
2001-09,2001-09-01,31.236,299.55084
2001-09,2001-09-01,30.986,299.6494
2001-09,2001-09-01,30.986,299.63864
2001-09,2001-09-01,30.986,299.57138
2001-10,2001-10-01,31.236,296.628
2001-10,2001-10-01,31.236,296.51996
2001-10,2001-10-01,31.236,296.39685
2001-10,2001-10-01,30.986,296.34415
2001-10,2001-10-01,30.986,296.1626
2001-10,2001-10-01,30.986,296.0489
2001-11,2001-11-01,31.236,293.15875
2001-11,2001-11-01,31.236,292.96887
2001-11,2001-11-01,31.236,292.73444
2001-11,2001-11-01,30.986,292.6305
2001-11,2001-11-01,30.986,292.37677
2001-11,2001-11-01,30.986,292.22806
2001-12,2001-12-01,31.236,289.40738
2001-12,2001-12-01,31.236,289.02994
2001-12,2001-12-01,31.236,288.45364
2001-12,2001-12-01,30.986,288.4296
2001-12,2001-12-01,30.986,287.86758
2001-12,2001-12-01,30.986,287.5984
2002-01,2002-01-01,31.236,287.63293
2002-01,2002-01-01,31.236,287.26083
2002-01,2002-01-01,31.236,286.67697
2002-01,2002-01-01,30.986,286.63214
2002-01,2002-01-01,30.986,286.05426
2002-01,2002-01-01,30.986,285.7458
2002-02,2002-02-01,31.236,288.898
2002-02,2002-02-01,31.236,288.74335
2002-02,2002-02-01,31.236,288.61688
2002-02,2002-02-01,30.986,288.48212
2002-02,2002-02-01,30.986,288.24176
2002-02,2002-02-01,30.986,288.1745
2002-03,2002-03-01,31.236,289.7605
2002-03,2002-03-01,31.236,289.82236
2002-03,2002-03-01,31.236,290.0179
2002-03,2002-03-01,30.986,290.06137
2002-03,2002-03-01,30.986,290.1638
2002-03,2002-03-01,30.986,290.1844
2002-04,2002-04-01,31.236,291.0878
2002-04,2002-04-01,31.236,291.28702
2002-04,2002-04-01,31.236,291.67987
2002-04,2002-04-01,30.986,291.75308
2002-04,2002-04-01,30.986,292.05533
2002-04,2002-04-01,30.986,292.19598
2002-05,2002-05-01,31.236,293.7906
2002-05,2002-05-01,31.236,293.99387
2002-05,2002-05-01,31.236,294.45618
2002-05,2002-05-01,30.986,294.54202
