valid_time,time,latitude,t2m
2000-01,2000-01-01,36.601,282.4232
2000-01,2000-01-01,36.601,281.06287
2000-01,2000-01-01,36.601,280.65073
2000-01,2000-01-01,36.601,280.63574
2000-02,2000-02-01,36.601,284.99237
2000-02,2000-02-01,36.601,284.07
2000-02,2000-02-01,36.601,283.63904
2000-02,2000-02-01,36.601,283.58008
2000-03,2000-03-01,36.601,286.52814
2000-03,2000-03-01,36.601,285.96616
2000-03,2000-03-01,36.601,285.71857
2000-03,2000-03-01,36.601,285.7987
2000-04,2000-04-01,36.601,288.753
2000-04,2000-04-01,36.601,288.60028
2000-04,2000-04-01,36.601,288.4561
2000-04,2000-04-01,36.601,288.53534
2000-05,2000-05-01,36.601,292.51093
2000-05,2000-05-01,36.601,293.0463
2000-05,2000-05-01,36.601,293.08847
2000-05,2000-05-01,36.601,293.26587
2000-06,2000-06-01,36.601,295.53
2000-06,2000-06-01,36.601,296.2179
2000-06,2000-06-01,36.601,296.184
2000-06,2000-06-01,36.601,296.33154
2000-07,2000-07-01,36.601,298.58112
2000-07,2000-07-01,36.601,299.50418
2000-07,2000-07-01,36.601,299.8134
2000-07,2000-07-01,36.601,299.9983
2000-08,2000-08-01,36.601,299.2794
2000-08,2000-08-01,36.601,299.96216
2000-08,2000-08-01,36.601,300.1473
2000-08,2000-08-01,36.601,300.3773
2000-09,2000-09-01,36.601,295.98343
2000-09,2000-09-01,36.601,295.93353
2000-09,2000-09-01,36.601,295.92828
2000-09,2000-09-01,36.601,296.0828
2000-10,2000-10-01,36.601,291.3001
2000-10,2000-10-01,36.601,290.87958
2000-10,2000-10-01,36.601,290.76028
2000-10,2000-10-01,36.601,290.8746
2000-11,2000-11-01,36.601,288.2434
2000-11,2000-11-01,36.601,287.6041
2000-11,2000-11-01,36.601,287.43753
2000-11,2000-11-01,36.601,287.4789
2000-12,2000-12-01,36.601,286.23602
2000-12,2000-12-01,36.601,285.28397
2000-12,2000-12-01,36.601,284.97455
2000-12,2000-12-01,36.601,284.926
2001-01,2001-01-01,36.601,284.9754
2001-01,2001-01-01,36.601,284.11334
2001-01,2001-01-01,36.601,283.69507
2001-01,2001-01-01,36.601,283.58987
2001-02,2001-02-01,36.601,284.18924
2001-02,2001-02-01,36.601,283.145
2001-02,2001-02-01,36.601,282.7436
2001-02,2001-02-01,36.601,282.6742
2001-03,2001-03-01,36.601,288.86267
2001-03,2001-03-01,36.601,288.75043
2001-03,2001-03-01,36.601,288.66428
2001-03,2001-03-01,36.601,288.68674
2001-04,2001-04-01,36.601,288.06702
2001-04,2001-04-01,36.601,287.66016
2001-04,2001-04-01,36.601,287.46448
2001-04,2001-04-01,36.601,287.4487
2001-05,2001-05-01,36.601,290.44778
2001-05,2001-05-01,36.601,290.61053
2001-05,2001-05-01,36.601,290.50555
2001-05,2001-05-01,36.601,290.555
2001-06,2001-06-01,36.601,296.265
2001-06,2001-06-01,36.601,297.02383
2001-06,2001-06-01,36.601,297.0747
2001-06,2001-06-01,36.601,297.22552
2001-07,2001-07-01,36.601,298.03842
2001-07,2001-07-01,36.601,298.84778
2001-07,2001-07-01,36.601,298.95593
2001-07,2001-07-01,36.601,299.10257
2001-08,2001-08-01,36.601,299.09323
2001-08,2001-08-01,36.601,299.7296
2001-08,2001-08-01,36.601,299.73523
2001-08,2001-08-01,36.601,299.80936
2001-09,2001-09-01,36.601,296.21432
2001-09,2001-09-01,36.601,296.1702
2001-09,2001-09-01,36.601,296.0303
2001-09,2001-09-01,36.601,296.19766
2001-10,2001-10-01,36.601,295.10315
2001-10,2001-10-01,36.601,294.9712
2001-10,2001-10-01,36.601,295.0216
2001-10,2001-10-01,36.601,295.18997
2001-11,2001-11-01,36.601,287.28345
2001-11,2001-11-01,36.601,286.48608
2001-11,2001-11-01,36.601,286.29596
2001-11,2001-11-01,36.601,286.3937
2001-12,2001-12-01,36.601,283.98868
2001-12,2001-12-01,36.601,282.8844
2001-12,2001-12-01,36.601,282.47504
2001-12,2001-12-01,36.601,282.36838
2002-01,2002-01-01,36.601,284.21228
2002-01,2002-01-01,36.601,283.31073
2002-01,2002-01-01,36.601,282.9397
2002-01,2002-01-01,36.601,282.87244
2002-02,2002-02-01,36.601,285.15878
2002-02,2002-02-01,36.601,284.41867
