valid_time,time,latitude,t2m
2000-01,2000-01-01,40.526,271.34888
2000-01,2000-01-01,40.526,271.4693
2000-01,2000-01-01,40.526,271.60565
2000-02,2000-02-01,40.526,273.80295
2000-02,2000-02-01,40.526,273.93182
2000-02,2000-02-01,40.526,274.10956
2000-03,2000-03-01,40.526,280.54126
2000-03,2000-03-01,40.526,280.63116
2000-03,2000-03-01,40.526,280.72528
2000-04,2000-04-01,40.526,282.94412
2000-04,2000-04-01,40.526,282.96274
2000-04,2000-04-01,40.526,282.9916
2000-05,2000-05-01,40.526,289.5174
2000-05,2000-05-01,40.526,289.58963
2000-05,2000-05-01,40.526,289.68356
2000-06,2000-06-01,40.526,294.02402
2000-06,2000-06-01,40.526,294.03622
2000-06,2000-06-01,40.526,294.08218
2000-07,2000-07-01,40.526,294.53098
2000-07,2000-07-01,40.526,294.56842
2000-07,2000-07-01,40.526,294.70383
2000-08,2000-08-01,40.526,294.66696
2000-08,2000-08-01,40.526,294.69016
2000-08,2000-08-01,40.526,294.74463
2000-09,2000-09-01,40.526,290.77264
2000-09,2000-09-01,40.526,290.87094
2000-09,2000-09-01,40.526,290.94284
2000-10,2000-10-01,40.526,285.40576
2000-10,2000-10-01,40.526,285.60263
2000-10,2000-10-01,40.526,285.74603
2000-11,2000-11-01,40.526,278.76288
2000-11,2000-11-01,40.526,278.93454
2000-11,2000-11-01,40.526,279.08844
2000-12,2000-12-01,40.526,270.29443
2000-12,2000-12-01,40.526,270.58398
2000-12,2000-12-01,40.526,270.91833
2001-01,2001-01-01,40.526,271.1944
2001-01,2001-01-01,40.526,271.2083
2001-01,2001-01-01,40.526,271.3069
2001-02,2001-02-01,40.526,274.13025
2001-02,2001-02-01,40.526,274.18225
2001-02,2001-02-01,40.526,274.2899
2001-03,2001-03-01,40.526,275.9286
2001-03,2001-03-01,40.526,276.04016
2001-03,2001-03-01,40.526,276.16318
2001-04,2001-04-01,40.526,284.0499
2001-04,2001-04-01,40.526,284.07507
2001-04,2001-04-01,40.526,284.15256
2001-05,2001-05-01,40.526,289.5404
2001-05,2001-05-01,40.526,289.63486
2001-05,2001-05-01,40.526,289.76218
2001-06,2001-06-01,40.526,294.9195
2001-06,2001-06-01,40.526,295.00845
2001-06,2001-06-01,40.526,295.10275
2001-07,2001-07-01,40.526,295.75452
2001-07,2001-07-01,40.526,295.71237
2001-07,2001-07-01,40.526,295.69513
2001-08,2001-08-01,40.526,298.17194
2001-08,2001-08-01,40.526,298.12772
2001-08,2001-08-01,40.526,298.105
2001-09,2001-09-01,40.526,291.45572
2001-09,2001-09-01,40.526,291.5043
2001-09,2001-09-01,40.526,291.53745
2001-10,2001-10-01,40.526,286.05807
2001-10,2001-10-01,40.526,286.1615
2001-10,2001-10-01,40.526,286.27054
2001-11,2001-11-01,40.526,282.705
2001-11,2001-11-01,40.526,282.83627
2001-11,2001-11-01,40.526,282.98907
2001-12,2001-12-01,40.526,277.6065
2001-12,2001-12-01,40.526,277.8092
2001-12,2001-12-01,40.526,278.05072
2002-01,2002-01-01,40.526,275.4552
2002-01,2002-01-01,40.526,275.59033
2002-01,2002-01-01,40.526,275.73065
2002-02,2002-02-01,40.526,276.08878
2002-02,2002-02-01,40.526,276.19882
2002-02,2002-02-01,40.526,276.31943
2002-03,2002-03-01,40.526,278.48413
2002-03,2002-03-01,40.526,278.59607
2002-03,2002-03-01,40.526,278.75073
2002-04,2002-04-01,40.526,284.9543
2002-04,2002-04-01,40.526,285.05136
2002-04,2002-04-01,40.526,285.19064
2002-05,2002-05-01,40.526,288.14948
2002-05,2002-05-01,40.526,288.2335
2002-05,2002-05-01,40.526,288.3088
2002-06,2002-06-01,40.526,294.50485
2002-06,2002-06-01,40.526,294.55737
