valid_time,time,latitude,t2m
2000-01,2000-01-01,5.899,301.2022
2000-01,2000-01-01,5.899,300.8432
2000-01,2000-01-01,5.649,300.91037
2000-01,2000-01-01,5.649,300.57892
2000-02,2000-02-01,5.899,301.70093
2000-02,2000-02-01,5.899,301.44702
2000-02,2000-02-01,5.649,301.4843
2000-02,2000-02-01,5.649,301.16028
2000-03,2000-03-01,5.899,302.12537
2000-03,2000-03-01,5.899,301.7773
2000-03,2000-03-01,5.649,301.96906
2000-03,2000-03-01,5.649,301.58276
2000-04,2000-04-01,5.899,300.05988
2000-04,2000-04-01,5.899,299.6349
2000-04,2000-04-01,5.649,299.7586
2000-04,2000-04-01,5.649,299.45358
2000-05,2000-05-01,5.899,299.56012
2000-05,2000-05-01,5.899,299.12482
2000-05,2000-05-01,5.649,299.34015
2000-05,2000-05-01,5.649,298.98395
2000-06,2000-06-01,5.899,297.9417
2000-06,2000-06-01,5.899,297.4944
2000-06,2000-06-01,5.649,297.7484
2000-06,2000-06-01,5.649,297.35898
2000-07,2000-07-01,5.899,297.77408
2000-07,2000-07-01,5.899,297.31186
2000-07,2000-07-01,5.649,297.61542
2000-07,2000-07-01,5.649,297.22955
2000-08,2000-08-01,5.899,297.40686
2000-08,2000-08-01,5.899,296.94598
2000-08,2000-08-01,5.649,297.2008
2000-08,2000-08-01,5.649,296.8094
2000-09,2000-09-01,5.899,297.79477
2000-09,2000-09-01,5.899,297.3241
2000-09,2000-09-01,5.649,297.56946
2000-09,2000-09-01,5.649,297.1703
2000-10,2000-10-01,5.899,298.34177
2000-10,2000-10-01,5.899,297.89984
2000-10,2000-10-01,5.649,298.1122
2000-10,2000-10-01,5.649,297.73035
2000-11,2000-11-01,5.899,299.41235
2000-11,2000-11-01,5.899,298.9716
2000-11,2000-11-01,5.649,299.08044
2000-11,2000-11-01,5.649,298.7376
2000-12,2000-12-01,5.899,299.85596
2000-12,2000-12-01,5.899,299.5843
2000-12,2000-12-01,5.649,299.56018
2000-12,2000-12-01,5.649,299.27914
2001-01,2001-01-01,5.899,300.54977
2001-01,2001-01-01,5.899,300.36145
2001-01,2001-01-01,5.649,300.35727
2001-01,2001-01-01,5.649,300.0912
2001-02,2001-02-01,5.899,301.68152
2001-02,2001-02-01,5.899,301.47998
2001-02,2001-02-01,5.649,301.5073
2001-02,2001-02-01,5.649,301.1849
2001-03,2001-03-01,5.899,300.253
2001-03,2001-03-01,5.899,299.7345
2001-03,2001-03-01,5.649,299.83575
2001-03,2001-03-01,5.649,299.4928
2001-04,2001-04-01,5.899,299.812
2001-04,2001-04-01,5.899,299.3734
2001-04,2001-04-01,5.649,299.48444
2001-04,2001-04-01,5.649,299.16327
2001-05,2001-05-01,5.899,299.37744
2001-05,2001-05-01,5.899,298.93835
2001-05,2001-05-01,5.649,299.15024
2001-05,2001-05-01,5.649,298.7699
2001-06,2001-06-01,5.899,298.3175
2001-06,2001-06-01,5.899,297.91867
2001-06,2001-06-01,5.649,298.0936
2001-06,2001-06-01,5.649,297.76453
2001-07,2001-07-01,5.899,297.94586
2001-07,2001-07-01,5.899,297.50217
2001-07,2001-07-01,5.649,297.82355
2001-07,2001-07-01,5.649,297.44345
2001-08,2001-08-01,5.899,297.67795
2001-08,2001-08-01,5.899,297.18536
2001-08,2001-08-01,5.649,297.56277
2001-08,2001-08-01,5.649,297.1591
2001-09,2001-09-01,5.899,297.86725
2001-09,2001-09-01,5.899,297.4251
2001-09,2001-09-01,5.649,297.69165
2001-09,2001-09-01,5.649,297.3157
2001-10,2001-10-01,5.899,298.9308
2001-10,2001-10-01,5.899,298.4358
2001-10,2001-10-01,5.649,298.69427
2001-10,2001-10-01,5.649,298.30017
2001-11,2001-11-01,5.899,299.6974
2001-11,2001-11-01,5.899,299.2453
2001-11,2001-11-01,5.649,299.33755
2001-11,2001-11-01,5.649,299.03632
2001-12,2001-12-01,5.899,300.98865
2001-12,2001-12-01,5.899,300.58963
2001-12,2001-12-01,5.649,300.55145
2001-12,2001-12-01,5.649,300.28766
2002-01,2002-01-01,5.899,300.72952
2002-01,2002-01-01,5.899,300.5949
2002-01,2002-01-01,5.649,300.49216
2002-01,2002-01-01,5.649,300.22754
2002-02,2002-02-01,5.899,301.11285
2002-02,2002-02-01,5.899,300.7413
2002-02,2002-02-01,5.649,300.8347
2002-02,2002-02-01,5.649,300.4196
2002-03,2002-03-01,5.899,300.43512
2002-03,2002-03-01,5.899,300.0624
2002-03,2002-03-01,5.649,300.07898
2002-03,2002-03-01,5.649,299.7862
