valid_time,time,latitude,t2m
2000-01,2000-01-01,32.086,281.98138
2000-01,2000-01-01,32.086,280.2324
2000-01,2000-01-01,31.836,282.20724
2000-01,2000-01-01,31.836,280.34613
2000-02,2000-02-01,32.086,283.00525
2000-02,2000-02-01,32.086,281.37903
2000-02,2000-02-01,31.836,283.19577
2000-02,2000-02-01,31.836,281.47253
2000-03,2000-03-01,32.086,285.50208
2000-03,2000-03-01,32.086,284.08017
2000-03,2000-03-01,31.836,285.65378
2000-03,2000-03-01,31.836,284.17374
2000-04,2000-04-01,32.086,292.55145
2000-04,2000-04-01,32.086,291.4695
2000-04,2000-04-01,31.836,292.66943
2000-04,2000-04-01,31.836,291.51462
2000-05,2000-05-01,32.086,294.95993
2000-05,2000-05-01,32.086,293.9082
2000-05,2000-05-01,31.836,295.07916
2000-05,2000-05-01,31.836,293.96747
2000-06,2000-06-01,32.086,298.7633
2000-06,2000-06-01,32.086,297.96207
2000-06,2000-06-01,31.836,298.8922
2000-06,2000-06-01,31.836,298.05136
2000-07,2000-07-01,32.086,302.31073
2000-07,2000-07-01,32.086,301.87036
2000-07,2000-07-01,31.836,302.42114
2000-07,2000-07-01,31.836,301.96216
2000-08,2000-08-01,32.086,299.8298
2000-08,2000-08-01,32.086,299.0617
2000-08,2000-08-01,31.836,299.9596
2000-08,2000-08-01,31.836,299.15424
2000-09,2000-09-01,32.086,297.93338
2000-09,2000-09-01,32.086,296.824
2000-09,2000-09-01,31.836,298.03455
2000-09,2000-09-01,31.836,296.8809
2000-10,2000-10-01,32.086,293.45773
2000-10,2000-10-01,32.086,291.96243
2000-10,2000-10-01,31.836,293.56342
2000-10,2000-10-01,31.836,291.99103
2000-11,2000-11-01,32.086,289.06766
2000-11,2000-11-01,32.086,287.38174
2000-11,2000-11-01,31.836,289.203
2000-11,2000-11-01,31.836,287.4263
2000-12,2000-12-01,32.086,284.71576
2000-12,2000-12-01,32.086,283.14584
2000-12,2000-12-01,31.836,284.9337
2000-12,2000-12-01,31.836,283.26978
2001-01,2001-01-01,32.086,283.5507
2001-01,2001-01-01,32.086,281.76685
2001-01,2001-01-01,31.836,283.7073
2001-01,2001-01-01,31.836,281.8156
2001-02,2001-02-01,32.086,283.9805
2001-02,2001-02-01,32.086,282.32278
2001-02,2001-02-01,31.836,284.1772
2001-02,2001-02-01,31.836,282.40976
2001-03,2001-03-01,32.086,290.66135
2001-03,2001-03-01,32.086,289.30737
2001-03,2001-03-01,31.836,290.64615
2001-03,2001-03-01,31.836,289.2328
2001-04,2001-04-01,32.086,292.79092
2001-04,2001-04-01,32.086,291.4698
2001-04,2001-04-01,31.836,292.84866
2001-04,2001-04-01,31.836,291.41144
2001-05,2001-05-01,32.086,295.6007
2001-05,2001-05-01,32.086,294.48245
2001-05,2001-05-01,31.836,295.5861
2001-05,2001-05-01,31.836,294.3938
2001-06,2001-06-01,32.086,298.97803
2001-06,2001-06-01,32.086,298.1502
2001-06,2001-06-01,31.836,298.99396
2001-06,2001-06-01,31.836,298.12506
2001-07,2001-07-01,32.086,300.49442
2001-07,2001-07-01,32.086,299.64
2001-07,2001-07-01,31.836,300.59265
2001-07,2001-07-01,31.836,299.70312
2001-08,2001-08-01,32.086,300.2014
2001-08,2001-08-01,32.086,299.34937
2001-08,2001-08-01,31.836,300.30298
2001-08,2001-08-01,31.836,299.4242
2001-09,2001-09-01,32.086,297.8562
2001-09,2001-09-01,32.086,296.82593
2001-09,2001-09-01,31.836,297.95007
2001-09,2001-09-01,31.836,296.88626
2001-10,2001-10-01,32.086,294.86087
2001-10,2001-10-01,32.086,293.5157
2001-10,2001-10-01,31.836,294.89603
2001-10,2001-10-01,31.836,293.48068
2001-11,2001-11-01,32.086,288.6209
2001-11,2001-11-01,32.086,286.9444
2001-11,2001-11-01,31.836,288.8804
2001-11,2001-11-01,31.836,287.10184
2001-12,2001-12-01,32.086,284.9171
2001-12,2001-12-01,32.086,283.19067
2001-12,2001-12-01,31.836,285.20453
2001-12,2001-12-01,31.836,283.38855
2002-01,2002-01-01,32.086,281.62216
2002-01,2002-01-01,32.086,279.87845
2002-01,2002-01-01,31.836,281.78317
2002-01,2002-01-01,31.836,279.92618
2002-02,2002-02-01,32.086,285.2762
2002-02,2002-02-01,32.086,283.72998
2002-02,2002-02-01,31.836,285.3897
2002-02,2002-02-01,31.836,283.73334
2002-03,2002-03-01,32.086,288.25995
2002-03,2002-03-01,32.086,286.98294
2002-03,2002-03-01,31.836,288.40475
2002-03,2002-03-01,31.836,287.03873
2002-04,2002-04-01,32.086,290.0036
2002-04,2002-04-01,32.086,288.7194
2002-04,2002-04-01,31.836,290.15527
2002-04,2002-04-01,31.836,288.79495
2002-05,2002-05-01,32.086,294.20566
2002-05,2002-05-01,32.086,293.08038
2002-05,2002-05-01,31.836,294.29526
2002-05,2002-05-01,31.836,293.09564
2002-06,2002-06-01,32.086,297.9686
2002-06,2002-06-01,32.086,296.94095
2002-06,2002-06-01,31.836,298.01108
2002-06,2002-06-01,31.836,296.92697
2002-07,2002-07-01,32.086,301.0714
2002-07,2002-07-01,32.086,300.06998
2002-07,2002-07-01,31.836,301.17874
2002-07,2002-07-01,31.836,300.1243
2002-08,2002-08-01,32.086,299.98874
2002-08,2002-08-01,32.086,298.91888
2002-08,2002-08-01,31.836,300.07996
2002-08,2002-08-01,31.836,298.96848
2002-09,2002-09-01,32.086,298.67624
2002-09,2002-09-01,32.086,297.47397
2002-09,2002-09-01,31.836,298.75702
2002-09,2002-09-01,31.836,297.5019
2002-10,2002-10-01,32.086,296.25027
2002-10,2002-10-01,32.086,295.0953
2002-10,2002-10-01,31.836,296.2588
2002-10,2002-10-01,31.836,295.03622
2002-11,2002-11-01,32.086,289.88422
2002-11,2002-11-01,32.086,287.93542
2002-11,2002-11-01,31.836,289.86383
2002-11,2002-11-01,31.836,287.79108
2002-12,2002-12-01,32.086,284.5008
2002-12,2002-12-01,32.086,282.66907
2002-12,2002-12-01,31.836,284.80554
2002-12,2002-12-01,31.836,282.85388
2003-01,2003-01-01,32.086,284.4444
2003-01,2003-01-01,32.086,282.68994
2003-01,2003-01-01,31.836,284.71393
2003-01,2003-01-01,31.836,282.85822
2003-02,2003-02-01,32.086,282.91165
2003-02,2003-02-01,32.086,281.26108
2003-02,2003-02-01,31.836,283.17755
2003-02,2003-02-01,31.836,281.40985
2003-03,2003-03-01,32.086,284.45578
2003-03,2003-03-01,32.086,282.8949
2003-03,2003-03-01,31.836,284.60532
2003-03,2003-03-01,31.836,282.94525
2003-04,2003-04-01,32.086,290.62155
2003-04,2003-04-01,32.086,289.49615
2003-04,2003-04-01,31.836,290.83774
2003-04,2003-04-01,31.836,289.6568
2003-05,2003-05-01,32.086,298.27054
2003-05,2003-05-01,32.086,297.09772
2003-05,2003-05-01,31.836,298.50052
2003-05,2003-05-01,31.836,297.2504
2003-06,2003-06-01,32.086,298.47058
2003-06,2003-06-01,32.086,297.45624
2003-06,2003-06-01,31.836,298.64267
2003-06,2003-06-01,31.836,297.57095
2003-07,2003-07-01,32.086,299.87122
2003-07,2003-07-01,32.086,298.86148
2003-07,2003-07-01,31.836,299.96515
2003-07,2003-07-01,31.836,298.91293
2003-08,2003-08-01,32.086,300.3061
