valid_time,time,latitude,t2m
2000-01,2000-01-01,38.077,278.90814
2000-01,2000-01-01,38.077,279.08398
2000-01,2000-01-01,37.827,280.9607
2000-01,2000-01-01,37.827,281.03333
2000-02,2000-02-01,38.077,281.72318
2000-02,2000-02-01,38.077,281.99432
2000-02,2000-02-01,37.827,283.2374
2000-02,2000-02-01,37.827,283.5673
2000-03,2000-03-01,38.077,283.6253
2000-03,2000-03-01,38.077,283.91602
2000-03,2000-03-01,37.827,284.64423
2000-03,2000-03-01,37.827,285.01627
2000-04,2000-04-01,38.077,288.90002
2000-04,2000-04-01,38.077,289.4124
2000-04,2000-04-01,37.827,289.03357
2000-04,2000-04-01,37.827,289.66382
2000-05,2000-05-01,38.077,293.41425
2000-05,2000-05-01,38.077,293.78638
2000-05,2000-05-01,37.827,292.86896
2000-05,2000-05-01,37.827,293.4686
2000-06,2000-06-01,38.077,297.22256
2000-06,2000-06-01,38.077,297.67664
2000-06,2000-06-01,37.827,296.89597
2000-06,2000-06-01,37.827,297.60876
2000-07,2000-07-01,38.077,300.98825
2000-07,2000-07-01,38.077,301.42755
2000-07,2000-07-01,37.827,299.9681
2000-07,2000-07-01,37.827,300.71057
2000-08,2000-08-01,38.077,298.98035
2000-08,2000-08-01,38.077,299.3576
2000-08,2000-08-01,37.827,299.23303
2000-08,2000-08-01,37.827,299.86328
2000-09,2000-09-01,38.077,296.0029
2000-09,2000-09-01,38.077,296.25766
2000-09,2000-09-01,37.827,296.46246
2000-09,2000-09-01,37.827,296.69604
2000-10,2000-10-01,38.077,290.4901
2000-10,2000-10-01,38.077,290.6555
2000-10,2000-10-01,37.827,291.74976
2000-10,2000-10-01,37.827,291.8992
2000-11,2000-11-01,38.077,288.74792
2000-11,2000-11-01,38.077,288.8336
2000-11,2000-11-01,37.827,290.30624
2000-11,2000-11-01,37.827,290.25922
2000-12,2000-12-01,38.077,283.79446
2000-12,2000-12-01,38.077,283.9898
2000-12,2000-12-01,37.827,285.6905
2000-12,2000-12-01,37.827,285.78903
2001-01,2001-01-01,38.077,282.79913
2001-01,2001-01-01,38.077,283.15976
2001-01,2001-01-01,37.827,284.40247
2001-01,2001-01-01,37.827,284.75363
2001-02,2001-02-01,38.077,283.29794
2001-02,2001-02-01,38.077,283.62778
2001-02,2001-02-01,37.827,284.6036
2001-02,2001-02-01,37.827,285.07797
2001-03,2001-03-01,38.077,288.58612
2001-03,2001-03-01,38.077,289.20215
2001-03,2001-03-01,37.827,288.37985
2001-03,2001-03-01,37.827,289.14758
2001-04,2001-04-01,38.077,287.659
2001-04,2001-04-01,38.077,288.1356
2001-04,2001-04-01,37.827,288.05847
2001-04,2001-04-01,37.827,288.66888
2001-05,2001-05-01,38.077,293.3983
2001-05,2001-05-01,38.077,293.8612
2001-05,2001-05-01,37.827,292.579
2001-05,2001-05-01,37.827,293.3839
2001-06,2001-06-01,38.077,298.07596
2001-06,2001-06-01,38.077,298.45108
2001-06,2001-06-01,37.827,296.7058
2001-06,2001-06-01,37.827,297.51062
2001-07,2001-07-01,38.077,301.11606
2001-07,2001-07-01,38.077,301.55063
2001-07,2001-07-01,37.827,300.32425
2001-07,2001-07-01,37.827,301.11542
2001-08,2001-08-01,38.077,300.02893
2001-08,2001-08-01,38.077,300.5108
2001-08,2001-08-01,37.827,300.22614
2001-08,2001-08-01,37.827,300.9372
2001-09,2001-09-01,38.077,297.10468
2001-09,2001-09-01,38.077,297.2596
2001-09,2001-09-01,37.827,297.49377
2001-09,2001-09-01,37.827,297.742
2001-10,2001-10-01,38.077,292.05634
2001-10,2001-10-01,38.077,292.16116
2001-10,2001-10-01,37.827,293.41425
2001-10,2001-10-01,37.827,293.46808
2001-11,2001-11-01,38.077,285.81085
2001-11,2001-11-01,38.077,286.0374
2001-11,2001-11-01,37.827,287.72107
2001-11,2001-11-01,37.827,287.85223
2001-12,2001-12-01,38.077,279.27985
2001-12,2001-12-01,38.077,279.5064
2001-12,2001-12-01,37.827,281.5545
2001-12,2001-12-01,37.827,281.64417
