valid_time,time,latitude,t2m
2000-01,2000-01-01,33.779,278.98203
2000-01,2000-01-01,33.779,279.0016
2000-01,2000-01-01,33.779,278.99118
2000-01,2000-01-01,33.529,279.31616
2000-01,2000-01-01,33.529,279.39163
2000-01,2000-01-01,33.529,279.39807
2000-02,2000-02-01,33.779,282.72275
2000-02,2000-02-01,33.779,282.62775
2000-02,2000-02-01,33.779,282.52234
2000-02,2000-02-01,33.529,282.99722
2000-02,2000-02-01,33.529,283.0564
2000-02,2000-02-01,33.529,282.9874
2000-03,2000-03-01,33.779,286.74036
2000-03,2000-03-01,33.779,286.852
2000-03,2000-03-01,33.779,286.84436
2000-03,2000-03-01,33.529,286.95474
2000-03,2000-03-01,33.529,287.11618
2000-03,2000-03-01,33.529,287.1286
2000-04,2000-04-01,33.779,287.80853
2000-04,2000-04-01,33.779,288.02228
2000-04,2000-04-01,33.779,288.08868
2000-04,2000-04-01,33.529,288.09564
2000-04,2000-04-01,33.529,288.3329
2000-04,2000-04-01,33.529,288.41165
2000-05,2000-05-01,33.779,296.10434
2000-05,2000-05-01,33.779,296.47372
2000-05,2000-05-01,33.779,296.45227
2000-05,2000-05-01,33.529,296.3509
2000-05,2000-05-01,33.529,296.60156
2000-05,2000-05-01,33.529,296.56366
2000-06,2000-06-01,33.779,298.2995
2000-06,2000-06-01,33.779,298.6001
2000-06,2000-06-01,33.779,298.50085
2000-06,2000-06-01,33.529,298.49838
2000-06,2000-06-01,33.529,298.59375
2000-06,2000-06-01,33.529,298.4636
2000-07,2000-07-01,33.779,300.0918
2000-07,2000-07-01,33.779,300.3078
2000-07,2000-07-01,33.779,300.11884
2000-07,2000-07-01,33.529,300.3288
2000-07,2000-07-01,33.529,300.35492
2000-07,2000-07-01,33.529,300.11624
2000-08,2000-08-01,33.779,298.87476
2000-08,2000-08-01,33.779,298.87073
2000-08,2000-08-01,33.779,298.6933
2000-08,2000-08-01,33.529,299.27777
2000-08,2000-08-01,33.529,299.2514
2000-08,2000-08-01,33.529,299.06094
2000-09,2000-09-01,33.779,294.14233
2000-09,2000-09-01,33.779,294.12393
2000-09,2000-09-01,33.779,294.13242
2000-09,2000-09-01,33.529,294.31378
2000-09,2000-09-01,33.529,294.327
2000-09,2000-09-01,33.529,294.3545
2000-10,2000-10-01,33.779,289.83426
2000-10,2000-10-01,33.779,289.9613
2000-10,2000-10-01,33.779,289.93103
2000-10,2000-10-01,33.529,289.90384
2000-10,2000-10-01,33.529,290.03488
2000-10,2000-10-01,33.529,290.00806
2000-11,2000-11-01,33.779,283.2964
2000-11,2000-11-01,33.779,283.36182
2000-11,2000-11-01,33.779,283.41455
2000-11,2000-11-01,33.529,283.59567
2000-11,2000-11-01,33.529,283.7301
2000-11,2000-11-01,33.529,283.79767
2000-12,2000-12-01,33.779,275.12976
2000-12,2000-12-01,33.779,275.07166
2000-12,2000-12-01,33.779,275.07892
2000-12,2000-12-01,33.529,275.54822
2000-12,2000-12-01,33.529,275.57947
2000-12,2000-12-01,33.529,275.60486
2001-01,2001-01-01,33.779,277.7872
2001-01,2001-01-01,33.779,277.90198
2001-01,2001-01-01,33.779,278.0511
2001-01,2001-01-01,33.529,278.04233
2001-01,2001-01-01,33.529,278.1784
2001-01,2001-01-01,33.529,278.3366
2001-02,2001-02-01,33.779,282.8476
2001-02,2001-02-01,33.779,282.85187
2001-02,2001-02-01,33.779,282.9097
2001-02,2001-02-01,33.529,283.17004
2001-02,2001-02-01,33.529,283.23856
2001-02,2001-02-01,33.529,283.30896
2001-03,2001-03-01,33.779,282.99658
2001-03,2001-03-01,33.779,283.07156
2001-03,2001-03-01,33.779,283.17438
2001-03,2001-03-01,33.529,283.3235
2001-03,2001-03-01,33.529,283.4365
2001-03,2001-03-01,33.529,283.5498
2001-04,2001-04-01,33.779,290.09998
2001-04,2001-04-01,33.779,290.01035
2001-04,2001-04-01,33.779,290.03497
2001-04,2001-04-01,33.529,290.2185
2001-04,2001-04-01,33.529,290.26553
2001-04,2001-04-01,33.529,290.31555
2001-05,2001-05-01,33.779,293.8855
2001-05,2001-05-01,33.779,293.76822
2001-05,2001-05-01,33.779,293.74628
2001-05,2001-05-01,33.529,294.0829
2001-05,2001-05-01,33.529,294.13422
2001-05,2001-05-01,33.529,294.1419
2001-06,2001-06-01,33.779,296.2578
2001-06,2001-06-01,33.779,296.24094
2001-06,2001-06-01,33.779,296.25778
2001-06,2001-06-01,33.529,296.35672
2001-06,2001-06-01,33.529,296.43588
2001-06,2001-06-01,33.529,296.47623
2001-07,2001-07-01,33.779,298.76083
2001-07,2001-07-01,33.779,298.7413
2001-07,2001-07-01,33.779,298.55206
2001-07,2001-07-01,33.529,298.84927
2001-07,2001-07-01,33.529,298.97736
2001-07,2001-07-01,33.529,298.81415
2001-08,2001-08-01,33.779,298.2915
2001-08,2001-08-01,33.779,298.46445
2001-08,2001-08-01,33.779,298.4307
2001-08,2001-08-01,33.529,298.3089
2001-08,2001-08-01,33.529,298.51056
2001-08,2001-08-01,33.529,298.4938
2001-09,2001-09-01,33.779,294.10022
2001-09,2001-09-01,33.779,294.19482
2001-09,2001-09-01,33.779,294.15717
2001-09,2001-09-01,33.529,294.3115
2001-09,2001-09-01,33.529,294.39255
2001-09,2001-09-01,33.529,294.36136
2001-10,2001-10-01,33.779,288.0042
2001-10,2001-10-01,33.779,288.11725
2001-10,2001-10-01,33.779,288.1793
2001-10,2001-10-01,33.529,288.1899
2001-10,2001-10-01,33.529,288.36758
2001-10,2001-10-01,33.529,288.4652
2001-11,2001-11-01,33.779,287.1715
2001-11,2001-11-01,33.779,287.33765
2001-11,2001-11-01,33.779,287.36465
2001-11,2001-11-01,33.529,287.4191
2001-11,2001-11-01,33.529,287.57233
2001-11,2001-11-01,33.529,287.62177
2001-12,2001-12-01,33.779,282.196
2001-12,2001-12-01,33.779,282.26465
2001-12,2001-12-01,33.779,282.3777
2001-12,2001-12-01,33.529,282.39075
2001-12,2001-12-01,33.529,282.54044
2001-12,2001-12-01,33.529,282.67908
2002-01,2002-01-01,33.779,280.5318
2002-01,2002-01-01,33.779,280.5189
2002-01,2002-01-01,33.779,280.51855
2002-01,2002-01-01,33.529,280.72485
2002-01,2002-01-01,33.529,280.77863
2002-01,2002-01-01,33.529,280.79898
2002-02,2002-02-01,33.779,280.32397
2002-02,2002-02-01,33.779,280.4054
2002-02,2002-02-01,33.779,280.47018
2002-02,2002-02-01,33.529,280.5515
2002-02,2002-02-01,33.529,280.6889
2002-02,2002-02-01,33.529,280.76935
2002-03,2002-03-01,33.779,285.3603
2002-03,2002-03-01,33.779,285.41486
2002-03,2002-03-01,33.779,285.42114
2002-03,2002-03-01,33.529,285.70667
2002-03,2002-03-01,33.529,285.8311
2002-03,2002-03-01,33.529,285.86148
2002-04,2002-04-01,33.779,291.54736
2002-04,2002-04-01,33.779,291.6671
2002-04,2002-04-01,33.779,291.75238
2002-04,2002-04-01,33.529,291.82675
2002-04,2002-04-01,33.529,292.03427
2002-04,2002-04-01,33.529,292.1577
2002-05,2002-05-01,33.779,293.17474
2002-05,2002-05-01,33.779,293.2589
2002-05,2002-05-01,33.779,293.27286
2002-05,2002-05-01,33.529,293.6042
2002-05,2002-05-01,33.529,293.746
2002-05,2002-05-01,33.529,293.78925
2002-06,2002-06-01,33.779,297.6514
2002-06,2002-06-01,33.779,297.7843
2002-06,2002-06-01,33.779,297.72626
2002-06,2002-06-01,33.529,297.9175
2002-06,2002-06-01,33.529,297.90512
2002-06,2002-06-01,33.529,297.81604
2002-07,2002-07-01,33.779,298.85693
2002-07,2002-07-01,33.779,299.05032
2002-07,2002-07-01,33.779,299.10498
2002-07,2002-07-01,33.529,298.99826
2002-07,2002-07-01,33.529,299.14386
2002-07,2002-07-01,33.529,299.1761
2002-08,2002-08-01,33.779,299.17432
2002-08,2002-08-01,33.779,299.39377
2002-08,2002-08-01,33.779,299.21808
2002-08,2002-08-01,33.529,299.21844
2002-08,2002-08-01,33.529,299.31744
2002-08,2002-08-01,33.529,299.1245
2002-09,2002-09-01,33.779,296.82852
2002-09,2002-09-01,33.779,296.87405
2002-09,2002-09-01,33.779,296.82712
2002-09,2002-09-01,33.529,296.9888
2002-09,2002-09-01,33.529,297.04727
2002-09,2002-09-01,33.529,297.025
2002-10,2002-10-01,33.779,291.20068
2002-10,2002-10-01,33.779,291.17065
2002-10,2002-10-01,33.779,291.20023
2002-10,2002-10-01,33.529,291.4751
2002-10,2002-10-01,33.529,291.52567
2002-10,2002-10-01,33.529,291.57648
2002-11,2002-11-01,33.779,282.68945
2002-11,2002-11-01,33.779,282.72296
2002-11,2002-11-01,33.779,282.8158
2002-11,2002-11-01,33.529,282.9064
2002-11,2002-11-01,33.529,283.015
2002-11,2002-11-01,33.529,283.12518
2002-12,2002-12-01,33.779,278.89334
2002-12,2002-12-01,33.779,278.8838
2002-12,2002-12-01,33.779,278.91937
2002-12,2002-12-01,33.529,279.1266
2002-12,2002-12-01,33.529,279.1985
2002-12,2002-12-01,33.529,279.2544
2003-01,2003-01-01,33.779,277.084
2003-01,2003-01-01,33.779,277.23724
2003-01,2003-01-01,33.779,277.40796
2003-01,2003-01-01,33.529,277.39703
2003-01,2003-01-01,33.529,277.5943
2003-01,2003-01-01,33.529,277.77808
2003-02,2003-02-01,33.779,280.50012
2003-02,2003-02-01,33.779,280.4818
2003-02,2003-02-01,33.779,280.4859
2003-02,2003-02-01,33.529,280.90045
2003-02,2003-02-01,33.529,280.9599
2003-02,2003-02-01,33.529,280.9834
2003-03,2003-03-01,33.779,286.0841
2003-03,2003-03-01,33.779,286.09686
2003-03,2003-03-01,33.779,286.15985
2003-03,2003-03-01,33.529,286.4034
2003-03,2003-03-01,33.529,286.48257
2003-03,2003-03-01,33.529,286.56497
2003-04,2003-04-01,33.779,289.19077
2003-04,2003-04-01,33.779,289.08322
2003-04,2003-04-01,33.779,289.0839
2003-04,2003-04-01,33.529,289.45236
2003-04,2003-04-01,33.529,289.44528
2003-04,2003-04-01,33.529,289.46814
2003-05,2003-05-01,33.779,293.40314
2003-05,2003-05-01,33.779,293.33563
2003-05,2003-05-01,33.779,293.39896
2003-05,2003-05-01,33.529,293.6771
2003-05,2003-05-01,33.529,293.70752
2003-05,2003-05-01,33.529,293.80237
2003-06,2003-06-01,33.779,296.16425
2003-06,2003-06-01,33.779,296.20667
2003-06,2003-06-01,33.779,296.35385
2003-06,2003-06-01,33.529,296.39246
2003-06,2003-06-01,33.529,296.47308
2003-06,2003-06-01,33.529,296.6306
2003-07,2003-07-01,33.779,297.6787
2003-07,2003-07-01,33.779,297.67963
2003-07,2003-07-01,33.779,297.7875
2003-07,2003-07-01,33.529,297.76138
2003-07,2003-07-01,33.529,297.85504
2003-07,2003-07-01,33.529,297.99274
2003-08,2003-08-01,33.779,298.1777
2003-08,2003-08-01,33.779,298.22427
2003-08,2003-08-01,33.779,298.41394
2003-08,2003-08-01,33.529,298.3056
2003-08,2003-08-01,33.529,298.3987
2003-08,2003-08-01,33.529,298.61166
2003-09,2003-09-01,33.779,294.73196
2003-09,2003-09-01,33.779,294.88852
2003-09,2003-09-01,33.779,295.15308
2003-09,2003-09-01,33.529,294.90747
2003-09,2003-09-01,33.529,295.02734
2003-09,2003-09-01,33.529,295.30667
2003-10,2003-10-01,33.779,289.43536
2003-10,2003-10-01,33.779,289.47348
2003-10,2003-10-01,33.779,289.5393
2003-10,2003-10-01,33.529,289.73773
2003-10,2003-10-01,33.529,289.86957
2003-10,2003-10-01,33.529,289.9543
2003-11,2003-11-01,33.779,286.48392
2003-11,2003-11-01,33.779,286.4975
2003-11,2003-11-01,33.779,286.55292
2003-11,2003-11-01,33.529,286.65094
2003-11,2003-11-01,33.529,286.75397
2003-11,2003-11-01,33.529,286.8269
2003-12,2003-12-01,33.779,278.03305
2003-12,2003-12-01,33.779,278.00745
2003-12,2003-12-01,33.779,278.02045
2003-12,2003-12-01,33.529,278.24454
2003-12,2003-12-01,33.529,278.29877
2003-12,2003-12-01,33.529,278.32904
2004-01,2004-01-01,33.779,278.29755
2004-01,2004-01-01,33.779,278.35446
2004-01,2004-01-01,33.779,278.42426
2004-01,2004-01-01,33.529,278.65527
2004-01,2004-01-01,33.529,278.7516
2004-01,2004-01-01,33.529,278.82437
2004-02,2004-02-01,33.779,279.4453
2004-02,2004-02-01,33.779,279.42474
2004-02,2004-02-01,33.779,279.4132
2004-02,2004-02-01,33.529,279.69815
2004-02,2004-02-01,33.529,279.75787
