valid_time,time,latitude,t2m
2000-01,2000-01-01,30.397,285.31543
2000-01,2000-01-01,30.397,285.54712
2000-01,2000-01-01,30.147,285.6818
2000-01,2000-01-01,30.147,285.93814
2000-02,2000-02-01,30.397,288.88568
2000-02,2000-02-01,30.397,289.1202
2000-02,2000-02-01,30.147,289.16235
2000-02,2000-02-01,30.147,289.4214
2000-03,2000-03-01,30.397,290.99188
2000-03,2000-03-01,30.397,291.37396
2000-03,2000-03-01,30.147,291.36652
2000-03,2000-03-01,30.147,291.78076
2000-04,2000-04-01,30.397,293.1917
2000-04,2000-04-01,30.397,293.40637
2000-04,2000-04-01,30.147,293.4823
2000-04,2000-04-01,30.147,293.7393
2000-05,2000-05-01,30.397,297.6967
2000-05,2000-05-01,30.397,298.04077
2000-05,2000-05-01,30.147,297.88843
2000-05,2000-05-01,30.147,298.26978
2000-06,2000-06-01,30.397,298.9986
2000-06,2000-06-01,30.397,299.4382
2000-06,2000-06-01,30.147,299.13193
2000-06,2000-06-01,30.147,299.6173
2000-07,2000-07-01,30.397,302.47986
2000-07,2000-07-01,30.397,302.92035
2000-07,2000-07-01,30.147,302.54202
2000-07,2000-07-01,30.147,303.03314
2000-08,2000-08-01,30.397,302.7254
2000-08,2000-08-01,30.397,303.16473
2000-08,2000-08-01,30.147,302.7925
2000-08,2000-08-01,30.147,303.28284
2000-09,2000-09-01,30.397,299.5271
2000-09,2000-09-01,30.397,299.84802
2000-09,2000-09-01,30.147,299.6896
2000-09,2000-09-01,30.147,300.05112
2000-10,2000-10-01,30.397,293.54974
2000-10,2000-10-01,30.397,294.07654
2000-10,2000-10-01,30.147,293.7094
2000-10,2000-10-01,30.147,294.2663
2000-11,2000-11-01,30.397,285.42953
2000-11,2000-11-01,30.397,285.83893
2000-11,2000-11-01,30.147,285.80453
2000-11,2000-11-01,30.147,286.2428
2000-12,2000-12-01,30.397,280.0595
2000-12,2000-12-01,30.397,280.34198
2000-12,2000-12-01,30.147,280.50635
2000-12,2000-12-01,30.147,280.8102
2001-01,2001-01-01,30.397,281.15442
2001-01,2001-01-01,30.397,281.42395
2001-01,2001-01-01,30.147,281.50732
2001-01,2001-01-01,30.147,281.7883
2001-02,2001-02-01,30.397,285.93085
2001-02,2001-02-01,30.397,286.28363
2001-02,2001-02-01,30.147,286.31866
2001-02,2001-02-01,30.147,286.69275
2001-03,2001-03-01,30.397,285.18683
2001-03,2001-03-01,30.397,285.3904
2001-03,2001-03-01,30.147,285.46082
2001-03,2001-03-01,30.147,285.6886
2001-04,2001-04-01,30.397,293.61032
2001-04,2001-04-01,30.397,293.9419
2001-04,2001-04-01,30.147,293.84448
2001-04,2001-04-01,30.147,294.2072
2001-05,2001-05-01,30.397,296.77695
2001-05,2001-05-01,30.397,297.10938
2001-05,2001-05-01,30.147,296.94135
2001-05,2001-05-01,30.147,297.31354
2001-06,2001-06-01,30.397,299.82477
2001-06,2001-06-01,30.397,300.2434
2001-06,2001-06-01,30.147,300.0359
2001-06,2001-06-01,30.147,300.5028
2001-07,2001-07-01,30.397,302.4729
2001-07,2001-07-01,30.397,302.90625
2001-07,2001-07-01,30.147,302.43567
2001-07,2001-07-01,30.147,302.9296
2001-08,2001-08-01,30.397,302.00427
2001-08,2001-08-01,30.397,302.39215
2001-08,2001-08-01,30.147,302.09827
2001-08,2001-08-01,30.147,302.5323
2001-09,2001-09-01,30.397,297.06177
2001-09,2001-09-01,30.397,297.33832
2001-09,2001-09-01,30.147,297.20084
2001-09,2001-09-01,30.147,297.5054
2001-10,2001-10-01,30.397,291.7555
2001-10,2001-10-01,30.397,292.09497
2001-10,2001-10-01,30.147,292.04333
2001-10,2001-10-01,30.147,292.41187
2001-11,2001-11-01,30.397,289.0647
2001-11,2001-11-01,30.397,289.42026
2001-11,2001-11-01,30.147,289.32825
2001-11,2001-11-01,30.147,289.71497
2001-12,2001-12-01,30.397,284.40604
2001-12,2001-12-01,30.397,284.7252
2001-12,2001-12-01,30.147,284.6823
2001-12,2001-12-01,30.147,285.01837
2002-01,2002-01-01,30.397,284.06567
2002-01,2002-01-01,30.397,284.3039
