valid_time,time,latitude,t2m
2000-01,2000-01-01,33.286,283.9234
2000-01,2000-01-01,33.286,284.20203
2000-01,2000-01-01,33.036,283.857
2000-01,2000-01-01,33.036,284.2175
2000-02,2000-02-01,33.286,285.98303
2000-02,2000-02-01,33.286,286.25415
2000-02,2000-02-01,33.036,285.88684
2000-02,2000-02-01,33.036,286.2338
2000-03,2000-03-01,33.286,290.9387
2000-03,2000-03-01,33.286,291.29156
2000-03,2000-03-01,33.036,290.931
2000-03,2000-03-01,33.036,291.33447
2000-04,2000-04-01,33.286,300.18176
2000-04,2000-04-01,33.286,300.51624
2000-04,2000-04-01,33.036,300.31897
2000-04,2000-04-01,33.036,300.661
2000-05,2000-05-01,33.286,304.5592
2000-05,2000-05-01,33.286,304.88937
2000-05,2000-05-01,33.036,304.59955
2000-05,2000-05-01,33.036,304.9655
2000-06,2000-06-01,33.286,308.48694
2000-06,2000-06-01,33.286,308.86255
2000-06,2000-06-01,33.036,308.42148
2000-06,2000-06-01,33.036,308.8368
2000-07,2000-07-01,33.286,313.46472
2000-07,2000-07-01,33.286,313.8797
2000-07,2000-07-01,33.036,313.2968
2000-07,2000-07-01,33.036,313.74695
2000-08,2000-08-01,33.286,312.25525
2000-08,2000-08-01,33.286,312.75906
2000-08,2000-08-01,33.036,312.21838
2000-08,2000-08-01,33.036,312.7765
2000-09,2000-09-01,33.286,306.18463
2000-09,2000-09-01,33.286,306.5668
2000-09,2000-09-01,33.036,306.06946
2000-09,2000-09-01,33.036,306.53534
2000-10,2000-10-01,33.286,298.54263
2000-10,2000-10-01,33.286,298.90814
2000-10,2000-10-01,33.036,298.34058
2000-10,2000-10-01,33.036,298.78134
2000-11,2000-11-01,33.286,290.89914
2000-11,2000-11-01,33.286,291.2632
2000-11,2000-11-01,33.036,290.72644
2000-11,2000-11-01,33.036,291.18585
2000-12,2000-12-01,33.286,286.21814
2000-12,2000-12-01,33.286,286.50293
2000-12,2000-12-01,33.036,286.20172
2000-12,2000-12-01,33.036,286.60416
2001-01,2001-01-01,33.286,284.45416
2001-01,2001-01-01,33.286,284.7743
2001-01,2001-01-01,33.036,284.58093
2001-01,2001-01-01,33.036,284.9768
2001-02,2001-02-01,33.286,286.79886
2001-02,2001-02-01,33.286,287.20496
2001-02,2001-02-01,33.036,286.91418
2001-02,2001-02-01,33.036,287.3825
2001-03,2001-03-01,33.286,293.78326
2001-03,2001-03-01,33.286,294.00577
2001-03,2001-03-01,33.036,294.07086
2001-03,2001-03-01,33.036,294.37512
2001-04,2001-04-01,33.286,298.679
2001-04,2001-04-01,33.286,298.96912
2001-04,2001-04-01,33.036,298.6381
2001-04,2001-04-01,33.036,298.9803
2001-05,2001-05-01,33.286,303.47086
2001-05,2001-05-01,33.286,303.88623
2001-05,2001-05-01,33.036,303.46906
2001-05,2001-05-01,33.036,303.93613
2001-06,2001-06-01,33.286,308.48242
2001-06,2001-06-01,33.286,308.91177
2001-06,2001-06-01,33.036,308.4024
2001-06,2001-06-01,33.036,308.87476
2001-07,2001-07-01,33.286,311.10767
2001-07,2001-07-01,33.286,311.52148
2001-07,2001-07-01,33.036,310.9841
2001-07,2001-07-01,33.036,311.4286
2001-08,2001-08-01,33.286,312.42224
2001-08,2001-08-01,33.286,312.8543
2001-08,2001-08-01,33.036,312.37695
2001-08,2001-08-01,33.036,312.85773
2001-09,2001-09-01,33.286,307.1567
2001-09,2001-09-01,33.286,307.5268
2001-09,2001-09-01,33.036,307.0897
2001-09,2001-09-01,33.036,307.53406
2001-10,2001-10-01,33.286,300.857
2001-10,2001-10-01,33.286,301.24054
2001-10,2001-10-01,33.036,300.65482
2001-10,2001-10-01,33.036,301.15515
2001-11,2001-11-01,33.286,291.35492
2001-11,2001-11-01,33.286,291.6447
2001-11,2001-11-01,33.036,291.17007
2001-11,2001-11-01,33.036,291.58862
2001-12,2001-12-01,33.286,287.4676
2001-12,2001-12-01,33.286,287.70856
2001-12,2001-12-01,33.036,287.53174
2001-12,2001-12-01,33.036,287.88394
2002-01,2002-01-01,33.286,283.7925
2002-01,2002-01-01,33.286,283.91974
2002-01,2002-01-01,33.036,283.7195
2002-01,2002-01-01,33.036,283.96347
2002-02,2002-02-01,33.286,288.0966
2002-02,2002-02-01,33.286,288.27792
2002-02,2002-02-01,33.036,287.98553
2002-02,2002-02-01,33.036,288.2886
2002-03,2002-03-01,33.286,293.32224
2002-03,2002-03-01,33.286,293.58362
2002-03,2002-03-01,33.036,293.30014
2002-03,2002-03-01,33.036,293.62192
