valid_time,time,latitude,t2m
2000-01,2000-01-01,39.363,273.43265
2000-01,2000-01-01,39.363,273.58768
2000-01,2000-01-01,39.113,274.16473
2000-01,2000-01-01,39.113,274.30774
2000-02,2000-02-01,39.363,276.80255
2000-02,2000-02-01,39.363,276.38214
2000-02,2000-02-01,39.113,277.41135
2000-02,2000-02-01,39.113,276.9289
2000-03,2000-03-01,39.363,282.488
2000-03,2000-03-01,39.363,281.87848
2000-03,2000-03-01,39.113,283.04025
2000-03,2000-03-01,39.113,282.30215
2000-04,2000-04-01,39.363,284.78253
2000-04,2000-04-01,39.363,284.48087
2000-04,2000-04-01,39.113,285.37997
2000-04,2000-04-01,39.113,284.9989
2000-05,2000-05-01,39.363,291.7942
2000-05,2000-05-01,39.363,291.22266
2000-05,2000-05-01,39.113,292.41336
2000-05,2000-05-01,39.113,291.72974
2000-06,2000-06-01,39.363,295.88873
2000-06,2000-06-01,39.363,295.4995
2000-06,2000-06-01,39.113,296.38873
2000-06,2000-06-01,39.113,295.90677
2000-07,2000-07-01,39.363,295.8985
2000-07,2000-07-01,39.363,295.91833
2000-07,2000-07-01,39.113,296.35016
2000-07,2000-07-01,39.113,296.33325
2000-08,2000-08-01,39.363,295.80127
2000-08,2000-08-01,39.363,296.05023
2000-08,2000-08-01,39.113,296.36
2000-08,2000-08-01,39.113,296.59827
2000-09,2000-09-01,39.363,291.7422
2000-09,2000-09-01,39.363,292.14957
2000-09,2000-09-01,39.113,292.32727
2000-09,2000-09-01,39.113,292.76035
2000-10,2000-10-01,39.363,287.0743
2000-10,2000-10-01,39.363,287.44446
2000-10,2000-10-01,39.113,287.7057
2000-10,2000-10-01,39.113,288.11523
2000-11,2000-11-01,39.363,279.9467
2000-11,2000-11-01,39.363,280.4469
2000-11,2000-11-01,39.113,280.5696
2000-11,2000-11-01,39.113,281.10516
2000-12,2000-12-01,39.363,272.18558
2000-12,2000-12-01,39.363,272.77756
2000-12,2000-12-01,39.113,272.89697
2000-12,2000-12-01,39.113,273.52206
2001-01,2001-01-01,39.363,273.77228
2001-01,2001-01-01,39.363,273.88177
2001-01,2001-01-01,39.113,274.4848
2001-01,2001-01-01,39.113,274.55322
2001-02,2001-02-01,39.363,276.6397
2001-02,2001-02-01,39.363,276.37384
2001-02,2001-02-01,39.113,277.33575
2001-02,2001-02-01,39.113,277.00314
2001-03,2001-03-01,39.363,277.87097
2001-03,2001-03-01,39.363,277.8389
2001-03,2001-03-01,39.113,278.59308
2001-03,2001-03-01,39.113,278.49646
2001-04,2001-04-01,39.363,286.01346
2001-04,2001-04-01,39.363,285.36453
2001-04,2001-04-01,39.113,286.5384
2001-04,2001-04-01,39.113,285.76303
2001-05,2001-05-01,39.363,290.8559
2001-05,2001-05-01,39.363,290.39197
2001-05,2001-05-01,39.113,291.40475
2001-05,2001-05-01,39.113,290.8291
2001-06,2001-06-01,39.363,295.96942
2001-06,2001-06-01,39.363,295.82477
2001-06,2001-06-01,39.113,296.48065
2001-06,2001-06-01,39.113,296.25323
2001-07,2001-07-01,39.363,295.90326
2001-07,2001-07-01,39.363,296.07098
2001-07,2001-07-01,39.113,296.46735
2001-07,2001-07-01,39.113,296.6183
2001-08,2001-08-01,39.363,297.74796
2001-08,2001-08-01,39.363,297.88196
2001-08,2001-08-01,39.113,298.23917
2001-08,2001-08-01,39.113,298.34076
2001-09,2001-09-01,39.363,291.90286
2001-09,2001-09-01,39.363,292.36588
2001-09,2001-09-01,39.113,292.491
2001-09,2001-09-01,39.113,292.98297
2001-10,2001-10-01,39.363,286.99844
2001-10,2001-10-01,39.363,287.4034
2001-10,2001-10-01,39.113,287.57886
2001-10,2001-10-01,39.113,288.006
2001-11,2001-11-01,39.363,284.24817
2001-11,2001-11-01,39.363,284.48737
2001-11,2001-11-01,39.113,284.8327
2001-11,2001-11-01,39.113,285.07764
2001-12,2001-12-01,39.363,279.16162
2001-12,2001-12-01,39.363,279.56854
2001-12,2001-12-01,39.113,279.92868
2001-12,2001-12-01,39.113,280.34866
2002-01,2002-01-01,39.363,277.2279
2002-01,2002-01-01,39.363,277.24524
2002-01,2002-01-01,39.113,277.853
2002-01,2002-01-01,39.113,277.8313
2002-02,2002-02-01,39.363,277.49634
2002-02,2002-02-01,39.363,277.6114
2002-02,2002-02-01,39.113,278.16284
2002-02,2002-02-01,39.113,278.2504
2002-03,2002-03-01,39.363,280.43463
2002-03,2002-03-01,39.363,280.22595
2002-03,2002-03-01,39.113,281.06567
2002-03,2002-03-01,39.113,280.78714
2002-04,2002-04-01,39.363,286.89764
2002-04,2002-04-01,39.363,286.3903
2002-04,2002-04-01,39.113,287.57147
2002-04,2002-04-01,39.113,286.9403
2002-05,2002-05-01,39.363,289.97266
2002-05,2002-05-01,39.363,289.68683
2002-05,2002-05-01,39.113,290.6563
2002-05,2002-05-01,39.113,290.27615
2002-06,2002-06-01,39.363,296.23224
2002-06,2002-06-01,39.363,296.0726
2002-06,2002-06-01,39.113,296.84702
2002-06,2002-06-01,39.113,296.605
2002-07,2002-07-01,39.363,299.22174
2002-07,2002-07-01,39.363,299.09787
2002-07,2002-07-01,39.113,299.6918
2002-07,2002-07-01,39.113,299.5016
2002-08,2002-08-01,39.363,298.84558
2002-08,2002-08-01,39.363,298.82095
2002-08,2002-08-01,39.113,299.45367
2002-08,2002-08-01,39.113,299.39868
2002-09,2002-09-01,39.363,294.16
2002-09,2002-09-01,39.363,294.46118
2002-09,2002-09-01,39.113,294.6631
2002-09,2002-09-01,39.113,294.98224
2002-10,2002-10-01,39.363,286.30463
2002-10,2002-10-01,39.363,286.8802
2002-10,2002-10-01,39.113,287.12463
2002-10,2002-10-01,39.113,287.74002
2002-11,2002-11-01,39.363,280.18558
2002-11,2002-11-01,39.363,280.6567
2002-11,2002-11-01,39.113,280.8104
2002-11,2002-11-01,39.113,281.32224
2002-12,2002-12-01,39.363,274.46198
2002-12,2002-12-01,39.363,274.8294
2002-12,2002-12-01,39.113,275.1069
2002-12,2002-12-01,39.113,275.48563
2003-01,2003-01-01,39.363,271.15845
2003-01,2003-01-01,39.363,271.48557
2003-01,2003-01-01,39.113,271.94614
2003-01,2003-01-01,39.113,272.26108
2003-02,2003-02-01,39.363,272.43185
2003-02,2003-02-01,39.363,272.6847
2003-02,2003-02-01,39.113,272.92322
2003-02,2003-02-01,39.113,273.18613
2003-03,2003-03-01,39.363,279.64157
2003-03,2003-03-01,39.363,279.2318
2003-03,2003-03-01,39.113,280.15598
2003-03,2003-03-01,39.113,279.6482
2003-04,2003-04-01,39.363,284.47644
2003-04,2003-04-01,39.363,283.97333
2003-04,2003-04-01,39.113,284.95935
2003-04,2003-04-01,39.113,284.35773
2003-05,2003-05-01,39.363,288.27924
2003-05,2003-05-01,39.363,287.98367
2003-05,2003-05-01,39.113,288.7602
2003-05,2003-05-01,39.113,288.38992
2003-06,2003-06-01,39.363,293.7727
2003-06,2003-06-01,39.363,293.55054
2003-06,2003-06-01,39.113,294.25598
2003-06,2003-06-01,39.113,293.94604
2003-07,2003-07-01,39.363,297.57654
2003-07,2003-07-01,39.363,297.60608
2003-07,2003-07-01,39.113,297.97617
2003-07,2003-07-01,39.113,297.97366
2003-08,2003-08-01,39.363,297.38745
2003-08,2003-08-01,39.363,297.51117
2003-08,2003-08-01,39.113,297.88092
2003-08,2003-08-01,39.113,297.9832
2003-09,2003-09-01,39.363,292.94705
2003-09,2003-09-01,39.363,293.43082
2003-09,2003-09-01,39.113,293.56216
2003-09,2003-09-01,39.113,294.0701
2003-10,2003-10-01,39.363,285.53687
2003-10,2003-10-01,39.363,286.16977
2003-10,2003-10-01,39.113,286.26923
2003-10,2003-10-01,39.113,286.95273
2003-11,2003-11-01,39.363,283.09998
2003-11,2003-11-01,39.363,283.4827
2003-11,2003-11-01,39.113,283.72052
2003-11,2003-11-01,39.113,284.11612
2003-12,2003-12-01,39.363,275.45868
2003-12,2003-12-01,39.363,275.81873
2003-12,2003-12-01,39.113,276.1601
2003-12,2003-12-01,39.113,276.53003
2004-01,2004-01-01,39.363,270.64804
2004-01,2004-01-01,39.363,270.83157
2004-01,2004-01-01,39.113,271.53235
2004-01,2004-01-01,39.113,271.70425
2004-02,2004-02-01,39.363,274.58203
2004-02,2004-02-01,39.363,274.55258
2004-02,2004-02-01,39.113,275.08185
2004-02,2004-02-01,39.113,275.00113
2004-03,2004-03-01,39.363,280.74188
2004-03,2004-03-01,39.363,280.25677
2004-03,2004-03-01,39.113,281.2422
2004-03,2004-03-01,39.113,280.65714
2004-04,2004-04-01,39.363,285.6835
2004-04,2004-04-01,39.363,285.14243
2004-04,2004-04-01,39.113,286.1417
2004-04,2004-04-01,39.113,285.47876
2004-05,2004-05-01,39.363,293.62646
2004-05,2004-05-01,39.363,293.14157
2004-05,2004-05-01,39.113,294.16623
2004-05,2004-05-01,39.113,293.5741
2004-06,2004-06-01,39.363,294.5478
2004-06,2004-06-01,39.363,294.576
2004-06,2004-06-01,39.113,295.08716
2004-06,2004-06-01,39.113,295.0743
2004-07,2004-07-01,39.363,297.03912
2004-07,2004-07-01,39.363,297.21747
2004-07,2004-07-01,39.113,297.62872
2004-07,2004-07-01,39.113,297.7905
2004-08,2004-08-01,39.363,296.13428
2004-08,2004-08-01,39.363,296.33228
2004-08,2004-08-01,39.113,296.60553
2004-08,2004-08-01,39.113,296.7964
2004-09,2004-09-01,39.363,293.732
2004-09,2004-09-01,39.363,294.09048
2004-09,2004-09-01,39.113,294.222
2004-09,2004-09-01,39.113,294.60538
2004-10,2004-10-01,39.363,286.16104
2004-10,2004-10-01,39.363,286.71448
2004-10,2004-10-01,39.113,286.86505
2004-10,2004-10-01,39.113,287.47632
2004-11,2004-11-01,39.363,282.378
2004-11,2004-11-01,39.363,282.69788
2004-11,2004-11-01,39.113,282.99646
2004-11,2004-11-01,39.113,283.33447
2004-12,2004-12-01,39.363,276.18484
2004-12,2004-12-01,39.363,276.62814
2004-12,2004-12-01,39.113,276.92587
2004-12,2004-12-01,39.113,277.39334
2005-01,2005-01-01,39.363,273.89777
2005-01,2005-01-01,39.363,273.90015
2005-01,2005-01-01,39.113,274.61536
2005-01,2005-01-01,39.113,274.59753
2005-02,2005-02-01,39.363,275.56378
2005-02,2005-02-01,39.363,275.39893
2005-02,2005-02-01,39.113,276.04388
2005-02,2005-02-01,39.113,275.82553
2005-03,2005-03-01,39.363,277.45502
