valid_time,time,latitude,t2m
2000-01,2000-01-01,-6.882,295.27963
2000-01,2000-01-01,-6.882,294.88068
2000-01,2000-01-01,-7.132,293.79523
2000-01,2000-01-01,-7.132,293.38058
2000-02,2000-02-01,-6.882,295.52554
2000-02,2000-02-01,-6.882,295.16788
2000-02,2000-02-01,-7.132,294.06787
2000-02,2000-02-01,-7.132,293.69592
2000-03,2000-03-01,-6.882,295.74512
2000-03,2000-03-01,-6.882,295.42017
2000-03,2000-03-01,-7.132,294.07495
2000-03,2000-03-01,-7.132,293.75964
2000-04,2000-04-01,-6.882,296.05463
2000-04,2000-04-01,-6.882,295.6518
2000-04,2000-04-01,-7.132,294.39368
2000-04,2000-04-01,-7.132,293.9873
2000-05,2000-05-01,-6.882,296.4693
2000-05,2000-05-01,-6.882,296.1026
2000-05,2000-05-01,-7.132,294.87155
2000-05,2000-05-01,-7.132,294.4697
2000-06,2000-06-01,-6.882,295.79413
2000-06,2000-06-01,-6.882,295.44467
2000-06,2000-06-01,-7.132,294.2568
2000-06,2000-06-01,-7.132,293.86456
2000-07,2000-07-01,-6.882,295.76077
2000-07,2000-07-01,-6.882,295.62546
2000-07,2000-07-01,-7.132,293.9315
2000-07,2000-07-01,-7.132,293.76453
2000-08,2000-08-01,-6.882,295.552
2000-08,2000-08-01,-6.882,295.38654
2000-08,2000-08-01,-7.132,293.44714
2000-08,2000-08-01,-7.132,293.21057
2000-09,2000-09-01,-6.882,296.16003
2000-09,2000-09-01,-6.882,295.8493
2000-09,2000-09-01,-7.132,294.11377
2000-09,2000-09-01,-7.132,293.72168
2000-10,2000-10-01,-6.882,296.02502
2000-10,2000-10-01,-6.882,295.72314
2000-10,2000-10-01,-7.132,294.16693
2000-10,2000-10-01,-7.132,293.8462
2000-11,2000-11-01,-6.882,295.90778
2000-11,2000-11-01,-6.882,295.51935
2000-11,2000-11-01,-7.132,294.2998
2000-11,2000-11-01,-7.132,293.9106
2000-12,2000-12-01,-6.882,296.09546
2000-12,2000-12-01,-6.882,295.82343
2000-12,2000-12-01,-7.132,294.17627
2000-12,2000-12-01,-7.132,293.9336
2001-01,2001-01-01,-6.882,295.60242
2001-01,2001-01-01,-6.882,295.2378
2001-01,2001-01-01,-7.132,294.01645
2001-01,2001-01-01,-7.132,293.6549
2001-02,2001-02-01,-6.882,295.13272
2001-02,2001-02-01,-6.882,294.87778
2001-02,2001-02-01,-7.132,293.45844
2001-02,2001-02-01,-7.132,293.20456
2001-03,2001-03-01,-6.882,295.6031
2001-03,2001-03-01,-6.882,295.21533
2001-03,2001-03-01,-7.132,293.98602
2001-03,2001-03-01,-7.132,293.60083
2001-04,2001-04-01,-6.882,296.0343
2001-04,2001-04-01,-6.882,295.6048
2001-04,2001-04-01,-7.132,294.46716
2001-04,2001-04-01,-7.132,294.0229
2001-05,2001-05-01,-6.882,296.39032
2001-05,2001-05-01,-6.882,296.00128
2001-05,2001-05-01,-7.132,294.7307
2001-05,2001-05-01,-7.132,294.31207
2001-06,2001-06-01,-6.882,295.61536
2001-06,2001-06-01,-6.882,295.25885
2001-06,2001-06-01,-7.132,293.951
2001-06,2001-06-01,-7.132,293.5652
2001-07,2001-07-01,-6.882,295.29108
2001-07,2001-07-01,-6.882,294.82867
2001-07,2001-07-01,-7.132,293.43073
2001-07,2001-07-01,-7.132,292.9275
2001-08,2001-08-01,-6.882,295.6374
2001-08,2001-08-01,-6.882,295.2218
2001-08,2001-08-01,-7.132,293.56024
2001-08,2001-08-01,-7.132,293.07538
2001-09,2001-09-01,-6.882,296.1034
2001-09,2001-09-01,-6.882,295.636
2001-09,2001-09-01,-7.132,294.0797
2001-09,2001-09-01,-7.132,293.5664
2001-10,2001-10-01,-6.882,295.81488
2001-10,2001-10-01,-6.882,295.42627
2001-10,2001-10-01,-7.132,294.0904
2001-10,2001-10-01,-7.132,293.6938
2001-11,2001-11-01,-6.882,295.74866
2001-11,2001-11-01,-6.882,295.34137
2001-11,2001-11-01,-7.132,294.1303
2001-11,2001-11-01,-7.132,293.71906
2001-12,2001-12-01,-6.882,295.72217
2001-12,2001-12-01,-6.882,295.42267
2001-12,2001-12-01,-7.132,293.84558
2001-12,2001-12-01,-7.132,293.5888
2002-01,2002-01-01,-6.882,295.59055
2002-01,2002-01-01,-6.882,295.1684
2002-01,2002-01-01,-7.132,294.17703
2002-01,2002-01-01,-7.132,293.7423
2002-02,2002-02-01,-6.882,294.9723
2002-02,2002-02-01,-6.882,294.56793
2002-02,2002-02-01,-7.132,293.62387
2002-02,2002-02-01,-7.132,293.20267
2002-03,2002-03-01,-6.882,296.0647
2002-03,2002-03-01,-6.882,295.6181
2002-03,2002-03-01,-7.132,294.51227
2002-03,2002-03-01,-7.132,294.05304
2002-04,2002-04-01,-6.882,296.20303
2002-04,2002-04-01,-6.882,295.797
2002-04,2002-04-01,-7.132,294.71176
2002-04,2002-04-01,-7.132,294.2768
2002-05,2002-05-01,-6.882,296.5539
2002-05,2002-05-01,-6.882,296.14764
2002-05,2002-05-01,-7.132,295.02457
2002-05,2002-05-01,-7.132,294.6031
2002-06,2002-06-01,-6.882,296.04266
2002-06,2002-06-01,-6.882,295.70068
2002-06,2002-06-01,-7.132,294.17212
2002-06,2002-06-01,-7.132,293.8238
2002-07,2002-07-01,-6.882,295.65698
2002-07,2002-07-01,-6.882,295.24567
2002-07,2002-07-01,-7.132,293.81348
2002-07,2002-07-01,-7.132,293.38177
2002-08,2002-08-01,-6.882,295.3609
2002-08,2002-08-01,-6.882,294.80438
2002-08,2002-08-01,-7.132,293.287
2002-08,2002-08-01,-7.132,292.6996
2002-09,2002-09-01,-6.882,296.18347
2002-09,2002-09-01,-6.882,295.76337
2002-09,2002-09-01,-7.132,293.90802
2002-09,2002-09-01,-7.132,293.48553
2002-10,2002-10-01,-6.882,296.91772
