valid_time,time,latitude,t2m
2000-01,2000-01-01,14.006,300.58545
2000-01,2000-01-01,14.006,300.49118
2000-01,2000-01-01,14.006,300.1532
2000-01,2000-01-01,13.756,300.32343
2000-01,2000-01-01,13.756,300.47644
2000-01,2000-01-01,13.756,300.3602
2000-01,2000-01-01,13.506,299.80438
2000-01,2000-01-01,13.506,299.7956
2000-01,2000-01-01,13.506,300.14807
2000-02,2000-02-01,14.006,300.12494
2000-02,2000-02-01,14.006,300.15918
2000-02,2000-02-01,14.006,299.94568
2000-02,2000-02-01,13.756,300.10458
2000-02,2000-02-01,13.756,300.28546
2000-02,2000-02-01,13.756,300.19348
2000-02,2000-02-01,13.506,299.76538
2000-02,2000-02-01,13.506,299.80457
2000-02,2000-02-01,13.506,300.10474
2000-03,2000-03-01,14.006,302.57825
2000-03,2000-03-01,14.006,302.77045
2000-03,2000-03-01,14.006,302.51733
2000-03,2000-03-01,13.756,302.64716
2000-03,2000-03-01,13.756,302.87073
2000-03,2000-03-01,13.756,302.69162
2000-03,2000-03-01,13.506,302.06223
2000-03,2000-03-01,13.506,302.0143
2000-03,2000-03-01,13.506,302.29443
2000-04,2000-04-01,14.006,302.82047
2000-04,2000-04-01,14.006,302.7216
2000-04,2000-04-01,14.006,302.32617
2000-04,2000-04-01,13.756,302.6759
2000-04,2000-04-01,13.756,302.70715
2000-04,2000-04-01,13.756,302.44858
2000-04,2000-04-01,13.506,302.11285
2000-04,2000-04-01,13.506,301.96957
2000-04,2000-04-01,13.506,302.07556
2000-05,2000-05-01,14.006,303.15912
2000-05,2000-05-01,14.006,303.0264
2000-05,2000-05-01,14.006,302.5448
2000-05,2000-05-01,13.756,303.23364
2000-05,2000-05-01,13.756,303.25885
2000-05,2000-05-01,13.756,302.92746
2000-05,2000-05-01,13.506,302.8039
2000-05,2000-05-01,13.506,302.62885
2000-05,2000-05-01,13.506,302.63702
2000-06,2000-06-01,14.006,302.457
2000-06,2000-06-01,14.006,302.2063
2000-06,2000-06-01,14.006,301.82635
2000-06,2000-06-01,13.756,302.2863
2000-06,2000-06-01,13.756,302.3268
2000-06,2000-06-01,13.756,302.18048
2000-06,2000-06-01,13.506,301.99915
2000-06,2000-06-01,13.506,301.9402
2000-06,2000-06-01,13.506,302.00177
2000-07,2000-07-01,14.006,302.35358
2000-07,2000-07-01,14.006,302.1239
2000-07,2000-07-01,14.006,301.72644
2000-07,2000-07-01,13.756,302.2116
2000-07,2000-07-01,13.756,302.30667
2000-07,2000-07-01,13.756,302.2199
2000-07,2000-07-01,13.506,301.8623
2000-07,2000-07-01,13.506,301.84314
2000-07,2000-07-01,13.506,302.05435
2000-08,2000-08-01,14.006,302.66406
2000-08,2000-08-01,14.006,302.30417
2000-08,2000-08-01,14.006,301.7429
2000-08,2000-08-01,13.756,302.31787
2000-08,2000-08-01,13.756,302.41693
2000-08,2000-08-01,13.756,302.25024
2000-08,2000-08-01,13.506,301.92773
2000-08,2000-08-01,13.506,301.88635
2000-08,2000-08-01,13.506,302.18045
2000-09,2000-09-01,14.006,301.64117
2000-09,2000-09-01,14.006,301.50256
2000-09,2000-09-01,14.006,301.13208
2000-09,2000-09-01,13.756,301.55612
2000-09,2000-09-01,13.756,301.62158
2000-09,2000-09-01,13.756,301.42813
2000-09,2000-09-01,13.506,301.41614
2000-09,2000-09-01,13.506,301.2345
2000-09,2000-09-01,13.506,301.33496
2000-10,2000-10-01,14.006,301.36865
2000-10,2000-10-01,14.006,301.33252
2000-10,2000-10-01,14.006,301.09262
2000-10,2000-10-01,13.756,301.30374
2000-10,2000-10-01,13.756,301.39426
2000-10,2000-10-01,13.756,301.27103
2000-10,2000-10-01,13.506,301.03134
2000-10,2000-10-01,13.506,300.93564
