valid_time,time,latitude,t2m
2000-01,2000-01-01,40.13,262.30457
2000-01,2000-01-01,40.13,263.61743
2000-01,2000-01-01,40.13,264.5204
2000-01,2000-01-01,40.13,265.50012
2000-01,2000-01-01,39.88,263.3501
2000-01,2000-01-01,39.88,264.73376
2000-01,2000-01-01,39.88,266.18665
2000-01,2000-01-01,39.88,267.18933
2000-01,2000-01-01,39.63,265.18628
2000-01,2000-01-01,39.63,266.3462
2000-01,2000-01-01,39.63,267.73743
2000-01,2000-01-01,39.63,267.81165
2000-02,2000-02-01,40.13,268.48804
2000-02,2000-02-01,40.13,270.0006
2000-02,2000-02-01,40.13,271.03186
2000-02,2000-02-01,40.13,271.56934
2000-02,2000-02-01,39.88,269.4828
2000-02,2000-02-01,39.88,271.01074
2000-02,2000-02-01,39.88,271.901
2000-02,2000-02-01,39.88,272.44043
2000-02,2000-02-01,39.63,271.3899
2000-02,2000-02-01,39.63,271.90076
2000-02,2000-02-01,39.63,272.74146
2000-02,2000-02-01,39.63,272.69568
2000-03,2000-03-01,40.13,277.54858
2000-03,2000-03-01,40.13,279.2705
2000-03,2000-03-01,40.13,280.29883
2000-03,2000-03-01,40.13,280.69824
2000-03,2000-03-01,39.88,278.75073
2000-03,2000-03-01,39.88,280.48804
2000-03,2000-03-01,39.88,281.29358
2000-03,2000-03-01,39.88,281.67627
2000-03,2000-03-01,39.63,280.51306
2000-03,2000-03-01,39.63,281.30115
2000-03,2000-03-01,39.63,282.0746
2000-03,2000-03-01,39.63,282.01367
2000-04,2000-04-01,40.13,283.94763
2000-04,2000-04-01,40.13,286.31567
2000-04,2000-04-01,40.13,287.79065
2000-04,2000-04-01,40.13,288.2379
2000-04,2000-04-01,39.88,285.5
2000-04,2000-04-01,39.88,287.87415
2000-04,2000-04-01,39.88,288.8147
2000-04,2000-04-01,39.88,289.23816
2000-04,2000-04-01,39.63,287.6742
2000-04,2000-04-01,39.63,288.52808
2000-04,2000-04-01,39.63,289.43298
2000-04,2000-04-01,39.63,289.4414
2000-05,2000-05-01,40.13,290.83496
2000-05,2000-05-01,40.13,293.00684
2000-05,2000-05-01,40.13,294.31653
2000-05,2000-05-01,40.13,294.70618
2000-05,2000-05-01,39.88,291.9242
2000-05,2000-05-01,39.88,294.12146
2000-05,2000-05-01,39.88,295.0094
2000-05,2000-05-01,39.88,295.36536
2000-05,2000-05-01,39.63,293.89917
2000-05,2000-05-01,39.63,294.65063
2000-05,2000-05-01,39.63,295.50146
2000-05,2000-05-01,39.63,295.42346
2000-06,2000-06-01,40.13,296.61816
2000-06,2000-06-01,40.13,299.43652
2000-06,2000-06-01,40.13,301.1277
2000-06,2000-06-01,40.13,301.52783
2000-06,2000-06-01,39.88,297.7533
2000-06,2000-06-01,39.88,300.58923
2000-06,2000-06-01,39.88,301.594
2000-06,2000-06-01,39.88,301.95032
2000-06,2000-06-01,39.63,299.7201
2000-06,2000-06-01,39.63,300.66528
2000-06,2000-06-01,39.63,301.6306
2000-06,2000-06-01,39.63,301.57202
2000-07,2000-07-01,40.13,298.70447
2000-07,2000-07-01,40.13,300.96338
2000-07,2000-07-01,40.13,302.354
2000-07,2000-07-01,40.13,302.8153
2000-07,2000-07-01,39.88,299.59338
2000-07,2000-07-01,39.88,301.88757
2000-07,2000-07-01,39.88,302.91943
2000-07,2000-07-01,39.88,303.3308
2000-07,2000-07-01,39.63,301.1632
2000-07,2000-07-01,39.63,302.0255
2000-07,2000-07-01,39.63,303.03027
2000-07,2000-07-01,39.63,303.11743
2000-08,2000-08-01,40.13,295.58978
2000-08,2000-08-01,40.13,297.42426
2000-08,2000-08-01,40.13,298.4958
2000-08,2000-08-01,40.13,298.79504
2000-08,2000-08-01,39.88,296.4455
2000-08,2000-08-01,39.88,298.31122
2000-08,2000-08-01,39.88,299.15356
2000-08,2000-08-01,39.88,299.41205
2000-08,2000-08-01,39.63,298.14795
2000-08,2000-08-01,39.63,298.76135
2000-08,2000-08-01,39.63,299.58038
2000-08,2000-08-01,39.63,299.57373
2000-09,2000-09-01,40.13,291.02747
2000-09,2000-09-01,40.13,292.9331
2000-09,2000-09-01,40.13,293.98352
2000-09,2000-09-01,40.13,294.26868
2000-09,2000-09-01,39.88,291.96936
2000-09,2000-09-01,39.88,293.91223
2000-09,2000-09-01,39.88,294.87048
2000-09,2000-09-01,39.88,295.1034
2000-09,2000-09-01,39.63,293.81592
2000-09,2000-09-01,39.63,294.6902
2000-09,2000-09-01,39.63,295.62012
2000-09,2000-09-01,39.63,295.43665
2000-10,2000-10-01,40.13,281.9801
2000-10,2000-10-01,40.13,283.6637
2000-10,2000-10-01,40.13,284.72742
2000-10,2000-10-01,40.13,285.21643
2000-10,2000-10-01,39.88,283.01868
2000-10,2000-10-01,39.88,284.73267
2000-10,2000-10-01,39.88,285.64587
2000-10,2000-10-01,39.88,286.10315
2000-10,2000-10-01,39.63,284.70056
2000-10,2000-10-01,39.63,285.44385
2000-10,2000-10-01,39.63,286.3197
2000-10,2000-10-01,39.63,286.26917
2000-11,2000-11-01,40.13,272.58948
2000-11,2000-11-01,40.13,274.03815
2000-11,2000-11-01,40.13,274.88104
2000-11,2000-11-01,40.13,275.14618
2000-11,2000-11-01,39.88,273.5719
2000-11,2000-11-01,39.88,275.02606
2000-11,2000-11-01,39.88,275.6093
2000-11,2000-11-01,39.88,275.85132
2000-11,2000-11-01,39.63,275.16357
2000-11,2000-11-01,39.63,275.6178
2000-11,2000-11-01,39.63,276.18268
2000-11,2000-11-01,39.63,276.1557
2000-12,2000-12-01,40.13,269.08063
2000-12,2000-12-01,40.13,270.59467
2000-12,2000-12-01,40.13,271.4223
2000-12,2000-12-01,40.13,271.47015
2000-12,2000-12-01,39.88,270.14874
2000-12,2000-12-01,39.88,271.65533
2000-12,2000-12-01,39.88,272.1183
2000-12,2000-12-01,39.88,272.13055
2000-12,2000-12-01,39.63,271.8833
2000-12,2000-12-01,39.63,272.11066
2000-12,2000-12-01,39.63,272.56842
2000-12,2000-12-01,39.63,272.5232
2001-01,2001-01-01,40.13,263.9447
2001-01,2001-01-01,40.13,265.95593
2001-01,2001-01-01,40.13,267.11877
2001-01,2001-01-01,40.13,267.3822
2001-01,2001-01-01,39.88,265.42102
2001-01,2001-01-01,39.88,267.44507
2001-01,2001-01-01,39.88,268.02637
2001-01,2001-01-01,39.88,268.23816
2001-01,2001-01-01,39.63,267.5244
2001-01,2001-01-01,39.63,268.0548
2001-01,2001-01-01,39.63,268.60828
2001-01,2001-01-01,39.63,268.50427
2001-02,2001-02-01,40.13,268.83392
2001-02,2001-02-01,40.13,270.44476
2001-02,2001-02-01,40.13,271.4414
2001-02,2001-02-01,40.13,271.82806
2001-02,2001-02-01,39.88,269.89557
2001-02,2001-02-01,39.88,271.54596
2001-02,2001-02-01,39.88,272.25494
2001-02,2001-02-01,39.88,272.609
2001-02,2001-02-01,39.63,271.52606
2001-02,2001-02-01,39.63,272.13165
