valid_time,time,latitude,t2m
2000-01,2000-01-01,-19.803,295.96536
2000-01,2000-01-01,-19.803,295.74335
2000-01,2000-01-01,-20.053,295.5148
2000-01,2000-01-01,-20.053,294.90085
2000-02,2000-02-01,-19.803,296.16443
2000-02,2000-02-01,-19.803,295.9444
2000-02,2000-02-01,-20.053,295.63812
2000-02,2000-02-01,-20.053,295.05997
2000-03,2000-03-01,-19.803,295.6066
2000-03,2000-03-01,-19.803,295.38712
2000-03,2000-03-01,-20.053,295.06384
2000-03,2000-03-01,-20.053,294.4506
2000-04,2000-04-01,-19.803,294.28497
2000-04,2000-04-01,-19.803,294.10165
2000-04,2000-04-01,-20.053,293.66528
2000-04,2000-04-01,-20.053,293.0809
2000-05,2000-05-01,-19.803,292.3762
2000-05,2000-05-01,-19.803,292.18204
2000-05,2000-05-01,-20.053,291.65204
2000-05,2000-05-01,-20.053,291.09567
2000-06,2000-06-01,-19.803,291.26233
2000-06,2000-06-01,-19.803,290.96176
2000-06,2000-06-01,-20.053,290.4959
2000-06,2000-06-01,-20.053,289.84894
2000-07,2000-07-01,-19.803,290.8173
2000-07,2000-07-01,-19.803,290.5126
2000-07,2000-07-01,-20.053,290.14175
2000-07,2000-07-01,-20.053,289.47495
2000-08,2000-08-01,-19.803,292.9878
2000-08,2000-08-01,-19.803,292.56152
2000-08,2000-08-01,-20.053,292.24948
2000-08,2000-08-01,-20.053,291.38483
2000-09,2000-09-01,-19.803,292.96985
2000-09,2000-09-01,-19.803,292.59183
2000-09,2000-09-01,-20.053,292.31473
2000-09,2000-09-01,-20.053,291.54602
2000-10,2000-10-01,-19.803,297.17163
2000-10,2000-10-01,-19.803,296.759
2000-10,2000-10-01,-20.053,296.37103
2000-10,2000-10-01,-20.053,295.56705
2000-11,2000-11-01,-19.803,294.89825
2000-11,2000-11-01,-19.803,294.67706
2000-11,2000-11-01,-20.053,294.45312
2000-11,2000-11-01,-20.053,293.87045
2000-12,2000-12-01,-19.803,296.25897
2000-12,2000-12-01,-19.803,296.038
2000-12,2000-12-01,-20.053,295.83856
2000-12,2000-12-01,-20.053,295.24774
2001-01,2001-01-01,-19.803,296.69162
2001-01,2001-01-01,-19.803,296.52472
2001-01,2001-01-01,-20.053,296.15652
2001-01,2001-01-01,-20.053,295.53586
2001-02,2001-02-01,-19.803,298.4688
2001-02,2001-02-01,-19.803,298.42337
2001-02,2001-02-01,-20.053,297.71298
2001-02,2001-02-01,-20.053,297.07114
2001-03,2001-03-01,-19.803,296.74225
2001-03,2001-03-01,-19.803,296.74524
2001-03,2001-03-01,-20.053,296.08646
2001-03,2001-03-01,-20.053,295.49835
2001-04,2001-04-01,-19.803,296.8547
2001-04,2001-04-01,-19.803,296.6224
2001-04,2001-04-01,-20.053,295.93423
2001-04,2001-04-01,-20.053,295.15027
2001-05,2001-05-01,-19.803,293.61923
2001-05,2001-05-01,-19.803,293.56808
2001-05,2001-05-01,-20.053,292.77887
2001-05,2001-05-01,-20.053,292.27908
2001-06,2001-06-01,-19.803,293.02515
2001-06,2001-06-01,-19.803,292.77365
2001-06,2001-06-01,-20.053,292.00662
2001-06,2001-06-01,-20.053,291.32123
2001-07,2001-07-01,-19.803,292.50192
2001-07,2001-07-01,-19.803,292.2721
2001-07,2001-07-01,-20.053,291.5879
2001-07,2001-07-01,-20.053,290.8759
2001-08,2001-08-01,-19.803,292.94742
2001-08,2001-08-01,-19.803,292.6187
2001-08,2001-08-01,-20.053,292.14
2001-08,2001-08-01,-20.053,291.2698
2001-09,2001-09-01,-19.803,294.0155
2001-09,2001-09-01,-19.803,293.8137
2001-09,2001-09-01,-20.053,293.19965
2001-09,2001-09-01,-20.053,292.45944
2001-10,2001-10-01,-19.803,294.69128
2001-10,2001-10-01,-19.803,294.43997
2001-10,2001-10-01,-20.053,294.1042
2001-10,2001-10-01,-20.053,293.46274
2001-11,2001-11-01,-19.803,295.71854
2001-11,2001-11-01,-19.803,295.5075
2001-11,2001-11-01,-20.053,295.25253
2001-11,2001-11-01,-20.053,294.65878
2001-12,2001-12-01,-19.803,295.1863
2001-12,2001-12-01,-19.803,295.00943
2001-12,2001-12-01,-20.053,294.7272
2001-12,2001-12-01,-20.053,294.17508
2002-01,2002-01-01,-19.803,296.58405
2002-01,2002-01-01,-19.803,296.3486
2002-01,2002-01-01,-20.053,296.16614
2002-01,2002-01-01,-20.053,295.58545
2002-02,2002-02-01,-19.803,295.45282
2002-02,2002-02-01,-19.803,295.2845
2002-02,2002-02-01,-20.053,294.9897
2002-02,2002-02-01,-20.053,294.46573
2002-03,2002-03-01,-19.803,296.40103
2002-03,2002-03-01,-19.803,296.1035
2002-03,2002-03-01,-20.053,295.8911
2002-03,2002-03-01,-20.053,295.20618
2002-04,2002-04-01,-19.803,296.42917
2002-04,2002-04-01,-19.803,296.05472
2002-04,2002-04-01,-20.053,295.87335
2002-04,2002-04-01,-20.053,295.018
2002-05,2002-05-01,-19.803,294.00803
2002-05,2002-05-01,-19.803,293.73572
2002-05,2002-05-01,-20.053,293.45682
2002-05,2002-05-01,-20.053,292.69525
2002-06,2002-06-01,-19.803,292.72
2002-06,2002-06-01,-19.803,292.37024
2002-06,2002-06-01,-20.053,292.131
2002-06,2002-06-01,-20.053,291.34702
2002-07,2002-07-01,-19.803,292.56577
2002-07,2002-07-01,-19.803,292.254
2002-07,2002-07-01,-20.053,291.7944
2002-07,2002-07-01,-20.053,291.09906
2002-08,2002-08-01,-19.803,294.6323
2002-08,2002-08-01,-19.803,294.20456
2002-08,2002-08-01,-20.053,293.82587
2002-08,2002-08-01,-20.053,292.9169
2002-09,2002-09-01,-19.803,294.1552
2002-09,2002-09-01,-19.803,293.7712
2002-09,2002-09-01,-20.053,293.40634
2002-09,2002-09-01,-20.053,292.59622
2002-10,2002-10-01,-19.803,297.92432
2002-10,2002-10-01,-19.803,297.48798
2002-10,2002-10-01,-20.053,297.15247
2002-10,2002-10-01,-20.053,296.22406
2002-11,2002-11-01,-19.803,296.1884
2002-11,2002-11-01,-19.803,296.02332
2002-11,2002-11-01,-20.053,295.65076
2002-11,2002-11-01,-20.053,295.01297
2002-12,2002-12-01,-19.803,296.53406
2002-12,2002-12-01,-19.803,296.43427
2002-12,2002-12-01,-20.053,296.02094
2002-12,2002-12-01,-20.053,295.4217
2003-01,2003-01-01,-19.803,295.99066
2003-01,2003-01-01,-19.803,295.79956
2003-01,2003-01-01,-20.053,295.60822
2003-01,2003-01-01,-20.053,295.07104
2003-02,2003-02-01,-19.803,297.4957
2003-02,2003-02-01,-19.803,297.09808
2003-02,2003-02-01,-20.053,296.99353
2003-02,2003-02-01,-20.053,296.255
2003-03,2003-03-01,-19.803,295.79175
2003-03,2003-03-01,-19.803,295.52945
2003-03,2003-03-01,-20.053,295.23178
2003-03,2003-03-01,-20.053,294.60687
2003-04,2003-04-01,-19.803,295.11383
2003-04,2003-04-01,-19.803,294.9139
2003-04,2003-04-01,-20.053,294.55966
2003-04,2003-04-01,-20.053,293.95804
2003-05,2003-05-01,-19.803,292.12714
2003-05,2003-05-01,-19.803,292.0605
2003-05,2003-05-01,-20.053,291.49854
2003-05,2003-05-01,-20.053,291.0121
2003-06,2003-06-01,-19.803,292.46057
2003-06,2003-06-01,-19.803,292.2285
2003-06,2003-06-01,-20.053,291.929
2003-06,2003-06-01,-20.053,291.32315
2003-07,2003-07-01,-19.803,291.2443
2003-07,2003-07-01,-19.803,290.95477
2003-07,2003-07-01,-20.053,290.59167
2003-07,2003-07-01,-20.053,289.9611
2003-08,2003-08-01,-19.803,292.8654
2003-08,2003-08-01,-19.803,292.49677
2003-08,2003-08-01,-20.053,291.9729
2003-08,2003-08-01,-20.053,291.18713
2003-09,2003-09-01,-19.803,294.58435
2003-09,2003-09-01,-19.803,294.239
2003-09,2003-09-01,-20.053,293.82574
2003-09,2003-09-01,-20.053,292.99396
2003-10,2003-10-01,-19.803,295.88867
2003-10,2003-10-01,-19.803,295.52042
2003-10,2003-10-01,-20.053,295.03107
2003-10,2003-10-01,-20.053,294.28702
2003-11,2003-11-01,-19.803,296.0382
2003-11,2003-11-01,-19.803,295.75516
2003-11,2003-11-01,-20.053,295.4414
2003-11,2003-11-01,-20.053,294.82492
2003-12,2003-12-01,-19.803,296.28226
2003-12,2003-12-01,-19.803,296.12045
2003-12,2003-12-01,-20.053,295.78586
2003-12,2003-12-01,-20.053,295.25125
2004-01,2004-01-01,-19.803,295.64
2004-01,2004-01-01,-19.803,295.43378
2004-01,2004-01-01,-20.053,295.1697
2004-01,2004-01-01,-20.053,294.5968
2004-02,2004-02-01,-19.803,295.08173
2004-02,2004-02-01,-19.803,294.93118
2004-02,2004-02-01,-20.053,294.66632
2004-02,2004-02-01,-20.053,294.15204
2004-03,2004-03-01,-19.803,295.02133
2004-03,2004-03-01,-19.803,294.8064
2004-03,2004-03-01,-20.053,294.5625
2004-03,2004-03-01,-20.053,293.9906
2004-04,2004-04-01,-19.803,294.4549
2004-04,2004-04-01,-19.803,294.27612
2004-04,2004-04-01,-20.053,294.00708
2004-04,2004-04-01,-20.053,293.4404
