valid_time,time,latitude,t2m
2000-01,2000-01-01,13.111,294.93903
2000-01,2000-01-01,13.111,294.48395
2000-01,2000-01-01,12.861,295.18097
2000-01,2000-01-01,12.861,294.69763
2000-02,2000-02-01,13.111,296.5437
2000-02,2000-02-01,13.111,296.21063
2000-02,2000-02-01,12.861,296.75726
2000-02,2000-02-01,12.861,296.38815
2000-03,2000-03-01,13.111,298.53314
2000-03,2000-03-01,13.111,298.3236
2000-03,2000-03-01,12.861,298.82434
2000-03,2000-03-01,12.861,298.59045
2000-04,2000-04-01,13.111,299.77127
2000-04,2000-04-01,13.111,299.64676
2000-04,2000-04-01,12.861,299.7425
2000-04,2000-04-01,12.861,299.57755
2000-05,2000-05-01,13.111,298.67435
2000-05,2000-05-01,13.111,298.50626
2000-05,2000-05-01,12.861,298.73868
2000-05,2000-05-01,12.861,298.52502
2000-06,2000-06-01,13.111,296.2927
2000-06,2000-06-01,13.111,296.15793
2000-06,2000-06-01,12.861,296.52496
2000-06,2000-06-01,12.861,296.35327
2000-07,2000-07-01,13.111,296.01617
2000-07,2000-07-01,13.111,295.92935
2000-07,2000-07-01,12.861,296.33762
2000-07,2000-07-01,12.861,296.21198
2000-08,2000-08-01,13.111,295.71887
2000-08,2000-08-01,13.111,295.54663
2000-08,2000-08-01,12.861,295.92902
2000-08,2000-08-01,12.861,295.72134
2000-09,2000-09-01,13.111,296.3203
2000-09,2000-09-01,13.111,296.19785
2000-09,2000-09-01,12.861,296.51123
2000-09,2000-09-01,12.861,296.35535
2000-10,2000-10-01,13.111,295.6297
2000-10,2000-10-01,13.111,295.45657
2000-10,2000-10-01,12.861,295.82605
2000-10,2000-10-01,12.861,295.63034
2000-11,2000-11-01,13.111,294.96103
2000-11,2000-11-01,13.111,294.55664
2000-11,2000-11-01,12.861,295.23914
2000-11,2000-11-01,12.861,294.82
2000-12,2000-12-01,13.111,293.15372
2000-12,2000-12-01,13.111,292.64575
2000-12,2000-12-01,12.861,293.5523
2000-12,2000-12-01,12.861,293.02972
2001-01,2001-01-01,13.111,294.93353
2001-01,2001-01-01,13.111,294.385
2001-01,2001-01-01,12.861,295.25787
2001-01,2001-01-01,12.861,294.67865
2001-02,2001-02-01,13.111,297.80313
2001-02,2001-02-01,13.111,297.36496
2001-02,2001-02-01,12.861,298.0629
2001-02,2001-02-01,12.861,297.5968
2001-03,2001-03-01,13.111,299.1743
2001-03,2001-03-01,13.111,298.91687
2001-03,2001-03-01,12.861,299.35568
2001-03,2001-03-01,12.861,299.05692
2001-04,2001-04-01,13.111,299.12076
2001-04,2001-04-01,13.111,298.8537
2001-04,2001-04-01,12.861,299.25076
2001-04,2001-04-01,12.861,298.94293
2001-05,2001-05-01,13.111,299.6268
2001-05,2001-05-01,13.111,299.56256
2001-05,2001-05-01,12.861,299.73175
2001-05,2001-05-01,12.861,299.61996
2001-06,2001-06-01,13.111,297.1356
2001-06,2001-06-01,13.111,297.0691
2001-06,2001-06-01,12.861,297.24548
2001-06,2001-06-01,12.861,297.1444
2001-07,2001-07-01,13.111,296.29416
2001-07,2001-07-01,13.111,296.2492
2001-07,2001-07-01,12.861,296.53613
2001-07,2001-07-01,12.861,296.45532
2001-08,2001-08-01,13.111,295.98016
2001-08,2001-08-01,13.111,295.83517
2001-08,2001-08-01,12.861,296.23044
2001-08,2001-08-01,12.861,296.04965
2001-09,2001-09-01,13.111,296.50812
2001-09,2001-09-01,13.111,296.33896
2001-09,2001-09-01,12.861,296.78223
2001-09,2001-09-01,12.861,296.58386
2001-10,2001-10-01,13.111,295.82324
2001-10,2001-10-01,13.111,295.5509
2001-10,2001-10-01,12.861,296.07568
2001-10,2001-10-01,12.861,295.77856
2001-11,2001-11-01,13.111,295.226
2001-11,2001-11-01,13.111,294.87216
2001-11,2001-11-01,12.861,295.53568
2001-11,2001-11-01,12.861,295.1648
2001-12,2001-12-01,13.111,293.63174
2001-12,2001-12-01,13.111,293.10498
2001-12,2001-12-01,12.861,294.0053
2001-12,2001-12-01,12.861,293.45435
2002-01,2002-01-01,13.111,295.03824
2002-01,2002-01-01,13.111,294.5581
2002-01,2002-01-01,12.861,295.38245
2002-01,2002-01-01,12.861,294.85797
2002-02,2002-02-01,13.111,296.4845
2002-02,2002-02-01,13.111,295.94174
2002-02,2002-02-01,12.861,296.80542
2002-02,2002-02-01,12.861,296.2165
2002-03,2002-03-01,13.111,299.67786
2002-03,2002-03-01,13.111,299.32745
2002-03,2002-03-01,12.861,299.88422
2002-03,2002-03-01,12.861,299.48572
2002-04,2002-04-01,13.111,301.10974
2002-04,2002-04-01,13.111,301.0974
2002-04,2002-04-01,12.861,301.26086
2002-04,2002-04-01,12.861,301.19885
2002-05,2002-05-01,13.111,299.4953
2002-05,2002-05-01,13.111,299.37753
2002-05,2002-05-01,12.861,299.68915
2002-05,2002-05-01,12.861,299.52475
2002-06,2002-06-01,13.111,297.39868
2002-06,2002-06-01,13.111,297.30737
2002-06,2002-06-01,12.861,297.67346
2002-06,2002-06-01,12.861,297.54092
2002-07,2002-07-01,13.111,297.02563
2002-07,2002-07-01,13.111,296.93097
2002-07,2002-07-01,12.861,297.28354
2002-07,2002-07-01,12.861,297.14612
2002-08,2002-08-01,13.111,296.21207
2002-08,2002-08-01,13.111,296.1062
2002-08,2002-08-01,12.861,296.5211
2002-08,2002-08-01,12.861,296.3772
2002-09,2002-09-01,13.111,296.57993
2002-09,2002-09-01,13.111,296.45837
2002-09,2002-09-01,12.861,296.96512
2002-09,2002-09-01,12.861,296.80426
2002-10,2002-10-01,13.111,296.30762
2002-10,2002-10-01,13.111,296.0691
2002-10,2002-10-01,12.861,296.6339
2002-10,2002-10-01,12.861,296.3708
2002-11,2002-11-01,13.111,294.9054
2002-11,2002-11-01,13.111,294.49734
2002-11,2002-11-01,12.861,295.4058
2002-11,2002-11-01,12.861,294.98157
2002-12,2002-12-01,13.111,293.91776
2002-12,2002-12-01,13.111,293.41205
2002-12,2002-12-01,12.861,294.57285
2002-12,2002-12-01,12.861,294.04443
2003-01,2003-01-01,13.111,295.04657
2003-01,2003-01-01,13.111,294.51602
2003-01,2003-01-01,12.861,295.55627
2003-01,2003-01-01,12.861,294.99478
2003-02,2003-02-01,13.111,298.07037
2003-02,2003-02-01,13.111,297.61
2003-02,2003-02-01,12.861,298.43594
2003-02,2003-02-01,12.861,297.93604
2003-03,2003-03-01,13.111,299.40454
2003-03,2003-03-01,13.111,299.05585
2003-03,2003-03-01,12.861,299.65723
2003-03,2003-03-01,12.861,299.27325
2003-04,2003-04-01,13.111,300.63538
2003-04,2003-04-01,13.111,300.48145
2003-04,2003-04-01,12.861,300.93066
2003-04,2003-04-01,12.861,300.73865
2003-05,2003-05-01,13.111,301.57764
2003-05,2003-05-01,13.111,301.4487
2003-05,2003-05-01,12.861,301.62183
2003-05,2003-05-01,12.861,301.45465
2003-06,2003-06-01,13.111,298.56888
2003-06,2003-06-01,13.111,298.51968
2003-06,2003-06-01,12.861,298.61868
2003-06,2003-06-01,12.861,298.53232
2003-07,2003-07-01,13.111,296.59784
2003-07,2003-07-01,13.111,296.5664
2003-07,2003-07-01,12.861,296.67764
2003-07,2003-07-01,12.861,296.60934
2003-08,2003-08-01,13.111,296.4331
2003-08,2003-08-01,13.111,296.37158
2003-08,2003-08-01,12.861,296.59177
2003-08,2003-08-01,12.861,296.4949
2003-09,2003-09-01,13.111,296.7428
2003-09,2003-09-01,13.111,296.7814
2003-09,2003-09-01,12.861,296.92383
2003-09,2003-09-01,12.861,296.92966
2003-10,2003-10-01,13.111,296.33887
2003-10,2003-10-01,13.111,296.22495
2003-10,2003-10-01,12.861,296.42123
2003-10,2003-10-01,12.861,296.27676
2003-11,2003-11-01,13.111,295.19385
2003-11,2003-11-01,13.111,294.86157
2003-11,2003-11-01,12.861,295.3314
2003-11,2003-11-01,12.861,294.96918
