valid_time,time,latitude,t2m
2000-01,2000-01-01,52.627,274.63562
2000-01,2000-01-01,52.627,274.45807
2000-01,2000-01-01,52.627,274.31152
2000-01,2000-01-01,52.377,274.55276
2000-01,2000-01-01,52.377,274.54718
2000-01,2000-01-01,52.377,274.40265
2000-02,2000-02-01,52.627,277.49893
2000-02,2000-02-01,52.627,277.3349
2000-02,2000-02-01,52.627,277.19226
2000-02,2000-02-01,52.377,277.56384
2000-02,2000-02-01,52.377,277.57242
2000-02,2000-02-01,52.377,277.43182
2000-03,2000-03-01,52.627,278.55405
2000-03,2000-03-01,52.627,278.38812
2000-03,2000-03-01,52.627,278.22928
2000-03,2000-03-01,52.377,278.63574
2000-03,2000-03-01,52.377,278.6214
2000-03,2000-03-01,52.377,278.46423
2000-04,2000-04-01,52.627,284.4727
2000-04,2000-04-01,52.627,284.45795
2000-04,2000-04-01,52.627,284.4625
2000-04,2000-04-01,52.377,284.6104
2000-04,2000-04-01,52.377,284.77234
2000-04,2000-04-01,52.377,284.78
2000-05,2000-05-01,52.627,288.823
2000-05,2000-05-01,52.627,288.75323
2000-05,2000-05-01,52.627,288.6681
2000-05,2000-05-01,52.377,289.02524
2000-05,2000-05-01,52.377,289.15588
2000-05,2000-05-01,52.377,289.0734
2000-06,2000-06-01,52.627,290.96393
2000-06,2000-06-01,52.627,291.00504
2000-06,2000-06-01,52.627,290.9394
2000-06,2000-06-01,52.377,291.25754
2000-06,2000-06-01,52.377,291.4266
2000-06,2000-06-01,52.377,291.36108
2000-07,2000-07-01,52.627,289.4978
2000-07,2000-07-01,52.627,289.4555
2000-07,2000-07-01,52.627,289.3628
2000-07,2000-07-01,52.377,289.60162
2000-07,2000-07-01,52.377,289.73013
2000-07,2000-07-01,52.377,289.63855
2000-08,2000-08-01,52.627,291.3142
2000-08,2000-08-01,52.627,291.24973
2000-08,2000-08-01,52.627,291.0923
2000-08,2000-08-01,52.377,291.64984
2000-08,2000-08-01,52.377,291.8184
2000-08,2000-08-01,52.377,291.66272
2000-09,2000-09-01,52.627,287.3394
2000-09,2000-09-01,52.627,287.19818
2000-09,2000-09-01,52.627,287.00485
2000-09,2000-09-01,52.377,287.52487
2000-09,2000-09-01,52.377,287.55563
2000-09,2000-09-01,52.377,287.36304
2000-10,2000-10-01,52.627,285.0656
2000-10,2000-10-01,52.627,285.03333
2000-10,2000-10-01,52.627,284.98788
2000-10,2000-10-01,52.377,285.15363
2000-10,2000-10-01,52.377,285.2799
2000-10,2000-10-01,52.377,285.23688
2000-11,2000-11-01,52.627,279.83673
2000-11,2000-11-01,52.627,279.7474
2000-11,2000-11-01,52.627,279.65222
2000-11,2000-11-01,52.377,279.86365
2000-11,2000-11-01,52.377,279.92282
2000-11,2000-11-01,52.377,279.82947
2000-12,2000-12-01,52.627,276.0652
2000-12,2000-12-01,52.627,275.91852
2000-12,2000-12-01,52.627,275.80292
2000-12,2000-12-01,52.377,276.1425
2000-12,2000-12-01,52.377,276.15182
2000-12,2000-12-01,52.377,276.03836
2001-01,2001-01-01,52.627,273.95908
2001-01,2001-01-01,52.627,273.82568
2001-01,2001-01-01,52.627,273.71414
2001-01,2001-01-01,52.377,274.00406
2001-01,2001-01-01,52.377,274.03357
2001-01,2001-01-01,52.377,273.92422
2001-02,2001-02-01,52.627,274.80347
2001-02,2001-02-01,52.627,274.62967
2001-02,2001-02-01,52.627,274.55096
2001-02,2001-02-01,52.377,274.8505
2001-02,2001-02-01,52.377,274.87244
2001-02,2001-02-01,52.377,274.7974
2001-03,2001-03-01,52.627,276.13272
2001-03,2001-03-01,52.627,276.00137
2001-03,2001-03-01,52.627,275.93573
2001-03,2001-03-01,52.377,276.14087
2001-03,2001-03-01,52.377,276.18423
2001-03,2001-03-01,52.377,276.1216
2001-04,2001-04-01,52.627,281.11102
2001-04,2001-04-01,52.627,281.01913
2001-04,2001-04-01,52.627,280.94965
2001-04,2001-04-01,52.377,281.21323
2001-04,2001-04-01,52.377,281.2752
2001-04,2001-04-01,52.377,281.20804
2001-05,2001-05-01,52.627,287.76495
2001-05,2001-05-01,52.627,287.61267
2001-05,2001-05-01,52.627,287.51105
2001-05,2001-05-01,52.377,287.85284
2001-05,2001-05-01,52.377,287.9587
2001-05,2001-05-01,52.377,287.8614
2001-06,2001-06-01,52.627,288.02255
2001-06,2001-06-01,52.627,287.97186
2001-06,2001-06-01,52.627,287.93353
2001-06,2001-06-01,52.377,288.08905
2001-06,2001-06-01,52.377,288.2409
2001-06,2001-06-01,52.377,288.20587
2001-07,2001-07-01,52.627,292.943
2001-07,2001-07-01,52.627,292.92154
2001-07,2001-07-01,52.627,292.8567
2001-07,2001-07-01,52.377,292.95206
2001-07,2001-07-01,52.377,293.13074
2001-07,2001-07-01,52.377,293.06882
2001-08,2001-08-01,52.627,292.51318
2001-08,2001-08-01,52.627,292.4627
2001-08,2001-08-01,52.627,292.31665
2001-08,2001-08-01,52.377,292.75613
2001-08,2001-08-01,52.377,292.8224
2001-08,2001-08-01,52.377,292.6768
2001-09,2001-09-01,52.627,285.97012
2001-09,2001-09-01,52.627,285.9151
2001-09,2001-09-01,52.627,285.81793
2001-09,2001-09-01,52.377,286.03827
2001-09,2001-09-01,52.377,286.0956
2001-09,2001-09-01,52.377,285.99933
2001-10,2001-10-01,52.627,285.88983
2001-10,2001-10-01,52.627,285.80176
2001-10,2001-10-01,52.627,285.71048
2001-10,2001-10-01,52.377,285.989
2001-10,2001-10-01,52.377,286.0376
2001-10,2001-10-01,52.377,285.9481
2001-11,2001-11-01,52.627,277.43948
2001-11,2001-11-01,52.627,277.2644
2001-11,2001-11-01,52.627,277.06714
2001-11,2001-11-01,52.377,277.47992
2001-11,2001-11-01,52.377,277.41418
2001-11,2001-11-01,52.377,277.2177
2001-12,2001-12-01,52.627,273.14127
2001-12,2001-12-01,52.627,272.98047
2001-12,2001-12-01,52.627,272.82446
2001-12,2001-12-01,52.377,273.01447
2001-12,2001-12-01,52.377,272.9879
2001-12,2001-12-01,52.377,272.8335
2002-01,2002-01-01,52.627,275.27634
2002-01,2002-01-01,52.627,275.15878
2002-01,2002-01-01,52.627,275.14285
2002-01,2002-01-01,52.377,274.94147
2002-01,2002-01-01,52.377,275.14575
2002-01,2002-01-01,52.377,275.1353
2002-02,2002-02-01,52.627,278.42978
2002-02,2002-02-01,52.627,278.26514
2002-02,2002-02-01,52.627,278.14114
2002-02,2002-02-01,52.377,278.4868
2002-02,2002-02-01,52.377,278.51428
2002-02,2002-02-01,52.377,278.3933
2002-03,2002-03-01,52.627,278.61545
2002-03,2002-03-01,52.627,278.46942
2002-03,2002-03-01,52.627,278.34692
