valid_time,time,latitude,t2m
2000-01,2000-01-01,52.636,278.23746
2000-01,2000-01-01,52.636,278.21454
2000-01,2000-01-01,52.636,278.22394
2000-01,2000-01-01,52.386,278.32593
2000-01,2000-01-01,52.386,278.31677
2000-01,2000-01-01,52.386,278.24173
2000-02,2000-02-01,52.636,279.32483
2000-02,2000-02-01,52.636,279.27054
2000-02,2000-02-01,52.636,279.25583
2000-02,2000-02-01,52.386,279.4992
2000-02,2000-02-01,52.386,279.48602
2000-02,2000-02-01,52.386,279.41095
2000-03,2000-03-01,52.636,280.35175
2000-03,2000-03-01,52.636,280.34894
2000-03,2000-03-01,52.636,280.3668
2000-03,2000-03-01,52.386,280.53857
2000-03,2000-03-01,52.386,280.55792
2000-03,2000-03-01,52.386,280.49045
2000-04,2000-04-01,52.636,280.56085
2000-04,2000-04-01,52.636,280.58755
2000-04,2000-04-01,52.636,280.65158
2000-04,2000-04-01,52.386,280.7243
2000-04,2000-04-01,52.386,280.8044
2000-04,2000-04-01,52.386,280.80737
2000-05,2000-05-01,52.636,284.83502
2000-05,2000-05-01,52.636,284.8034
2000-05,2000-05-01,52.636,284.80872
2000-05,2000-05-01,52.386,285.00217
2000-05,2000-05-01,52.386,285.04596
2000-05,2000-05-01,52.386,285.0377
2000-06,2000-06-01,52.636,288.11475
2000-06,2000-06-01,52.636,288.12213
2000-06,2000-06-01,52.636,288.15524
2000-06,2000-06-01,52.386,288.34958
2000-06,2000-06-01,52.386,288.41504
2000-06,2000-06-01,52.386,288.40445
2000-07,2000-07-01,52.636,288.23013
2000-07,2000-07-01,52.636,288.18463
2000-07,2000-07-01,52.636,288.1707
2000-07,2000-07-01,52.386,288.54337
2000-07,2000-07-01,52.386,288.54
2000-07,2000-07-01,52.386,288.46753
2000-08,2000-08-01,52.636,289.32318
2000-08,2000-08-01,52.636,289.3846
2000-08,2000-08-01,52.636,289.48358
2000-08,2000-08-01,52.386,289.63092
2000-08,2000-08-01,52.386,289.74048
2000-08,2000-08-01,52.386,289.77216
2000-09,2000-09-01,52.636,287.51117
2000-09,2000-09-01,52.636,287.51038
2000-09,2000-09-01,52.636,287.57343
2000-09,2000-09-01,52.386,287.74136
2000-09,2000-09-01,52.386,287.79398
2000-09,2000-09-01,52.386,287.7916
2000-10,2000-10-01,52.636,283.20914
2000-10,2000-10-01,52.636,283.21606
2000-10,2000-10-01,52.636,283.27002
2000-10,2000-10-01,52.386,283.43695
2000-10,2000-10-01,52.386,283.4759
2000-10,2000-10-01,52.386,283.44016
2000-11,2000-11-01,52.636,280.08847
2000-11,2000-11-01,52.636,280.07977
2000-11,2000-11-01,52.636,280.11945
2000-11,2000-11-01,52.386,280.24573
2000-11,2000-11-01,52.386,280.27625
2000-11,2000-11-01,52.386,280.23273
2000-12,2000-12-01,52.636,278.61304
2000-12,2000-12-01,52.636,278.52362
2000-12,2000-12-01,52.636,278.49173
2000-12,2000-12-01,52.386,278.82733
2000-12,2000-12-01,52.386,278.77582
2000-12,2000-12-01,52.386,278.66763
2001-01,2001-01-01,52.636,276.34772
2001-01,2001-01-01,52.636,276.26923
2001-01,2001-01-01,52.636,276.23444
2001-01,2001-01-01,52.386,276.5305
2001-01,2001-01-01,52.386,276.48856
2001-01,2001-01-01,52.386,276.39627
2001-02,2001-02-01,52.636,277.38843
2001-02,2001-02-01,52.636,277.37582
2001-02,2001-02-01,52.636,277.39673
2001-02,2001-02-01,52.386,277.64062
2001-02,2001-02-01,52.386,277.64966
2001-02,2001-02-01,52.386,277.60052
2001-03,2001-03-01,52.636,278.08524
2001-03,2001-03-01,52.636,278.0396
2001-03,2001-03-01,52.636,278.03955
2001-03,2001-03-01,52.386,278.3051
2001-03,2001-03-01,52.386,278.31714
2001-03,2001-03-01,52.386,278.26627
2001-04,2001-04-01,52.636,280.52405
2001-04,2001-04-01,52.636,280.5221
2001-04,2001-04-01,52.636,280.5524
2001-04,2001-04-01,52.386,280.7874
2001-04,2001-04-01,52.386,280.83014
2001-04,2001-04-01,52.386,280.78662
2001-05,2001-05-01,52.636,285.60236
2001-05,2001-05-01,52.636,285.549
2001-05,2001-05-01,52.636,285.52298
2001-05,2001-05-01,52.386,285.71774
2001-05,2001-05-01,52.386,285.73807
2001-05,2001-05-01,52.386,285.69366
2001-06,2001-06-01,52.636,287.25793
2001-06,2001-06-01,52.636,287.25226
2001-06,2001-06-01,52.636,287.27655
2001-06,2001-06-01,52.386,287.50504
2001-06,2001-06-01,52.386,287.54437
2001-06,2001-06-01,52.386,287.49338
2001-07,2001-07-01,52.636,290.0279
2001-07,2001-07-01,52.636,290.09247
2001-07,2001-07-01,52.636,290.18875
2001-07,2001-07-01,52.386,290.30075
2001-07,2001-07-01,52.386,290.4118
2001-07,2001-07-01,52.386,290.44418
2001-08,2001-08-01,52.636,289.57938
2001-08,2001-08-01,52.636,289.67703
2001-08,2001-08-01,52.636,289.8046
2001-08,2001-08-01,52.386,289.87045
2001-08,2001-08-01,52.386,289.9989
2001-08,2001-08-01,52.386,290.02606
2001-09,2001-09-01,52.636,286.31357
2001-09,2001-09-01,52.636,286.28876
2001-09,2001-09-01,52.636,286.30432
2001-09,2001-09-01,52.386,286.65607
