valid_time,time,latitude,t2m
2000-01,2000-01-01,4.725,287.60776
2000-01,2000-01-01,4.725,286.45847
2000-01,2000-01-01,4.475,287.00122
2000-01,2000-01-01,4.475,285.88242
2000-02,2000-02-01,4.725,287.62463
2000-02,2000-02-01,4.725,286.50525
2000-02,2000-02-01,4.475,286.9688
2000-02,2000-02-01,4.475,285.59473
2000-03,2000-03-01,4.725,288.09332
2000-03,2000-03-01,4.725,286.4203
2000-03,2000-03-01,4.475,287.49884
2000-03,2000-03-01,4.475,285.8828
2000-04,2000-04-01,4.725,288.40344
2000-04,2000-04-01,4.725,286.43286
2000-04,2000-04-01,4.475,287.727
2000-04,2000-04-01,4.475,285.8003
2000-05,2000-05-01,4.725,288.66382
2000-05,2000-05-01,4.725,286.5396
2000-05,2000-05-01,4.475,287.97815
2000-05,2000-05-01,4.475,285.9607
2000-06,2000-06-01,4.725,288.93073
2000-06,2000-06-01,4.725,286.44427
2000-06,2000-06-01,4.475,288.28168
2000-06,2000-06-01,4.475,285.76703
2000-07,2000-07-01,4.725,288.99628
2000-07,2000-07-01,4.725,286.13947
2000-07,2000-07-01,4.475,288.29358
2000-07,2000-07-01,4.475,285.4073
2000-08,2000-08-01,4.725,289.7516
2000-08,2000-08-01,4.725,286.4254
2000-08,2000-08-01,4.475,289.21057
2000-08,2000-08-01,4.475,285.8396
2000-09,2000-09-01,4.725,288.2583
2000-09,2000-09-01,4.725,286.55908
2000-09,2000-09-01,4.475,287.89838
2000-09,2000-09-01,4.475,286.0686
2000-10,2000-10-01,4.725,288.88043
2000-10,2000-10-01,4.725,286.7035
2000-10,2000-10-01,4.475,288.55408
2000-10,2000-10-01,4.475,286.2171
2000-11,2000-11-01,4.725,288.16864
2000-11,2000-11-01,4.725,286.28375
2000-11,2000-11-01,4.475,287.59796
2000-11,2000-11-01,4.475,286.06763
2000-12,2000-12-01,4.725,288.2027
2000-12,2000-12-01,4.725,286.5528
2000-12,2000-12-01,4.475,287.78363
2000-12,2000-12-01,4.475,285.90533
2001-01,2001-01-01,4.725,287.68616
2001-01,2001-01-01,4.725,286.3988
2001-01,2001-01-01,4.475,287.3401
2001-01,2001-01-01,4.475,285.5193
2001-02,2001-02-01,4.725,288.508
2001-02,2001-02-01,4.725,286.4926
2001-02,2001-02-01,4.475,288.04218
2001-02,2001-02-01,4.475,285.68634
