valid_time,time,latitude,t2m
2000-01,2000-01-01,24.988,290.54022
2000-01,2000-01-01,24.738,290.6879
2000-02,2000-02-01,24.988,291.84122
2000-02,2000-02-01,24.738,291.9492
2000-03,2000-03-01,24.988,297.07782
2000-03,2000-03-01,24.738,296.9142
2000-04,2000-04-01,24.988,299.29633
2000-04,2000-04-01,24.738,299.53372
2000-05,2000-05-01,24.988,300.53708
2000-05,2000-05-01,24.738,300.79272
2000-06,2000-06-01,24.988,301.76862
2000-06,2000-06-01,24.738,301.9175
2000-07,2000-07-01,24.988,302.15564
2000-07,2000-07-01,24.738,302.1966
2000-08,2000-08-01,24.988,302.0702
2000-08,2000-08-01,24.738,302.20093
2000-09,2000-09-01,24.988,300.63278
2000-09,2000-09-01,24.738,300.74463
2000-10,2000-10-01,24.988,299.99664
2000-10,2000-10-01,24.738,300.0449
2000-11,2000-11-01,24.988,296.21515
2000-11,2000-11-01,24.738,296.25742
2000-12,2000-12-01,24.988,291.80112
2000-12,2000-12-01,24.738,291.8996
2001-01,2001-01-01,24.988,289.71936
2001-01,2001-01-01,24.738,289.78418
2001-02,2001-02-01,24.988,293.7422
2001-02,2001-02-01,24.738,293.84952
2001-03,2001-03-01,24.988,297.9227
2001-03,2001-03-01,24.738,298.0204
2001-04,2001-04-01,24.988,301.021
2001-04,2001-04-01,24.738,301.25803
2001-05,2001-05-01,24.988,300.3745
2001-05,2001-05-01,24.738,300.51062
2001-06,2001-06-01,24.988,301.31967
2001-06,2001-06-01,24.738,301.38022
2001-07,2001-07-01,24.988,302.1669
2001-07,2001-07-01,24.738,302.19363
2001-08,2001-08-01,24.988,302.46417
2001-08,2001-08-01,24.738,302.539
2001-09,2001-09-01,24.988,301.39874
2001-09,2001-09-01,24.738,301.5016
2001-10,2001-10-01,24.988,299.84308
2001-10,2001-10-01,24.738,299.9432
2001-11,2001-11-01,24.988,296.6559
2001-11,2001-11-01,24.738,296.7418
2001-12,2001-12-01,24.988,291.626
2001-12,2001-12-01,24.738,291.66412
2002-01,2002-01-01,24.988,291.3131
2002-01,2002-01-01,24.738,291.42825
2002-02,2002-02-01,24.988,294.16663
2002-02,2002-02-01,24.738,294.09796
2002-03,2002-03-01,24.988,297.7234
2002-03,2002-03-01,24.738,297.80795
2002-04,2002-04-01,24.988,298.5968
2002-04,2002-04-01,24.738,299.002
2002-05,2002-05-01,24.988,300.11084
2002-05,2002-05-01,24.738,300.27106
2002-06,2002-06-01,24.988,301.17444
2002-06,2002-06-01,24.738,301.27975
2002-07,2002-07-01,24.988,301.73755
2002-07,2002-07-01,24.738,301.95865
2002-08,2002-08-01,24.988,301.6958
2002-08,2002-08-01,24.738,301.75043
2002-09,2002-09-01,24.988,301.4065
2002-09,2002-09-01,24.738,301.47498
2002-10,2002-10-01,24.988,299.4485
2002-10,2002-10-01,24.738,299.4987
2002-11,2002-11-01,24.988,295.95044
2002-11,2002-11-01,24.738,295.94434
2002-12,2002-12-01,24.988,292.1727
2002-12,2002-12-01,24.738,292.12106
2003-01,2003-01-01,24.988,288.3782
2003-01,2003-01-01,24.738,288.43472
2003-02,2003-02-01,24.988,293.44882
2003-02,2003-02-01,24.738,293.54047
2003-03,2003-03-01,24.988,296.1727
2003-03,2003-03-01,24.738,296.24054
2003-04,2003-04-01,24.988,300.1487
2003-04,2003-04-01,24.738,300.47455
2003-05,2003-05-01,24.988,301.76584
2003-05,2003-05-01,24.738,302.07428
2003-06,2003-06-01,24.988,300.9884
2003-06,2003-06-01,24.738,301.22205
2003-07,2003-07-01,24.988,302.2608
2003-07,2003-07-01,24.738,302.3676
2003-08,2003-08-01,24.988,302.5487
2003-08,2003-08-01,24.738,302.6194
2003-09,2003-09-01,24.988,301.50375
2003-09,2003-09-01,24.738,301.58755
2003-10,2003-10-01,24.988,299.69473
2003-10,2003-10-01,24.738,299.79886
2003-11,2003-11-01,24.988,295.63556
2003-11,2003-11-01,24.738,295.7059
2003-12,2003-12-01,24.988,292.4403
2003-12,2003-12-01,24.738,292.56192
2004-01,2004-01-01,24.988,289.97314
2004-01,2004-01-01,24.738,290.09143
2004-02,2004-02-01,24.988,293.79794
2004-02,2004-02-01,24.738,293.8327
2004-03,2004-03-01,24.988,299.74484
2004-03,2004-03-01,24.738,299.78256
2004-04,2004-04-01,24.988,299.3591
2004-04,2004-04-01,24.738,299.7832
2004-05,2004-05-01,24.988,302.9157
2004-05,2004-05-01,24.738,303.21307
2004-06,2004-06-01,24.988,301.35358
2004-06,2004-06-01,24.738,301.52484
2004-07,2004-07-01,24.988,301.52942
2004-07,2004-07-01,24.738,301.70792
2004-08,2004-08-01,24.988,302.20416
2004-08,2004-08-01,24.738,302.26193
2004-09,2004-09-01,24.988,300.79846
2004-09,2004-09-01,24.738,300.8521
2004-10,2004-10-01,24.988,299.0386
2004-10,2004-10-01,24.738,299.1057
2004-11,2004-11-01,24.988,295.80478
2004-11,2004-11-01,24.738,295.8284
2004-12,2004-12-01,24.988,292.71005
2004-12,2004-12-01,24.738,292.90695
2005-01,2005-01-01,24.988,290.9277
2005-01,2005-01-01,24.738,290.92584
2005-02,2005-02-01,24.988,295.01245
2005-02,2005-02-01,24.738,295.05106
2005-03,2005-03-01,24.988,298.79224
2005-03,2005-03-01,24.738,298.89728
2005-04,2005-04-01,24.988,301.1039
2005-04,2005-04-01,24.738,301.56393
2005-05,2005-05-01,24.988,300.54004
2005-05,2005-05-01,24.738,300.99164
2005-06,2005-06-01,24.988,302.52557
2005-06,2005-06-01,24.738,302.89197
2005-07,2005-07-01,24.988,301.86328
2005-07,2005-07-01,24.738,301.9121
2005-08,2005-08-01,24.988,302.15628
2005-08,2005-08-01,24.738,302.29236
2005-09,2005-09-01,24.988,302.14218
2005-09,2005-09-01,24.738,302.18506
2005-10,2005-10-01,24.988,299.1626
2005-10,2005-10-01,24.738,299.27722
2005-11,2005-11-01,24.988,295.71692
2005-11,2005-11-01,24.738,295.78217
2005-12,2005-12-01,24.988,292.49518
2005-12,2005-12-01,24.738,292.6867
2006-01,2006-01-01,24.988,290.7113
2006-01,2006-01-01,24.738,290.83423
2006-02,2006-02-01,24.988,296.6211
2006-02,2006-02-01,24.738,296.7239
2006-03,2006-03-01,24.988,298.85202
2006-03,2006-03-01,24.738,298.87473
2006-04,2006-04-01,24.988,300.141
2006-04,2006-04-01,24.738,300.4201
2006-05,2006-05-01,24.988,301.57877
2006-05,2006-05-01,24.738,301.6616
2006-06,2006-06-01,24.988,302.0649
2006-06,2006-06-01,24.738,302.27252
2006-07,2006-07-01,24.988,302.51645
2006-07,2006-07-01,24.738,302.52505
2006-08,2006-08-01,24.988,302.40326
2006-08,2006-08-01,24.738,302.37466
2006-09,2006-09-01,24.988,301.43448
2006-09,2006-09-01,24.738,301.51337
2006-10,2006-10-01,24.988,300.13617
2006-10,2006-10-01,24.738,300.19904
2006-11,2006-11-01,24.988,295.62418
2006-11,2006-11-01,24.738,295.77063
2006-12,2006-12-01,24.988,292.34015
2006-12,2006-12-01,24.738,292.50473
2007-01,2007-01-01,24.988,289.87793
2007-01,2007-01-01,24.738,289.93356
2007-02,2007-02-01,24.988,293.30698
2007-02,2007-02-01,24.738,293.38385
2007-03,2007-03-01,24.988,297.228
2007-03,2007-03-01,24.738,297.0083
2007-04,2007-04-01,24.988,300.76337
2007-04,2007-04-01,24.738,301.1088
2007-05,2007-05-01,24.988,303.6971
2007-05,2007-05-01,24.738,303.78192
2007-06,2007-06-01,24.988,301.79352
2007-06,2007-06-01,24.738,301.93478
2007-07,2007-07-01,24.988,301.7836
2007-07,2007-07-01,24.738,301.86084
2007-08,2007-08-01,24.988,302.5893
2007-08,2007-08-01,24.738,302.6579
2007-09,2007-09-01,24.988,301.58182
2007-09,2007-09-01,24.738,301.63248
2007-10,2007-10-01,24.988,299.96313
2007-10,2007-10-01,24.738,299.98477
2007-11,2007-11-01,24.988,296.5388
2007-11,2007-11-01,24.738,296.52628
2007-12,2007-12-01,24.988,291.91553
2007-12,2007-12-01,24.738,291.93054
2008-01,2008-01-01,24.988,290.97504
2008-01,2008-01-01,24.738,291.07718
2008-02,2008-02-01,24.988,292.31354
2008-02,2008-02-01,24.738,292.37845
2008-03,2008-03-01,24.988,298.73682
2008-03,2008-03-01,24.738,298.92184
2008-04,2008-04-01,24.988,302.10803
2008-04,2008-04-01,24.738,302.25705
2008-05,2008-05-01,24.988,301.63873
2008-05,2008-05-01,24.738,302.0272
2008-06,2008-06-01,24.988,301.3172
2008-06,2008-06-01,24.738,301.47275
2008-07,2008-07-01,24.988,301.8766
2008-07,2008-07-01,24.738,301.95108
2008-08,2008-08-01,24.988,301.86392
2008-08,2008-08-01,24.738,301.98483
2008-09,2008-09-01,24.988,301.75925
2008-09,2008-09-01,24.738,301.8225
2008-10,2008-10-01,24.988,299.51373
2008-10,2008-10-01,24.738,299.51608
2008-11,2008-11-01,24.988,295.67953
2008-11,2008-11-01,24.738,295.77463
2008-12,2008-12-01,24.988,293.3518
2008-12,2008-12-01,24.738,293.39923
2009-01,2009-01-01,24.988,291.86307
2009-01,2009-01-01,24.738,291.88034
2009-02,2009-02-01,24.988,294.85675
2009-02,2009-02-01,24.738,294.71054
2009-03,2009-03-01,24.988,298.38104
2009-03,2009-03-01,24.738,298.34305
2009-04,2009-04-01,24.988,302.33414
2009-04,2009-04-01,24.738,302.6742
2009-05,2009-05-01,24.988,301.24948
2009-05,2009-05-01,24.738,301.59277
2009-06,2009-06-01,24.988,303.18222
2009-06,2009-06-01,24.738,303.605
2009-07,2009-07-01,24.988,302.6513
2009-07,2009-07-01,24.738,302.72214
2009-08,2009-08-01,24.988,301.98615
2009-08,2009-08-01,24.738,302.12137
2009-09,2009-09-01,24.988,302.11234
2009-09,2009-09-01,24.738,302.1764
2009-10,2009-10-01,24.988,300.0328
2009-10,2009-10-01,24.738,300.02063
2009-11,2009-11-01,24.988,296.68414
2009-11,2009-11-01,24.738,296.8239
2009-12,2009-12-01,24.988,291.83087
2009-12,2009-12-01,24.738,291.76254
2010-01,2010-01-01,24.988,289.82086
2010-01,2010-01-01,24.738,289.87555
2010-02,2010-02-01,24.988,294.1578
2010-02,2010-02-01,24.738,294.1297
2010-03,2010-03-01,24.988,300.0982
2010-03,2010-03-01,24.738,300.09332
2010-04,2010-04-01,24.988,302.6352
2010-04,2010-04-01,24.738,303.2141
2010-05,2010-05-01,24.988,301.95737
2010-05,2010-05-01,24.738,302.3126
2010-06,2010-06-01,24.988,302.00262
2010-06,2010-06-01,24.738,302.40472
2010-07,2010-07-01,24.988,302.7991
2010-07,2010-07-01,24.738,302.9144
2010-08,2010-08-01,24.988,302.76657
2010-08,2010-08-01,24.738,302.87692
2010-09,2010-09-01,24.988,301.82242
2010-09,2010-09-01,24.738,301.92548
2010-10,2010-10-01,24.988,300.46704
2010-10,2010-10-01,24.738,300.50345
2010-11,2010-11-01,24.988,297.00604
2010-11,2010-11-01,24.738,297.1421
2010-12,2010-12-01,24.988,291.82495
2010-12,2010-12-01,24.738,291.92624
2011-01,2011-01-01,24.988,289.02747
2011-01,2011-01-01,24.738,289.12057
2011-02,2011-02-01,24.988,293.98462
2011-02,2011-02-01,24.738,294.08264
2011-03,2011-03-01,24.988,298.46808
2011-03,2011-03-01,24.738,298.5444
2011-04,2011-04-01,24.988,299.68668
2011-04,2011-04-01,24.738,299.82227
2011-05,2011-05-01,24.988,300.68134
2011-05,2011-05-01,24.738,300.927
2011-06,2011-06-01,24.988,302.09207
2011-06,2011-06-01,24.738,302.18637
2011-07,2011-07-01,24.988,302.5006
2011-07,2011-07-01,24.738,302.60413
2011-08,2011-08-01,24.988,301.8428
2011-08,2011-08-01,24.738,301.83725
2011-09,2011-09-01,24.988,301.85403
2011-09,2011-09-01,24.738,301.8948
2011-10,2011-10-01,24.988,300.62445
2011-10,2011-10-01,24.738,300.6517
2011-11,2011-11-01,24.988,295.3166
2011-11,2011-11-01,24.738,295.397
2011-12,2011-12-01,24.988,291.04736
2011-12,2011-12-01,24.738,291.14584
2012-01,2012-01-01,24.988,289.88083
2012-01,2012-01-01,24.738,290.0429
2012-02,2012-02-01,24.988,293.1474
2012-02,2012-02-01,24.738,293.1759
2012-03,2012-03-01,24.988,297.9815
2012-03,2012-03-01,24.738,297.92865
2012-04,2012-04-01,24.988,300.5939
2012-04,2012-04-01,24.738,300.82703
2012-05,2012-05-01,24.988,303.11215
2012-05,2012-05-01,24.738,303.33282
2012-06,2012-06-01,24.988,303.20438
2012-06,2012-06-01,24.738,303.55646
2012-07,2012-07-01,24.988,302.31442
2012-07,2012-07-01,24.738,302.4145
2012-08,2012-08-01,24.988,302.6452
2012-08,2012-08-01,24.738,302.6663
2012-09,2012-09-01,24.988,301.89206
2012-09,2012-09-01,24.738,301.9724
2012-10,2012-10-01,24.988,299.38376
2012-10,2012-10-01,24.738,299.44397
2012-11,2012-11-01,24.988,294.57352
2012-11,2012-11-01,24.738,294.5891
2012-12,2012-12-01,24.988,290.11813
2012-12,2012-12-01,24.738,290.00784
2013-01,2013-01-01,24.988,288.84305
2013-01,2013-01-01,24.738,288.96475
2013-02,2013-02-01,24.988,293.8835
2013-02,2013-02-01,24.738,293.8982
2013-03,2013-03-01,24.988,298.63028
2013-03,2013-03-01,24.738,298.6117
2013-04,2013-04-01,24.988,300.64877
2013-04,2013-04-01,24.738,300.85376
2013-05,2013-05-01,24.988,300.3887
2013-05,2013-05-01,24.738,300.57343
2013-06,2013-06-01,24.988,303.15076
2013-06,2013-06-01,24.738,303.2263
2013-07,2013-07-01,24.988,302.7846
2013-07,2013-07-01,24.738,302.8369
2013-08,2013-08-01,24.988,301.9649
2013-08,2013-08-01,24.738,302.0321
2013-09,2013-09-01,24.988,302.2111
2013-09,2013-09-01,24.738,302.2119
2013-10,2013-10-01,24.988,299.6099
2013-10,2013-10-01,24.738,299.66815
2013-11,2013-11-01,24.988,295.07944
2013-11,2013-11-01,24.738,295.15955
2013-12,2013-12-01,24.988,291.70044
2013-12,2013-12-01,24.738,291.76468
