valid_time,time,latitude,t2m
2000-01,2000-01-01,42.407,269.19916
2000-01,2000-01-01,42.407,269.8903
2000-01,2000-01-01,42.157,269.45197
2000-01,2000-01-01,42.157,270.1772
2000-02,2000-02-01,42.407,273.03168
2000-02,2000-02-01,42.407,273.36243
2000-02,2000-02-01,42.157,273.57825
2000-02,2000-02-01,42.157,273.93042
2000-03,2000-03-01,42.407,278.6863
2000-03,2000-03-01,42.407,278.47247
2000-03,2000-03-01,42.157,278.95224
2000-03,2000-03-01,42.157,278.86652
2000-04,2000-04-01,42.407,281.3497
2000-04,2000-04-01,42.407,280.98364
2000-04,2000-04-01,42.157,281.42
2000-04,2000-04-01,42.157,281.2182
2000-05,2000-05-01,42.407,287.03058
2000-05,2000-05-01,42.407,286.26794
2000-05,2000-05-01,42.157,287.23297
2000-05,2000-05-01,42.157,286.71176
2000-06,2000-06-01,42.407,292.35416
2000-06,2000-06-01,42.407,291.55676
2000-06,2000-06-01,42.157,292.54465
2000-06,2000-06-01,42.157,292.02985
2000-07,2000-07-01,42.407,293.72827
2000-07,2000-07-01,42.407,293.15894
2000-07,2000-07-01,42.157,293.95026
2000-07,2000-07-01,42.157,293.62262
2000-08,2000-08-01,42.407,293.63116
2000-08,2000-08-01,42.407,293.39337
2000-08,2000-08-01,42.157,293.7608
2000-08,2000-08-01,42.157,293.6695
2000-09,2000-09-01,42.407,289.8246
2000-09,2000-09-01,42.407,289.80865
2000-09,2000-09-01,42.157,289.97504
2000-09,2000-09-01,42.157,290.00677
2000-10,2000-10-01,42.407,284.11368
2000-10,2000-10-01,42.407,284.30984
2000-10,2000-10-01,42.157,284.304
2000-10,2000-10-01,42.157,284.5081
2000-11,2000-11-01,42.407,278.3731
2000-11,2000-11-01,42.407,278.87558
2000-11,2000-11-01,42.157,278.4889
2000-11,2000-11-01,42.157,278.92322
2000-12,2000-12-01,42.407,270.59024
2000-12,2000-12-01,42.407,271.3644
2000-12,2000-12-01,42.157,271.01138
2000-12,2000-12-01,42.157,271.69547
2001-01,2001-01-01,42.407,270.08206
2001-01,2001-01-01,42.407,270.91956
2001-01,2001-01-01,42.157,270.7299
2001-01,2001-01-01,42.157,271.54626
2001-02,2001-02-01,42.407,272.3473
2001-02,2001-02-01,42.407,272.61493
