valid_time,time,latitude,t2m
2000-01,2000-01-01,27.384,290.21338
2000-01,2000-01-01,27.384,289.69495
2000-01,2000-01-01,27.384,289.41925
2000-01,2000-01-01,27.134,290.7592
2000-01,2000-01-01,27.134,290.39334
2000-01,2000-01-01,27.134,290.2045
2000-01,2000-01-01,26.884,291.26962
2000-01,2000-01-01,26.884,291.08508
2000-01,2000-01-01,26.884,290.99408
2000-02,2000-02-01,27.384,290.247
2000-02,2000-02-01,27.384,290.32007
2000-02,2000-02-01,27.384,290.26758
2000-02,2000-02-01,27.134,290.59872
2000-02,2000-02-01,27.134,290.54962
2000-02,2000-02-01,27.134,290.78113
2000-02,2000-02-01,26.884,290.955
2000-02,2000-02-01,26.884,290.92352
2000-02,2000-02-01,26.884,291.1715
2000-03,2000-03-01,27.384,293.91217
2000-03,2000-03-01,27.384,294.1822
2000-03,2000-03-01,27.384,294.28918
2000-03,2000-03-01,27.134,294.07233
2000-03,2000-03-01,27.134,294.15823
2000-03,2000-03-01,27.134,294.5666
2000-03,2000-03-01,26.884,294.29208
2000-03,2000-03-01,26.884,294.28314
2000-03,2000-03-01,26.884,294.57532
2000-04,2000-04-01,27.384,294.6263
2000-04,2000-04-01,27.384,294.6189
2000-04,2000-04-01,27.384,294.5854
2000-04,2000-04-01,27.134,294.7868
2000-04,2000-04-01,27.134,294.75354
2000-04,2000-04-01,27.134,294.84705
2000-04,2000-04-01,26.884,295.00406
2000-04,2000-04-01,26.884,295.0094
2000-04,2000-04-01,26.884,295.09412
2000-05,2000-05-01,27.384,298.1736
2000-05,2000-05-01,27.384,298.7719
2000-05,2000-05-01,27.384,299.05017
2000-05,2000-05-01,27.134,298.12653
2000-05,2000-05-01,27.134,298.35114
2000-05,2000-05-01,27.134,298.89713
2000-05,2000-05-01,26.884,298.18237
2000-05,2000-05-01,26.884,298.2015
2000-05,2000-05-01,26.884,298.557
2000-06,2000-06-01,27.384,299.97656
2000-06,2000-06-01,27.384,300.0438
2000-06,2000-06-01,27.384,299.93118
2000-06,2000-06-01,27.134,299.9708
2000-06,2000-06-01,27.134,299.98007
2000-06,2000-06-01,27.134,299.96786
2000-06,2000-06-01,26.884,299.9968
2000-06,2000-06-01,26.884,299.9743
2000-06,2000-06-01,26.884,299.96942
2000-07,2000-07-01,27.384,300.59265
2000-07,2000-07-01,27.384,300.42462
2000-07,2000-07-01,27.384,300.1433
2000-07,2000-07-01,27.134,300.59317
2000-07,2000-07-01,27.134,300.47748
2000-07,2000-07-01,27.134,300.41034
2000-07,2000-07-01,26.884,300.62137
2000-07,2000-07-01,26.884,300.54712
2000-07,2000-07-01,26.884,300.52917
2000-08,2000-08-01,27.384,300.83875
2000-08,2000-08-01,27.384,300.673
2000-08,2000-08-01,27.384,300.287
2000-08,2000-08-01,27.134,300.8747
2000-08,2000-08-01,27.134,300.7602
2000-08,2000-08-01,27.134,300.69592
2000-08,2000-08-01,26.884,300.91125
2000-08,2000-08-01,26.884,300.86227
2000-08,2000-08-01,26.884,300.86615
2000-09,2000-09-01,27.384,300.26233
2000-09,2000-09-01,27.384,300.07416
2000-09,2000-09-01,27.384,299.82275
2000-09,2000-09-01,27.134,300.39935
2000-09,2000-09-01,27.134,300.25903
2000-09,2000-09-01,27.134,300.20923
2000-09,2000-09-01,26.884,300.51294
2000-09,2000-09-01,26.884,300.47433
2000-09,2000-09-01,26.884,300.43744
2000-10,2000-10-01,27.384,296.99252
2000-10,2000-10-01,27.384,296.63058
2000-10,2000-10-01,27.384,296.02762
2000-10,2000-10-01,27.134,297.31708
2000-10,2000-10-01,27.134,297.02768
2000-10,2000-10-01,27.134,296.62915
2000-10,2000-10-01,26.884,297.60266
2000-10,2000-10-01,26.884,297.47366
2000-10,2000-10-01,26.884,297.24597
2000-11,2000-11-01,27.384,293.8199
2000-11,2000-11-01,27.384,293.02008
2000-11,2000-11-01,27.384,292.5285
2000-11,2000-11-01,27.134,294.3228
2000-11,2000-11-01,27.134,293.83734
2000-11,2000-11-01,27.134,293.35565
2000-11,2000-11-01,26.884,294.7718
2000-11,2000-11-01,26.884,294.55646
2000-11,2000-11-01,26.884,294.26263
2000-12,2000-12-01,27.384,290.35767
2000-12,2000-12-01,27.384,289.80518
2000-12,2000-12-01,27.384,289.45667
2000-12,2000-12-01,27.134,290.96814
2000-12,2000-12-01,27.134,290.641
2000-12,2000-12-01,27.134,290.3164
2000-12,2000-12-01,26.884,291.49347
2000-12,2000-12-01,26.884,291.37616
2000-12,2000-12-01,26.884,291.224
2001-01,2001-01-01,27.384,287.73773
2001-01,2001-01-01,27.384,286.91486
2001-01,2001-01-01,27.384,286.48767
2001-01,2001-01-01,27.134,288.30994
2001-01,2001-01-01,27.134,287.72333
2001-01,2001-01-01,27.134,287.22913
2001-01,2001-01-01,26.884,288.84283
2001-01,2001-01-01,26.884,288.46362
2001-01,2001-01-01,26.884,288.10034
2001-02,2001-02-01,27.384,291.89883
2001-02,2001-02-01,27.384,292.93683
2001-02,2001-02-01,27.384,293.52905
2001-02,2001-02-01,27.134,292.07428
2001-02,2001-02-01,27.134,292.57776
2001-02,2001-02-01,27.134,293.50586
2001-02,2001-02-01,26.884,292.26663
2001-02,2001-02-01,26.884,292.4198
2001-02,2001-02-01,26.884,293.1615
2001-03,2001-03-01,27.384,292.10376
2001-03,2001-03-01,27.384,292.47223
2001-03,2001-03-01,27.384,292.70343
2001-03,2001-03-01,27.134,292.2638
2001-03,2001-03-01,27.134,292.43414
2001-03,2001-03-01,27.134,292.90378
2001-03,2001-03-01,26.884,292.44818
2001-03,2001-03-01,26.884,292.51508
2001-03,2001-03-01,26.884,292.94464
2001-04,2001-04-01,27.384,294.62576
2001-04,2001-04-01,27.384,295.61874
2001-04,2001-04-01,27.384,295.83173
2001-04,2001-04-01,27.134,294.6078
2001-04,2001-04-01,27.134,295.11963
2001-04,2001-04-01,27.134,295.78394
2001-04,2001-04-01,26.884,294.67422
2001-04,2001-04-01,26.884,294.8956
2001-04,2001-04-01,26.884,295.47168
2001-05,2001-05-01,27.384,296.9977
2001-05,2001-05-01,27.384,297.68542
2001-05,2001-05-01,27.384,297.74802
2001-05,2001-05-01,27.134,296.90515
2001-05,2001-05-01,27.134,297.2204
2001-05,2001-05-01,27.134,297.6302
2001-05,2001-05-01,26.884,296.89966
2001-05,2001-05-01,26.884,296.99017
2001-05,2001-05-01,26.884,297.3269
2001-06,2001-06-01,27.384,300.16272
2001-06,2001-06-01,27.384,300.09116
2001-06,2001-06-01,27.384,299.67908
2001-06,2001-06-01,27.134,300.1798
2001-06,2001-06-01,27.134,300.18243
2001-06,2001-06-01,27.134,300.0246
2001-06,2001-06-01,26.884,300.24646
2001-06,2001-06-01,26.884,300.32928
2001-06,2001-06-01,26.884,300.32425
2001-07,2001-07-01,27.384,300.20078
2001-07,2001-07-01,27.384,300.0996
2001-07,2001-07-01,27.384,299.75458
2001-07,2001-07-01,27.134,300.21747
2001-07,2001-07-01,27.134,300.1465
2001-07,2001-07-01,27.134,299.95435
2001-07,2001-07-01,26.884,300.2622
2001-07,2001-07-01,26.884,300.23492
2001-07,2001-07-01,26.884,300.11478
2001-08,2001-08-01,27.384,300.90637
2001-08,2001-08-01,27.384,300.6576
2001-08,2001-08-01,27.384,300.07892
2001-08,2001-08-01,27.134,300.96634
2001-08,2001-08-01,27.134,300.74506
2001-08,2001-08-01,27.134,300.33118
2001-08,2001-08-01,26.884,301.05133
2001-08,2001-08-01,26.884,300.9464
2001-08,2001-08-01,26.884,300.65146
2001-09,2001-09-01,27.384,299.0507
2001-09,2001-09-01,27.384,298.66385
2001-09,2001-09-01,27.384,298.30035
2001-09,2001-09-01,27.134,299.28986
2001-09,2001-09-01,27.134,299.02884
2001-09,2001-09-01,27.134,298.66858
2001-09,2001-09-01,26.884,299.50272
2001-09,2001-09-01,26.884,299.38342
2001-09,2001-09-01,26.884,299.07184
2001-10,2001-10-01,27.384,296.82092
2001-10,2001-10-01,27.384,296.42624
2001-10,2001-10-01,27.384,296.21667
2001-10,2001-10-01,27.134,297.15802
2001-10,2001-10-01,27.134,296.83014
2001-10,2001-10-01,27.134,296.66727
2001-10,2001-10-01,26.884,297.42743
2001-10,2001-10-01,26.884,297.27942
2001-10,2001-10-01,26.884,297.11502
2001-11,2001-11-01,27.384,294.6191
2001-11,2001-11-01,27.384,294.253
2001-11,2001-11-01,27.384,293.92694
2001-11,2001-11-01,27.134,294.87634
2001-11,2001-11-01,27.134,294.5453
2001-11,2001-11-01,27.134,294.30457
2001-11,2001-11-01,26.884,295.10995
2001-11,2001-11-01,26.884,294.89423
2001-11,2001-11-01,26.884,294.70587
2001-12,2001-12-01,27.384,293.7367
