valid_time,time,latitude,t2m
2000-01,2000-01-01,24.116,291.13275
2000-01,2000-01-01,24.116,291.15546
2000-01,2000-01-01,23.866,291.15402
2000-01,2000-01-01,23.866,291.12137
2000-02,2000-02-01,24.116,292.8161
2000-02,2000-02-01,24.116,292.77676
2000-02,2000-02-01,23.866,293.12802
2000-02,2000-02-01,23.866,293.06378
2000-03,2000-03-01,24.116,296.92316
2000-03,2000-03-01,24.116,296.723
2000-03,2000-03-01,23.866,297.339
2000-03,2000-03-01,23.866,297.14563
2000-04,2000-04-01,24.116,300.01074
2000-04,2000-04-01,24.116,299.97003
2000-04,2000-04-01,23.866,300.51712
2000-04,2000-04-01,23.866,300.4531
2000-05,2000-05-01,24.116,300.7943
2000-05,2000-05-01,24.116,300.70642
2000-05,2000-05-01,23.866,300.9618
2000-05,2000-05-01,23.866,300.8279
2000-06,2000-06-01,24.116,301.5743
2000-06,2000-06-01,24.116,301.47144
2000-06,2000-06-01,23.866,301.59326
2000-06,2000-06-01,23.866,301.43115
2000-07,2000-07-01,24.116,301.78317
2000-07,2000-07-01,24.116,301.72223
2000-07,2000-07-01,23.866,301.66702
2000-07,2000-07-01,23.866,301.5459
2000-08,2000-08-01,24.116,301.58423
2000-08,2000-08-01,24.116,301.47214
2000-08,2000-08-01,23.866,301.53827
2000-08,2000-08-01,23.866,301.36963
2000-09,2000-09-01,24.116,300.90845
2000-09,2000-09-01,24.116,300.90292
2000-09,2000-09-01,23.866,300.97037
2000-09,2000-09-01,23.866,300.89713
2000-10,2000-10-01,24.116,300.19708
2000-10,2000-10-01,24.116,300.20306
2000-10,2000-10-01,23.866,300.27295
2000-10,2000-10-01,23.866,300.18442
2000-11,2000-11-01,24.116,296.53473
2000-11,2000-11-01,24.116,296.43234
2000-11,2000-11-01,23.866,296.69305
2000-11,2000-11-01,23.866,296.44635
2000-12,2000-12-01,24.116,292.32318
2000-12,2000-12-01,24.116,292.33417
2000-12,2000-12-01,23.866,292.3346
2000-12,2000-12-01,23.866,292.21783
