valid_time,time,latitude,t2m
2000-01,2000-01-01,40.247,273.2734
2000-01,2000-01-01,40.247,273.8149
2000-01,2000-01-01,39.997,273.6109
2000-01,2000-01-01,39.997,274.35175
2000-02,2000-02-01,40.247,276.1914
2000-02,2000-02-01,40.247,276.07947
2000-02,2000-02-01,39.997,276.49054
2000-02,2000-02-01,39.997,276.40536
2000-03,2000-03-01,40.247,281.39862
2000-03,2000-03-01,40.247,280.52795
2000-03,2000-03-01,39.997,281.5131
2000-03,2000-03-01,39.997,280.6134
2000-04,2000-04-01,40.247,283.57935
2000-04,2000-04-01,40.247,282.71252
2000-04,2000-04-01,39.997,283.7118
2000-04,2000-04-01,39.997,282.82526
2000-05,2000-05-01,40.247,290.3751
2000-05,2000-05-01,40.247,288.77664
2000-05,2000-05-01,39.997,290.54443
2000-05,2000-05-01,39.997,288.78476
2000-06,2000-06-01,40.247,294.98425
2000-06,2000-06-01,40.247,293.4703
2000-06,2000-06-01,39.997,295.3183
2000-06,2000-06-01,39.997,293.56464
2000-07,2000-07-01,40.247,295.79153
2000-07,2000-07-01,40.247,295.06186
2000-07,2000-07-01,39.997,296.0705
2000-07,2000-07-01,39.997,295.22864
2000-08,2000-08-01,40.247,295.7344
2000-08,2000-08-01,40.247,295.45392
2000-08,2000-08-01,39.997,295.91516
2000-08,2000-08-01,39.997,295.65918
2000-09,2000-09-01,40.247,292.1637
2000-09,2000-09-01,40.247,292.26978
2000-09,2000-09-01,39.997,292.35852
2000-09,2000-09-01,39.997,292.49597
2000-10,2000-10-01,40.247,286.85263
2000-10,2000-10-01,40.247,287.1787
2000-10,2000-10-01,39.997,287.0813
2000-10,2000-10-01,39.997,287.5304
2000-11,2000-11-01,40.247,280.43988
2000-11,2000-11-01,40.247,280.95465
2000-11,2000-11-01,39.997,280.66174
2000-11,2000-11-01,39.997,281.3156
2000-12,2000-12-01,40.247,272.91397
2000-12,2000-12-01,40.247,273.66986
2000-12,2000-12-01,39.997,273.2676
2000-12,2000-12-01,39.997,274.18707
2001-01,2001-01-01,40.247,273.34607
2001-01,2001-01-01,40.247,273.6677
2001-01,2001-01-01,39.997,273.622
2001-01,2001-01-01,39.997,274.04736
2001-02,2001-02-01,40.247,275.7831
2001-02,2001-02-01,40.247,275.59567
2001-02,2001-02-01,39.997,276.104
2001-02,2001-02-01,39.997,275.94434
2001-03,2001-03-01,40.247,277.5081
2001-03,2001-03-01,40.247,277.1945
2001-03,2001-03-01,39.997,277.8017
2001-03,2001-03-01,39.997,277.4641
2001-04,2001-04-01,40.247,284.59903
2001-04,2001-04-01,40.247,283.09232
2001-04,2001-04-01,39.997,284.60223
2001-04,2001-04-01,39.997,283.02472
2001-05,2001-05-01,40.247,290.38263
2001-05,2001-05-01,40.247,288.76538
2001-05,2001-05-01,39.997,290.60773
2001-05,2001-05-01,39.997,288.7449
2001-06,2001-06-01,40.247,296.0509
2001-06,2001-06-01,40.247,294.59988
2001-06,2001-06-01,39.997,296.32776
2001-06,2001-06-01,39.997,294.62552
2001-07,2001-07-01,40.247,296.23315
2001-07,2001-07-01,40.247,295.50134
2001-07,2001-07-01,39.997,296.35388
2001-07,2001-07-01,39.997,295.6395
2001-08,2001-08-01,40.247,298.48282
2001-08,2001-08-01,40.247,297.51303
2001-08,2001-08-01,39.997,298.59888
2001-08,2001-08-01,39.997,297.57767
2001-09,2001-09-01,40.247,292.63354
2001-09,2001-09-01,40.247,292.83255
2001-09,2001-09-01,39.997,292.9297
2001-09,2001-09-01,39.997,293.13605
2001-10,2001-10-01,40.247,287.44366
2001-10,2001-10-01,40.247,287.67032
2001-10,2001-10-01,39.997,287.66302
2001-10,2001-10-01,39.997,287.9885
2001-11,2001-11-01,40.247,284.25897
2001-11,2001-11-01,40.247,284.4823
2001-11,2001-11-01,39.997,284.59894
2001-11,2001-11-01,39.997,284.883
2001-12,2001-12-01,40.247,279.8945
2001-12,2001-12-01,40.247,280.5143
2001-12,2001-12-01,39.997,280.19373
2001-12,2001-12-01,39.997,280.96768
2002-01,2002-01-01,40.247,277.3299
2002-01,2002-01-01,40.247,277.4826
2002-01,2002-01-01,39.997,277.65704
2002-01,2002-01-01,39.997,277.84894
2002-02,2002-02-01,40.247,277.4803
2002-02,2002-02-01,40.247,277.55368
2002-02,2002-02-01,39.997,277.6875
2002-02,2002-02-01,39.997,277.81976
2002-03,2002-03-01,40.247,280.01556
2002-03,2002-03-01,40.247,279.5696
2002-03,2002-03-01,39.997,280.25266
2002-03,2002-03-01,39.997,279.75876
2002-04,2002-04-01,40.247,286.15155
2002-04,2002-04-01,40.247,284.77917
2002-04,2002-04-01,39.997,286.2669
2002-04,2002-04-01,39.997,284.75592
2002-05,2002-05-01,40.247,289.13354
2002-05,2002-05-01,40.247,287.70923
2002-05,2002-05-01,39.997,289.44504
2002-05,2002-05-01,39.997,287.85043
2002-06,2002-06-01,40.247,295.11536
2002-06,2002-06-01,40.247,293.59753
2002-06,2002-06-01,39.997,295.30957
2002-06,2002-06-01,39.997,293.61954
2002-07,2002-07-01,40.247,298.8939
2002-07,2002-07-01,40.247,297.6806
2002-07,2002-07-01,39.997,299.1255
2002-07,2002-07-01,39.997,297.73035
2002-08,2002-08-01,40.247,298.2235
2002-08,2002-08-01,40.247,297.45312
2002-08,2002-08-01,39.997,298.41028
2002-08,2002-08-01,39.997,297.5978
2002-09,2002-09-01,40.247,294.18262
2002-09,2002-09-01,40.247,294.20047
2002-09,2002-09-01,39.997,294.31647
2002-09,2002-09-01,39.997,294.42917
2002-10,2002-10-01,40.247,287.0465
2002-10,2002-10-01,40.247,287.68054
2002-10,2002-10-01,39.997,287.47025
2002-10,2002-10-01,39.997,288.22684
2002-11,2002-11-01,40.247,280.89172
2002-11,2002-11-01,40.247,281.5483
2002-11,2002-11-01,39.997,281.18912
2002-11,2002-11-01,39.997,282.04477
2002-12,2002-12-01,40.247,275.41376
2002-12,2002-12-01,40.247,276.02786
2002-12,2002-12-01,39.997,275.8196
2002-12,2002-12-01,39.997,276.618
2003-01,2003-01-01,40.247,271.2989
2003-01,2003-01-01,40.247,271.57614
2003-01,2003-01-01,39.997,271.63348
2003-01,2003-01-01,39.997,272.05566
2003-02,2003-02-01,40.247,272.1148
2003-02,2003-02-01,40.247,272.16388
2003-02,2003-02-01,39.997,272.36877
2003-02,2003-02-01,39.997,272.65656
2003-03,2003-03-01,40.247,278.85666
2003-03,2003-03-01,40.247,277.83804
2003-03,2003-03-01,39.997,279.00168
2003-03,2003-03-01,39.997,278.0553
2003-04,2003-04-01,40.247,282.4582
2003-04,2003-04-01,40.247,281.15738
2003-04,2003-04-01,39.997,282.63663
2003-04,2003-04-01,39.997,281.32568
2003-05,2003-05-01,40.247,287.19818
2003-05,2003-05-01,40.247,285.69595
2003-05,2003-05-01,39.997,287.21902
2003-05,2003-05-01,39.997,285.7158
2003-06,2003-06-01,40.247,293.16855
2003-06,2003-06-01,40.247,291.5036
2003-06,2003-06-01,39.997,293.37405
2003-06,2003-06-01,39.997,291.56708
2003-07,2003-07-01,40.247,297.7829
2003-07,2003-07-01,40.247,296.55334
2003-07,2003-07-01,39.997,297.7814
2003-07,2003-07-01,39.997,296.6223
2003-08,2003-08-01,40.247,297.64658
2003-08,2003-08-01,40.247,296.8841
2003-08,2003-08-01,39.997,297.766
2003-08,2003-08-01,39.997,296.9968
2003-09,2003-09-01,40.247,293.4833
2003-09,2003-09-01,40.247,293.4168
2003-09,2003-09-01,39.997,293.77646
2003-09,2003-09-01,39.997,293.7157
2003-10,2003-10-01,40.247,286.14246
2003-10,2003-10-01,40.247,286.77722
2003-10,2003-10-01,39.997,286.4638
2003-10,2003-10-01,39.997,287.22775
2003-11,2003-11-01,40.247,283.3028
2003-11,2003-11-01,40.247,283.7683
2003-11,2003-11-01,39.997,283.66708
2003-11,2003-11-01,39.997,284.21814
2003-12,2003-12-01,40.247,276.4878
2003-12,2003-12-01,40.247,276.89053
2003-12,2003-12-01,39.997,276.79907
2003-12,2003-12-01,39.997,277.39398
2004-01,2004-01-01,40.247,269.87317
2004-01,2004-01-01,40.247,270.2672
2004-01,2004-01-01,39.997,270.30887
2004-01,2004-01-01,39.997,270.87204
2004-02,2004-02-01,40.247,274.59253
2004-02,2004-02-01,40.247,274.3119
2004-02,2004-02-01,39.997,274.72305
