valid_time,time,latitude,t2m
2000-01,2000-01-01,41.119,271.26483
2000-01,2000-01-01,41.119,271.69238
2000-01,2000-01-01,41.119,272.0868
2000-02,2000-02-01,41.119,273.9267
2000-02,2000-02-01,41.119,274.03424
2000-02,2000-02-01,41.119,274.26794
2000-03,2000-03-01,41.119,279.56122
2000-03,2000-03-01,41.119,278.83145
2000-03,2000-03-01,41.119,278.51053
2000-04,2000-04-01,41.119,281.9765
2000-04,2000-04-01,41.119,281.43817
2000-04,2000-04-01,41.119,281.19574
2000-05,2000-05-01,41.119,288.38803
2000-05,2000-05-01,41.119,287.55618
2000-05,2000-05-01,41.119,287.04965
2000-06,2000-06-01,41.119,293.227
2000-06,2000-06-01,41.119,292.4238
2000-06,2000-06-01,41.119,291.88965
2000-07,2000-07-01,41.119,294.86926
2000-07,2000-07-01,41.119,294.5332
2000-07,2000-07-01,41.119,294.2455
2000-08,2000-08-01,41.119,294.8262
2000-08,2000-08-01,41.119,294.79163
2000-08,2000-08-01,41.119,294.76645
2000-09,2000-09-01,41.119,291.31378
2000-09,2000-09-01,41.119,291.6421
2000-09,2000-09-01,41.119,291.83453
2000-10,2000-10-01,41.119,285.84003
2000-10,2000-10-01,41.119,286.3341
2000-10,2000-10-01,41.119,286.6452
2000-11,2000-11-01,41.119,279.74026
2000-11,2000-11-01,41.119,280.34244
2000-11,2000-11-01,41.119,280.74466
2000-12,2000-12-01,41.119,272.21753
2000-12,2000-12-01,41.119,272.99387
2000-12,2000-12-01,41.119,273.54044
2001-01,2001-01-01,41.119,271.5616
2001-01,2001-01-01,41.119,272.11102
2001-01,2001-01-01,41.119,272.62872
2001-02,2001-02-01,41.119,273.6145
2001-02,2001-02-01,41.119,273.62103
2001-02,2001-02-01,41.119,273.7335
2001-03,2001-03-01,41.119,275.7035
2001-03,2001-03-01,41.119,275.64294
2001-03,2001-03-01,41.119,275.68292
2001-04,2001-04-01,41.119,282.94656
2001-04,2001-04-01,41.119,282.11124
2001-04,2001-04-01,41.119,281.6318
2001-05,2001-05-01,41.119,289.01172
2001-05,2001-05-01,41.119,288.19705
2001-05,2001-05-01,41.119,287.65616
2001-06,2001-06-01,41.119,294.70462
2001-06,2001-06-01,41.119,293.94403
2001-06,2001-06-01,41.119,293.45654
2001-07,2001-07-01,41.119,295.11987
2001-07,2001-07-01,41.119,294.71753
2001-07,2001-07-01,41.119,294.44153
2001-08,2001-08-01,41.119,297.3388
2001-08,2001-08-01,41.119,296.9215
2001-08,2001-08-01,41.119,296.6135
2001-09,2001-09-01,41.119,291.87622
2001-09,2001-09-01,41.119,292.21118
2001-09,2001-09-01,41.119,292.43652
2001-10,2001-10-01,41.119,286.51727
2001-10,2001-10-01,41.119,286.97192
2001-10,2001-10-01,41.119,287.3523
2001-11,2001-11-01,41.119,282.98456
2001-11,2001-11-01,41.119,283.37537
2001-11,2001-11-01,41.119,283.69055
2001-12,2001-12-01,41.119,278.78226
2001-12,2001-12-01,41.119,279.29694
2001-12,2001-12-01,41.119,279.70715
2002-01,2002-01-01,41.119,276.05927
2002-01,2002-01-01,41.119,276.27866
2002-01,2002-01-01,41.119,276.50397
2002-02,2002-02-01,41.119,276.22375
2002-02,2002-02-01,41.119,276.24667
2002-02,2002-02-01,41.119,276.36197
2002-03,2002-03-01,41.119,278.24127
2002-03,2002-03-01,41.119,278.02954
2002-03,2002-03-01,41.119,278.0181
2002-04,2002-04-01,41.119,284.2048
2002-04,2002-04-01,41.119,283.35724
2002-04,2002-04-01,41.119,282.9279
2002-05,2002-05-01,41.119,287.1252
2002-05,2002-05-01,41.119,286.45502
2002-05,2002-05-01,41.119,286.09326
2002-06,2002-06-01,41.119,293.51218
2002-06,2002-06-01,41.119,292.61057
2002-06,2002-06-01,41.119,291.99472
2002-07,2002-07-01,41.119,297.98526
2002-07,2002-07-01,41.119,297.21844
2002-07,2002-07-01,41.119,296.6542
2002-08,2002-08-01,41.119,297.32837
2002-08,2002-08-01,41.119,296.96887
2002-08,2002-08-01,41.119,296.72498
2002-09,2002-09-01,41.119,293.2514
2002-09,2002-09-01,41.119,293.32898
2002-09,2002-09-01,41.119,293.4096
2002-10,2002-10-01,41.119,285.67514
2002-10,2002-10-01,41.119,286.21472
2002-10,2002-10-01,41.119,286.59753
2002-11,2002-11-01,41.119,279.96475
2002-11,2002-11-01,41.119,280.59103
2002-11,2002-11-01,41.119,281.09576
2002-12,2002-12-01,41.119,274.39798
2002-12,2002-12-01,41.119,275.00604
2002-12,2002-12-01,41.119,275.46234
2003-01,2003-01-01,41.119,269.34708
2003-01,2003-01-01,41.119,269.99527
2003-01,2003-01-01,41.119,270.44846
2003-02,2003-02-01,41.119,270.3023
2003-02,2003-02-01,41.119,270.58612
2003-02,2003-02-01,41.119,270.81354
2003-03,2003-03-01,41.119,276.404
2003-03,2003-03-01,41.119,276.13858
2003-03,2003-03-01,41.119,276.09766
2003-04,2003-04-01,41.119,280.8668
2003-04,2003-04-01,41.119,280.15778
2003-04,2003-04-01,41.119,279.76584
2003-05,2003-05-01,41.119,286.5506
2003-05,2003-05-01,41.119,285.8075
2003-05,2003-05-01,41.119,285.34805
2003-06,2003-06-01,41.119,292.3374
2003-06,2003-06-01,41.119,291.59338
2003-06,2003-06-01,41.119,291.05643
2003-07,2003-07-01,41.119,296.66553
2003-07,2003-07-01,41.119,296.132
2003-07,2003-07-01,41.119,295.75635
2003-08,2003-08-01,41.119,296.9084
2003-08,2003-08-01,41.119,296.66428
2003-08,2003-08-01,41.119,296.53937
2003-09,2003-09-01,41.119,292.38428
2003-09,2003-09-01,41.119,292.64746
2003-09,2003-09-01,41.119,292.82938
2003-10,2003-10-01,41.119,285.234
2003-10,2003-10-01,41.119,285.88953
2003-10,2003-10-01,41.119,286.3617
2003-11,2003-11-01,41.119,282.02
2003-11,2003-11-01,41.119,282.48352
2003-11,2003-11-01,41.119,282.83405
