valid_time,time,latitude,t2m
2000-01,2000-01-01,47.589,270.1797
2000-01,2000-01-01,47.589,270.4303
2000-01,2000-01-01,47.339,270.8908
2000-01,2000-01-01,47.339,271.11957
2000-02,2000-02-01,47.589,276.2582
2000-02,2000-02-01,47.589,276.4056
2000-02,2000-02-01,47.339,276.70935
2000-02,2000-02-01,47.339,276.78955
2000-03,2000-03-01,47.589,278.69562
2000-03,2000-03-01,47.589,278.88904
2000-03,2000-03-01,47.339,279.19836
2000-03,2000-03-01,47.339,279.29178
2000-04,2000-04-01,47.589,286.70172
2000-04,2000-04-01,47.589,286.9953
2000-04,2000-04-01,47.339,287.1975
2000-04,2000-04-01,47.339,287.41235
2000-05,2000-05-01,47.589,290.3764
2000-05,2000-05-01,47.589,290.84857
2000-05,2000-05-01,47.339,290.86377
2000-05,2000-05-01,47.339,291.2298
2000-06,2000-06-01,47.589,293.66193
2000-06,2000-06-01,47.589,294.07544
2000-06,2000-06-01,47.339,294.2426
2000-06,2000-06-01,47.339,294.48676
2000-07,2000-07-01,47.589,292.31622
2000-07,2000-07-01,47.589,292.6658
2000-07,2000-07-01,47.339,293.10602
2000-07,2000-07-01,47.339,293.30188
2000-08,2000-08-01,47.589,295.35822
2000-08,2000-08-01,47.589,295.63544
2000-08,2000-08-01,47.339,296.12122
2000-08,2000-08-01,47.339,296.24307
2000-09,2000-09-01,47.589,288.2969
2000-09,2000-09-01,47.589,288.4721
2000-09,2000-09-01,47.339,288.77393
2000-09,2000-09-01,47.339,288.8459
2000-10,2000-10-01,47.589,286.16992
2000-10,2000-10-01,47.589,286.33304
2000-10,2000-10-01,47.339,286.5192
2000-10,2000-10-01,47.339,286.63672
2000-11,2000-11-01,47.589,280.89758
2000-11,2000-11-01,47.589,281.0515
2000-11,2000-11-01,47.339,281.42996
2000-11,2000-11-01,47.339,281.54468
2000-12,2000-12-01,47.589,274.68488
2000-12,2000-12-01,47.589,274.77875
2000-12,2000-12-01,47.339,275.12872
2000-12,2000-12-01,47.339,275.1372
2001-01,2001-01-01,47.589,273.3531
2001-01,2001-01-01,47.589,273.5099
2001-01,2001-01-01,47.339,273.77863
2001-01,2001-01-01,47.339,273.88943
2001-02,2001-02-01,47.589,275.6576
2001-02,2001-02-01,47.589,275.8678
2001-02,2001-02-01,47.339,276.26416
2001-02,2001-02-01,47.339,276.36465
2001-03,2001-03-01,47.589,280.13245
2001-03,2001-03-01,47.589,280.3446
2001-03,2001-03-01,47.339,280.89172
2001-03,2001-03-01,47.339,281.01147
2001-04,2001-04-01,47.589,283.18018
2001-04,2001-04-01,47.589,283.58746
2001-04,2001-04-01,47.339,283.55627
2001-04,2001-04-01,47.339,283.8436
2001-05,2001-05-01,47.589,290.39276
2001-05,2001-05-01,47.589,290.73138
2001-05,2001-05-01,47.339,291.00162
2001-05,2001-05-01,47.339,291.20132
2001-06,2001-06-01,47.589,290.60822
2001-06,2001-06-01,47.589,291.00177
2001-06,2001-06-01,47.339,291.16644
2001-06,2001-06-01,47.339,291.4087
2001-07,2001-07-01,47.589,294.18738
2001-07,2001-07-01,47.589,294.563
2001-07,2001-07-01,47.339,294.57217
2001-07,2001-07-01,47.339,294.78308
2001-08,2001-08-01,47.589,294.7303
2001-08,2001-08-01,47.589,295.1291
2001-08,2001-08-01,47.339,295.18542
2001-08,2001-08-01,47.339,295.4013
2001-09,2001-09-01,47.589,286.91895
2001-09,2001-09-01,47.589,287.2423
