valid_time,time,latitude,t2m
2000-01,2000-01-01,-34.445,298.16974
2000-01,2000-01-01,-34.445,298.081
2000-01,2000-01-01,-34.445,297.52487
2000-01,2000-01-01,-34.445,297.3172
2000-01,2000-01-01,-34.695,298.22455
2000-01,2000-01-01,-34.695,298.2611
2000-01,2000-01-01,-34.695,297.8462
2000-01,2000-01-01,-34.695,297.41882
2000-01,2000-01-01,-34.945,298.20233
2000-01,2000-01-01,-34.945,298.18567
2000-01,2000-01-01,-34.945,298.14673
2000-01,2000-01-01,-34.945,297.91125
2000-02,2000-02-01,-34.445,296.68353
2000-02,2000-02-01,-34.445,296.83582
2000-02,2000-02-01,-34.445,296.7981
2000-02,2000-02-01,-34.445,296.80212
2000-02,2000-02-01,-34.695,296.4915
2000-02,2000-02-01,-34.695,296.71796
2000-02,2000-02-01,-34.695,296.70908
2000-02,2000-02-01,-34.695,296.71692
2000-02,2000-02-01,-34.945,296.25412
2000-02,2000-02-01,-34.945,296.4538
2000-02,2000-02-01,-34.945,296.55362
2000-02,2000-02-01,-34.945,296.60254
2000-03,2000-03-01,-34.445,293.76584
2000-03,2000-03-01,-34.445,293.9547
2000-03,2000-03-01,-34.445,294.17584
2000-03,2000-03-01,-34.445,294.2132
2000-03,2000-03-01,-34.695,293.54767
2000-03,2000-03-01,-34.695,293.67212
2000-03,2000-03-01,-34.695,293.8333
2000-03,2000-03-01,-34.695,294.06592
2000-03,2000-03-01,-34.945,293.2964
2000-03,2000-03-01,-34.945,293.41122
2000-03,2000-03-01,-34.945,293.43152
2000-03,2000-03-01,-34.945,293.55692
2000-04,2000-04-01,-34.445,290.51254
2000-04,2000-04-01,-34.445,290.80685
2000-04,2000-04-01,-34.445,291.2828
2000-04,2000-04-01,-34.445,291.51266
2000-04,2000-04-01,-34.695,290.30875
2000-04,2000-04-01,-34.695,290.50735
2000-04,2000-04-01,-34.695,290.84622
2000-04,2000-04-01,-34.695,291.21127
2000-04,2000-04-01,-34.945,290.08527
2000-04,2000-04-01,-34.945,290.25177
2000-04,2000-04-01,-34.945,290.35446
2000-04,2000-04-01,-34.945,290.59338
2000-05,2000-05-01,-34.445,286.1725
2000-05,2000-05-01,-34.445,286.5501
2000-05,2000-05-01,-34.445,287.3472
2000-05,2000-05-01,-34.445,287.78018
2000-05,2000-05-01,-34.695,285.99408
2000-05,2000-05-01,-34.695,286.1258
2000-05,2000-05-01,-34.695,286.64514
2000-05,2000-05-01,-34.695,287.2554
2000-05,2000-05-01,-34.945,285.8121
2000-05,2000-05-01,-34.945,285.91672
2000-05,2000-05-01,-34.945,285.95776
2000-05,2000-05-01,-34.945,286.28674
2000-06,2000-06-01,-34.445,284.7489
2000-06,2000-06-01,-34.445,285.15024
2000-06,2000-06-01,-34.445,285.9344
2000-06,2000-06-01,-34.445,286.33737
2000-06,2000-06-01,-34.695,284.56427
2000-06,2000-06-01,-34.695,284.7101
2000-06,2000-06-01,-34.695,285.2107
2000-06,2000-06-01,-34.695,285.767
2000-06,2000-06-01,-34.945,284.38477
2000-06,2000-06-01,-34.945,284.50208
2000-06,2000-06-01,-34.945,284.59515
2000-06,2000-06-01,-34.945,284.919
2000-07,2000-07-01,-34.445,280.7754
2000-07,2000-07-01,-34.445,281.15228
2000-07,2000-07-01,-34.445,281.96667
2000-07,2000-07-01,-34.445,282.46698
2000-07,2000-07-01,-34.695,280.60535
2000-07,2000-07-01,-34.695,280.72968
2000-07,2000-07-01,-34.695,281.25464
2000-07,2000-07-01,-34.695,281.91437
2000-07,2000-07-01,-34.945,280.4527
2000-07,2000-07-01,-34.945,280.5714
2000-07,2000-07-01,-34.945,280.66583
2000-07,2000-07-01,-34.945,281.0542
2000-08,2000-08-01,-34.445,283.80975
2000-08,2000-08-01,-34.445,284.12015
2000-08,2000-08-01,-34.445,284.75848
2000-08,2000-08-01,-34.445,285.09128
2000-08,2000-08-01,-34.695,283.5583
2000-08,2000-08-01,-34.695,283.69165
2000-08,2000-08-01,-34.695,284.11105
2000-08,2000-08-01,-34.695,284.59955
2000-08,2000-08-01,-34.945,283.3224
2000-08,2000-08-01,-34.945,283.41455
2000-08,2000-08-01,-34.945,283.4619
2000-08,2000-08-01,-34.945,283.7305
2000-09,2000-09-01,-34.445,286.00223
2000-09,2000-09-01,-34.445,286.18948
2000-09,2000-09-01,-34.445,286.50128
2000-09,2000-09-01,-34.445,286.65878
2000-09,2000-09-01,-34.695,285.77316
2000-09,2000-09-01,-34.695,285.85916
2000-09,2000-09-01,-34.695,286.07883
2000-09,2000-09-01,-34.695,286.3117
2000-09,2000-09-01,-34.945,285.56656
2000-09,2000-09-01,-34.945,285.62128
2000-09,2000-09-01,-34.945,285.65
2000-09,2000-09-01,-34.945,285.7799
2000-10,2000-10-01,-34.445,289.38293
2000-10,2000-10-01,-34.445,289.4455
2000-10,2000-10-01,-34.445,289.52322
2000-10,2000-10-01,-34.445,289.55005
2000-10,2000-10-01,-34.695,289.09796
2000-10,2000-10-01,-34.695,289.16156
2000-10,2000-10-01,-34.695,289.25043
2000-10,2000-10-01,-34.695,289.34528
2000-10,2000-10-01,-34.945,288.82037
