valid_time,time,latitude,t2m
2000-01,2000-01-01,43.024,268.88727
2000-01,2000-01-01,43.024,268.77435
2000-01,2000-01-01,42.774,268.81744
2000-01,2000-01-01,42.774,268.3379
2000-02,2000-02-01,43.024,271.6767
2000-02,2000-02-01,43.024,272.18753
2000-02,2000-02-01,42.774,271.42365
2000-02,2000-02-01,42.774,272.04657
2000-03,2000-03-01,43.024,276.98996
2000-03,2000-03-01,43.024,277.58847
2000-03,2000-03-01,42.774,276.30566
2000-03,2000-03-01,42.774,277.3039
2000-04,2000-04-01,43.024,279.71338
2000-04,2000-04-01,43.024,280.11658
2000-04,2000-04-01,42.774,279.5596
2000-04,2000-04-01,42.774,279.95172
2000-05,2000-05-01,43.024,287.55997
2000-05,2000-05-01,43.024,287.8079
2000-05,2000-05-01,42.774,287.77588
2000-05,2000-05-01,42.774,287.54553
2000-06,2000-06-01,43.024,292.11996
2000-06,2000-06-01,43.024,291.91898
2000-06,2000-06-01,42.774,292.34894
2000-06,2000-06-01,42.774,291.6261
2000-07,2000-07-01,43.024,293.5857
2000-07,2000-07-01,43.024,293.02884
2000-07,2000-07-01,42.774,293.4994
2000-07,2000-07-01,42.774,292.41074
2000-08,2000-08-01,43.024,293.6023
2000-08,2000-08-01,43.024,293.11996
2000-08,2000-08-01,42.774,293.4008
2000-08,2000-08-01,42.774,292.4622
2000-09,2000-09-01,43.024,289.71494
2000-09,2000-09-01,43.024,289.3024
2000-09,2000-09-01,42.774,289.69904
2000-09,2000-09-01,42.774,288.74457
2000-10,2000-10-01,43.024,284.72345
2000-10,2000-10-01,43.024,284.4398
2000-10,2000-10-01,42.774,284.69214
2000-10,2000-10-01,42.774,283.8732
2000-11,2000-11-01,43.024,277.45676
2000-11,2000-11-01,43.024,276.77124
2000-11,2000-11-01,42.774,277.35355
2000-11,2000-11-01,42.774,276.1827
2000-12,2000-12-01,43.024,268.18927
2000-12,2000-12-01,43.024,267.713
2000-12,2000-12-01,42.774,268.42838
2000-12,2000-12-01,42.774,267.1196
2001-01,2001-01-01,43.024,270.11502
2001-01,2001-01-01,43.024,270.29657
2001-01,2001-01-01,42.774,269.82874
2001-01,2001-01-01,42.774,269.8275
2001-02,2001-02-01,43.024,271.19406
2001-02,2001-02-01,43.024,271.7111
2001-02,2001-02-01,42.774,270.6481
2001-02,2001-02-01,42.774,271.30707
2001-03,2001-03-01,43.024,272.58286
2001-03,2001-03-01,43.024,272.81128
2001-03,2001-03-01,42.774,272.03998
2001-03,2001-03-01,42.774,272.26074
2001-04,2001-04-01,43.024,280.9508
2001-04,2001-04-01,43.024,281.86957
2001-04,2001-04-01,42.774,280.28564
2001-04,2001-04-01,42.774,281.6493
2001-05,2001-05-01,43.024,288.00436
2001-05,2001-05-01,43.024,288.32062
2001-05,2001-05-01,42.774,288.21072
2001-05,2001-05-01,42.774,288.01593
2001-06,2001-06-01,43.024,292.9242
2001-06,2001-06-01,43.024,292.6104
2001-06,2001-06-01,42.774,293.21002
2001-06,2001-06-01,42.774,292.1953
2001-07,2001-07-01,43.024,294.1559
2001-07,2001-07-01,43.024,293.8144
2001-07,2001-07-01,42.774,294.19492
2001-07,2001-07-01,42.774,293.15872
2001-08,2001-08-01,43.024,295.69815
2001-08,2001-08-01,43.024,295.40536
2001-08,2001-08-01,42.774,295.53986
2001-08,2001-08-01,42.774,294.6436
2001-09,2001-09-01,43.024,290.07098
2001-09,2001-09-01,43.024,289.70465
2001-09,2001-09-01,42.774,289.91672
2001-09,2001-09-01,42.774,288.88934
2001-10,2001-10-01,43.024,284.59943
2001-10,2001-10-01,43.024,284.4488
2001-10,2001-10-01,42.774,284.38623
2001-10,2001-10-01,42.774,283.87952
2001-11,2001-11-01,43.024,281.5379
2001-11,2001-11-01,43.024,281.472
2001-11,2001-11-01,42.774,281.45108
2001-11,2001-11-01,42.774,281.09467
2001-12,2001-12-01,43.024,276.09573
2001-12,2001-12-01,43.024,275.57892
2001-12,2001-12-01,42.774,276.13742
2001-12,2001-12-01,42.774,275.06332
2002-01,2002-01-01,43.024,273.51465
2002-01,2002-01-01,43.024,273.32544
2002-01,2002-01-01,42.774,273.3085
2002-01,2002-01-01,42.774,272.86243
2002-02,2002-02-01,43.024,273.00134
2002-02,2002-02-01,43.024,273.30038
2002-02,2002-02-01,42.774,272.7339
2002-02,2002-02-01,42.774,272.88287
2002-03,2002-03-01,43.024,274.38837
2002-03,2002-03-01,43.024,274.7434
2002-03,2002-03-01,42.774,274.1397
2002-03,2002-03-01,42.774,274.5143
2002-04,2002-04-01,43.024,280.71625
2002-04,2002-04-01,43.024,281.58655
2002-04,2002-04-01,42.774,280.43292
2002-04,2002-04-01,42.774,281.47092
2002-05,2002-05-01,43.024,284.63135
2002-05,2002-05-01,43.024,284.86032
2002-05,2002-05-01,42.774,284.85965
2002-05,2002-05-01,42.774,284.57153
2002-06,2002-06-01,43.024,292.9517
2002-06,2002-06-01,43.024,292.77097
2002-06,2002-06-01,42.774,293.2591
2002-06,2002-06-01,42.774,292.39392
2002-07,2002-07-01,43.024,296.85452
2002-07,2002-07-01,43.024,296.4979
2002-07,2002-07-01,42.774,296.60403
2002-07,2002-07-01,42.774,295.6908
2002-08,2002-08-01,43.024,295.64053
2002-08,2002-08-01,43.024,295.10016
2002-08,2002-08-01,42.774,295.4765
2002-08,2002-08-01,42.774,294.41528
2002-09,2002-09-01,43.024,292.9803
2002-09,2002-09-01,43.024,292.58597
2002-09,2002-09-01,42.774,292.775
2002-09,2002-09-01,42.774,291.82526
2002-10,2002-10-01,43.024,283.58704
2002-10,2002-10-01,43.024,283.0406
2002-10,2002-10-01,42.774,283.48132
2002-10,2002-10-01,42.774,282.46344
2002-11,2002-11-01,43.024,277.7277
2002-11,2002-11-01,43.024,277.4142
2002-11,2002-11-01,42.774,277.45853
2002-11,2002-11-01,42.774,276.8383
2002-12,2002-12-01,43.024,272.00735
2002-12,2002-12-01,43.024,271.65152
2002-12,2002-12-01,42.774,271.73853
2002-12,2002-12-01,42.774,270.9375
2003-01,2003-01-01,43.024,266.58536
2003-01,2003-01-01,43.024,266.66425
2003-01,2003-01-01,42.774,266.21405
2003-01,2003-01-01,42.774,266.09985
2003-02,2003-02-01,43.024,266.8558
2003-02,2003-02-01,43.024,267.15
2003-02,2003-02-01,42.774,266.81076
2003-02,2003-02-01,42.774,267.2989
2003-03,2003-03-01,43.024,273.16714
2003-03,2003-03-01,43.024,274.2523
2003-03,2003-03-01,42.774,272.9783
2003-03,2003-03-01,42.774,274.22406
2003-04,2003-04-01,43.024,278.27026
2003-04,2003-04-01,43.024,279.3276
2003-04,2003-04-01,42.774,278.1793
2003-04,2003-04-01,42.774,279.59323
2003-05,2003-05-01,43.024,285.4333
2003-05,2003-05-01,43.024,285.82922
2003-05,2003-05-01,42.774,285.9876
2003-05,2003-05-01,42.774,285.82736
2003-06,2003-06-01,43.024,290.96243
2003-06,2003-06-01,43.024,291.05435
2003-06,2003-06-01,42.774,291.45276
2003-06,2003-06-01,42.774,290.70065
2003-07,2003-07-01,43.024,294.48947
2003-07,2003-07-01,43.024,294.06158
2003-07,2003-07-01,42.774,294.54498
2003-07,2003-07-01,42.774,293.4173
2003-08,2003-08-01,43.024,295.2333
2003-08,2003-08-01,43.024,294.71414
2003-08,2003-08-01,42.774,295.1196
2003-08,2003-08-01,42.774,294.06058
2003-09,2003-09-01,43.024,290.76855
2003-09,2003-09-01,43.024,290.2566
2003-09,2003-09-01,42.774,290.6677
2003-09,2003-09-01,42.774,289.55014
2003-10,2003-10-01,43.024,283.0374
2003-10,2003-10-01,43.024,282.56757
2003-10,2003-10-01,42.774,283.04437
2003-10,2003-10-01,42.774,281.92703
2003-11,2003-11-01,43.024,279.77878
2003-11,2003-11-01,43.024,279.45453
2003-11,2003-11-01,42.774,279.83075
2003-11,2003-11-01,42.774,279.16138
2003-12,2003-12-01,43.024,274.07504
2003-12,2003-12-01,43.024,273.65207
2003-12,2003-12-01,42.774,273.83972
2003-12,2003-12-01,42.774,273.03232
2004-01,2004-01-01,43.024,265.87128
2004-01,2004-01-01,43.024,265.81424
2004-01,2004-01-01,42.774,265.62836
