valid_time,time,latitude,t2m
2000-01,2000-01-01,30.393,286.25613
2000-01,2000-01-01,30.393,286.13113
2000-01,2000-01-01,30.393,286.0172
2000-01,2000-01-01,30.143,286.07413
2000-01,2000-01-01,30.143,285.94672
2000-01,2000-01-01,30.143,285.4409
2000-01,2000-01-01,29.893,285.85776
2000-01,2000-01-01,29.893,285.75568
2000-01,2000-01-01,29.893,284.849
2000-01,2000-01-01,29.643,286.02655
2000-01,2000-01-01,29.643,285.89545
2000-01,2000-01-01,29.643,284.70862
2000-02,2000-02-01,30.393,287.2386
2000-02,2000-02-01,30.393,287.0568
2000-02,2000-02-01,30.393,286.98282
2000-02,2000-02-01,30.143,287.15268
2000-02,2000-02-01,30.143,286.96423
2000-02,2000-02-01,30.143,286.55865
2000-02,2000-02-01,29.893,286.99594
2000-02,2000-02-01,29.893,286.85953
2000-02,2000-02-01,29.893,285.97195
2000-02,2000-02-01,29.643,287.12265
2000-02,2000-02-01,29.643,286.97635
2000-02,2000-02-01,29.643,285.75418
2000-03,2000-03-01,30.393,288.9188
2000-03,2000-03-01,30.393,288.82462
2000-03,2000-03-01,30.393,288.72095
2000-03,2000-03-01,30.143,288.89023
2000-03,2000-03-01,30.143,288.8413
2000-03,2000-03-01,30.143,288.33725
2000-03,2000-03-01,29.893,288.92722
2000-03,2000-03-01,29.893,288.97156
2000-03,2000-03-01,29.893,287.96204
2000-03,2000-03-01,29.643,289.3227
2000-03,2000-03-01,29.643,289.337
2000-03,2000-03-01,29.643,287.99564
2000-04,2000-04-01,30.393,294.94244
2000-04,2000-04-01,30.393,294.89407
2000-04,2000-04-01,30.393,294.987
2000-04,2000-04-01,30.143,295.2776
2000-04,2000-04-01,30.143,295.247
2000-04,2000-04-01,30.143,295.03275
2000-04,2000-04-01,29.893,295.6361
2000-04,2000-04-01,29.893,295.81836
2000-04,2000-04-01,29.893,295.05417
2000-04,2000-04-01,29.643,296.13818
2000-04,2000-04-01,29.643,296.38263
2000-04,2000-04-01,29.643,295.32
2000-05,2000-05-01,30.393,297.3202
2000-05,2000-05-01,30.393,297.38272
2000-05,2000-05-01,30.393,297.31717
2000-05,2000-05-01,30.143,297.5542
2000-05,2000-05-01,30.143,297.59357
2000-05,2000-05-01,30.143,297.16315
2000-05,2000-05-01,29.893,297.94855
2000-05,2000-05-01,29.893,298.08157
2000-05,2000-05-01,29.893,297.15677
2000-05,2000-05-01,29.643,298.6298
2000-05,2000-05-01,29.643,298.71954
2000-05,2000-05-01,29.643,297.48523
2000-06,2000-06-01,30.393,300.11917
2000-06,2000-06-01,30.393,300.30643
2000-06,2000-06-01,30.393,300.29587
2000-06,2000-06-01,30.143,300.20755
2000-06,2000-06-01,30.143,300.31583
2000-06,2000-06-01,30.143,299.92044
2000-06,2000-06-01,29.893,300.4686
2000-06,2000-06-01,29.893,300.64114
2000-06,2000-06-01,29.893,299.78223
2000-06,2000-06-01,29.643,301.11612
