valid_time,time,latitude,t2m
2000-01,2000-01-01,51.118,262.89203
2000-01,2000-01-01,51.118,262.88083
2000-01,2000-01-01,50.868,263.06558
2000-01,2000-01-01,50.868,263.02246
2000-02,2000-02-01,51.118,265.5896
2000-02,2000-02-01,51.118,265.9393
2000-02,2000-02-01,50.868,265.73734
2000-02,2000-02-01,50.868,266.08008
2000-03,2000-03-01,51.118,271.51895
2000-03,2000-03-01,51.118,272.11017
2000-03,2000-03-01,50.868,271.8886
2000-03,2000-03-01,50.868,272.56323
2000-04,2000-04-01,51.118,276.74176
2000-04,2000-04-01,51.118,277.2347
2000-04,2000-04-01,50.868,276.87067
2000-04,2000-04-01,50.868,277.51904
2000-05,2000-05-01,51.118,281.37372
2000-05,2000-05-01,51.118,282.2656
2000-05,2000-05-01,50.868,281.64978
2000-05,2000-05-01,50.868,282.67294
2000-06,2000-06-01,51.118,285.04825
2000-06,2000-06-01,51.118,285.74643
2000-06,2000-06-01,50.868,285.01935
2000-06,2000-06-01,50.868,285.8356
2000-07,2000-07-01,51.118,289.50793
2000-07,2000-07-01,51.118,290.32092
2000-07,2000-07-01,50.868,289.93002
2000-07,2000-07-01,50.868,290.93008
2000-08,2000-08-01,51.118,288.073
2000-08,2000-08-01,51.118,288.73178
2000-08,2000-08-01,50.868,288.31363
2000-08,2000-08-01,50.868,289.1381
2000-09,2000-09-01,51.118,282.8002
2000-09,2000-09-01,51.118,283.37387
2000-09,2000-09-01,50.868,282.81024
2000-09,2000-09-01,50.868,283.468
2000-10,2000-10-01,51.118,277.35052
2000-10,2000-10-01,51.118,277.86194
2000-10,2000-10-01,50.868,277.29892
2000-10,2000-10-01,50.868,277.88818
2000-11,2000-11-01,51.118,269.1405
2000-11,2000-11-01,51.118,269.45193
2000-11,2000-11-01,50.868,269.10648
2000-11,2000-11-01,50.868,269.52734
2000-12,2000-12-01,51.118,262.08386
2000-12,2000-12-01,51.118,262.49722
2000-12,2000-12-01,50.868,262.45673
2000-12,2000-12-01,50.868,262.83337
2001-01,2001-01-01,51.118,269.7225
2001-01,2001-01-01,51.118,270.462
2001-01,2001-01-01,50.868,270.16
2001-01,2001-01-01,50.868,270.81094
2001-02,2001-02-01,51.118,261.34293
2001-02,2001-02-01,51.118,261.9481
2001-02,2001-02-01,50.868,262.02597
