valid_time,time,latitude,t2m
2000-01,2000-01-01,-33.851,292.534
2000-01,2000-01-01,-33.851,294.21545
2000-01,2000-01-01,-34.101,291.06238
2000-01,2000-01-01,-34.101,292.4712
2000-02,2000-02-01,-33.851,292.4309
2000-02,2000-02-01,-33.851,293.94006
2000-02,2000-02-01,-34.101,291.25592
2000-02,2000-02-01,-34.101,292.51508
2000-03,2000-03-01,-33.851,291.10138
2000-03,2000-03-01,-33.851,292.46448
2000-03,2000-03-01,-34.101,289.9945
2000-03,2000-03-01,-34.101,291.11584
2000-04,2000-04-01,-33.851,289.41217
2000-04,2000-04-01,-33.851,290.4486
2000-04,2000-04-01,-34.101,288.64557
2000-04,2000-04-01,-34.101,289.53094
2000-05,2000-05-01,-33.851,287.97107
2000-05,2000-05-01,-33.851,287.93237
2000-05,2000-05-01,-34.101,287.92474
2000-05,2000-05-01,-34.101,287.84576
2000-06,2000-06-01,-33.851,287.58038
2000-06,2000-06-01,-33.851,286.695
2000-06,2000-06-01,-34.101,288.30692
2000-06,2000-06-01,-34.101,287.48068
2000-07,2000-07-01,-33.851,286.56448
2000-07,2000-07-01,-33.851,285.3585
2000-07,2000-07-01,-34.101,287.3494
2000-07,2000-07-01,-34.101,286.22614
2000-08,2000-08-01,-33.851,287.61627
2000-08,2000-08-01,-33.851,286.9481
2000-08,2000-08-01,-34.101,287.96317
2000-08,2000-08-01,-34.101,287.30643
2000-09,2000-09-01,-33.851,287.3943
2000-09,2000-09-01,-33.851,286.69318
2000-09,2000-09-01,-34.101,287.60483
2000-09,2000-09-01,-34.101,286.9204
2000-10,2000-10-01,-33.851,289.1167
2000-10,2000-10-01,-33.851,289.24335
2000-10,2000-10-01,-34.101,288.70883
2000-10,2000-10-01,-34.101,288.7563
2000-11,2000-11-01,-33.851,291.04385
2000-11,2000-11-01,-33.851,291.86862
2000-11,2000-11-01,-34.101,290.1892
2000-11,2000-11-01,-34.101,290.84427
2000-12,2000-12-01,-33.851,291.81476
2000-12,2000-12-01,-33.851,292.424
2000-12,2000-12-01,-34.101,291.12115
2000-12,2000-12-01,-34.101,291.567
2001-01,2001-01-01,-33.851,292.541
2001-01,2001-01-01,-33.851,293.5575
2001-01,2001-01-01,-34.101,291.5709
2001-01,2001-01-01,-34.101,292.39734
2001-02,2001-02-01,-33.851,292.4359
2001-02,2001-02-01,-33.851,294.0633
2001-02,2001-02-01,-34.101,291.15076
2001-02,2001-02-01,-34.101,292.54364
2001-03,2001-03-01,-33.851,290.9906
2001-03,2001-03-01,-33.851,292.13315
2001-03,2001-03-01,-34.101,290.30728
2001-03,2001-03-01,-34.101,291.27994
2001-04,2001-04-01,-33.851,289.24442
2001-04,2001-04-01,-33.851,289.9736
2001-04,2001-04-01,-34.101,288.71097
2001-04,2001-04-01,-34.101,289.31244
2001-05,2001-05-01,-33.851,287.97974
2001-05,2001-05-01,-33.851,287.93033
2001-05,2001-05-01,-34.101,288.1358
2001-05,2001-05-01,-34.101,288.07166
2001-06,2001-06-01,-33.851,287.1753
2001-06,2001-06-01,-33.851,285.851
2001-06,2001-06-01,-34.101,288.23615
2001-06,2001-06-01,-34.101,287.00665
2001-07,2001-07-01,-33.851,286.9955
2001-07,2001-07-01,-33.851,285.769
2001-07,2001-07-01,-34.101,287.67975
2001-07,2001-07-01,-34.101,286.52438
2001-08,2001-08-01,-33.851,286.77695
2001-08,2001-08-01,-33.851,285.69742
2001-08,2001-08-01,-34.101,287.30875
2001-08,2001-08-01,-34.101,286.2804
2001-09,2001-09-01,-33.851,287.5677
2001-09,2001-09-01,-33.851,287.07098
2001-09,2001-09-01,-34.101,287.6465
2001-09,2001-09-01,-34.101,287.15045
2001-10,2001-10-01,-33.851,289.65326
2001-10,2001-10-01,-33.851,289.9143
2001-10,2001-10-01,-34.101,289.2052
2001-10,2001-10-01,-34.101,289.3864
2001-11,2001-11-01,-33.851,291.07202
2001-11,2001-11-01,-33.851,291.91907
2001-11,2001-11-01,-34.101,290.17734
2001-11,2001-11-01,-34.101,290.87747
2001-12,2001-12-01,-33.851,292.11002
2001-12,2001-12-01,-33.851,292.95056
2001-12,2001-12-01,-34.101,291.3356
2001-12,2001-12-01,-34.101,292.00015
2002-01,2002-01-01,-33.851,292.2028
2002-01,2002-01-01,-33.851,292.59778
2002-01,2002-01-01,-34.101,291.78766
2002-01,2002-01-01,-34.101,292.0617
2002-02,2002-02-01,-33.851,292.94275
2002-02,2002-02-01,-33.851,294.42157
2002-02,2002-02-01,-34.101,291.80945
2002-02,2002-02-01,-34.101,293.05383
2002-03,2002-03-01,-33.851,292.4713
2002-03,2002-03-01,-33.851,293.2855
2002-03,2002-03-01,-34.101,291.93195
2002-03,2002-03-01,-34.101,292.6046
2002-04,2002-04-01,-33.851,290.1078
2002-04,2002-04-01,-33.851,290.23645
2002-04,2002-04-01,-34.101,290.16507
2002-04,2002-04-01,-34.101,290.24457
2002-05,2002-05-01,-33.851,288.278
2002-05,2002-05-01,-33.851,287.42996
2002-05,2002-05-01,-34.101,288.89267
2002-05,2002-05-01,-34.101,288.08548
2002-06,2002-06-01,-33.851,286.5022
2002-06,2002-06-01,-33.851,285.17285
2002-06,2002-06-01,-34.101,287.41168
2002-06,2002-06-01,-34.101,286.18048
2002-07,2002-07-01,-33.851,285.8122
2002-07,2002-07-01,-33.851,284.52527
2002-07,2002-07-01,-34.101,286.65906
2002-07,2002-07-01,-34.101,285.46332
2002-08,2002-08-01,-33.851,286.5493
2002-08,2002-08-01,-33.851,285.6519
2002-08,2002-08-01,-34.101,287.09912
2002-08,2002-08-01,-34.101,286.2509
2002-09,2002-09-01,-33.851,288.21405
2002-09,2002-09-01,-33.851,288.1811
2002-09,2002-09-01,-34.101,288.04968
2002-09,2002-09-01,-34.101,287.97165
2002-10,2002-10-01,-33.851,288.30646
2002-10,2002-10-01,-33.851,288.3477
2002-10,2002-10-01,-34.101,288.0714
2002-10,2002-10-01,-34.101,288.04776
2002-11,2002-11-01,-33.851,289.2147
2002-11,2002-11-01,-33.851,289.75754
2002-11,2002-11-01,-34.101,288.57355
2002-11,2002-11-01,-34.101,288.97354
2002-12,2002-12-01,-33.851,292.38483
2002-12,2002-12-01,-33.851,293.84943
2002-12,2002-12-01,-34.101,291.13477
2002-12,2002-12-01,-34.101,292.36487
2003-01,2003-01-01,-33.851,292.5773
2003-01,2003-01-01,-33.851,293.67288
2003-01,2003-01-01,-34.101,291.77548
2003-01,2003-01-01,-34.101,292.65286
2003-02,2003-02-01,-33.851,293.1262
2003-02,2003-02-01,-33.851,294.26233
2003-02,2003-02-01,-34.101,292.40356
2003-02,2003-02-01,-34.101,293.33588
2003-03,2003-03-01,-33.851,292.12506
2003-03,2003-03-01,-33.851,292.7662
2003-03,2003-03-01,-34.101,291.69373
2003-03,2003-03-01,-34.101,292.17154
2003-04,2003-04-01,-33.851,290.6769
2003-04,2003-04-01,-33.851,291.17236
2003-04,2003-04-01,-34.101,290.4732
2003-04,2003-04-01,-34.101,290.84137
2003-05,2003-05-01,-33.851,288.99307
2003-05,2003-05-01,-33.851,288.42105
2003-05,2003-05-01,-34.101,289.5528
2003-05,2003-05-01,-34.101,288.99142
2003-06,2003-06-01,-33.851,286.786
2003-06,2003-06-01,-33.851,285.50854
2003-06,2003-06-01,-34.101,288.0244
2003-06,2003-06-01,-34.101,286.85864
2003-07,2003-07-01,-33.851,286.3722
2003-07,2003-07-01,-33.851,285.37198
2003-07,2003-07-01,-34.101,287.08084
2003-07,2003-07-01,-34.101,286.1467
2003-08,2003-08-01,-33.851,285.56195
2003-08,2003-08-01,-33.851,284.38245
2003-08,2003-08-01,-34.101,286.2372
2003-08,2003-08-01,-34.101,285.12054
2003-09,2003-09-01,-33.851,287.55124
2003-09,2003-09-01,-33.851,286.8642
2003-09,2003-09-01,-34.101,287.69464
2003-09,2003-09-01,-34.101,287.0139
2003-10,2003-10-01,-33.851,289.67545
2003-10,2003-10-01,-33.851,289.6433
2003-10,2003-10-01,-34.101,289.25568
2003-10,2003-10-01,-34.101,289.15457
2003-11,2003-11-01,-33.851,290.76187
2003-11,2003-11-01,-33.851,291.37372
2003-11,2003-11-01,-34.101,289.98163
2003-11,2003-11-01,-34.101,290.44424
2003-12,2003-12-01,-33.851,291.13562
2003-12,2003-12-01,-33.851,291.7141
2003-12,2003-12-01,-34.101,290.39273
2003-12,2003-12-01,-34.101,290.81525
2004-01,2004-01-01,-33.851,292.83154
2004-01,2004-01-01,-33.851,294.24268
2004-01,2004-01-01,-34.101,291.71655
2004-01,2004-01-01,-34.101,292.8849
2004-02,2004-02-01,-33.851,292.9392
2004-02,2004-02-01,-33.851,294.1914
2004-02,2004-02-01,-34.101,292.17126
2004-02,2004-02-01,-34.101,293.18872
2004-03,2004-03-01,-33.851,290.6076
2004-03,2004-03-01,-33.851,291.12094
2004-03,2004-03-01,-34.101,290.34442
2004-03,2004-03-01,-34.101,290.72314
