valid_time,time,latitude,t2m
2000-01,2000-01-01,33.494,285.42078
2000-01,2000-01-01,33.494,284.81357
2000-02,2000-02-01,33.494,287.94708
2000-02,2000-02-01,33.494,287.68637
2000-03,2000-03-01,33.494,290.41357
2000-03,2000-03-01,33.494,290.29013
2000-04,2000-04-01,33.494,289.23114
2000-04,2000-04-01,33.494,289.05154
2000-05,2000-05-01,33.494,292.43063
2000-05,2000-05-01,33.494,292.48782
2000-06,2000-06-01,33.494,295.07196
2000-06,2000-06-01,33.494,295.4375
2000-07,2000-07-01,33.494,296.25156
2000-07,2000-07-01,33.494,296.5052
2000-08,2000-08-01,33.494,297.2104
2000-08,2000-08-01,33.494,297.5559
2000-09,2000-09-01,33.494,295.76608
2000-09,2000-09-01,33.494,295.87415
2000-10,2000-10-01,33.494,291.78897
2000-10,2000-10-01,33.494,291.5125
2000-11,2000-11-01,33.494,288.98892
2000-11,2000-11-01,33.494,288.59268
2000-12,2000-12-01,33.494,288.34824
2000-12,2000-12-01,33.494,287.92813
2001-01,2001-01-01,33.494,287.1939
2001-01,2001-01-01,33.494,286.73035
2001-02,2001-02-01,33.494,287.31372
2001-02,2001-02-01,33.494,286.9145
2001-03,2001-03-01,33.494,290.26077
2001-03,2001-03-01,33.494,290.2166
2001-04,2001-04-01,33.494,290.32547
2001-04,2001-04-01,33.494,290.26147
2001-05,2001-05-01,33.494,292.06363
2001-05,2001-05-01,33.494,292.13702
2001-06,2001-06-01,33.494,294.88126
2001-06,2001-06-01,33.494,295.16214
2001-07,2001-07-01,33.494,295.29745
2001-07,2001-07-01,33.494,295.46695
2001-08,2001-08-01,33.494,296.25818
2001-08,2001-08-01,33.494,296.38632
2001-09,2001-09-01,33.494,295.35745
2001-09,2001-09-01,33.494,295.2892
2001-10,2001-10-01,33.494,294.82645
2001-10,2001-10-01,33.494,294.84213
2001-11,2001-11-01,33.494,289.8675
2001-11,2001-11-01,33.494,289.43152
2001-12,2001-12-01,33.494,289.16345
2001-12,2001-12-01,33.494,288.80975
2002-01,2002-01-01,33.494,288.02557
2002-01,2002-01-01,33.494,287.6331
2002-02,2002-02-01,33.494,288.15497
2002-02,2002-02-01,33.494,287.86234
2002-03,2002-03-01,33.494,289.21338
2002-03,2002-03-01,33.494,289.11206
2002-04,2002-04-01,33.494,290.08188
2002-04,2002-04-01,33.494,289.95007
2002-05,2002-05-01,33.494,291.24582
2002-05,2002-05-01,33.494,291.17627
2002-06,2002-06-01,33.494,293.34882
2002-06,2002-06-01,33.494,293.57635
2002-07,2002-07-01,33.494,295.25238
2002-07,2002-07-01,33.494,295.54004
2002-08,2002-08-01,33.494,295.2585
2002-08,2002-08-01,33.494,295.3402
2002-09,2002-09-01,33.494,295.29916
2002-09,2002-09-01,33.494,295.39673
2002-10,2002-10-01,33.494,294.16913
2002-10,2002-10-01,33.494,294.09177
2002-11,2002-11-01,33.494,290.1759
2002-11,2002-11-01,33.494,289.68134
2002-12,2002-12-01,33.494,288.91583
2002-12,2002-12-01,33.494,288.4814
2003-01,2003-01-01,33.494,286.1337
2003-01,2003-01-01,33.494,285.5221
2003-02,2003-02-01,33.494,286.383
2003-02,2003-02-01,33.494,285.85184
2003-03,2003-03-01,33.494,289.69037
2003-03,2003-03-01,33.494,289.69415
2003-04,2003-04-01,33.494,290.09988
2003-04,2003-04-01,33.494,290.03214
2003-05,2003-05-01,33.494,293.41608
2003-05,2003-05-01,33.494,293.71762
2003-06,2003-06-01,33.494,295.4203
2003-06,2003-06-01,33.494,295.7525
2003-07,2003-07-01,33.494,296.58105
2003-07,2003-07-01,33.494,296.83627
2003-08,2003-08-01,33.494,297.9414
2003-08,2003-08-01,33.494,298.377
2003-09,2003-09-01,33.494,296.38797
2003-09,2003-09-01,33.494,296.54163
2003-10,2003-10-01,33.494,293.0428
2003-10,2003-10-01,33.494,292.80328
2003-11,2003-11-01,33.494,289.84467
2003-11,2003-11-01,33.494,289.4727
2003-12,2003-12-01,33.494,287.24203
2003-12,2003-12-01,33.494,286.72302
2004-01,2004-01-01,33.494,286.43384
2004-01,2004-01-01,33.494,285.9442
2004-02,2004-02-01,33.494,287.5861
2004-02,2004-02-01,33.494,287.25964
2004-03,2004-03-01,33.494,288.03787
2004-03,2004-03-01,33.494,287.76474
2004-04,2004-04-01,33.494,289.67014
2004-04,2004-04-01,33.494,289.62296
2004-05,2004-05-01,33.494,291.20316
2004-05,2004-05-01,33.494,291.06552
2004-06,2004-06-01,33.494,296.1919
2004-06,2004-06-01,33.494,296.72583
2004-07,2004-07-01,33.494,297.17505
2004-07,2004-07-01,33.494,297.497
2004-08,2004-08-01,33.494,297.7888
2004-08,2004-08-01,33.494,297.98596
2004-09,2004-09-01,33.494,296.08154
2004-09,2004-09-01,33.494,296.15536
2004-10,2004-10-01,33.494,293.81772
2004-10,2004-10-01,33.494,293.73218
2004-11,2004-11-01,33.494,289.6847
2004-11,2004-11-01,33.494,289.20856
2004-12,2004-12-01,33.494,286.5133
2004-12,2004-12-01,33.494,285.89548
2005-01,2005-01-01,33.494,284.31134
2005-01,2005-01-01,33.494,283.62134
2005-02,2005-02-01,33.494,285.05817
2005-02,2005-02-01,33.494,284.4835
2005-03,2005-03-01,33.494,289.39456
2005-03,2005-03-01,33.494,289.43265
2005-04,2005-04-01,33.494,290.0969
2005-04,2005-04-01,33.494,289.97433
2005-05,2005-05-01,33.494,292.67023
2005-05,2005-05-01,33.494,292.80624
2005-06,2005-06-01,33.494,296.20642
2005-06,2005-06-01,33.494,296.64798
2005-07,2005-07-01,33.494,296.13882
2005-07,2005-07-01,33.494,296.36237
2005-08,2005-08-01,33.494,297.1479
2005-08,2005-08-01,33.494,297.45972
2005-09,2005-09-01,33.494,295.86044
2005-09,2005-09-01,33.494,295.84247
2005-10,2005-10-01,33.494,294.14233
2005-10,2005-10-01,33.494,294.1605
2005-11,2005-11-01,33.494,288.96497
2005-11,2005-11-01,33.494,288.48236
2005-12,2005-12-01,33.494,286.8951
2005-12,2005-12-01,33.494,286.29315
2006-01,2006-01-01,33.494,285.0232
2006-01,2006-01-01,33.494,284.37054
2006-02,2006-02-01,33.494,286.2799
2006-02,2006-02-01,33.494,285.85767
2006-03,2006-03-01,33.494,288.06226
2006-03,2006-03-01,33.494,287.97388
2006-04,2006-04-01,33.494,290.59448
2006-04,2006-04-01,33.494,290.62582
2006-05,2006-05-01,33.494,293.3921
2006-05,2006-05-01,33.494,293.63333
2006-06,2006-06-01,33.494,295.10745
2006-06,2006-06-01,33.494,295.34818
2006-07,2006-07-01,33.494,297.46713
2006-07,2006-07-01,33.494,297.97742
2006-08,2006-08-01,33.494,297.38095
2006-08,2006-08-01,33.494,297.67657
2006-09,2006-09-01,33.494,296.85464
2006-09,2006-09-01,33.494,296.9938
2006-10,2006-10-01,33.494,294.39767
2006-10,2006-10-01,33.494,294.38245
2006-11,2006-11-01,33.494,291.91608
2006-11,2006-11-01,33.494,291.65897
2006-12,2006-12-01,33.494,286.43445
2006-12,2006-12-01,33.494,285.8003
2007-01,2007-01-01,33.494,285.763
2007-01,2007-01-01,33.494,285.14975
2007-02,2007-02-01,33.494,287.81952
2007-02,2007-02-01,33.494,287.46582
2007-03,2007-03-01,33.494,288.1789
2007-03,2007-03-01,33.494,287.8422
2007-04,2007-04-01,33.494,289.45035
2007-04,2007-04-01,33.494,289.19785
2007-05,2007-05-01,33.494,291.99683
2007-05,2007-05-01,33.494,292.04654
2007-06,2007-06-01,33.494,294.12497
2007-06,2007-06-01,33.494,294.25595
2007-07,2007-07-01,33.494,296.21454
2007-07,2007-07-01,33.494,296.58185
2007-08,2007-08-01,33.494,296.18655
2007-08,2007-08-01,33.494,296.40198
2007-09,2007-09-01,33.494,295.18304
2007-09,2007-09-01,33.494,295.19467
2007-10,2007-10-01,33.494,293.99457
2007-10,2007-10-01,33.494,293.84235
2007-11,2007-11-01,33.494,289.84332
2007-11,2007-11-01,33.494,289.51605
2007-12,2007-12-01,33.494,287.5078
2007-12,2007-12-01,33.494,286.9897
2008-01,2008-01-01,33.494,286.86124
2008-01,2008-01-01,33.494,286.38733
2008-02,2008-02-01,33.494,288.92194
2008-02,2008-02-01,33.494,288.72342
