valid_time,time,latitude,t2m
2000-01,2000-01-01,43.768,253.11833
2000-01,2000-01-01,43.768,253.25648
2000-02,2000-02-01,43.768,259.40973
2000-02,2000-02-01,43.768,259.45123
2000-03,2000-03-01,43.768,272.61
2000-03,2000-03-01,43.768,272.53952
2000-04,2000-04-01,43.768,280.85422
2000-04,2000-04-01,43.768,280.6681
2000-05,2000-05-01,43.768,290.30283
2000-05,2000-05-01,43.768,290.10034
2000-06,2000-06-01,43.768,297.03915
2000-06,2000-06-01,43.768,296.9333
2000-07,2000-07-01,43.768,298.9927
2000-07,2000-07-01,43.768,298.81784
2000-08,2000-08-01,43.768,297.07718
2000-08,2000-08-01,43.768,297.04
2000-09,2000-09-01,43.768,290.9647
2000-09,2000-09-01,43.768,290.7929
2000-10,2000-10-01,43.768,279.90564
2000-10,2000-10-01,43.768,279.8372
2000-11,2000-11-01,43.768,267.11176
2000-11,2000-11-01,43.768,267.12012
2000-12,2000-12-01,43.768,258.09796
2000-12,2000-12-01,43.768,257.78027
2001-01,2001-01-01,43.768,251.57605
2001-01,2001-01-01,43.768,251.63295
2001-02,2001-02-01,43.768,259.5757
2001-02,2001-02-01,43.768,259.40042
2001-03,2001-03-01,43.768,271.48044
2001-03,2001-03-01,43.768,271.38174
2001-04,2001-04-01,43.768,283.4481
2001-04,2001-04-01,43.768,283.33615
2001-05,2001-05-01,43.768,290.90128
2001-05,2001-05-01,43.768,290.74933
2001-06,2001-06-01,43.768,296.64273
2001-06,2001-06-01,43.768,296.51627
2001-07,2001-07-01,43.768,297.4387
2001-07,2001-07-01,43.768,297.36804
2001-08,2001-08-01,43.768,295.06
2001-08,2001-08-01,43.768,295.03506
2001-09,2001-09-01,43.768,289.76215
2001-09,2001-09-01,43.768,289.6235
2001-10,2001-10-01,43.768,282.6266
2001-10,2001-10-01,43.768,282.50946
2001-11,2001-11-01,43.768,271.53708
2001-11,2001-11-01,43.768,271.5355
2001-12,2001-12-01,43.768,261.06033
2001-12,2001-12-01,43.768,260.99976
2002-01,2002-01-01,43.768,262.74542
2002-01,2002-01-01,43.768,262.6358
2002-02,2002-02-01,43.768,268.98343
2002-02,2002-02-01,43.768,269.00537
2002-03,2002-03-01,43.768,275.55035
2002-03,2002-03-01,43.768,275.47363
2002-04,2002-04-01,43.768,282.57523
2002-04,2002-04-01,43.768,282.41727
2002-05,2002-05-01,43.768,291.32925
2002-05,2002-05-01,43.768,291.14377
2002-06,2002-06-01,43.768,293.60855
2002-06,2002-06-01,43.768,293.50037
2002-07,2002-07-01,43.768,297.87274
2002-07,2002-07-01,43.768,297.61707
2002-08,2002-08-01,43.768,294.67975
2002-08,2002-08-01,43.768,294.5078
2002-09,2002-09-01,43.768,290.98862
2002-09,2002-09-01,43.768,290.71414
2002-10,2002-10-01,43.768,278.26218
2002-10,2002-10-01,43.768,278.23795
2002-11,2002-11-01,43.768,266.43643
2002-11,2002-11-01,43.768,266.43497
2002-12,2002-12-01,43.768,260.68997
2002-12,2002-12-01,43.768,260.63354
2003-01,2003-01-01,43.768,259.57495
2003-01,2003-01-01,43.768,259.4171
2003-02,2003-02-01,43.768,266.99402
2003-02,2003-02-01,43.768,266.8656
2003-03,2003-03-01,43.768,273.69772
2003-03,2003-03-01,43.768,273.6924
2003-04,2003-04-01,43.768,283.97543
2003-04,2003-04-01,43.768,283.7867
2003-05,2003-05-01,43.768,290.62555
2003-05,2003-05-01,43.768,290.37708
2003-06,2003-06-01,43.768,294.63855
2003-06,2003-06-01,43.768,294.59525
2003-07,2003-07-01,43.768,296.4077
2003-07,2003-07-01,43.768,296.39807
2003-08,2003-08-01,43.768,294.86148
2003-08,2003-08-01,43.768,294.80933
2003-09,2003-09-01,43.768,290.1602
2003-09,2003-09-01,43.768,290.08057
2003-10,2003-10-01,43.768,281.28433
2003-10,2003-10-01,43.768,281.19037
2003-11,2003-11-01,43.768,270.48724
2003-11,2003-11-01,43.768,270.4894
2003-12,2003-12-01,43.768,263.3323
2003-12,2003-12-01,43.768,263.24292
2004-01,2004-01-01,43.768,261.14343
2004-01,2004-01-01,43.768,261.04016
2004-02,2004-02-01,43.768,266.60516
2004-02,2004-02-01,43.768,266.47827
2004-03,2004-03-01,43.768,272.79767
2004-03,2004-03-01,43.768,272.65768
2004-04,2004-04-01,43.768,282.74725
2004-04,2004-04-01,43.768,282.53494
2004-05,2004-05-01,43.768,289.77176
2004-05,2004-05-01,43.768,289.62408
2004-06,2004-06-01,43.768,296.34003
2004-06,2004-06-01,43.768,296.31174
2004-07,2004-07-01,43.768,295.91354
2004-07,2004-07-01,43.768,295.89786
2004-08,2004-08-01,43.768,294.8285
2004-08,2004-08-01,43.768,294.77734
2004-09,2004-09-01,43.768,290.32675
2004-09,2004-09-01,43.768,290.21658
2004-10,2004-10-01,43.768,283.1551
2004-10,2004-10-01,43.768,283.01892
2004-11,2004-11-01,43.768,272.7044
2004-11,2004-11-01,43.768,272.76862
2004-12,2004-12-01,43.768,259.13797
2004-12,2004-12-01,43.768,258.9591
2005-01,2005-01-01,43.768,259.00592
2005-01,2005-01-01,43.768,259.04974
2005-02,2005-02-01,43.768,259.01556
2005-02,2005-02-01,43.768,259.0471
2005-03,2005-03-01,43.768,270.6771
2005-03,2005-03-01,43.768,270.61908
2005-04,2005-04-01,43.768,282.50504
2005-04,2005-04-01,43.768,282.33032
2005-05,2005-05-01,43.768,288.25928
2005-05,2005-05-01,43.768,288.06186
2005-06,2005-06-01,43.768,294.3918
2005-06,2005-06-01,43.768,294.326
2005-07,2005-07-01,43.768,296.46484
2005-07,2005-07-01,43.768,296.42896
2005-08,2005-08-01,43.768,295.8355
2005-08,2005-08-01,43.768,295.7668
2005-09,2005-09-01,43.768,289.9111
2005-09,2005-09-01,43.768,289.7855
2005-10,2005-10-01,43.768,281.9756
2005-10,2005-10-01,43.768,281.86612
2005-11,2005-11-01,43.768,272.4036
2005-11,2005-11-01,43.768,272.4464
2005-12,2005-12-01,43.768,257.51627
2005-12,2005-12-01,43.768,257.49725
2006-01,2006-01-01,43.768,258.774
2006-01,2006-01-01,43.768,258.38446
2006-02,2006-02-01,43.768,263.3809
2006-02,2006-02-01,43.768,263.18063
2006-03,2006-03-01,43.768,272.01715
2006-03,2006-03-01,43.768,271.94583
2006-04,2006-04-01,43.768,279.3971
2006-04,2006-04-01,43.768,279.27075
2006-05,2006-05-01,43.768,289.97192
2006-05,2006-05-01,43.768,289.78122
2006-06,2006-06-01,43.768,293.50793
2006-06,2006-06-01,43.768,293.27542
2006-07,2006-07-01,43.768,296.77786
2006-07,2006-07-01,43.768,296.69708
2006-08,2006-08-01,43.768,296.0964
2006-08,2006-08-01,43.768,296.0566
2006-09,2006-09-01,43.768,289.72647
2006-09,2006-09-01,43.768,289.55658
2006-10,2006-10-01,43.768,282.32108
2006-10,2006-10-01,43.768,282.23755
2006-11,2006-11-01,43.768,270.6277
2006-11,2006-11-01,43.768,270.63892
2006-12,2006-12-01,43.768,263.53415
2006-12,2006-12-01,43.768,263.4383
2007-01,2007-01-01,43.768,262.68683
2007-01,2007-01-01,43.768,262.6352
2007-02,2007-02-01,43.768,269.93176
2007-02,2007-02-01,43.768,269.7862
2007-03,2007-03-01,43.768,271.4399
2007-03,2007-03-01,43.768,271.3937
2007-04,2007-04-01,43.768,281.1285
2007-04,2007-04-01,43.768,280.94638
2007-05,2007-05-01,43.768,289.5101
2007-05,2007-05-01,43.768,289.26004
2007-06,2007-06-01,43.768,297.714
2007-06,2007-06-01,43.768,297.65057
2007-07,2007-07-01,43.768,296.25873
2007-07,2007-07-01,43.768,296.2346
2007-08,2007-08-01,43.768,295.8265
2007-08,2007-08-01,43.768,295.7901
2007-09,2007-09-01,43.768,290.284
2007-09,2007-09-01,43.768,290.1733
2007-10,2007-10-01,43.768,281.076
2007-10,2007-10-01,43.768,280.96777
2007-11,2007-11-01,43.768,270.6613
2007-11,2007-11-01,43.768,270.6758
2007-12,2007-12-01,43.768,263.56128
2007-12,2007-12-01,43.768,263.5906
2008-01,2008-01-01,43.768,257.3441
2008-01,2008-01-01,43.768,257.2891
2008-02,2008-02-01,43.768,263.7312
2008-02,2008-02-01,43.768,263.63983
2008-03,2008-03-01,43.768,275.84717
2008-03,2008-03-01,43.768,275.77197
2008-04,2008-04-01,43.768,284.99805
2008-04,2008-04-01,43.768,284.8995
2008-05,2008-05-01,43.768,288.37616
2008-05,2008-05-01,43.768,288.17365
2008-06,2008-06-01,43.768,294.8223
2008-06,2008-06-01,43.768,294.7641
2008-07,2008-07-01,43.768,297.14966
2008-07,2008-07-01,43.768,297.1165
2008-08,2008-08-01,43.768,295.57407
2008-08,2008-08-01,43.768,295.49207
2008-09,2008-09-01,43.768,289.37515
2008-09,2008-09-01,43.768,289.24127
2008-10,2008-10-01,43.768,282.60913
2008-10,2008-10-01,43.768,282.51578
2008-11,2008-11-01,43.768,270.85873
2008-11,2008-11-01,43.768,270.81323
2008-12,2008-12-01,43.768,263.1872
2008-12,2008-12-01,43.768,263.11877
2009-01,2009-01-01,43.768,260.0882
2009-01,2009-01-01,43.768,260.0119
2009-02,2009-02-01,43.768,264.46558
2009-02,2009-02-01,43.768,264.18427
2009-03,2009-03-01,43.768,271.3729
2009-03,2009-03-01,43.768,271.27
2009-04,2009-04-01,43.768,283.36758
2009-04,2009-04-01,43.768,283.18893
2009-05,2009-05-01,43.768,291.33548
2009-05,2009-05-01,43.768,291.18723
2009-06,2009-06-01,43.768,292.63113
2009-06,2009-06-01,43.768,292.5204
2009-07,2009-07-01,43.768,296.16254
2009-07,2009-07-01,43.768,296.14612
2009-08,2009-08-01,43.768,296.33716
2009-08,2009-08-01,43.768,296.3111
2009-09,2009-09-01,43.768,289.31415
2009-09,2009-09-01,43.768,289.1906
2009-10,2009-10-01,43.768,281.2515
2009-10,2009-10-01,43.768,281.17065
