valid_time,time,latitude,t2m
2000-01,2000-01-01,31.846,276.1017
2000-01,2000-01-01,31.846,276.24866
2000-01,2000-01-01,31.596,276.40692
2000-01,2000-01-01,31.596,276.64584
2000-02,2000-02-01,31.846,277.0968
2000-02,2000-02-01,31.846,277.01617
2000-02,2000-02-01,31.596,277.41907
2000-02,2000-02-01,31.596,277.4668
2000-03,2000-03-01,31.846,283.87494
2000-03,2000-03-01,31.846,283.7503
2000-03,2000-03-01,31.596,284.08685
2000-03,2000-03-01,31.596,284.05255
2000-04,2000-04-01,31.846,289.61322
2000-04,2000-04-01,31.846,289.47687
2000-04,2000-04-01,31.596,289.86084
2000-04,2000-04-01,31.596,289.82748
2000-05,2000-05-01,31.846,295.28693
2000-05,2000-05-01,31.846,295.12958
2000-05,2000-05-01,31.596,295.43976
2000-05,2000-05-01,31.596,295.32816
2000-06,2000-06-01,31.846,298.36536
2000-06,2000-06-01,31.846,298.219
2000-06,2000-06-01,31.596,298.48645
2000-06,2000-06-01,31.596,298.46515
2000-07,2000-07-01,31.846,302.1279
2000-07,2000-07-01,31.846,302.07425
2000-07,2000-07-01,31.596,302.26044
2000-07,2000-07-01,31.596,302.2698
2000-08,2000-08-01,31.846,301.08813
2000-08,2000-08-01,31.846,301.0442
2000-08,2000-08-01,31.596,301.17014
2000-08,2000-08-01,31.596,301.17346
2000-09,2000-09-01,31.846,296.77838
2000-09,2000-09-01,31.846,296.6884
2000-09,2000-09-01,31.596,296.9235
2000-09,2000-09-01,31.596,296.9613
2000-10,2000-10-01,31.846,291.52966
2000-10,2000-10-01,31.846,291.5963
2000-10,2000-10-01,31.596,291.7616
2000-10,2000-10-01,31.596,291.94696
2000-11,2000-11-01,31.846,283.94366
2000-11,2000-11-01,31.846,284.05273
2000-11,2000-11-01,31.596,284.09485
2000-11,2000-11-01,31.596,284.3613
2000-12,2000-12-01,31.846,280.66666
2000-12,2000-12-01,31.846,280.71014
2000-12,2000-12-01,31.596,280.92535
2000-12,2000-12-01,31.596,281.11655
2001-01,2001-01-01,31.846,277.5849
2001-01,2001-01-01,31.846,277.634
2001-01,2001-01-01,31.596,277.86792
2001-01,2001-01-01,31.596,278.02664
2001-02,2001-02-01,31.846,279.27206
2001-02,2001-02-01,31.846,279.29593
2001-02,2001-02-01,31.596,279.53766
2001-02,2001-02-01,31.596,279.66846
2001-03,2001-03-01,31.846,283.92676
2001-03,2001-03-01,31.846,283.81424
2001-03,2001-03-01,31.596,284.272
2001-03,2001-03-01,31.596,284.28156
2001-04,2001-04-01,31.846,288.76068
2001-04,2001-04-01,31.846,288.69708
2001-04,2001-04-01,31.596,288.9566
2001-04,2001-04-01,31.596,288.9627
2001-05,2001-05-01,31.846,295.12823
2001-05,2001-05-01,31.846,294.8959
2001-05,2001-05-01,31.596,295.20996
2001-05,2001-05-01,31.596,295.07397
2001-06,2001-06-01,31.846,297.55865
2001-06,2001-06-01,31.846,297.48193
2001-06,2001-06-01,31.596,297.65128
2001-06,2001-06-01,31.596,297.6816
2001-07,2001-07-01,31.846,302.99545
2001-07,2001-07-01,31.846,302.93488
2001-07,2001-07-01,31.596,303.2125
2001-07,2001-07-01,31.596,303.172
2001-08,2001-08-01,31.846,299.40466
2001-08,2001-08-01,31.846,299.39883
2001-08,2001-08-01,31.596,299.52142
2001-08,2001-08-01,31.596,299.56702
2001-09,2001-09-01,31.846,296.60815
2001-09,2001-09-01,31.846,296.58725
2001-09,2001-09-01,31.596,296.80585
2001-09,2001-09-01,31.596,296.89206
2001-10,2001-10-01,31.846,291.8599
2001-10,2001-10-01,31.846,291.8582
2001-10,2001-10-01,31.596,292.05225
2001-10,2001-10-01,31.596,292.23157
2001-11,2001-11-01,31.846,284.68994
2001-11,2001-11-01,31.846,284.62936
2001-11,2001-11-01,31.596,284.9389
2001-11,2001-11-01,31.596,285.15033
2001-12,2001-12-01,31.846,278.40604
2001-12,2001-12-01,31.846,278.477
2001-12,2001-12-01,31.596,278.63684
2001-12,2001-12-01,31.596,278.8632
2002-01,2002-01-01,31.846,278.97742
2002-01,2002-01-01,31.846,278.94812
2002-01,2002-01-01,31.596,279.23734
2002-01,2002-01-01,31.596,279.32037
2002-02,2002-02-01,31.846,281.27966
2002-02,2002-02-01,31.846,281.2203
2002-02,2002-02-01,31.596,281.52545
2002-02,2002-02-01,31.596,281.5401
2002-03,2002-03-01,31.846,285.71655
2002-03,2002-03-01,31.846,285.67725
2002-03,2002-03-01,31.596,285.9465
2002-03,2002-03-01,31.596,285.99567
2002-04,2002-04-01,31.846,289.9097
2002-04,2002-04-01,31.846,289.85846
2002-04,2002-04-01,31.596,290.12244
2002-04,2002-04-01,31.596,290.10034
2002-05,2002-05-01,31.846,292.79968
2002-05,2002-05-01,31.846,292.75366
2002-05,2002-05-01,31.596,293.07635
2002-05,2002-05-01,31.596,293.16675
2002-06,2002-06-01,31.846,298.9995
2002-06,2002-06-01,31.846,298.83243
2002-06,2002-06-01,31.596,299.14786
2002-06,2002-06-01,31.596,299.0239
2002-07,2002-07-01,31.846,301.51318
2002-07,2002-07-01,31.846,301.34766
2002-07,2002-07-01,31.596,301.5984
2002-07,2002-07-01,31.596,301.48233
2002-08,2002-08-01,31.846,299.965
2002-08,2002-08-01,31.846,299.92377
2002-08,2002-08-01,31.596,300.09808
2002-08,2002-08-01,31.596,300.0955
2002-09,2002-09-01,31.846,296.90955
2002-09,2002-09-01,31.846,296.87866
2002-09,2002-09-01,31.596,297.05832
2002-09,2002-09-01,31.596,297.14877
2002-10,2002-10-01,31.846,291.45087
2002-10,2002-10-01,31.846,291.52472
2002-10,2002-10-01,31.596,291.75296
2002-10,2002-10-01,31.596,291.99933
2002-11,2002-11-01,31.846,284.39954
2002-11,2002-11-01,31.846,284.40237
2002-11,2002-11-01,31.596,284.6214
2002-11,2002-11-01,31.596,284.81332
2002-12,2002-12-01,31.846,278.7654
2002-12,2002-12-01,31.846,278.8769
2002-12,2002-12-01,31.596,278.99258
2002-12,2002-12-01,31.596,279.21808
2003-01,2003-01-01,31.846,275.9605
2003-01,2003-01-01,31.846,275.95764
2003-01,2003-01-01,31.596,276.21637
2003-01,2003-01-01,31.596,276.31024
2003-02,2003-02-01,31.846,279.36847
2003-02,2003-02-01,31.846,279.3609
2003-02,2003-02-01,31.596,279.65317
2003-02,2003-02-01,31.596,279.7204
2003-03,2003-03-01,31.846,282.82025
2003-03,2003-03-01,31.846,282.7432
2003-03,2003-03-01,31.596,283.10434
2003-03,2003-03-01,31.596,283.07574
2003-04,2003-04-01,31.846,288.54553
2003-04,2003-04-01,31.846,288.4851
2003-04,2003-04-01,31.596,288.83405
2003-04,2003-04-01,31.596,288.85428
2003-05,2003-05-01,31.846,293.53247
2003-05,2003-05-01,31.846,293.41483
2003-05,2003-05-01,31.596,293.81
2003-05,2003-05-01,31.596,293.71243
2003-06,2003-06-01,31.846,298.11276
2003-06,2003-06-01,31.846,297.98428
2003-06,2003-06-01,31.596,298.2495
2003-06,2003-06-01,31.596,298.21237
2003-07,2003-07-01,31.846,302.0949
2003-07,2003-07-01,31.846,302.0648
2003-07,2003-07-01,31.596,302.68832
2003-07,2003-07-01,31.596,302.7685
2003-08,2003-08-01,31.846,301.23935
2003-08,2003-08-01,31.846,301.253
2003-08,2003-08-01,31.596,301.6475
2003-08,2003-08-01,31.596,301.70578
2003-09,2003-09-01,31.846,298.10706
2003-09,2003-09-01,31.846,298.10425
2003-09,2003-09-01,31.596,298.40918
2003-09,2003-09-01,31.596,298.50504
2003-10,2003-10-01,31.846,290.52994
2003-10,2003-10-01,31.846,290.5382
2003-10,2003-10-01,31.596,290.70178
2003-10,2003-10-01,31.596,290.90833
2003-11,2003-11-01,31.846,285.13492
2003-11,2003-11-01,31.846,285.2488
2003-11,2003-11-01,31.596,285.34518
2003-11,2003-11-01,31.596,285.58508
2003-12,2003-12-01,31.846,278.3162
2003-12,2003-12-01,31.846,278.32098
2003-12,2003-12-01,31.596,278.5267
2003-12,2003-12-01,31.596,278.69638
2004-01,2004-01-01,31.846,276.52353
2004-01,2004-01-01,31.846,276.5179
2004-01,2004-01-01,31.596,276.78656
2004-01,2004-01-01,31.596,276.9143
2004-02,2004-02-01,31.846,281.33212
2004-02,2004-02-01,31.846,281.299
2004-02,2004-02-01,31.596,281.5369
2004-02,2004-02-01,31.596,281.623
2004-03,2004-03-01,31.846,282.95248
2004-03,2004-03-01,31.846,282.83224
2004-03,2004-03-01,31.596,283.0927
2004-03,2004-03-01,31.596,283.06403
2004-04,2004-04-01,31.846,289.6765
2004-04,2004-04-01,31.846,289.50195
2004-04,2004-04-01,31.596,289.8536
2004-04,2004-04-01,31.596,289.72595
2004-05,2004-05-01,31.846,294.14618
2004-05,2004-05-01,31.846,294.0711
2004-05,2004-05-01,31.596,294.4383
2004-05,2004-05-01,31.596,294.46832
2004-06,2004-06-01,31.846,297.74573
2004-06,2004-06-01,31.846,297.6643
