valid_time,time,latitude,t2m
2000-01,2000-01-01,22.63,292.7131
2000-01,2000-01-01,22.63,292.4146
2000-01,2000-01-01,22.38,293.41794
2000-01,2000-01-01,22.38,292.77686
2000-01,2000-01-01,22.13,294.18826
2000-01,2000-01-01,22.13,293.59348
2000-02,2000-02-01,22.63,294.51508
2000-02,2000-02-01,22.63,294.274
2000-02,2000-02-01,22.38,294.82385
2000-02,2000-02-01,22.38,294.64545
2000-02,2000-02-01,22.13,295.22467
2000-02,2000-02-01,22.13,295.07843
2000-03,2000-03-01,22.63,298.6421
2000-03,2000-03-01,22.63,298.3474
2000-03,2000-03-01,22.38,298.63397
2000-03,2000-03-01,22.38,298.67596
2000-03,2000-03-01,22.13,298.6649
2000-03,2000-03-01,22.13,298.71832
2000-04,2000-04-01,22.63,300.94632
2000-04,2000-04-01,22.63,300.6374
2000-04,2000-04-01,22.38,300.9016
2000-04,2000-04-01,22.38,300.84558
2000-04,2000-04-01,22.13,300.9901
2000-04,2000-04-01,22.13,300.95505
2000-05,2000-05-01,22.63,300.67413
2000-05,2000-05-01,22.63,300.3318
2000-05,2000-05-01,22.38,300.7749
2000-05,2000-05-01,22.38,300.4679
2000-05,2000-05-01,22.13,300.95584
2000-05,2000-05-01,22.13,300.6679
2000-06,2000-06-01,22.63,300.7343
2000-06,2000-06-01,22.63,300.6283
2000-06,2000-06-01,22.38,300.69568
2000-06,2000-06-01,22.38,300.59564
2000-06,2000-06-01,22.13,300.6761
2000-06,2000-06-01,22.13,300.57632
2000-07,2000-07-01,22.63,300.4682
2000-07,2000-07-01,22.63,300.43298
2000-07,2000-07-01,22.38,300.35236
2000-07,2000-07-01,22.38,300.32913
2000-07,2000-07-01,22.13,300.28558
2000-07,2000-07-01,22.13,300.2584
2000-08,2000-08-01,22.63,300.5569
2000-08,2000-08-01,22.63,300.48895
2000-08,2000-08-01,22.38,300.4393
2000-08,2000-08-01,22.38,300.40463
2000-08,2000-08-01,22.13,300.3568
2000-08,2000-08-01,22.13,300.3191
2000-09,2000-09-01,22.63,300.39066
2000-09,2000-09-01,22.63,300.384
2000-09,2000-09-01,22.38,300.2963
2000-09,2000-09-01,22.38,300.28583
2000-09,2000-09-01,22.13,300.23984
2000-09,2000-09-01,22.13,300.22937
2000-10,2000-10-01,22.63,300.32608
2000-10,2000-10-01,22.63,300.26016
2000-10,2000-10-01,22.38,300.54504
2000-10,2000-10-01,22.38,300.29236
2000-10,2000-10-01,22.13,300.72052
2000-10,2000-10-01,22.13,300.47852
2000-11,2000-11-01,22.63,297.4716
2000-11,2000-11-01,22.63,297.30966
2000-11,2000-11-01,22.38,298.21194
2000-11,2000-11-01,22.38,297.46017
2000-11,2000-11-01,22.13,298.84003
2000-11,2000-11-01,22.13,298.10718
2000-12,2000-12-01,22.63,293.26862
2000-12,2000-12-01,22.63,292.90894
2000-12,2000-12-01,22.38,294.19598
2000-12,2000-12-01,22.38,293.19818
2000-12,2000-12-01,22.13,295.15564
2000-12,2000-12-01,22.13,294.19714
2001-01,2001-01-01,22.63,291.88556
2001-01,2001-01-01,22.63,291.59247
2001-01,2001-01-01,22.38,292.7531
2001-01,2001-01-01,22.38,291.92627
2001-01,2001-01-01,22.13,293.65692
2001-01,2001-01-01,22.13,292.88165
2001-02,2001-02-01,22.63,295.44952
2001-02,2001-02-01,22.63,295.20343
2001-02,2001-02-01,22.38,295.68518
2001-02,2001-02-01,22.38,295.54944
2001-02,2001-02-01,22.13,296.04663
2001-02,2001-02-01,22.13,295.9496
2001-03,2001-03-01,22.63,299.0702
2001-03,2001-03-01,22.63,299.05484
2001-03,2001-03-01,22.38,299.24542
2001-03,2001-03-01,22.38,299.32962
2001-03,2001-03-01,22.13,299.2577
2001-03,2001-03-01,22.13,299.3406
2001-04,2001-04-01,22.63,301.80548
2001-04,2001-04-01,22.63,301.64407
2001-04,2001-04-01,22.38,301.70248
2001-04,2001-04-01,22.38,301.7902
2001-04,2001-04-01,22.13,301.65903
2001-04,2001-04-01,22.13,301.76385
2001-05,2001-05-01,22.63,300.71698
2001-05,2001-05-01,22.63,300.63452
2001-05,2001-05-01,22.38,300.78506
2001-05,2001-05-01,22.38,300.69464
2001-05,2001-05-01,22.13,300.8234
2001-05,2001-05-01,22.13,300.72986
2001-06,2001-06-01,22.63,300.23572
2001-06,2001-06-01,22.63,300.09552
2001-06,2001-06-01,22.38,300.23776
2001-06,2001-06-01,22.38,300.0915
2001-06,2001-06-01,22.13,300.2389
2001-06,2001-06-01,22.13,300.09515
2001-07,2001-07-01,22.63,300.42072
2001-07,2001-07-01,22.63,300.4217
2001-07,2001-07-01,22.38,300.26978
2001-07,2001-07-01,22.38,300.30585
2001-07,2001-07-01,22.13,300.11047
2001-07,2001-07-01,22.13,300.13617
