valid_time,time,latitude,t2m
2000-01,2000-01-01,30.713,278.04248
2000-01,2000-01-01,30.713,279.2636
2000-01,2000-01-01,30.713,279.2329
2000-01,2000-01-01,30.463,279.4336
2000-01,2000-01-01,30.463,279.69495
2000-01,2000-01-01,30.463,279.64487
2000-02,2000-02-01,30.713,279.5433
2000-02,2000-02-01,30.713,280.99402
2000-02,2000-02-01,30.713,280.88358
2000-02,2000-02-01,30.463,280.924
2000-02,2000-02-01,30.463,281.1469
2000-02,2000-02-01,30.463,281.1019
2000-03,2000-03-01,30.713,285.518
2000-03,2000-03-01,30.713,286.84882
2000-03,2000-03-01,30.713,286.57614
2000-03,2000-03-01,30.463,286.71204
2000-03,2000-03-01,30.463,286.8527
2000-03,2000-03-01,30.463,286.67322
2000-04,2000-04-01,30.713,289.38315
2000-04,2000-04-01,30.713,290.77878
2000-04,2000-04-01,30.713,290.6175
2000-04,2000-04-01,30.463,290.66675
2000-04,2000-04-01,30.463,290.8619
2000-04,2000-04-01,30.463,290.63834
2000-05,2000-05-01,30.713,295.8146
2000-05,2000-05-01,30.713,297.70816
2000-05,2000-05-01,30.713,297.54608
2000-05,2000-05-01,30.463,297.5125
2000-05,2000-05-01,30.463,297.80487
2000-05,2000-05-01,30.463,297.29816
2000-06,2000-06-01,30.713,296.17175
2000-06,2000-06-01,30.713,297.64294
2000-06,2000-06-01,30.713,297.559
2000-06,2000-06-01,30.463,297.4441
2000-06,2000-06-01,30.463,297.67126
2000-06,2000-06-01,30.463,297.47137
2000-07,2000-07-01,30.713,299.12637
2000-07,2000-07-01,30.713,300.27222
2000-07,2000-07-01,30.713,300.0196
2000-07,2000-07-01,30.463,300.11853
2000-07,2000-07-01,30.463,300.1869
2000-07,2000-07-01,30.463,299.96268
2000-08,2000-08-01,30.713,297.5326
2000-08,2000-08-01,30.713,298.5477
2000-08,2000-08-01,30.713,298.09567
2000-08,2000-08-01,30.463,298.32053
2000-08,2000-08-01,30.463,298.33722
2000-08,2000-08-01,30.463,298.02145
2000-09,2000-09-01,30.713,293.974
2000-09,2000-09-01,30.713,295.3124
2000-09,2000-09-01,30.713,295.1543
2000-09,2000-09-01,30.463,295.18787
2000-09,2000-09-01,30.463,295.41748
2000-09,2000-09-01,30.463,295.2846
2000-10,2000-10-01,30.713,289.6275
2000-10,2000-10-01,30.713,290.88644
2000-10,2000-10-01,30.713,290.81473
2000-10,2000-10-01,30.463,290.9878
2000-10,2000-10-01,30.463,291.20444
2000-10,2000-10-01,30.463,291.09827
2000-11,2000-11-01,30.713,283.3664
2000-11,2000-11-01,30.713,284.48148
2000-11,2000-11-01,30.713,284.41245
2000-11,2000-11-01,30.463,284.71185
2000-11,2000-11-01,30.463,284.89685
2000-11,2000-11-01,30.463,284.79074
2000-12,2000-12-01,30.713,280.7636
2000-12,2000-12-01,30.713,281.59348
2000-12,2000-12-01,30.713,281.36508
2000-12,2000-12-01,30.463,281.81036
2000-12,2000-12-01,30.463,281.85196
2000-12,2000-12-01,30.463,281.71744
2001-01,2001-01-01,30.713,279.3894
2001-01,2001-01-01,30.713,280.57037
2001-01,2001-01-01,30.713,280.37024
2001-01,2001-01-01,30.463,280.80133
2001-01,2001-01-01,30.463,280.96457
2001-01,2001-01-01,30.463,280.76083
2001-02,2001-02-01,30.713,282.35086
2001-02,2001-02-01,30.713,283.68347
2001-02,2001-02-01,30.713,283.46057
2001-02,2001-02-01,30.463,283.83624
