valid_time,time,latitude,t2m
2000-01,2000-01-01,13.214,297.30292
2000-01,2000-01-01,13.214,297.9176
2000-01,2000-01-01,12.964,297.4181
2000-01,2000-01-01,12.964,297.91385
2000-01,2000-01-01,12.714,297.56683
2000-01,2000-01-01,12.714,298.09277
2000-02,2000-02-01,13.214,299.17487
2000-02,2000-02-01,13.214,299.3214
2000-02,2000-02-01,12.964,299.16562
2000-02,2000-02-01,12.964,299.24356
2000-02,2000-02-01,12.714,299.12723
2000-02,2000-02-01,12.714,299.26407
2000-03,2000-03-01,13.214,300.30646
2000-03,2000-03-01,13.214,300.3683
2000-03,2000-03-01,12.964,300.41318
2000-03,2000-03-01,12.964,300.4018
2000-03,2000-03-01,12.714,300.384
2000-03,2000-03-01,12.714,300.42032
2000-04,2000-04-01,13.214,303.9095
2000-04,2000-04-01,13.214,303.20505
2000-04,2000-04-01,12.964,303.7285
2000-04,2000-04-01,12.964,302.9872
2000-04,2000-04-01,12.714,303.3478
2000-04,2000-04-01,12.714,302.65042
2000-05,2000-05-01,13.214,305.05087
2000-05,2000-05-01,13.214,304.35184
2000-05,2000-05-01,12.964,304.826
2000-05,2000-05-01,12.964,304.07373
2000-05,2000-05-01,12.714,304.51715
2000-05,2000-05-01,12.714,303.6493
2000-06,2000-06-01,13.214,303.81357
2000-06,2000-06-01,13.214,303.3998
2000-06,2000-06-01,12.964,303.6516
2000-06,2000-06-01,12.964,303.16815
2000-06,2000-06-01,12.714,303.49268
2000-06,2000-06-01,12.714,302.90283
2000-07,2000-07-01,13.214,302.73584
2000-07,2000-07-01,13.214,302.51404
2000-07,2000-07-01,12.964,302.79202
2000-07,2000-07-01,12.964,302.48938
2000-07,2000-07-01,12.714,302.89456
2000-07,2000-07-01,12.714,302.4082
2000-08,2000-08-01,13.214,302.01483
2000-08,2000-08-01,13.214,301.9874
2000-08,2000-08-01,12.964,302.0561
2000-08,2000-08-01,12.964,301.95584
2000-08,2000-08-01,12.714,302.11438
2000-08,2000-08-01,12.714,301.8484
2000-09,2000-09-01,13.214,302.10962
2000-09,2000-09-01,13.214,301.9287
2000-09,2000-09-01,12.964,302.03357
2000-09,2000-09-01,12.964,301.79294
2000-09,2000-09-01,12.714,301.96652
2000-09,2000-09-01,12.714,301.5821
2000-10,2000-10-01,13.214,300.262
2000-10,2000-10-01,13.214,300.62015
2000-10,2000-10-01,12.964,300.34106
2000-10,2000-10-01,12.964,300.60037
2000-10,2000-10-01,12.714,300.4938
2000-10,2000-10-01,12.714,300.71854
2000-11,2000-11-01,13.214,299.07025
2000-11,2000-11-01,13.214,299.66772
2000-11,2000-11-01,12.964,299.0783
2000-11,2000-11-01,12.964,299.5405
2000-11,2000-11-01,12.714,299.2113
2000-11,2000-11-01,12.714,299.6239
2000-12,2000-12-01,13.214,297.24927
2000-12,2000-12-01,13.214,298.14304
2000-12,2000-12-01,12.964,297.3343
2000-12,2000-12-01,12.964,298.03522
2000-12,2000-12-01,12.714,297.6151
2000-12,2000-12-01,12.714,298.21524
2001-01,2001-01-01,13.214,297.61755
2001-01,2001-01-01,13.214,298.18173
2001-01,2001-01-01,12.964,297.7859
2001-01,2001-01-01,12.964,298.17163
2001-01,2001-01-01,12.714,297.97238
2001-01,2001-01-01,12.714,298.301
2001-02,2001-02-01,13.214,299.34155
2001-02,2001-02-01,13.214,299.24176
2001-02,2001-02-01,12.964,299.36853
2001-02,2001-02-01,12.964,299.1736
2001-02,2001-02-01,12.714,299.23053
2001-02,2001-02-01,12.714,299.1377
2001-03,2001-03-01,13.214,301.81067
2001-03,2001-03-01,13.214,301.40387
2001-03,2001-03-01,12.964,301.6998
2001-03,2001-03-01,12.964,301.24234
2001-03,2001-03-01,12.714,301.42822
2001-03,2001-03-01,12.714,301.06213
2001-04,2001-04-01,13.214,302.6856
2001-04,2001-04-01,13.214,302.37787
2001-04,2001-04-01,12.964,302.53076
2001-04,2001-04-01,12.964,302.1778
2001-04,2001-04-01,12.714,302.42532
2001-04,2001-04-01,12.714,302.05658
2001-05,2001-05-01,13.214,306.33447
2001-05,2001-05-01,13.214,305.25934
2001-05,2001-05-01,12.964,305.97073
2001-05,2001-05-01,12.964,304.87982
2001-05,2001-05-01,12.714,305.54953
2001-05,2001-05-01,12.714,304.37222
2001-06,2001-06-01,13.214,305.00043
2001-06,2001-06-01,13.214,304.3551
2001-06,2001-06-01,12.964,304.71454
2001-06,2001-06-01,12.964,303.98056
2001-06,2001-06-01,12.714,304.43256
2001-06,2001-06-01,12.714,303.5149
2001-07,2001-07-01,13.214,304.10614
2001-07,2001-07-01,13.214,303.76178
2001-07,2001-07-01,12.964,303.94012
2001-07,2001-07-01,12.964,303.5047
2001-07,2001-07-01,12.714,303.7425
2001-07,2001-07-01,12.714,303.1067
2001-08,2001-08-01,13.214,303.09198
2001-08,2001-08-01,13.214,303.02582
2001-08,2001-08-01,12.964,303.0299
2001-08,2001-08-01,12.964,302.84583
2001-08,2001-08-01,12.714,303.04565
2001-08,2001-08-01,12.714,302.68848
2001-09,2001-09-01,13.214,302.30002
2001-09,2001-09-01,13.214,302.20856
2001-09,2001-09-01,12.964,302.16254
2001-09,2001-09-01,12.964,301.99152
2001-09,2001-09-01,12.714,302.09985
2001-09,2001-09-01,12.714,301.81296
2001-10,2001-10-01,13.214,300.23
2001-10,2001-10-01,13.214,300.52698
2001-10,2001-10-01,12.964,300.33075
2001-10,2001-10-01,12.964,300.55682
2001-10,2001-10-01,12.714,300.49063
2001-10,2001-10-01,12.714,300.66708
2001-11,2001-11-01,13.214,299.0612
2001-11,2001-11-01,13.214,299.50235
2001-11,2001-11-01,12.964,299.0751
2001-11,2001-11-01,12.964,299.4299
2001-11,2001-11-01,12.714,299.2075
2001-11,2001-11-01,12.714,299.52557
2001-12,2001-12-01,13.214,297.17706
2001-12,2001-12-01,13.214,298.05453
2001-12,2001-12-01,12.964,297.27002
2001-12,2001-12-01,12.964,298.0241
2001-12,2001-12-01,12.714,297.57993
2001-12,2001-12-01,12.714,298.2524
2002-01,2002-01-01,13.214,297.4965
2002-01,2002-01-01,13.214,298.01843
2002-01,2002-01-01,12.964,297.67114
2002-01,2002-01-01,12.964,298.09665
2002-01,2002-01-01,12.714,297.89624
2002-01,2002-01-01,12.714,298.2857
2002-02,2002-02-01,13.214,298.18832
2002-02,2002-02-01,13.214,298.52655
2002-02,2002-02-01,12.964,298.40613
2002-02,2002-02-01,12.964,298.64386
2002-02,2002-02-01,12.714,298.57263
2002-02,2002-02-01,12.714,298.8401
2002-03,2002-03-01,13.214,300.83643
2002-03,2002-03-01,13.214,300.65344
2002-03,2002-03-01,12.964,300.91095
2002-03,2002-03-01,12.964,300.68985
2002-03,2002-03-01,12.714,300.82574
2002-03,2002-03-01,12.714,300.70148
2002-04,2002-04-01,13.214,303.7048
2002-04,2002-04-01,13.214,303.09964
2002-04,2002-04-01,12.964,303.57254
2002-04,2002-04-01,12.964,302.9496
2002-04,2002-04-01,12.714,303.28302
2002-04,2002-04-01,12.714,302.7105
2002-05,2002-05-01,13.214,305.63327
2002-05,2002-05-01,13.214,304.73837
2002-05,2002-05-01,12.964,305.38498
2002-05,2002-05-01,12.964,304.46487
2002-05,2002-05-01,12.714,305.02408
2002-05,2002-05-01,12.714,304.01205
2002-06,2002-06-01,13.214,304.16064
2002-06,2002-06-01,13.214,303.8218
2002-06,2002-06-01,12.964,303.87952
2002-06,2002-06-01,12.964,303.48926
2002-06,2002-06-01,12.714,303.81403
2002-06,2002-06-01,12.714,303.2278
2002-07,2002-07-01,13.214,304.45056
2002-07,2002-07-01,13.214,304.06403
2002-07,2002-07-01,12.964,304.23322
2002-07,2002-07-01,12.964,303.79456
2002-07,2002-07-01,12.714,304.0655
2002-07,2002-07-01,12.714,303.52197
2002-08,2002-08-01,13.214,303.52737
2002-08,2002-08-01,13.214,303.15985
2002-08,2002-08-01,12.964,303.46463
2002-08,2002-08-01,12.964,303.03186
2002-08,2002-08-01,12.714,303.4218
2002-08,2002-08-01,12.714,302.8549
2002-09,2002-09-01,13.214,303.17352
2002-09,2002-09-01,13.214,302.91248
2002-09,2002-09-01,12.964,303.00684
2002-09,2002-09-01,12.964,302.65143
2002-09,2002-09-01,12.714,302.93127
2002-09,2002-09-01,12.714,302.47137
2002-10,2002-10-01,13.214,300.43536
2002-10,2002-10-01,13.214,300.58978
2002-10,2002-10-01,12.964,300.4386
2002-10,2002-10-01,12.964,300.51355
2002-10,2002-10-01,12.714,300.52792
2002-10,2002-10-01,12.714,300.5453
2002-11,2002-11-01,13.214,298.44336
2002-11,2002-11-01,13.214,299.05246
2002-11,2002-11-01,12.964,298.5572
2002-11,2002-11-01,12.964,299.06976
2002-11,2002-11-01,12.714,298.80048
2002-11,2002-11-01,12.714,299.24472
2002-12,2002-12-01,13.214,296.79333
2002-12,2002-12-01,13.214,297.65723
2002-12,2002-12-01,12.964,297.00357
2002-12,2002-12-01,12.964,297.72992
2002-12,2002-12-01,12.714,297.38016
2002-12,2002-12-01,12.714,297.99973
2003-01,2003-01-01,13.214,297.39264
2003-01,2003-01-01,13.214,297.8584
2003-01,2003-01-01,12.964,297.58673
2003-01,2003-01-01,12.964,297.92758
2003-01,2003-01-01,12.714,297.81232
2003-01,2003-01-01,12.714,298.09335
2003-02,2003-02-01,13.214,299.39093
2003-02,2003-02-01,13.214,299.29288
2003-02,2003-02-01,12.964,299.5221
2003-02,2003-02-01,12.964,299.3452
2003-02,2003-02-01,12.714,299.49576
2003-02,2003-02-01,12.714,299.36322
2003-03,2003-03-01,13.214,301.07135
2003-03,2003-03-01,13.214,300.81345
2003-03,2003-03-01,12.964,301.06522
2003-03,2003-03-01,12.964,300.7572
2003-03,2003-03-01,12.714,300.90656
2003-03,2003-03-01,12.714,300.68036
2003-04,2003-04-01,13.214,303.40402
2003-04,2003-04-01,13.214,302.85272
2003-04,2003-04-01,12.964,303.21902
2003-04,2003-04-01,12.964,302.64453
2003-04,2003-04-01,12.714,302.9446
2003-04,2003-04-01,12.714,302.40747
2003-05,2003-05-01,13.214,306.0682
2003-05,2003-05-01,13.214,304.86688
2003-05,2003-05-01,12.964,305.91437
2003-05,2003-05-01,12.964,304.65164
2003-05,2003-05-01,12.714,305.49857
2003-05,2003-05-01,12.714,304.11517
2003-06,2003-06-01,13.214,305.45868
2003-06,2003-06-01,13.214,304.58377
2003-06,2003-06-01,12.964,305.15643
2003-06,2003-06-01,12.964,304.21295
2003-06,2003-06-01,12.714,304.81134
2003-06,2003-06-01,12.714,303.67758
2003-07,2003-07-01,13.214,303.2829
2003-07,2003-07-01,13.214,302.90546
2003-07,2003-07-01,12.964,303.24048
2003-07,2003-07-01,12.964,302.8152
2003-07,2003-07-01,12.714,303.08777
2003-07,2003-07-01,12.714,302.57303
2003-08,2003-08-01,13.214,302.206
2003-08,2003-08-01,13.214,302.13187
2003-08,2003-08-01,12.964,302.2135
2003-08,2003-08-01,12.964,302.07672
2003-08,2003-08-01,12.714,302.12418
2003-08,2003-08-01,12.714,301.93887
2003-09,2003-09-01,13.214,302.58987
2003-09,2003-09-01,13.214,302.4508
2003-09,2003-09-01,12.964,302.5929
2003-09,2003-09-01,12.964,302.38684
2003-09,2003-09-01,12.714,302.6784
2003-09,2003-09-01,12.714,302.3479
2003-10,2003-10-01,13.214,300.7271
2003-10,2003-10-01,13.214,300.9401
2003-10,2003-10-01,12.964,300.86856
2003-10,2003-10-01,12.964,301.00208
2003-10,2003-10-01,12.714,301.0384
2003-10,2003-10-01,12.714,301.06497
2003-11,2003-11-01,13.214,299.4021
2003-11,2003-11-01,13.214,299.98047
2003-11,2003-11-01,12.964,299.3923
2003-11,2003-11-01,12.964,299.8209
2003-11,2003-11-01,12.714,299.4944
2003-11,2003-11-01,12.714,299.8499
2003-12,2003-12-01,13.214,297.75977
2003-12,2003-12-01,13.214,298.3515
2003-12,2003-12-01,12.964,297.8202
2003-12,2003-12-01,12.964,298.2676
2003-12,2003-12-01,12.714,298.04044
2003-12,2003-12-01,12.714,298.42908
2004-01,2004-01-01,13.214,297.39624
