valid_time,time,latitude,t2m
2000-01,2000-01-01,42.184,268.3031
2000-01,2000-01-01,42.184,268.86047
2000-01,2000-01-01,42.184,269.6183
2000-01,2000-01-01,42.184,270.6383
2000-01,2000-01-01,42.184,271.48645
2000-01,2000-01-01,41.934,268.44788
2000-01,2000-01-01,41.934,268.74548
2000-01,2000-01-01,41.934,269.42633
2000-01,2000-01-01,41.934,269.97375
2000-01,2000-01-01,41.934,270.8369
2000-01,2000-01-01,41.684,268.64508
2000-01,2000-01-01,41.684,268.992
2000-01,2000-01-01,41.684,269.153
2000-01,2000-01-01,41.684,269.47144
2000-01,2000-01-01,41.684,269.7312
2000-01,2000-01-01,41.434,268.854
2000-01,2000-01-01,41.434,269.00433
2000-01,2000-01-01,41.434,269.09906
2000-01,2000-01-01,41.434,269.15704
2000-01,2000-01-01,41.434,269.3811
2000-02,2000-02-01,42.184,273.62305
2000-02,2000-02-01,42.184,273.7058
2000-02,2000-02-01,42.184,273.53882
2000-02,2000-02-01,42.184,273.0578
2000-02,2000-02-01,42.184,273.26392
2000-02,2000-02-01,41.934,273.7703
2000-02,2000-02-01,41.934,274.01816
2000-02,2000-02-01,41.934,274.05783
2000-02,2000-02-01,41.934,273.45718
2000-02,2000-02-01,41.934,272.9176
2000-02,2000-02-01,41.684,274.04056
2000-02,2000-02-01,41.684,274.26672
2000-02,2000-02-01,41.684,274.32333
2000-02,2000-02-01,41.684,273.65387
2000-02,2000-02-01,41.684,272.98938
2000-02,2000-02-01,41.434,274.4244
2000-02,2000-02-01,41.434,274.39108
2000-02,2000-02-01,41.434,274.4328
2000-02,2000-02-01,41.434,274.43515
2000-02,2000-02-01,41.434,274.2909
2000-03,2000-03-01,42.184,279.37347
2000-03,2000-03-01,42.184,279.3255
2000-03,2000-03-01,42.184,278.79822
2000-03,2000-03-01,42.184,277.49182
2000-03,2000-03-01,42.184,276.93085
2000-03,2000-03-01,41.934,279.74268
2000-03,2000-03-01,41.934,279.84552
2000-03,2000-03-01,41.934,279.61316
2000-03,2000-03-01,41.934,278.70312
2000-03,2000-03-01,41.934,277.4245
2000-03,2000-03-01,41.684,280.10858
2000-03,2000-03-01,41.684,280.14374
2000-03,2000-03-01,41.684,280.10553
2000-03,2000-03-01,41.684,279.25073
2000-03,2000-03-01,41.684,278.4532
2000-03,2000-03-01,41.434,280.5304
2000-03,2000-03-01,41.434,280.4433
2000-03,2000-03-01,41.434,280.38312
2000-03,2000-03-01,41.434,280.30945
2000-03,2000-03-01,41.434,280.0713
2000-04,2000-04-01,42.184,281.40308
