valid_time,time,latitude,t2m
2000-01,2000-01-01,39.283,271.5467
2000-01,2000-01-01,39.283,271.5856
2000-01,2000-01-01,39.033,272.2055
2000-01,2000-01-01,39.033,272.17346
2000-02,2000-02-01,39.283,277.67587
2000-02,2000-02-01,39.283,277.74625
2000-02,2000-02-01,39.033,278.0547
2000-02,2000-02-01,39.033,278.04486
2000-03,2000-03-01,39.283,282.0919
2000-03,2000-03-01,39.283,282.17242
2000-03,2000-03-01,39.033,282.3857
2000-03,2000-03-01,39.033,282.3885
2000-04,2000-04-01,39.283,284.92267
2000-04,2000-04-01,39.283,284.95383
2000-04,2000-04-01,39.033,285.14136
2000-04,2000-04-01,39.033,285.11096
2000-05,2000-05-01,39.283,292.34836
2000-05,2000-05-01,39.283,292.42307
2000-05,2000-05-01,39.033,292.53784
2000-05,2000-05-01,39.033,292.5
2000-06,2000-06-01,39.283,295.647
2000-06,2000-06-01,39.283,295.75677
2000-06,2000-06-01,39.033,295.79892
2000-06,2000-06-01,39.033,295.78415
2000-07,2000-07-01,39.283,296.06583
2000-07,2000-07-01,39.283,296.08057
2000-07,2000-07-01,39.033,296.198
2000-07,2000-07-01,39.033,296.08435
2000-08,2000-08-01,39.283,295.95956
2000-08,2000-08-01,39.283,295.9543
2000-08,2000-08-01,39.033,296.17426
2000-08,2000-08-01,39.033,296.04224
2000-09,2000-09-01,39.283,291.42764
2000-09,2000-09-01,39.283,291.4901
2000-09,2000-09-01,39.033,291.60324
2000-09,2000-09-01,39.033,291.578
2000-10,2000-10-01,39.283,287.3107
2000-10,2000-10-01,39.283,287.41284
2000-10,2000-10-01,39.033,287.5768
2000-10,2000-10-01,39.033,287.6268
2000-11,2000-11-01,39.283,278.7663
2000-11,2000-11-01,39.283,278.8877
2000-11,2000-11-01,39.033,278.98035
2000-11,2000-11-01,39.033,279.03802
2000-12,2000-12-01,39.283,268.14233
2000-12,2000-12-01,39.283,268.53342
2000-12,2000-12-01,39.033,268.8301
2000-12,2000-12-01,39.033,269.09015
2001-01,2001-01-01,39.283,272.2597
2001-01,2001-01-01,39.283,272.27676
2001-01,2001-01-01,39.033,272.39532
2001-01,2001-01-01,39.033,272.40222
2001-02,2001-02-01,39.283,275.78735
2001-02,2001-02-01,39.283,275.87335
2001-02,2001-02-01,39.033,276.24493
2001-02,2001-02-01,39.033,276.28207
2001-03,2001-03-01,39.283,277.36224
2001-03,2001-03-01,39.283,277.40015
2001-03,2001-03-01,39.033,277.62582
2001-03,2001-03-01,39.033,277.60367
2001-04,2001-04-01,39.283,287.9049
2001-04,2001-04-01,39.283,287.92032
2001-04,2001-04-01,39.033,288.14917
2001-04,2001-04-01,39.033,288.09247
2001-05,2001-05-01,39.283,291.65347
2001-05,2001-05-01,39.283,291.62305
2001-05,2001-05-01,39.033,291.77216
2001-05,2001-05-01,39.033,291.71225
2001-06,2001-06-01,39.283,294.88675
2001-06,2001-06-01,39.283,294.9319
2001-06,2001-06-01,39.033,294.96307
2001-06,2001-06-01,39.033,294.90652
2001-07,2001-07-01,39.283,297.25928
2001-07,2001-07-01,39.283,297.19452
2001-07,2001-07-01,39.033,297.2918
2001-07,2001-07-01,39.033,297.1321
2001-08,2001-08-01,39.283,297.3208
2001-08,2001-08-01,39.283,297.3491
2001-08,2001-08-01,39.033,297.4736
2001-08,2001-08-01,39.033,297.35687
2001-09,2001-09-01,39.283,291.2989
2001-09,2001-09-01,39.283,291.3282
2001-09,2001-09-01,39.033,291.59134
2001-09,2001-09-01,39.033,291.48358
2001-10,2001-10-01,39.283,286.4303
2001-10,2001-10-01,39.283,286.4815
2001-10,2001-10-01,39.033,286.57556
2001-10,2001-10-01,39.033,286.5548
2001-11,2001-11-01,39.283,283.2932
2001-11,2001-11-01,39.283,283.35294
2001-11,2001-11-01,39.033,283.52313
2001-11,2001-11-01,39.033,283.51593
2001-12,2001-12-01,39.283,277.29074
2001-12,2001-12-01,39.283,277.40485
2001-12,2001-12-01,39.033,277.65973
2001-12,2001-12-01,39.033,277.71133
2002-01,2002-01-01,39.283,275.8425
2002-01,2002-01-01,39.283,275.88745
2002-01,2002-01-01,39.033,276.05984
2002-01,2002-01-01,39.033,276.05035
2002-02,2002-02-01,39.283,275.94458
2002-02,2002-02-01,39.283,276.0052
2002-02,2002-02-01,39.033,276.20108
2002-02,2002-02-01,39.033,276.18665
2002-03,2002-03-01,39.283,278.73828
2002-03,2002-03-01,39.283,278.85574
2002-03,2002-03-01,39.033,279.10046
2002-03,2002-03-01,39.033,279.1686
2002-04,2002-04-01,39.283,286.65015
2002-04,2002-04-01,39.283,286.7579
2002-04,2002-04-01,39.033,286.99115
2002-04,2002-04-01,39.033,287.00085
2002-05,2002-05-01,39.283,289.2074
2002-05,2002-05-01,39.283,289.27643
2002-05,2002-05-01,39.033,289.44
