valid_time,time,latitude,t2m
2000-01,2000-01-01,31.786,282.15067
2000-01,2000-01-01,31.786,282.44125
2000-01,2000-01-01,31.536,282.1668
2000-01,2000-01-01,31.536,282.50296
2000-02,2000-02-01,31.786,285.21545
2000-02,2000-02-01,31.786,285.49008
2000-02,2000-02-01,31.536,285.38876
2000-02,2000-02-01,31.536,285.72226
2000-03,2000-03-01,31.786,287.23865
2000-03,2000-03-01,31.786,287.599
2000-03,2000-03-01,31.536,287.35666
2000-03,2000-03-01,31.536,287.76935
2000-04,2000-04-01,31.786,293.44775
2000-04,2000-04-01,31.786,293.61804
2000-04,2000-04-01,31.536,293.5475
2000-04,2000-04-01,31.536,293.73178
2000-05,2000-05-01,31.786,299.22232
2000-05,2000-05-01,31.786,299.38638
2000-05,2000-05-01,31.536,299.2443
2000-05,2000-05-01,31.536,299.4458
2000-06,2000-06-01,31.786,300.19263
2000-06,2000-06-01,31.786,300.31192
2000-06,2000-06-01,31.536,300.14792
2000-06,2000-06-01,31.536,300.3379
2000-07,2000-07-01,31.786,302.20715
2000-07,2000-07-01,31.786,302.4372
2000-07,2000-07-01,31.536,302.2523
2000-07,2000-07-01,31.536,302.5003
2000-08,2000-08-01,31.786,300.2773
2000-08,2000-08-01,31.786,300.6953
2000-08,2000-08-01,31.536,300.16077
2000-08,2000-08-01,31.536,300.55133
2000-09,2000-09-01,31.786,299.3424
2000-09,2000-09-01,31.786,299.46136
2000-09,2000-09-01,31.536,299.37177
2000-09,2000-09-01,31.536,299.48862
2000-10,2000-10-01,31.786,290.0571
2000-10,2000-10-01,31.786,290.31424
2000-10,2000-10-01,31.536,290.09705
2000-10,2000-10-01,31.536,290.27612
2000-11,2000-11-01,31.786,281.39056
2000-11,2000-11-01,31.786,281.69107
2000-11,2000-11-01,31.536,281.63983
2000-11,2000-11-01,31.536,281.95212
2000-12,2000-12-01,31.786,279.78076
2000-12,2000-12-01,31.786,280.0302
2000-12,2000-12-01,31.536,279.8839
2000-12,2000-12-01,31.536,280.18372
2001-01,2001-01-01,31.786,278.69226
