valid_time,time,latitude,t2m
2000-01,2000-01-01,30.235,278.68622
2000-01,2000-01-01,30.235,278.82587
2000-01,2000-01-01,30.235,279.1786
2000-01,2000-01-01,29.985,278.25864
2000-01,2000-01-01,29.985,278.3509
2000-01,2000-01-01,29.985,278.94604
2000-02,2000-02-01,30.235,278.51233
2000-02,2000-02-01,30.235,278.35867
2000-02,2000-02-01,30.235,278.28333
2000-02,2000-02-01,29.985,278.20633
2000-02,2000-02-01,29.985,278.0355
2000-02,2000-02-01,29.985,278.2894
2000-03,2000-03-01,30.235,284.48126
2000-03,2000-03-01,30.235,284.16986
2000-03,2000-03-01,30.235,283.46234
2000-03,2000-03-01,29.985,284.23544
2000-03,2000-03-01,29.985,284.03333
2000-03,2000-03-01,29.985,283.89444
2000-04,2000-04-01,30.235,289.81625
2000-04,2000-04-01,30.235,289.25354
2000-04,2000-04-01,30.235,287.96884
2000-04,2000-04-01,29.985,289.77304
2000-04,2000-04-01,29.985,289.37177
2000-04,2000-04-01,29.985,288.89368
2000-05,2000-05-01,30.235,295.4839
2000-05,2000-05-01,30.235,294.7865
2000-05,2000-05-01,30.235,293.403
2000-05,2000-05-01,29.985,295.36084
2000-05,2000-05-01,29.985,294.8708
2000-05,2000-05-01,29.985,294.31104
2000-06,2000-06-01,30.235,298.60382
2000-06,2000-06-01,30.235,298.1776
2000-06,2000-06-01,30.235,297.2627
2000-06,2000-06-01,29.985,298.33914
2000-06,2000-06-01,29.985,298.1116
2000-06,2000-06-01,29.985,297.9385
2000-07,2000-07-01,30.235,302.49866
2000-07,2000-07-01,30.235,301.9774
2000-07,2000-07-01,30.235,300.9379
2000-07,2000-07-01,29.985,302.0779
2000-07,2000-07-01,29.985,301.73962
2000-07,2000-07-01,29.985,301.49515
2000-08,2000-08-01,30.235,301.36597
2000-08,2000-08-01,30.235,301.0218
2000-08,2000-08-01,30.235,300.61066
2000-08,2000-08-01,29.985,300.70624
2000-08,2000-08-01,29.985,300.37616
2000-08,2000-08-01,29.985,300.4449
2000-09,2000-09-01,30.235,297.66632
2000-09,2000-09-01,30.235,297.5713
2000-09,2000-09-01,30.235,297.66376
2000-09,2000-09-01,29.985,297.08356
2000-09,2000-09-01,29.985,296.96045
2000-09,2000-09-01,29.985,297.30698
2000-10,2000-10-01,30.235,293.09018
2000-10,2000-10-01,30.235,293.1688
2000-10,2000-10-01,30.235,293.50244
2000-10,2000-10-01,29.985,292.49283
2000-10,2000-10-01,29.985,292.5103
2000-10,2000-10-01,29.985,293.0366
2000-11,2000-11-01,30.235,286.12384
2000-11,2000-11-01,30.235,286.54633
2000-11,2000-11-01,30.235,287.42804
2000-11,2000-11-01,29.985,285.41748
2000-11,2000-11-01,29.985,285.75128
2000-11,2000-11-01,29.985,286.7317
2000-12,2000-12-01,30.235,282.76755
2000-12,2000-12-01,30.235,282.92487
2000-12,2000-12-01,30.235,283.61014
2000-12,2000-12-01,29.985,282.11868
2000-12,2000-12-01,29.985,282.24597
2000-12,2000-12-01,29.985,282.9931
2001-01,2001-01-01,30.235,279.81946
2001-01,2001-01-01,30.235,279.8827
2001-01,2001-01-01,30.235,280.37616
2001-01,2001-01-01,29.985,279.46292
2001-01,2001-01-01,29.985,279.50488
2001-01,2001-01-01,29.985,280.10748
2001-02,2001-02-01,30.235,281.07422
2001-02,2001-02-01,30.235,281.02667
2001-02,2001-02-01,30.235,280.7823
2001-02,2001-02-01,29.985,280.8771
2001-02,2001-02-01,29.985,280.87766
2001-02,2001-02-01,29.985,281.10385
2001-03,2001-03-01,30.235,285.22058
2001-03,2001-03-01,30.235,284.79755
2001-03,2001-03-01,30.235,283.85825
2001-03,2001-03-01,29.985,285.13037
2001-03,2001-03-01,29.985,284.86774
2001-03,2001-03-01,29.985,284.5879
2001-04,2001-04-01,30.235,289.4595
2001-04,2001-04-01,30.235,289.05664
2001-04,2001-04-01,30.235,288.05008
2001-04,2001-04-01,29.985,289.3329
2001-04,2001-04-01,29.985,289.04486
2001-04,2001-04-01,29.985,288.76028
2001-05,2001-05-01,30.235,294.73813
2001-05,2001-05-01,30.235,294.11414
2001-05,2001-05-01,30.235,293.0146
2001-05,2001-05-01,29.985,294.5802
2001-05,2001-05-01,29.985,294.1452
2001-05,2001-05-01,29.985,293.7793
2001-06,2001-06-01,30.235,298.19745
2001-06,2001-06-01,30.235,297.94098
2001-06,2001-06-01,30.235,297.2823
2001-06,2001-06-01,29.985,297.95908
2001-06,2001-06-01,29.985,297.81412
2001-06,2001-06-01,29.985,297.78314
2001-07,2001-07-01,30.235,303.84717
2001-07,2001-07-01,30.235,303.04163
2001-07,2001-07-01,30.235,301.7329
2001-07,2001-07-01,29.985,303.3562
2001-07,2001-07-01,29.985,302.75305
2001-07,2001-07-01,29.985,302.30554
2001-08,2001-08-01,30.235,300.51636
2001-08,2001-08-01,30.235,300.3661
2001-08,2001-08-01,30.235,300.298
2001-08,2001-08-01,29.985,300.05
2001-08,2001-08-01,29.985,299.83957
2001-08,2001-08-01,29.985,300.0907
2001-09,2001-09-01,30.235,297.69464
2001-09,2001-09-01,30.235,297.67578
2001-09,2001-09-01,30.235,297.80646
2001-09,2001-09-01,29.985,296.99854
2001-09,2001-09-01,29.985,296.87244
2001-09,2001-09-01,29.985,297.2972
2001-10,2001-10-01,30.235,293.21317
2001-10,2001-10-01,30.235,293.16565
2001-10,2001-10-01,30.235,293.57413
2001-10,2001-10-01,29.985,292.48624
2001-10,2001-10-01,29.985,292.4114
2001-10,2001-10-01,29.985,292.89935
2001-11,2001-11-01,30.235,286.56064
2001-11,2001-11-01,30.235,286.63406
2001-11,2001-11-01,30.235,287.56003
2001-11,2001-11-01,29.985,285.81073
2001-11,2001-11-01,29.985,285.7661
2001-11,2001-11-01,29.985,286.56107
2001-12,2001-12-01,30.235,280.71082
2001-12,2001-12-01,30.235,280.9803
2001-12,2001-12-01,30.235,281.8496
2001-12,2001-12-01,29.985,280.151
2001-12,2001-12-01,29.985,280.2876
2001-12,2001-12-01,29.985,281.14038
2002-01,2002-01-01,30.235,280.9016
2002-01,2002-01-01,30.235,280.8434
2002-01,2002-01-01,30.235,280.75598
2002-01,2002-01-01,29.985,280.60504
2002-01,2002-01-01,29.985,280.59717
2002-01,2002-01-01,29.985,280.82358
2002-02,2002-02-01,30.235,282.12482
2002-02,2002-02-01,30.235,281.89685
2002-02,2002-02-01,30.235,281.4231
2002-02,2002-02-01,29.985,281.9697
2002-02,2002-02-01,29.985,281.8335
2002-02,2002-02-01,29.985,281.87662
2002-03,2002-03-01,30.235,286.8775
2002-03,2002-03-01,30.235,286.5413
2002-03,2002-03-01,30.235,285.44177
2002-03,2002-03-01,29.985,286.90674
2002-03,2002-03-01,29.985,286.72226
2002-03,2002-03-01,29.985,286.4725
2002-04,2002-04-01,30.235,290.7581
2002-04,2002-04-01,30.235,290.44153
2002-04,2002-04-01,30.235,289.29327
2002-04,2002-04-01,29.985,290.72836
2002-04,2002-04-01,29.985,290.54343
2002-04,2002-04-01,29.985,290.23703
2002-05,2002-05-01,30.235,293.8942
2002-05,2002-05-01,30.235,293.562
2002-05,2002-05-01,30.235,292.9466
2002-05,2002-05-01,29.985,293.69482
2002-05,2002-05-01,29.985,293.50348
2002-05,2002-05-01,29.985,293.44696
2002-06,2002-06-01,30.235,299.64386
2002-06,2002-06-01,30.235,299.11243
2002-06,2002-06-01,30.235,298.01694
2002-06,2002-06-01,29.985,299.62732
2002-06,2002-06-01,29.985,299.2505
2002-06,2002-06-01,29.985,298.90518
2002-07,2002-07-01,30.235,301.4336
2002-07,2002-07-01,30.235,301.0144
2002-07,2002-07-01,30.235,300.21506
2002-07,2002-07-01,29.985,301.20953
2002-07,2002-07-01,29.985,300.94354
2002-07,2002-07-01,29.985,300.77258
2002-08,2002-08-01,30.235,300.96692
2002-08,2002-08-01,30.235,300.78625
2002-08,2002-08-01,30.235,300.50897
2002-08,2002-08-01,29.985,300.47644
2002-08,2002-08-01,29.985,300.34854
2002-08,2002-08-01,29.985,300.50647
2002-09,2002-09-01,30.235,297.89984
2002-09,2002-09-01,30.235,297.77795
2002-09,2002-09-01,30.235,297.82797
2002-09,2002-09-01,29.985,297.32428
2002-09,2002-09-01,29.985,297.22073
2002-09,2002-09-01,29.985,297.55145
2002-10,2002-10-01,30.235,293.14047
2002-10,2002-10-01,30.235,293.1034
