valid_time,time,latitude,t2m
2000-01,2000-01-01,41.522,270.46112
2000-01,2000-01-01,41.522,270.33252
2000-01,2000-01-01,41.522,270.22488
2000-01,2000-01-01,41.272,270.06775
2000-01,2000-01-01,41.272,270.07843
2000-01,2000-01-01,41.272,270.1032
2000-02,2000-02-01,41.522,273.60995
2000-02,2000-02-01,41.522,273.78244
2000-02,2000-02-01,41.522,273.797
2000-02,2000-02-01,41.272,274.74408
2000-02,2000-02-01,41.272,274.66754
2000-02,2000-02-01,41.272,274.61465
2000-03,2000-03-01,41.522,278.73322
2000-03,2000-03-01,41.522,278.82272
2000-03,2000-03-01,41.522,278.6494
2000-03,2000-03-01,41.272,279.6004
2000-03,2000-03-01,41.272,279.5479
2000-03,2000-03-01,41.272,279.47852
2000-04,2000-04-01,41.522,281.47467
2000-04,2000-04-01,41.522,281.43857
2000-04,2000-04-01,41.522,281.3739
2000-04,2000-04-01,41.272,281.9451
2000-04,2000-04-01,41.272,281.9807
2000-04,2000-04-01,41.272,281.99976
2000-05,2000-05-01,41.522,290.02512
2000-05,2000-05-01,41.522,289.81567
2000-05,2000-05-01,41.522,289.51163
2000-05,2000-05-01,41.272,289.98364
2000-05,2000-05-01,41.272,289.75977
2000-05,2000-05-01,41.272,289.5901
2000-06,2000-06-01,41.522,294.5252
2000-06,2000-06-01,41.522,294.17896
2000-06,2000-06-01,41.522,293.75598
2000-06,2000-06-01,41.272,293.9306
2000-06,2000-06-01,41.272,293.7183
2000-06,2000-06-01,41.272,293.55054
2000-07,2000-07-01,41.522,294.80054
2000-07,2000-07-01,41.522,294.39038
2000-07,2000-07-01,41.522,293.92538
2000-07,2000-07-01,41.272,293.887
2000-07,2000-07-01,41.272,293.70886
2000-07,2000-07-01,41.272,293.50705
2000-08,2000-08-01,41.522,294.85236
2000-08,2000-08-01,41.522,294.39914
2000-08,2000-08-01,41.522,293.89496
2000-08,2000-08-01,41.272,293.86447
2000-08,2000-08-01,41.272,293.6759
2000-08,2000-08-01,41.272,293.45517
2000-09,2000-09-01,41.522,291.0241
2000-09,2000-09-01,41.522,290.7135
2000-09,2000-09-01,41.522,290.28345
2000-09,2000-09-01,41.272,290.2058
2000-09,2000-09-01,41.272,290.00253
2000-09,2000-09-01,41.272,289.82452
2000-10,2000-10-01,41.522,286.32928
2000-10,2000-10-01,41.522,286.06995
2000-10,2000-10-01,41.522,285.74426
2000-10,2000-10-01,41.272,285.69128
2000-10,2000-10-01,41.272,285.5573
2000-10,2000-10-01,41.272,285.39703
2000-11,2000-11-01,41.522,278.71362
2000-11,2000-11-01,41.522,278.1512
2000-11,2000-11-01,41.522,277.7024
2000-11,2000-11-01,41.272,277.50217
2000-11,2000-11-01,41.272,277.30032
2000-11,2000-11-01,41.272,277.10202
2000-12,2000-12-01,41.522,268.56955
2000-12,2000-12-01,41.522,268.3665
2000-12,2000-12-01,41.522,268.03293
2000-12,2000-12-01,41.272,267.58493
2000-12,2000-12-01,41.272,267.4337
2000-12,2000-12-01,41.272,267.2754
2001-01,2001-01-01,41.522,270.43106
2001-01,2001-01-01,41.522,270.30817
2001-01,2001-01-01,41.522,270.25525
2001-01,2001-01-01,41.272,270.71536
2001-01,2001-01-01,41.272,270.63553
2001-01,2001-01-01,41.272,270.5938
2001-02,2001-02-01,41.522,272.5589
2001-02,2001-02-01,41.522,272.68494
2001-02,2001-02-01,41.522,272.599
2001-02,2001-02-01,41.272,273.5569
2001-02,2001-02-01,41.272,273.47043
2001-02,2001-02-01,41.272,273.48694
2001-03,2001-03-01,41.522,273.7869
2001-03,2001-03-01,41.522,273.64896
2001-03,2001-03-01,41.522,273.476
2001-03,2001-03-01,41.272,274.2813
2001-03,2001-03-01,41.272,274.20624
2001-03,2001-03-01,41.272,274.18744
2001-04,2001-04-01,41.522,282.80945
2001-04,2001-04-01,41.522,282.9804
2001-04,2001-04-01,41.522,282.87424
2001-04,2001-04-01,41.272,284.26764
2001-04,2001-04-01,41.272,284.23257
2001-04,2001-04-01,41.272,284.16293
2001-05,2001-05-01,41.522,289.12128
2001-05,2001-05-01,41.522,288.95908
2001-05,2001-05-01,41.522,288.7127
2001-05,2001-05-01,41.272,288.96878
2001-05,2001-05-01,41.272,288.77704
2001-05,2001-05-01,41.272,288.60858
2001-06,2001-06-01,41.522,294.35004
2001-06,2001-06-01,41.522,293.96713
2001-06,2001-06-01,41.522,293.5414
2001-06,2001-06-01,41.272,293.46872
2001-06,2001-06-01,41.272,293.31644
2001-06,2001-06-01,41.272,293.14584
2001-07,2001-07-01,41.522,296.09134
2001-07,2001-07-01,41.522,295.64636
2001-07,2001-07-01,41.522,295.184
2001-07,2001-07-01,41.272,295.1515
2001-07,2001-07-01,41.272,294.9442
2001-07,2001-07-01,41.272,294.781
2001-08,2001-08-01,41.522,296.5628
2001-08,2001-08-01,41.522,296.20044
2001-08,2001-08-01,41.522,295.8825
2001-08,2001-08-01,41.272,295.58987
2001-08,2001-08-01,41.272,295.46243
2001-08,2001-08-01,41.272,295.46082
2001-09,2001-09-01,41.522,290.56845
2001-09,2001-09-01,41.522,290.1618
2001-09,2001-09-01,41.522,289.79056
2001-09,2001-09-01,41.272,289.45047
2001-09,2001-09-01,41.272,289.35352
2001-09,2001-09-01,41.272,289.27826
2001-10,2001-10-01,41.522,285.497
2001-10,2001-10-01,41.522,285.28772
2001-10,2001-10-01,41.522,285.01514
2001-10,2001-10-01,41.272,285.1336
2001-10,2001-10-01,41.272,284.97382
2001-10,2001-10-01,41.272,284.87616
2001-11,2001-11-01,41.522,282.60693
2001-11,2001-11-01,41.522,282.35522
2001-11,2001-11-01,41.522,282.117
2001-11,2001-11-01,41.272,282.19904
2001-11,2001-11-01,41.272,282.01593
2001-11,2001-11-01,41.272,281.85675
2001-12,2001-12-01,41.522,277.05325
2001-12,2001-12-01,41.522,276.65445
2001-12,2001-12-01,41.522,276.33832
2001-12,2001-12-01,41.272,276.1064
2001-12,2001-12-01,41.272,275.9998
2001-12,2001-12-01,41.272,275.8681
2002-01,2002-01-01,41.522,274.44745
2002-01,2002-01-01,41.522,274.4445
2002-01,2002-01-01,41.522,274.37323
2002-01,2002-01-01,41.272,274.65994
2002-01,2002-01-01,41.272,274.51855
2002-01,2002-01-01,41.272,274.46808
2002-02,2002-02-01,41.522,274.26807
2002-02,2002-02-01,41.522,274.11636
2002-02,2002-02-01,41.522,273.9661
2002-02,2002-02-01,41.272,274.30847
2002-02,2002-02-01,41.272,274.2026
2002-02,2002-02-01,41.272,274.1595
2002-03,2002-03-01,41.522,275.67365
2002-03,2002-03-01,41.522,275.76056
2002-03,2002-03-01,41.522,275.73596
2002-03,2002-03-01,41.272,276.2716
2002-03,2002-03-01,41.272,276.24847
2002-03,2002-03-01,41.272,276.31366
2002-04,2002-04-01,41.522,282.457
2002-04,2002-04-01,41.522,282.71567
2002-04,2002-04-01,41.522,282.58102
2002-04,2002-04-01,41.272,283.63736
2002-04,2002-04-01,41.272,283.5555
2002-04,2002-04-01,41.272,283.48593
2002-05,2002-05-01,41.522,286.40305
