valid_time,time,latitude,t2m
2000-01,2000-01-01,51.031,276.7527
2000-01,2000-01-01,51.031,276.26852
2000-01,2000-01-01,50.781,276.3481
2000-01,2000-01-01,50.781,276.28406
2000-02,2000-02-01,51.031,278.84088
2000-02,2000-02-01,51.031,278.33994
2000-02,2000-02-01,50.781,278.5719
2000-02,2000-02-01,50.781,278.48297
2000-03,2000-03-01,51.031,279.99683
2000-03,2000-03-01,51.031,279.6604
2000-03,2000-03-01,50.781,279.58353
2000-03,2000-03-01,50.781,279.65506
2000-04,2000-04-01,51.031,284.08252
2000-04,2000-04-01,51.031,283.89832
2000-04,2000-04-01,50.781,283.6606
2000-04,2000-04-01,50.781,283.843
2000-05,2000-05-01,51.031,288.67865
2000-05,2000-05-01,51.031,288.58762
2000-05,2000-05-01,50.781,288.2203
2000-05,2000-05-01,50.781,288.43555
2000-06,2000-06-01,51.031,290.54688
2000-06,2000-06-01,51.031,290.37775
2000-06,2000-06-01,50.781,290.24902
2000-06,2000-06-01,50.781,290.41483
2000-07,2000-07-01,51.031,288.74634
2000-07,2000-07-01,51.031,288.4124
2000-07,2000-07-01,50.781,288.3148
2000-07,2000-07-01,50.781,288.41187
2000-08,2000-08-01,51.031,291.53125
2000-08,2000-08-01,51.031,291.26703
2000-08,2000-08-01,50.781,291.27637
2000-08,2000-08-01,50.781,291.35303
2000-09,2000-09-01,51.031,288.96887
2000-09,2000-09-01,51.031,288.59058
2000-09,2000-09-01,50.781,288.58316
2000-09,2000-09-01,50.781,288.56686
2000-10,2000-10-01,51.031,284.5437
2000-10,2000-10-01,51.031,284.20612
2000-10,2000-10-01,50.781,284.20285
2000-10,2000-10-01,50.781,284.22998
2000-11,2000-11-01,51.031,281.0283
2000-11,2000-11-01,51.031,280.6135
2000-11,2000-11-01,50.781,280.7984
2000-11,2000-11-01,50.781,280.79852
2000-12,2000-12-01,51.031,278.45593
2000-12,2000-12-01,51.031,278.0693
2000-12,2000-12-01,50.781,278.29108
2000-12,2000-12-01,50.781,278.20035
2001-01,2001-01-01,51.031,276.0862
2001-01,2001-01-01,51.031,275.75537
2001-01,2001-01-01,50.781,275.8465
2001-01,2001-01-01,50.781,275.8401
2001-02,2001-02-01,51.031,277.73618
2001-02,2001-02-01,51.031,277.2439
2001-02,2001-02-01,50.781,277.3503
2001-02,2001-02-01,50.781,277.32584
2001-03,2001-03-01,51.031,279.1776
2001-03,2001-03-01,51.031,278.76144
2001-03,2001-03-01,50.781,279.03485
2001-03,2001-03-01,50.781,279.0019
2001-04,2001-04-01,51.031,281.528
2001-04,2001-04-01,51.031,281.17038
2001-04,2001-04-01,50.781,281.10773
2001-04,2001-04-01,50.781,281.1746
2001-05,2001-05-01,51.031,288.51257
2001-05,2001-05-01,51.031,288.38782
2001-05,2001-05-01,50.781,288.09955
2001-05,2001-05-01,50.781,288.3018
2001-06,2001-06-01,51.031,288.76202
2001-06,2001-06-01,51.031,288.39856
2001-06,2001-06-01,50.781,288.3103
2001-06,2001-06-01,50.781,288.41367
2001-07,2001-07-01,51.031,292.50635
2001-07,2001-07-01,51.031,292.1947
2001-07,2001-07-01,50.781,292.13492
2001-07,2001-07-01,50.781,292.28995
2001-08,2001-08-01,51.031,293.1774
2001-08,2001-08-01,51.031,292.6516
2001-08,2001-08-01,50.781,292.7124
2001-08,2001-08-01,50.781,292.70514
2001-09,2001-09-01,51.031,286.23364
2001-09,2001-09-01,51.031,285.7586
2001-09,2001-09-01,50.781,285.77582
2001-09,2001-09-01,50.781,285.77304
2001-10,2001-10-01,51.031,287.60025
2001-10,2001-10-01,51.031,287.14612
2001-10,2001-10-01,50.781,287.43524
2001-10,2001-10-01,50.781,287.26202
2001-11,2001-11-01,51.031,278.8584
2001-11,2001-11-01,51.031,278.43356
2001-11,2001-11-01,50.781,278.36877
2001-11,2001-11-01,50.781,278.35223
2001-12,2001-12-01,51.031,275.4536
2001-12,2001-12-01,51.031,275.11752
2001-12,2001-12-01,50.781,274.93982
2001-12,2001-12-01,50.781,275.01947
2002-01,2002-01-01,51.031,277.06146
2002-01,2002-01-01,51.031,276.52792
2002-01,2002-01-01,50.781,276.89526
2002-01,2002-01-01,50.781,276.70667
2002-02,2002-02-01,51.031,280.256
2002-02,2002-02-01,51.031,279.83258
2002-02,2002-02-01,50.781,279.8713
2002-02,2002-02-01,50.781,279.9146
2002-03,2002-03-01,51.031,280.42242
2002-03,2002-03-01,51.031,280.13058
2002-03,2002-03-01,50.781,280.15973
2002-03,2002-03-01,50.781,280.1608
2002-04,2002-04-01,51.031,282.76895
2002-04,2002-04-01,51.031,282.56
2002-04,2002-04-01,50.781,282.31302
2002-04,2002-04-01,50.781,282.43753
2002-05,2002-05-01,51.031,287.343
2002-05,2002-05-01,51.031,287.14236
2002-05,2002-05-01,50.781,286.92883
2002-05,2002-05-01,50.781,287.0606
2002-06,2002-06-01,51.031,291.2231
2002-06,2002-06-01,51.031,290.97955
2002-06,2002-06-01,50.781,290.8224
2002-06,2002-06-01,50.781,290.95312
2002-07,2002-07-01,51.031,291.3118
2002-07,2002-07-01,51.031,290.9935
2002-07,2002-07-01,50.781,290.88324
2002-07,2002-07-01,50.781,290.95874
2002-08,2002-08-01,51.031,292.21844
2002-08,2002-08-01,51.031,292.01755
