valid_time,time,latitude,t2m
2000-01,2000-01-01,7.169,298.80054
2000-01,2000-01-01,7.169,298.1626
2000-01,2000-01-01,6.919,298.86774
2000-01,2000-01-01,6.919,298.21155
2000-01,2000-01-01,6.669,298.9166
2000-01,2000-01-01,6.669,298.3249
2000-01,2000-01-01,6.419,299.0232
2000-01,2000-01-01,6.419,298.4484
2000-02,2000-02-01,7.169,299.6634
2000-02,2000-02-01,7.169,299.04816
2000-02,2000-02-01,6.919,299.6451
2000-02,2000-02-01,6.919,299.00574
2000-02,2000-02-01,6.669,299.6669
2000-02,2000-02-01,6.669,299.05576
2000-02,2000-02-01,6.419,299.72028
2000-02,2000-02-01,6.419,299.12402
2000-03,2000-03-01,7.169,300.60788
2000-03,2000-03-01,7.169,300.234
2000-03,2000-03-01,6.919,300.3802
2000-03,2000-03-01,6.919,299.94232
2000-03,2000-03-01,6.669,300.28406
2000-03,2000-03-01,6.669,299.68945
2000-03,2000-03-01,6.419,300.20905
2000-03,2000-03-01,6.419,299.63306
2000-04,2000-04-01,7.169,300.72723
2000-04,2000-04-01,7.169,300.01724
2000-04,2000-04-01,6.919,300.61823
2000-04,2000-04-01,6.919,299.88333
2000-04,2000-04-01,6.669,300.58795
2000-04,2000-04-01,6.669,299.93127
2000-04,2000-04-01,6.419,300.67923
2000-04,2000-04-01,6.419,300.0453
2000-05,2000-05-01,7.169,300.74146
2000-05,2000-05-01,7.169,300.0296
2000-05,2000-05-01,6.919,300.63312
2000-05,2000-05-01,6.919,299.90527
2000-05,2000-05-01,6.669,300.5373
2000-05,2000-05-01,6.669,299.96768
2000-05,2000-05-01,6.419,300.5651
2000-05,2000-05-01,6.419,300.01306
2000-06,2000-06-01,7.169,299.94656
2000-06,2000-06-01,7.169,298.99307
2000-06,2000-06-01,6.919,299.88928
2000-06,2000-06-01,6.919,298.93674
2000-06,2000-06-01,6.669,299.84756
2000-06,2000-06-01,6.669,299.1793
2000-06,2000-06-01,6.419,299.93054
2000-06,2000-06-01,6.419,299.28372
2000-07,2000-07-01,7.169,299.82788
2000-07,2000-07-01,7.169,299.08405
2000-07,2000-07-01,6.919,299.7522
2000-07,2000-07-01,6.919,298.9925
2000-07,2000-07-01,6.669,299.71234
2000-07,2000-07-01,6.669,299.13336
2000-07,2000-07-01,6.419,299.7478
2000-07,2000-07-01,6.419,299.1871
2000-08,2000-08-01,7.169,299.21985
2000-08,2000-08-01,7.169,298.44244
2000-08,2000-08-01,6.919,299.16434
2000-08,2000-08-01,6.919,298.38138
2000-08,2000-08-01,6.669,299.16113
2000-08,2000-08-01,6.669,298.5792
2000-08,2000-08-01,6.419,299.26218
2000-08,2000-08-01,6.419,298.6977
2000-09,2000-09-01,7.169,299.48517
2000-09,2000-09-01,7.169,298.7133
2000-09,2000-09-01,6.919,299.41693
2000-09,2000-09-01,6.919,298.63617
2000-09,2000-09-01,6.669,299.41528
2000-09,2000-09-01,6.669,298.7948
2000-09,2000-09-01,6.419,299.52618
2000-09,2000-09-01,6.419,298.92612
2000-10,2000-10-01,7.169,299.94437
2000-10,2000-10-01,7.169,299.06335
2000-10,2000-10-01,6.919,299.90042
2000-10,2000-10-01,6.919,299.01788
2000-10,2000-10-01,6.669,299.87073
2000-10,2000-10-01,6.669,299.20987
2000-10,2000-10-01,6.419,299.94763
2000-10,2000-10-01,6.419,299.30753
2000-11,2000-11-01,7.169,299.73334
2000-11,2000-11-01,7.169,299.0054
2000-11,2000-11-01,6.919,299.61234
2000-11,2000-11-01,6.919,298.87204
2000-11,2000-11-01,6.669,299.58905
2000-11,2000-11-01,6.669,298.93073
2000-11,2000-11-01,6.419,299.71777
2000-11,2000-11-01,6.419,299.08408
2000-12,2000-12-01,7.169,299.43365
2000-12,2000-12-01,7.169,298.84845
2000-12,2000-12-01,6.919,299.57422
2000-12,2000-12-01,6.919,298.96655
2000-12,2000-12-01,6.669,299.58655
2000-12,2000-12-01,6.669,299.0169
2000-12,2000-12-01,6.419,299.58368
2000-12,2000-12-01,6.419,299.0271
2001-01,2001-01-01,7.169,299.19946
2001-01,2001-01-01,7.169,298.70648
2001-01,2001-01-01,6.919,299.2433
