valid_time,time,latitude,t2m
2000-01,2000-01-01,40.113,269.83624
2000-01,2000-01-01,40.113,270.08167
2000-01,2000-01-01,39.863,270.22296
2000-01,2000-01-01,39.863,270.50372
2000-02,2000-02-01,40.113,275.41705
2000-02,2000-02-01,40.113,275.4852
2000-02,2000-02-01,39.863,275.9488
2000-02,2000-02-01,39.863,276.05026
2000-03,2000-03-01,40.113,280.5633
2000-03,2000-03-01,40.113,280.5651
2000-03,2000-03-01,39.863,280.94348
2000-03,2000-03-01,39.863,280.97797
2000-04,2000-04-01,40.113,283.34137
2000-04,2000-04-01,40.113,283.40344
2000-04,2000-04-01,39.863,283.73956
2000-04,2000-04-01,39.863,283.83444
2000-05,2000-05-01,40.113,290.99985
2000-05,2000-05-01,40.113,290.9869
2000-05,2000-05-01,39.863,291.35336
2000-05,2000-05-01,39.863,291.37247
2000-06,2000-06-01,40.113,294.41986
2000-06,2000-06-01,40.113,294.464
2000-06,2000-06-01,39.863,294.83124
2000-06,2000-06-01,39.863,294.90167
2000-07,2000-07-01,40.113,294.6179
2000-07,2000-07-01,40.113,294.6366
2000-07,2000-07-01,39.863,294.9281
2000-07,2000-07-01,39.863,294.9852
2000-08,2000-08-01,40.113,294.27505
2000-08,2000-08-01,40.113,294.31055
2000-08,2000-08-01,39.863,294.61908
2000-08,2000-08-01,39.863,294.6961
2000-09,2000-09-01,40.113,290.22717
2000-09,2000-09-01,40.113,290.25806
2000-09,2000-09-01,39.863,290.54517
2000-09,2000-09-01,39.863,290.60938
2000-10,2000-10-01,40.113,286.05725
2000-10,2000-10-01,40.113,286.03485
2000-10,2000-10-01,39.863,286.37326
2000-10,2000-10-01,39.863,286.35956
2000-11,2000-11-01,40.113,277.5756
2000-11,2000-11-01,40.113,277.60507
2000-11,2000-11-01,39.863,277.8486
2000-11,2000-11-01,39.863,277.91785
2000-12,2000-12-01,40.113,267.40125
2000-12,2000-12-01,40.113,267.5442
2000-12,2000-12-01,39.863,268.03912
2000-12,2000-12-01,39.863,268.2423
2001-01,2001-01-01,40.113,271.22168
2001-01,2001-01-01,40.113,271.04684
2001-01,2001-01-01,39.863,271.57642
2001-01,2001-01-01,39.863,271.43274
2001-02,2001-02-01,40.113,274.31995
