valid_time,time,latitude,t2m
2000-01,2000-01-01,23.822,291.2063
2000-01,2000-01-01,23.822,291.13522
2000-01,2000-01-01,23.822,291.05783
2000-01,2000-01-01,23.572,291.42844
2000-01,2000-01-01,23.572,291.29056
2000-01,2000-01-01,23.572,291.09225
2000-01,2000-01-01,23.322,291.9859
2000-01,2000-01-01,23.322,291.53918
2000-01,2000-01-01,23.322,291.2468
2000-01,2000-01-01,23.072,292.3473
2000-01,2000-01-01,23.072,291.88315
2000-01,2000-01-01,23.072,291.44986
2000-02,2000-02-01,23.822,293.1924
2000-02,2000-02-01,23.822,293.16333
2000-02,2000-02-01,23.822,293.05887
2000-02,2000-02-01,23.572,293.51544
2000-02,2000-02-01,23.572,293.45132
2000-02,2000-02-01,23.572,293.30936
2000-02,2000-02-01,23.322,293.99142
2000-02,2000-02-01,23.322,293.68054
2000-02,2000-02-01,23.322,293.47244
2000-02,2000-02-01,23.072,294.30627
2000-02,2000-02-01,23.072,293.9885
2000-02,2000-02-01,23.072,293.68652
2000-03,2000-03-01,23.822,297.62546
2000-03,2000-03-01,23.822,297.35144
2000-03,2000-03-01,23.822,297.19382
2000-03,2000-03-01,23.572,298.11765
2000-03,2000-03-01,23.572,297.8054
2000-03,2000-03-01,23.572,297.56046
2000-03,2000-03-01,23.322,298.66257
2000-03,2000-03-01,23.322,298.21576
2000-03,2000-03-01,23.322,297.91748
2000-03,2000-03-01,23.072,299.10107
2000-03,2000-03-01,23.072,298.6826
2000-03,2000-03-01,23.072,298.34274
2000-04,2000-04-01,23.822,300.69107
2000-04,2000-04-01,23.822,300.58786
2000-04,2000-04-01,23.822,300.5128
2000-04,2000-04-01,23.572,301.13217
2000-04,2000-04-01,23.572,301.0357
2000-04,2000-04-01,23.572,300.87247
2000-04,2000-04-01,23.322,301.58414
2000-04,2000-04-01,23.322,301.43375
2000-04,2000-04-01,23.322,301.25827
2000-04,2000-04-01,23.072,301.75137
2000-04,2000-04-01,23.072,301.60004
2000-04,2000-04-01,23.072,301.46133
2000-05,2000-05-01,23.822,301.07788
2000-05,2000-05-01,23.822,300.95154
2000-05,2000-05-01,23.822,300.78772
2000-05,2000-05-01,23.572,301.2533
2000-05,2000-05-01,23.572,301.10175
2000-05,2000-05-01,23.572,300.8074
2000-05,2000-05-01,23.322,301.43408
2000-05,2000-05-01,23.322,301.2193
2000-05,2000-05-01,23.322,300.93118
2000-05,2000-05-01,23.072,301.5323
2000-05,2000-05-01,23.072,301.3039
2000-05,2000-05-01,23.072,301.0446
2000-06,2000-06-01,23.822,301.70538
2000-06,2000-06-01,23.822,301.54175
2000-06,2000-06-01,23.822,301.35663
2000-06,2000-06-01,23.572,301.67004
2000-06,2000-06-01,23.572,301.5019
2000-06,2000-06-01,23.572,301.2422
2000-06,2000-06-01,23.322,301.6303
2000-06,2000-06-01,23.322,301.45508
2000-06,2000-06-01,23.322,301.20892
2000-06,2000-06-01,23.072,301.57874
2000-06,2000-06-01,23.072,301.40405
2000-06,2000-06-01,23.072,301.20895
2000-07,2000-07-01,23.822,301.73267
2000-07,2000-07-01,23.822,301.61102
2000-07,2000-07-01,23.822,301.4627
2000-07,2000-07-01,23.572,301.61932
2000-07,2000-07-01,23.572,301.49188
2000-07,2000-07-01,23.572,301.2553
2000-07,2000-07-01,23.322,301.54535
2000-07,2000-07-01,23.322,301.39032
2000-07,2000-07-01,23.322,301.15695
2000-07,2000-07-01,23.072,301.46198
2000-07,2000-07-01,23.072,301.3068
2000-07,2000-07-01,23.072,301.10852
2000-08,2000-08-01,23.822,301.65683
2000-08,2000-08-01,23.822,301.47586
2000-08,2000-08-01,23.822,301.27954
2000-08,2000-08-01,23.572,301.60022
2000-08,2000-08-01,23.572,301.4168
2000-08,2000-08-01,23.572,301.1581
2000-08,2000-08-01,23.322,301.57285
2000-08,2000-08-01,23.322,301.3792
2000-08,2000-08-01,23.322,301.1308
2000-08,2000-08-01,23.072,301.52185
2000-08,2000-08-01,23.072,301.3352
2000-08,2000-08-01,23.072,301.14227
2000-09,2000-09-01,23.822,301.04227
2000-09,2000-09-01,23.822,300.95203
2000-09,2000-09-01,23.822,300.84244
2000-09,2000-09-01,23.572,301.08026
2000-09,2000-09-01,23.572,300.96472
2000-09,2000-09-01,23.572,300.76804
2000-09,2000-09-01,23.322,301.136
2000-09,2000-09-01,23.322,300.9368
2000-09,2000-09-01,23.322,300.73358
2000-09,2000-09-01,23.072,301.13492
2000-09,2000-09-01,23.072,300.95282
2000-09,2000-09-01,23.072,300.7605
2000-10,2000-10-01,23.822,300.3674
2000-10,2000-10-01,23.822,300.2544
2000-10,2000-10-01,23.822,300.1233
2000-10,2000-10-01,23.572,300.46277
2000-10,2000-10-01,23.572,300.28586
2000-10,2000-10-01,23.572,300.06036
2000-10,2000-10-01,23.322,300.6114
2000-10,2000-10-01,23.322,300.2508
2000-10,2000-10-01,23.322,299.9981
