valid_time,time,latitude,t2m
2000-01,2000-01-01,38.141,282.96863
2000-01,2000-01-01,38.141,283.12036
2000-01,2000-01-01,37.891,283.42657
2000-01,2000-01-01,37.891,283.1504
2000-01,2000-01-01,37.641,283.74493
2000-01,2000-01-01,37.641,283.20715
2000-02,2000-02-01,38.141,283.94775
2000-02,2000-02-01,38.141,284.17316
2000-02,2000-02-01,37.891,284.31
2000-02,2000-02-01,37.891,284.14584
2000-02,2000-02-01,37.641,284.6461
2000-02,2000-02-01,37.641,284.1745
2000-03,2000-03-01,38.141,285.39948
2000-03,2000-03-01,38.141,285.69025
2000-03,2000-03-01,37.891,285.096
2000-03,2000-03-01,37.891,285.13202
2000-03,2000-03-01,37.641,284.8952
2000-03,2000-03-01,37.641,284.71848
2000-04,2000-04-01,38.141,287.5874
2000-04,2000-04-01,38.141,288.08588
2000-04,2000-04-01,37.891,287.1459
2000-04,2000-04-01,37.891,287.517
2000-04,2000-04-01,37.641,286.7504
2000-04,2000-04-01,37.641,287.10297
2000-05,2000-05-01,38.141,290.14197
2000-05,2000-05-01,38.141,290.65973
2000-05,2000-05-01,37.891,288.99475
2000-05,2000-05-01,37.891,289.59802
2000-05,2000-05-01,37.641,287.90802
2000-05,2000-05-01,37.641,288.64722
2000-06,2000-06-01,38.141,292.1626
2000-06,2000-06-01,38.141,293.1125
2000-06,2000-06-01,37.891,290.70343
2000-06,2000-06-01,37.891,292.19067
2000-06,2000-06-01,37.641,289.95898
2000-06,2000-06-01,37.641,291.9178
2000-07,2000-07-01,38.141,291.71246
2000-07,2000-07-01,38.141,292.2765
2000-07,2000-07-01,37.891,290.13245
2000-07,2000-07-01,37.891,291.234
2000-07,2000-07-01,37.641,289.1023
2000-07,2000-07-01,37.641,290.64612
2000-08,2000-08-01,38.141,292.53735
2000-08,2000-08-01,38.141,293.26984
2000-08,2000-08-01,37.891,290.92834
2000-08,2000-08-01,37.891,292.39844
2000-08,2000-08-01,37.641,289.99646
2000-08,2000-08-01,37.641,292.09552
2000-09,2000-09-01,38.141,292.94092
2000-09,2000-09-01,38.141,293.52515
2000-09,2000-09-01,37.891,291.92816
2000-09,2000-09-01,37.891,292.80945
2000-09,2000-09-01,37.641,291.25983
2000-09,2000-09-01,37.641,292.46637
2000-10,2000-10-01,38.141,288.47607
2000-10,2000-10-01,38.141,288.89203
2000-10,2000-10-01,37.891,288.11523
2000-10,2000-10-01,37.891,288.39642
2000-10,2000-10-01,37.641,287.8932
2000-10,2000-10-01,37.641,288.13495
2000-11,2000-11-01,38.141,283.27734
2000-11,2000-11-01,38.141,283.47412
2000-11,2000-11-01,37.891,283.46793
2000-11,2000-11-01,37.891,283.23013
2000-11,2000-11-01,37.641,283.80933
2000-11,2000-11-01,37.641,283.27576
2000-12,2000-12-01,38.141,282.40466
2000-12,2000-12-01,38.141,282.64655
2000-12,2000-12-01,37.891,282.6599
2000-12,2000-12-01,37.891,282.41776
2000-12,2000-12-01,37.641,283.21246
2000-12,2000-12-01,37.641,282.69324
2001-01,2001-01-01,38.141,281.0581
2001-01,2001-01-01,38.141,281.36237
2001-01,2001-01-01,37.891,281.364
2001-01,2001-01-01,37.891,280.9809
2001-01,2001-01-01,37.641,281.9342
2001-01,2001-01-01,37.641,281.182
2001-02,2001-02-01,38.141,282.70816
2001-02,2001-02-01,38.141,283.01846
2001-02,2001-02-01,37.891,282.89154
2001-02,2001-02-01,37.891,282.7761
2001-02,2001-02-01,37.641,283.04926
2001-02,2001-02-01,37.641,282.61212
