valid_time,time,latitude,t2m
2000-01,2000-01-01,55.804,275.4729
2000-01,2000-01-01,55.804,275.36984
2000-01,2000-01-01,55.554,275.60382
2000-01,2000-01-01,55.554,275.7459
2000-02,2000-02-01,55.804,276.5492
2000-02,2000-02-01,55.804,276.50888
2000-02,2000-02-01,55.554,276.65668
2000-02,2000-02-01,55.554,276.7478
2000-03,2000-03-01,55.804,276.63156
2000-03,2000-03-01,55.804,276.56125
2000-03,2000-03-01,55.554,276.7525
2000-03,2000-03-01,55.554,276.7224
2000-04,2000-04-01,55.804,281.85464
2000-04,2000-04-01,55.804,281.81622
2000-04,2000-04-01,55.554,281.31332
2000-04,2000-04-01,55.554,280.96222
2000-05,2000-05-01,55.804,285.94794
2000-05,2000-05-01,55.804,285.96817
2000-05,2000-05-01,55.554,285.5798
2000-05,2000-05-01,55.554,285.57733
2000-06,2000-06-01,55.804,287.60272
2000-06,2000-06-01,55.804,287.63962
2000-06,2000-06-01,55.554,287.44504
2000-06,2000-06-01,55.554,287.41473
2000-07,2000-07-01,55.804,288.67975
2000-07,2000-07-01,55.804,288.68832
2000-07,2000-07-01,55.554,288.66525
2000-07,2000-07-01,55.554,288.743
2000-08,2000-08-01,55.804,288.82605
2000-08,2000-08-01,55.804,288.81107
2000-08,2000-08-01,55.554,288.94125
2000-08,2000-08-01,55.554,289.09924
2000-09,2000-09-01,55.804,286.06482
2000-09,2000-09-01,55.804,286.04376
2000-09,2000-09-01,55.554,286.4818
2000-09,2000-09-01,55.554,286.72266
2000-10,2000-10-01,55.804,284.44186
2000-10,2000-10-01,55.804,284.57196
2000-10,2000-10-01,55.554,284.77277
2000-10,2000-10-01,55.554,285.21573
2000-11,2000-11-01,55.804,280.38043
2000-11,2000-11-01,55.804,280.55334
2000-11,2000-11-01,55.554,280.6588
2000-11,2000-11-01,55.554,281.1457
2000-12,2000-12-01,55.804,276.70422
2000-12,2000-12-01,55.804,276.7516
2000-12,2000-12-01,55.554,277.1112
2000-12,2000-12-01,55.554,277.6032
2001-01,2001-01-01,55.804,274.9581
2001-01,2001-01-01,55.804,274.96133
2001-01,2001-01-01,55.554,275.1613
2001-01,2001-01-01,55.554,275.48154
2001-02,2001-02-01,55.804,273.63733
2001-02,2001-02-01,55.804,273.59232
2001-02,2001-02-01,55.554,273.99884
2001-02,2001-02-01,55.554,274.24875
2001-03,2001-03-01,55.804,274.26624
2001-03,2001-03-01,55.804,274.34204
2001-03,2001-03-01,55.554,274.33572
2001-03,2001-03-01,55.554,274.60153
2001-04,2001-04-01,55.804,279.08823
2001-04,2001-04-01,55.804,279.02344
2001-04,2001-04-01,55.554,278.875
2001-04,2001-04-01,55.554,278.64056
2001-05,2001-05-01,55.804,285.16205
2001-05,2001-05-01,55.804,285.21826
2001-05,2001-05-01,55.554,284.84918
2001-05,2001-05-01,55.554,284.5852
2001-06,2001-06-01,55.804,286.806
2001-06,2001-06-01,55.804,286.8869
2001-06,2001-06-01,55.554,286.766
2001-06,2001-06-01,55.554,286.8848
2001-07,2001-07-01,55.804,291.5058
2001-07,2001-07-01,55.804,291.60498
2001-07,2001-07-01,55.554,291.38144
2001-07,2001-07-01,55.554,291.47882
2001-08,2001-08-01,55.804,290.58365
2001-08,2001-08-01,55.804,290.58472
2001-08,2001-08-01,55.554,290.61475
2001-08,2001-08-01,55.554,290.6947
2001-09,2001-09-01,55.804,285.8246
2001-09,2001-09-01,55.804,285.8335
2001-09,2001-09-01,55.554,286.06592
2001-09,2001-09-01,55.554,286.38
2001-10,2001-10-01,55.804,284.95496
2001-10,2001-10-01,55.804,284.9528
2001-10,2001-10-01,55.554,285.16757
2001-10,2001-10-01,55.554,285.3452
2001-11,2001-11-01,55.804,278.17264
2001-11,2001-11-01,55.804,278.1164
2001-11,2001-11-01,55.554,278.43805
2001-11,2001-11-01,55.554,278.91226
2001-12,2001-12-01,55.804,273.46857
2001-12,2001-12-01,55.804,273.39398
2001-12,2001-12-01,55.554,273.7619
2001-12,2001-12-01,55.554,274.25055
2002-01,2002-01-01,55.804,275.3797
2002-01,2002-01-01,55.804,275.30978
2002-01,2002-01-01,55.554,275.485
2002-01,2002-01-01,55.554,275.60464
2002-02,2002-02-01,55.804,277.22067
2002-02,2002-02-01,55.804,277.1287
2002-02,2002-02-01,55.554,277.2041
2002-02,2002-02-01,55.554,277.1484
2002-03,2002-03-01,55.804,277.32333
2002-03,2002-03-01,55.804,277.25146
2002-03,2002-03-01,55.554,277.2956
2002-03,2002-03-01,55.554,277.23895
2002-04,2002-04-01,55.804,280.24142
2002-04,2002-04-01,55.804,280.15036
2002-04,2002-04-01,55.554,279.99316
2002-04,2002-04-01,55.554,279.7613
2002-05,2002-05-01,55.804,286.11868
2002-05,2002-05-01,55.804,286.09305
2002-05,2002-05-01,55.554,285.54834
2002-05,2002-05-01,55.554,285.19522
2002-06,2002-06-01,55.804,289.15286
2002-06,2002-06-01,55.804,289.1952
2002-06,2002-06-01,55.554,288.93185
2002-06,2002-06-01,55.554,288.96378
2002-07,2002-07-01,55.804,290.92773
2002-07,2002-07-01,55.804,290.99954
2002-07,2002-07-01,55.554,290.78165
2002-07,2002-07-01,55.554,290.77094
2002-08,2002-08-01,55.804,292.89294
2002-08,2002-08-01,55.804,292.94968
2002-08,2002-08-01,55.554,292.91736
2002-08,2002-08-01,55.554,293.0183
2002-09,2002-09-01,55.804,287.40128
2002-09,2002-09-01,55.804,287.42355
2002-09,2002-09-01,55.554,287.8991
2002-09,2002-09-01,55.554,288.4844
2002-10,2002-10-01,55.804,279.9434
2002-10,2002-10-01,55.804,279.97485
2002-10,2002-10-01,55.554,280.6019
2002-10,2002-10-01,55.554,281.1696
2002-11,2002-11-01,55.804,277.13184
2002-11,2002-11-01,55.804,277.16675
2002-11,2002-11-01,55.554,277.65234
2002-11,2002-11-01,55.554,278.01703
2002-12,2002-12-01,55.804,272.60593
2002-12,2002-12-01,55.804,272.57977
2002-12,2002-12-01,55.554,273.28586
2002-12,2002-12-01,55.554,273.68347
2003-01,2003-01-01,55.804,272.87604
2003-01,2003-01-01,55.804,272.8306
2003-01,2003-01-01,55.554,273.0784
2003-01,2003-01-01,55.554,273.31985
2003-02,2003-02-01,55.804,271.30066
2003-02,2003-02-01,55.804,271.28952
2003-02,2003-02-01,55.554,271.68768
2003-02,2003-02-01,55.554,272.08527
2003-03,2003-03-01,55.804,276.08118
2003-03,2003-03-01,55.804,276.05713
2003-03,2003-03-01,55.554,276.04813
2003-03,2003-03-01,55.554,275.99628
2003-04,2003-04-01,55.804,279.8197
2003-04,2003-04-01,55.804,279.78802
2003-04,2003-04-01,55.554,279.33902
2003-04,2003-04-01,55.554,279.0931
2003-05,2003-05-01,55.804,285.04602
2003-05,2003-05-01,55.804,284.9905
2003-05,2003-05-01,55.554,284.7846
2003-05,2003-05-01,55.554,284.49304
2003-06,2003-06-01,55.804,289.2502
2003-06,2003-06-01,55.804,289.2712
2003-06,2003-06-01,55.554,289.05438
2003-06,2003-06-01,55.554,288.99292
2003-07,2003-07-01,55.804,291.57025
2003-07,2003-07-01,55.804,291.57477
2003-07,2003-07-01,55.554,291.40326
2003-07,2003-07-01,55.554,291.36087
2003-08,2003-08-01,55.804,291.14285
2003-08,2003-08-01,55.804,291.19287
2003-08,2003-08-01,55.554,291.2662
2003-08,2003-08-01,55.554,291.5315
2003-09,2003-09-01,55.804,287.1358
2003-09,2003-09-01,55.804,287.1725
2003-09,2003-09-01,55.554,287.4017
2003-09,2003-09-01,55.554,287.79123
2003-10,2003-10-01,55.804,279.04575
2003-10,2003-10-01,55.804,279.07358
2003-10,2003-10-01,55.554,279.6032
2003-10,2003-10-01,55.554,280.37567
