valid_time,time,latitude,t2m
2000-01,2000-01-01,33.052,282.376
2000-01,2000-01-01,33.052,282.53436
2000-01,2000-01-01,33.052,282.59866
2000-01,2000-01-01,33.052,282.5371
2000-01,2000-01-01,33.052,282.5011
2000-01,2000-01-01,32.802,282.67743
2000-01,2000-01-01,32.802,282.85364
2000-01,2000-01-01,32.802,283.04324
2000-01,2000-01-01,32.802,283.04105
2000-01,2000-01-01,32.802,283.0318
2000-01,2000-01-01,32.552,282.95358
2000-01,2000-01-01,32.552,283.01788
2000-01,2000-01-01,32.552,283.21127
2000-01,2000-01-01,32.552,283.38776
2000-01,2000-01-01,32.552,283.42682
2000-02,2000-02-01,33.052,286.2568
2000-02,2000-02-01,33.052,286.41397
2000-02,2000-02-01,33.052,286.48
2000-02,2000-02-01,33.052,286.44208
2000-02,2000-02-01,33.052,286.3997
2000-02,2000-02-01,32.802,286.61853
2000-02,2000-02-01,32.802,286.76532
2000-02,2000-02-01,32.802,286.93015
2000-02,2000-02-01,32.802,286.92853
2000-02,2000-02-01,32.802,286.88614
2000-02,2000-02-01,32.552,286.91852
2000-02,2000-02-01,32.552,286.96017
2000-02,2000-02-01,32.552,287.11865
2000-02,2000-02-01,32.552,287.2617
2000-02,2000-02-01,32.552,287.25772
2000-03,2000-03-01,33.052,287.82327
2000-03,2000-03-01,33.052,287.9891
2000-03,2000-03-01,33.052,288.14362
2000-03,2000-03-01,33.052,288.18857
2000-03,2000-03-01,33.052,288.21597
2000-03,2000-03-01,32.802,288.04416
2000-03,2000-03-01,32.802,288.2343
2000-03,2000-03-01,32.802,288.45737
2000-03,2000-03-01,32.802,288.52765
2000-03,2000-03-01,32.802,288.5621
2000-03,2000-03-01,32.552,288.27356
2000-03,2000-03-01,32.552,288.35986
2000-03,2000-03-01,32.552,288.5438
2000-03,2000-03-01,32.552,288.76385
2000-03,2000-03-01,32.552,288.86755
2000-04,2000-04-01,33.052,291.1891
2000-04,2000-04-01,33.052,291.2281
2000-04,2000-04-01,33.052,291.16174
2000-04,2000-04-01,33.052,290.95938
2000-04,2000-04-01,33.052,290.77985
2000-04,2000-04-01,32.802,291.3922
2000-04,2000-04-01,32.802,291.41544
2000-04,2000-04-01,32.802,291.4735
2000-04,2000-04-01,32.802,291.33917
2000-04,2000-04-01,32.802,291.1897
2000-04,2000-04-01,32.552,291.52823
2000-04,2000-04-01,32.552,291.41666
2000-04,2000-04-01,32.552,291.45984
2000-04,2000-04-01,32.552,291.53912
2000-04,2000-04-01,32.552,291.46637
2000-05,2000-05-01,33.052,297.19342
2000-05,2000-05-01,33.052,297.20663
2000-05,2000-05-01,33.052,297.16083
2000-05,2000-05-01,33.052,296.9601
2000-05,2000-05-01,33.052,296.76477
2000-05,2000-05-01,32.802,297.30273
2000-05,2000-05-01,32.802,297.30136
2000-05,2000-05-01,32.802,297.35388
2000-05,2000-05-01,32.802,297.22504
2000-05,2000-05-01,32.802,297.06464
2000-05,2000-05-01,32.552,297.36032
2000-05,2000-05-01,32.552,297.2335
2000-05,2000-05-01,32.552,297.28333
2000-05,2000-05-01,32.552,297.34256
2000-05,2000-05-01,32.552,297.2522
2000-06,2000-06-01,33.052,298.597
2000-06,2000-06-01,33.052,298.66495
2000-06,2000-06-01,33.052,298.661
2000-06,2000-06-01,33.052,298.5235
2000-06,2000-06-01,33.052,298.4053
2000-06,2000-06-01,32.802,298.67044
2000-06,2000-06-01,32.802,298.75696
2000-06,2000-06-01,32.802,298.82944
2000-06,2000-06-01,32.802,298.76843
2000-06,2000-06-01,32.802,298.6949
2000-06,2000-06-01,32.552,298.67267
2000-06,2000-06-01,32.552,298.64743
2000-06,2000-06-01,32.552,298.75986
2000-06,2000-06-01,32.552,298.9179
2000-06,2000-06-01,32.552,298.9062
2000-07,2000-07-01,33.052,303.0965
2000-07,2000-07-01,33.052,303.10785
2000-07,2000-07-01,33.052,302.84216
2000-07,2000-07-01,33.052,302.54083
2000-07,2000-07-01,33.052,302.32562
2000-07,2000-07-01,32.802,303.1245
2000-07,2000-07-01,32.802,303.06152
2000-07,2000-07-01,32.802,302.9911
2000-07,2000-07-01,32.802,302.78903
2000-07,2000-07-01,32.802,302.651
2000-07,2000-07-01,32.552,303.0171
2000-07,2000-07-01,32.552,302.762
2000-07,2000-07-01,32.552,302.82065
2000-07,2000-07-01,32.552,302.9711
2000-07,2000-07-01,32.552,302.88947
2000-08,2000-08-01,33.052,304.5522
2000-08,2000-08-01,33.052,304.6477
2000-08,2000-08-01,33.052,304.44897
2000-08,2000-08-01,33.052,304.24744
2000-08,2000-08-01,33.052,304.13297
2000-08,2000-08-01,32.802,304.53958
2000-08,2000-08-01,32.802,304.5902
2000-08,2000-08-01,32.802,304.5177
2000-08,2000-08-01,32.802,304.3846
2000-08,2000-08-01,32.802,304.32098
2000-08,2000-08-01,32.552,304.33328
2000-08,2000-08-01,32.552,304.1937
2000-08,2000-08-01,32.552,304.28168
2000-08,2000-08-01,32.552,304.40485
2000-08,2000-08-01,32.552,304.36133
2000-09,2000-09-01,33.052,299.40753
2000-09,2000-09-01,33.052,299.54926
2000-09,2000-09-01,33.052,299.55466
2000-09,2000-09-01,33.052,299.46854
2000-09,2000-09-01,33.052,299.362
2000-09,2000-09-01,32.802,299.54144
2000-09,2000-09-01,32.802,299.6436
2000-09,2000-09-01,32.802,299.71338
2000-09,2000-09-01,32.802,299.69327
2000-09,2000-09-01,32.802,299.6398
2000-09,2000-09-01,32.552,299.61636
2000-09,2000-09-01,32.552,299.4966
2000-09,2000-09-01,32.552,299.64868
2000-09,2000-09-01,32.552,299.76392
2000-09,2000-09-01,32.552,299.74878
2000-10,2000-10-01,33.052,292.87482
2000-10,2000-10-01,33.052,293.0946
2000-10,2000-10-01,33.052,293.14117
2000-10,2000-10-01,33.052,293.103
2000-10,2000-10-01,33.052,293.1197
2000-10,2000-10-01,32.802,293.02362
2000-10,2000-10-01,32.802,293.3017
2000-10,2000-10-01,32.802,293.46826
2000-10,2000-10-01,32.802,293.50668
2000-10,2000-10-01,32.802,293.56647
2000-10,2000-10-01,32.552,293.2262
2000-10,2000-10-01,32.552,293.3296
2000-10,2000-10-01,32.552,293.52533
2000-10,2000-10-01,32.552,293.6984
2000-10,2000-10-01,32.552,293.78577
2000-11,2000-11-01,33.052,282.73163
2000-11,2000-11-01,33.052,282.95795
2000-11,2000-11-01,33.052,283.202
2000-11,2000-11-01,33.052,283.20758
2000-11,2000-11-01,33.052,283.16168
2000-11,2000-11-01,32.802,282.98425
2000-11,2000-11-01,32.802,283.24597
2000-11,2000-11-01,32.802,283.51474
2000-11,2000-11-01,32.802,283.5521
2000-11,2000-11-01,32.802,283.53354
2000-11,2000-11-01,32.552,283.2106
2000-11,2000-11-01,32.552,283.3376
2000-11,2000-11-01,32.552,283.5655
2000-11,2000-11-01,32.552,283.76572
2000-11,2000-11-01,32.552,283.81796
2000-12,2000-12-01,33.052,277.0172
2000-12,2000-12-01,33.052,277.21457
2000-12,2000-12-01,33.052,277.36853
2000-12,2000-12-01,33.052,277.24875
2000-12,2000-12-01,33.052,277.06738
2000-12,2000-12-01,32.802,277.2999
2000-12,2000-12-01,32.802,277.51483
2000-12,2000-12-01,32.802,277.71072
2000-12,2000-12-01,32.802,277.6064
2000-12,2000-12-01,32.802,277.4364
2000-12,2000-12-01,32.552,277.58838
2000-12,2000-12-01,32.552,277.6095
2000-12,2000-12-01,32.552,277.7981
2000-12,2000-12-01,32.552,277.90698
2000-12,2000-12-01,32.552,277.81665
2001-01,2001-01-01,33.052,278.68616
2001-01,2001-01-01,33.052,278.82257
2001-01,2001-01-01,33.052,278.87326
2001-01,2001-01-01,33.052,278.74988
2001-01,2001-01-01,33.052,278.5973
2001-01,2001-01-01,32.802,278.83386
2001-01,2001-01-01,32.802,279.01367
2001-01,2001-01-01,32.802,279.13055
2001-01,2001-01-01,32.802,279.0369
2001-01,2001-01-01,32.802,278.87024
2001-01,2001-01-01,32.552,279.06836
2001-01,2001-01-01,32.552,279.15137
2001-01,2001-01-01,32.552,279.24518
2001-01,2001-01-01,32.552,279.32135
2001-01,2001-01-01,32.552,279.2124
2001-02,2001-02-01,33.052,282.59225
2001-02,2001-02-01,33.052,282.79343
2001-02,2001-02-01,33.052,282.96222
2001-02,2001-02-01,33.052,283.0128
2001-02,2001-02-01,33.052,283.03912
2001-02,2001-02-01,32.802,282.90958
2001-02,2001-02-01,32.802,283.16983
2001-02,2001-02-01,32.802,283.43964
2001-02,2001-02-01,32.802,283.52936
2001-02,2001-02-01,32.802,283.55212
2001-02,2001-02-01,32.552,283.24454
2001-02,2001-02-01,32.552,283.40338
2001-02,2001-02-01,32.552,283.66302
2001-02,2001-02-01,32.552,283.89633
2001-02,2001-02-01,32.552,283.97644
2001-03,2001-03-01,33.052,283.7469
2001-03,2001-03-01,33.052,283.9193
2001-03,2001-03-01,33.052,284.09256
2001-03,2001-03-01,33.052,284.09845
2001-03,2001-03-01,33.052,284.04407
2001-03,2001-03-01,32.802,283.83182
2001-03,2001-03-01,32.802,284.01224
2001-03,2001-03-01,32.802,284.22314
2001-03,2001-03-01,32.802,284.25714
2001-03,2001-03-01,32.802,284.1817
2001-03,2001-03-01,32.552,283.91193
2001-03,2001-03-01,32.552,283.97528
2001-03,2001-03-01,32.552,284.15198
2001-03,2001-03-01,32.552,284.32205
2001-03,2001-03-01,32.552,284.29834
2001-04,2001-04-01,33.052,292.72174
2001-04,2001-04-01,33.052,292.88757
2001-04,2001-04-01,33.052,293.0158
