valid_time,time,latitude,t2m
2000-01,2000-01-01,-6.736,300.4833
2000-01,2000-01-01,-6.736,300.49344
2000-01,2000-01-01,-6.986,300.2918
2000-01,2000-01-01,-6.986,300.85742
2000-02,2000-02-01,-6.736,300.6446
2000-02,2000-02-01,-6.736,300.57486
2000-02,2000-02-01,-6.986,300.53802
2000-02,2000-02-01,-6.986,300.94965
2000-03,2000-03-01,-6.736,299.81665
2000-03,2000-03-01,-6.736,299.83704
2000-03,2000-03-01,-6.986,299.36118
2000-03,2000-03-01,-6.986,299.98944
2000-04,2000-04-01,-6.736,298.81674
2000-04,2000-04-01,-6.736,299.1093
2000-04,2000-04-01,-6.986,298.39484
2000-04,2000-04-01,-6.986,299.09955
2000-05,2000-05-01,-6.736,297.74435
2000-05,2000-05-01,-6.736,298.2918
2000-05,2000-05-01,-6.986,297.35004
2000-05,2000-05-01,-6.986,298.07858
2000-06,2000-06-01,-6.736,297.0337
2000-06,2000-06-01,-6.736,297.56006
2000-06,2000-06-01,-6.986,296.74463
2000-06,2000-06-01,-6.986,297.31747
2000-07,2000-07-01,-6.736,296.61682
2000-07,2000-07-01,-6.736,296.96173
2000-07,2000-07-01,-6.986,296.29654
2000-07,2000-07-01,-6.986,296.71985
2000-08,2000-08-01,-6.736,297.0595
2000-08,2000-08-01,-6.736,297.1706
2000-08,2000-08-01,-6.986,296.77545
2000-08,2000-08-01,-6.986,297.1455
2000-09,2000-09-01,-6.736,297.88303
2000-09,2000-09-01,-6.736,297.8282
2000-09,2000-09-01,-6.986,297.57883
2000-09,2000-09-01,-6.986,297.95825
2000-10,2000-10-01,-6.736,299.24365
2000-10,2000-10-01,-6.736,298.88574
2000-10,2000-10-01,-6.986,299.05518
2000-10,2000-10-01,-6.986,299.22928
2000-11,2000-11-01,-6.736,300.02466
2000-11,2000-11-01,-6.736,299.74158
2000-11,2000-11-01,-6.986,299.6986
2000-11,2000-11-01,-6.986,300.1192
2000-12,2000-12-01,-6.736,300.12857
2000-12,2000-12-01,-6.736,300.18994
2000-12,2000-12-01,-6.986,299.6419
2000-12,2000-12-01,-6.986,300.3922
2001-01,2001-01-01,-6.736,299.85428
2001-01,2001-01-01,-6.736,300.0866
2001-01,2001-01-01,-6.986,299.43823
2001-01,2001-01-01,-6.986,300.05164
2001-02,2001-02-01,-6.736,300.3969
2001-02,2001-02-01,-6.736,300.3712
2001-02,2001-02-01,-6.986,299.83435
2001-02,2001-02-01,-6.986,300.5938
2001-03,2001-03-01,-6.736,300.36768
2001-03,2001-03-01,-6.736,300.48663
2001-03,2001-03-01,-6.986,299.67307
2001-03,2001-03-01,-6.986,300.55826
2001-04,2001-04-01,-6.736,298.9129
2001-04,2001-04-01,-6.736,299.2271
2001-04,2001-04-01,-6.986,298.45972
2001-04,2001-04-01,-6.986,299.21228
2001-05,2001-05-01,-6.736,298.3754
2001-05,2001-05-01,-6.736,298.84357
2001-05,2001-05-01,-6.986,297.96924
