valid_time,time,latitude,t2m
2000-01,2000-01-01,39.836,270.03815
2000-01,2000-01-01,39.586,270.6369
2000-02,2000-02-01,39.836,276.23883
2000-02,2000-02-01,39.586,276.87836
2000-03,2000-03-01,39.836,280.89166
2000-03,2000-03-01,39.586,281.4452
2000-04,2000-04-01,39.836,283.7743
2000-04,2000-04-01,39.586,284.26398
2000-05,2000-05-01,39.836,291.39044
2000-05,2000-05-01,39.586,291.85602
2000-06,2000-06-01,39.836,294.6516
2000-06,2000-06-01,39.586,295.20798
2000-07,2000-07-01,39.836,295.04578
2000-07,2000-07-01,39.586,295.53906
2000-08,2000-08-01,39.836,294.77872
2000-08,2000-08-01,39.586,295.3211
2000-09,2000-09-01,39.836,290.55548
2000-09,2000-09-01,39.586,290.963
2000-10,2000-10-01,39.836,286.36035
2000-10,2000-10-01,39.586,286.8017
2000-11,2000-11-01,39.836,277.90662
2000-11,2000-11-01,39.586,278.32397
2000-12,2000-12-01,39.836,267.14624
2000-12,2000-12-01,39.586,267.73364
2001-01,2001-01-01,39.836,271.674
2001-01,2001-01-01,39.586,271.91428
2001-02,2001-02-01,39.836,274.4533
2001-02,2001-02-01,39.586,275.04974
2001-03,2001-03-01,39.836,276.17517
2001-03,2001-03-01,39.586,276.68243
2001-04,2001-04-01,39.836,286.6551
2001-04,2001-04-01,39.586,287.19324
2001-05,2001-05-01,39.836,290.40903
2001-05,2001-05-01,39.586,290.95215
2001-06,2001-06-01,39.836,293.9132
2001-06,2001-06-01,39.586,294.39633
2001-07,2001-07-01,39.836,296.08612
2001-07,2001-07-01,39.586,296.5694
2001-08,2001-08-01,39.836,296.1584
2001-08,2001-08-01,39.586,296.64255
2001-09,2001-09-01,39.836,290.24432
2001-09,2001-09-01,39.586,290.67267
2001-10,2001-10-01,39.836,285.60648
2001-10,2001-10-01,39.586,285.97174
2001-11,2001-11-01,39.836,282.52982
2001-11,2001-11-01,39.586,282.85657
2001-12,2001-12-01,39.836,276.2669
2001-12,2001-12-01,39.586,276.73395
2002-01,2002-01-01,39.836,275.02298
2002-01,2002-01-01,39.586,275.36737
2002-02,2002-02-01,39.836,274.99728
2002-02,2002-02-01,39.586,275.40738
2002-03,2002-03-01,39.836,277.54364
2002-03,2002-03-01,39.586,278.13495
2002-04,2002-04-01,39.836,285.37976
2002-04,2002-04-01,39.586,286.0026
2002-05,2002-05-01,39.836,288.01392
2002-05,2002-05-01,39.586,288.5904
2002-06,2002-06-01,39.836,295.77954
2002-06,2002-06-01,39.586,296.29443
2002-07,2002-07-01,39.836,298.15094
2002-07,2002-07-01,39.586,298.7135
2002-08,2002-08-01,39.836,297.13733
2002-08,2002-08-01,39.586,297.73935
2002-09,2002-09-01,39.836,294.25064
2002-09,2002-09-01,39.586,294.63934
2002-10,2002-10-01,39.836,284.4021
2002-10,2002-10-01,39.586,284.85416
2002-11,2002-11-01,39.836,277.79794
2002-11,2002-11-01,39.586,278.18262
2002-12,2002-12-01,39.836,273.11887
2002-12,2002-12-01,39.586,273.53467
2003-01,2003-01-01,39.836,267.6089
2003-01,2003-01-01,39.586,267.9962
2003-02,2003-02-01,39.836,269.47064
2003-02,2003-02-01,39.586,270.06042
2003-03,2003-03-01,39.836,279.0064
2003-03,2003-03-01,39.586,279.65567
2003-04,2003-04-01,39.836,285.3877
2003-04,2003-04-01,39.586,285.90332
2003-05,2003-05-01,39.836,289.07462
2003-05,2003-05-01,39.586,289.54315
2003-06,2003-06-01,39.836,292.6597
2003-06,2003-06-01,39.586,293.0832
2003-07,2003-07-01,39.836,295.71524
2003-07,2003-07-01,39.586,296.19952
2003-08,2003-08-01,39.836,295.911
2003-08,2003-08-01,39.586,296.3317
2003-09,2003-09-01,39.836,290.51093
2003-09,2003-09-01,39.586,291.01086
2003-10,2003-10-01,39.836,284.6048
2003-10,2003-10-01,39.586,285.1493
2003-11,2003-11-01,39.836,281.49753
2003-11,2003-11-01,39.586,281.969
2003-12,2003-12-01,39.836,274.175
2003-12,2003-12-01,39.586,274.49802
2004-01,2004-01-01,39.836,269.30255
2004-01,2004-01-01,39.586,269.83423
2004-02,2004-02-01,39.836,272.94116
2004-02,2004-02-01,39.586,273.48566
2004-03,2004-03-01,39.836,279.4429
2004-03,2004-03-01,39.586,279.922
2004-04,2004-04-01,39.836,284.7781
2004-04,2004-04-01,39.586,285.2159
2004-05,2004-05-01,39.836,291.97964
2004-05,2004-05-01,39.586,292.4468
2004-06,2004-06-01,39.836,294.10947
2004-06,2004-06-01,39.586,294.63797
2004-07,2004-07-01,39.836,295.51825
2004-07,2004-07-01,39.586,295.83875
2004-08,2004-08-01,39.836,294.01596
2004-08,2004-08-01,39.586,294.37592
2004-09,2004-09-01,39.836,292.65076
2004-09,2004-09-01,39.586,292.9632
2004-10,2004-10-01,39.836,285.7544
2004-10,2004-10-01,39.586,286.1714
2004-11,2004-11-01,39.836,280.97952
2004-11,2004-11-01,39.586,281.41714
2004-12,2004-12-01,39.836,272.95206
2004-12,2004-12-01,39.586,273.41763
2005-01,2005-01-01,39.836,272.62018
2005-01,2005-01-01,39.586,273.3167
2005-02,2005-02-01,39.836,274.6068
2005-02,2005-02-01,39.586,275.2998
2005-03,2005-03-01,39.836,276.10092
2005-03,2005-03-01,39.586,276.56766
2005-04,2005-04-01,39.836,285.22797
2005-04,2005-04-01,39.586,285.78796
2005-05,2005-05-01,39.836,287.9588
2005-05,2005-05-01,39.586,288.49442
2005-06,2005-06-01,39.836,296.16504
2005-06,2005-06-01,39.586,296.5073
2005-07,2005-07-01,39.836,297.6225
2005-07,2005-07-01,39.586,298.00714
2005-08,2005-08-01,39.836,297.29132
2005-08,2005-08-01,39.586,297.7179
2005-09,2005-09-01,39.836,293.69302
2005-09,2005-09-01,39.586,294.14008
2005-10,2005-10-01,39.836,285.56058
2005-10,2005-10-01,39.586,286.00076
2005-11,2005-11-01,39.836,280.33203
2005-11,2005-11-01,39.586,280.69055
2005-12,2005-12-01,39.836,270.24756
2005-12,2005-12-01,39.586,271.01184
2006-01,2006-01-01,39.836,277.4726
2006-01,2006-01-01,39.586,277.87347
2006-02,2006-02-01,39.836,273.2341
2006-02,2006-02-01,39.586,273.70953
2006-03,2006-03-01,39.836,277.78748
2006-03,2006-03-01,39.586,278.24182
2006-04,2006-04-01,39.836,286.42532
2006-04,2006-04-01,39.586,286.95972
2006-05,2006-05-01,39.836,288.8568
2006-05,2006-05-01,39.586,289.2486
2006-06,2006-06-01,39.836,293.5013
2006-06,2006-06-01,39.586,293.93347
2006-07,2006-07-01,39.836,297.20947
2006-07,2006-07-01,39.586,297.64835
2006-08,2006-08-01,39.836,296.7799
2006-08,2006-08-01,39.586,297.3971
2006-09,2006-09-01,39.836,290.20303
2006-09,2006-09-01,39.586,290.57562
2006-10,2006-10-01,39.836,283.93893
2006-10,2006-10-01,39.586,284.37326
2006-11,2006-11-01,39.836,279.9636
2006-11,2006-11-01,39.586,280.3637
2006-12,2006-12-01,39.836,276.7945
2006-12,2006-12-01,39.586,277.2079
2007-01,2007-01-01,39.836,274.11548
2007-01,2007-01-01,39.586,274.5716
2007-02,2007-02-01,39.836,266.62872
2007-02,2007-02-01,39.586,267.173
2007-03,2007-03-01,39.836,281.5277
2007-03,2007-03-01,39.586,282.1521
2007-04,2007-04-01,39.836,283.1831
2007-04,2007-04-01,39.586,283.7555
2007-05,2007-05-01,39.836,292.37875
2007-05,2007-05-01,39.586,292.74728
2007-06,2007-06-01,39.836,295.46686
2007-06,2007-06-01,39.586,295.79715
2007-07,2007-07-01,39.836,295.303
2007-07,2007-07-01,39.586,295.81744
2007-08,2007-08-01,39.836,298.44363
2007-08,2007-08-01,39.586,298.95575
2007-09,2007-09-01,39.836,293.91614
2007-09,2007-09-01,39.586,294.47778
2007-10,2007-10-01,39.836,288.97382
2007-10,2007-10-01,39.586,289.33948
2007-11,2007-11-01,39.836,279.4027
2007-11,2007-11-01,39.586,279.78314
2007-12,2007-12-01,39.836,274.17834
2007-12,2007-12-01,39.586,274.78104
2008-01,2008-01-01,39.836,271.76636
2008-01,2008-01-01,39.586,272.21173
2008-02,2008-02-01,39.836,271.6648
2008-02,2008-02-01,39.586,272.41342
2008-03,2008-03-01,39.836,276.8424
2008-03,2008-03-01,39.586,277.49582
2008-04,2008-04-01,39.836,285.2783
2008-04,2008-04-01,39.586,285.76468
2008-05,2008-05-01,39.836,288.2268
2008-05,2008-05-01,39.586,288.65164
2008-06,2008-06-01,39.836,295.24814
2008-06,2008-06-01,39.586,295.6764
2008-07,2008-07-01,39.836,296.3703
2008-07,2008-07-01,39.586,296.71298
2008-08,2008-08-01,39.836,295.8522
2008-08,2008-08-01,39.586,296.33765
2008-09,2008-09-01,39.836,293.64777
2008-09,2008-09-01,39.586,294.02655
2008-10,2008-10-01,39.836,285.4185
2008-10,2008-10-01,39.586,285.74695
2008-11,2008-11-01,39.836,278.1079
2008-11,2008-11-01,39.586,278.451
