valid_time,time,latitude,t2m
2000-01,2000-01-01,29.049,286.3822
2000-01,2000-01-01,29.049,286.39716
2000-01,2000-01-01,29.049,286.47968
2000-01,2000-01-01,29.049,286.60828
2000-01,2000-01-01,28.799,286.59204
2000-01,2000-01-01,28.799,286.57776
2000-01,2000-01-01,28.799,286.58606
2000-01,2000-01-01,28.799,286.66705
2000-01,2000-01-01,28.549,286.79456
2000-01,2000-01-01,28.549,286.74908
2000-01,2000-01-01,28.549,286.7238
2000-01,2000-01-01,28.549,286.7304
2000-01,2000-01-01,28.299,287.0075
2000-01,2000-01-01,28.299,286.93506
2000-01,2000-01-01,28.299,286.8199
2000-01,2000-01-01,28.299,286.79315
2000-02,2000-02-01,29.049,287.33337
2000-02,2000-02-01,29.049,287.39087
2000-02,2000-02-01,29.049,287.55045
2000-02,2000-02-01,29.049,287.7772
2000-02,2000-02-01,28.799,287.6131
2000-02,2000-02-01,28.799,287.63486
2000-02,2000-02-01,28.799,287.69733
2000-02,2000-02-01,28.799,287.83212
2000-02,2000-02-01,28.549,287.97546
2000-02,2000-02-01,28.549,287.9404
2000-02,2000-02-01,28.549,287.93686
2000-02,2000-02-01,28.549,287.91605
2000-02,2000-02-01,28.299,288.33676
2000-02,2000-02-01,28.299,288.2734
2000-02,2000-02-01,28.299,288.15207
2000-02,2000-02-01,28.299,288.07343
2000-03,2000-03-01,29.049,294.2645
2000-03,2000-03-01,29.049,294.1592
2000-03,2000-03-01,29.049,294.1845
2000-03,2000-03-01,29.049,294.34525
2000-03,2000-03-01,28.799,294.72577
2000-03,2000-03-01,28.799,294.57797
2000-03,2000-03-01,28.799,294.50034
2000-03,2000-03-01,28.799,294.56912
2000-03,2000-03-01,28.549,295.2849
2000-03,2000-03-01,28.549,295.07578
2000-03,2000-03-01,28.549,294.90744
2000-03,2000-03-01,28.549,294.79654
2000-03,2000-03-01,28.299,295.78445
2000-03,2000-03-01,28.299,295.59824
2000-03,2000-03-01,28.299,295.24545
2000-03,2000-03-01,28.299,295.0493
2000-04,2000-04-01,29.049,302.55713
2000-04,2000-04-01,29.049,302.1404
2000-04,2000-04-01,29.049,302.03897
2000-04,2000-04-01,29.049,302.25546
2000-04,2000-04-01,28.799,303.11362
2000-04,2000-04-01,28.799,302.76407
2000-04,2000-04-01,28.799,302.5169
2000-04,2000-04-01,28.799,302.5467
2000-04,2000-04-01,28.549,303.61105
2000-04,2000-04-01,28.549,303.33563
2000-04,2000-04-01,28.549,302.9851
2000-04,2000-04-01,28.549,302.62485
2000-04,2000-04-01,28.299,304.0324
2000-04,2000-04-01,28.299,303.7846
2000-04,2000-04-01,28.299,303.2539
2000-04,2000-04-01,28.299,302.8418
2000-05,2000-05-01,29.049,307.06378
2000-05,2000-05-01,29.049,306.57004
2000-05,2000-05-01,29.049,306.20984
2000-05,2000-05-01,29.049,305.9246
2000-05,2000-05-01,28.799,307.4375
2000-05,2000-05-01,28.799,307.005
2000-05,2000-05-01,28.799,306.67245
2000-05,2000-05-01,28.799,306.3715
2000-05,2000-05-01,28.549,307.54672
