valid_time,time,latitude,t2m
2000-01,2000-01-01,39.764,269.54688
2000-01,2000-01-01,39.764,272.21265
2000-01,2000-01-01,39.764,273.50623
2000-01,2000-01-01,39.514,267.47815
2000-01,2000-01-01,39.514,270.15857
2000-01,2000-01-01,39.514,271.9884
2000-02,2000-02-01,39.764,272.41797
2000-02,2000-02-01,39.764,275.27148
2000-02,2000-02-01,39.764,276.72668
2000-02,2000-02-01,39.514,270.62195
2000-02,2000-02-01,39.514,273.3988
2000-02,2000-02-01,39.514,275.30078
2000-03,2000-03-01,39.764,274.00208
2000-03,2000-03-01,39.764,276.92786
2000-03,2000-03-01,39.764,277.8175
2000-03,2000-03-01,39.514,272.52026
2000-03,2000-03-01,39.514,275.20068
2000-03,2000-03-01,39.514,276.4442
2000-04,2000-04-01,39.764,279.3109
2000-04,2000-04-01,39.764,282.4077
2000-04,2000-04-01,39.764,283.7152
2000-04,2000-04-01,39.514,277.682
2000-04,2000-04-01,39.514,280.3871
2000-04,2000-04-01,39.514,281.7445
2000-05,2000-05-01,39.764,284.81323
2000-05,2000-05-01,39.764,287.9901
2000-05,2000-05-01,39.764,289.1698
2000-05,2000-05-01,39.514,283.71936
2000-05,2000-05-01,39.514,286.49866
2000-05,2000-05-01,39.514,287.81677
2000-06,2000-06-01,39.764,288.58984
2000-06,2000-06-01,39.764,291.83838
2000-06,2000-06-01,39.764,293.14868
2000-06,2000-06-01,39.514,287.71582
2000-06,2000-06-01,39.514,290.3756
2000-06,2000-06-01,39.514,291.60742
2000-07,2000-07-01,39.764,292.8954
2000-07,2000-07-01,39.764,296.4187
2000-07,2000-07-01,39.764,297.70325
2000-07,2000-07-01,39.514,291.57898
2000-07,2000-07-01,39.514,294.5526
2000-07,2000-07-01,39.514,295.77185
2000-08,2000-08-01,39.764,291.9442
2000-08,2000-08-01,39.764,295.34644
2000-08,2000-08-01,39.764,296.57715
2000-08,2000-08-01,39.514,290.62122
2000-08,2000-08-01,39.514,293.53943
2000-08,2000-08-01,39.514,294.69714
2000-09,2000-09-01,39.764,285.95984
2000-09,2000-09-01,39.764,288.99817
2000-09,2000-09-01,39.764,290.38953
2000-09,2000-09-01,39.514,285.09155
2000-09,2000-09-01,39.514,287.66357
2000-09,2000-09-01,39.514,289.01294
2000-10,2000-10-01,39.764,279.87964
2000-10,2000-10-01,39.764,282.49927
2000-10,2000-10-01,39.764,283.67932
2000-10,2000-10-01,39.514,279.5172
2000-10,2000-10-01,39.514,281.6499
2000-10,2000-10-01,39.514,282.49524
2000-11,2000-11-01,39.764,267.26514
2000-11,2000-11-01,39.764,269.4834
2000-11,2000-11-01,39.764,271.0675
2000-11,2000-11-01,39.514,266.17285
2000-11,2000-11-01,39.514,268.19824
2000-11,2000-11-01,39.514,269.54968
2000-12,2000-12-01,39.764,268.12598
2000-12,2000-12-01,39.764,270.41406
2000-12,2000-12-01,39.764,270.63367
2000-12,2000-12-01,39.514,265.844
2000-12,2000-12-01,39.514,268.29724
2000-12,2000-12-01,39.514,269.71753
2001-01,2001-01-01,39.764,268.2091
2001-01,2001-01-01,39.764,270.92236
2001-01,2001-01-01,39.764,271.5775
2001-01,2001-01-01,39.514,266.3241
2001-01,2001-01-01,39.514,269.21094
2001-01,2001-01-01,39.514,270.75525
2001-02,2001-02-01,39.764,269.39056
2001-02,2001-02-01,39.764,271.2256
2001-02,2001-02-01,39.764,271.1822
2001-02,2001-02-01,39.514,268.08954
2001-02,2001-02-01,39.514,270.41437
2001-02,2001-02-01,39.514,271.4475
2001-03,2001-03-01,39.764,273.71204
2001-03,2001-03-01,39.764,276.5039
2001-03,2001-03-01,39.764,277.27795
2001-03,2001-03-01,39.514,272.1051
2001-03,2001-03-01,39.514,274.57898
2001-03,2001-03-01,39.514,275.60486
2001-04,2001-04-01,39.764,278.7688
2001-04,2001-04-01,39.764,281.85706
2001-04,2001-04-01,39.764,282.7998
2001-04,2001-04-01,39.514,277.4159
2001-04,2001-04-01,39.514,280.05017
2001-04,2001-04-01,39.514,281.11462
2001-05,2001-05-01,39.764,282.9087
2001-05,2001-05-01,39.764,285.63904
2001-05,2001-05-01,39.764,286.42908
2001-05,2001-05-01,39.514,281.42566
2001-05,2001-05-01,39.514,283.63367
2001-05,2001-05-01,39.514,284.5172
2001-06,2001-06-01,39.764,288.85767
2001-06,2001-06-01,39.764,291.9496
2001-06,2001-06-01,39.764,293.3629
2001-06,2001-06-01,39.514,287.91406
2001-06,2001-06-01,39.514,290.48962
2001-06,2001-06-01,39.514,291.75854
2001-07,2001-07-01,39.764,292.72913
2001-07,2001-07-01,39.764,296.12854
2001-07,2001-07-01,39.764,297.41553
2001-07,2001-07-01,39.514,291.8911
2001-07,2001-07-01,39.514,294.74463
2001-07,2001-07-01,39.514,295.8119
2001-08,2001-08-01,39.764,290.72998
2001-08,2001-08-01,39.764,294.0719
2001-08,2001-08-01,39.764,295.39465
2001-08,2001-08-01,39.514,289.4502
2001-08,2001-08-01,39.514,292.31567
2001-08,2001-08-01,39.514,293.52222
2001-09,2001-09-01,39.764,286.86035
2001-09,2001-09-01,39.764,290.06543
2001-09,2001-09-01,39.764,291.44702
2001-09,2001-09-01,39.514,285.71277
2001-09,2001-09-01,39.514,288.44055
2001-09,2001-09-01,39.514,289.7328
2001-10,2001-10-01,39.764,280.70044
2001-10,2001-10-01,39.764,283.19434
2001-10,2001-10-01,39.764,284.01355
2001-10,2001-10-01,39.514,279.97632
2001-10,2001-10-01,39.514,282.15344
2001-10,2001-10-01,39.514,282.99902
2001-11,2001-11-01,39.764,274.3523
2001-11,2001-11-01,39.764,276.66675
2001-11,2001-11-01,39.764,277.46375
2001-11,2001-11-01,39.514,273.1532
2001-11,2001-11-01,39.514,275.31006
2001-11,2001-11-01,39.514,276.1018
2001-12,2001-12-01,39.764,269.16248
2001-12,2001-12-01,39.764,271.5968
2001-12,2001-12-01,39.764,272.56348
2001-12,2001-12-01,39.514,267.04822
2001-12,2001-12-01,39.514,269.00684
2001-12,2001-12-01,39.514,270.19434
2002-01,2002-01-01,39.764,267.5547
2002-01,2002-01-01,39.764,269.7798
2002-01,2002-01-01,39.764,271.1859
2002-01,2002-01-01,39.514,265.71448
2002-01,2002-01-01,39.514,267.63757
2002-01,2002-01-01,39.514,269.07556
2002-02,2002-02-01,39.764,268.6604
2002-02,2002-02-01,39.764,271.8506
2002-02,2002-02-01,39.764,273.2716
2002-02,2002-02-01,39.514,265.75012
2002-02,2002-02-01,39.514,269.1692
2002-02,2002-02-01,39.514,272.0204
2002-03,2002-03-01,39.764,270.354
2002-03,2002-03-01,39.764,273.07056
2002-03,2002-03-01,39.764,274.32935
2002-03,2002-03-01,39.514,268.95435
2002-03,2002-03-01,39.514,271.66052
2002-03,2002-03-01,39.514,273.47485
2002-04,2002-04-01,39.764,280.0504
2002-04,2002-04-01,39.764,283.1654
2002-04,2002-04-01,39.764,284.41956
2002-04,2002-04-01,39.514,279.29895
2002-04,2002-04-01,39.514,281.70874
2002-04,2002-04-01,39.514,282.87024
2002-05,2002-05-01,39.764,282.3214
2002-05,2002-05-01,39.764,285.55872
2002-05,2002-05-01,39.764,287.09326
2002-05,2002-05-01,39.514,281.76086
2002-05,2002-05-01,39.514,284.37537
2002-05,2002-05-01,39.514,285.6914
2002-06,2002-06-01,39.764,290.59583
2002-06,2002-06-01,39.764,294.04468
2002-06,2002-06-01,39.764,295.7528
2002-06,2002-06-01,39.514,289.92004
2002-06,2002-06-01,39.514,292.69592
2002-06,2002-06-01,39.514,294.14575
2002-07,2002-07-01,39.764,293.62354
2002-07,2002-07-01,39.764,296.98547
2002-07,2002-07-01,39.764,298.2467
2002-07,2002-07-01,39.514,292.9093
2002-07,2002-07-01,39.514,295.66504
2002-07,2002-07-01,39.514,296.6505
2002-08,2002-08-01,39.764,290.4441
2002-08,2002-08-01,39.764,293.64758
2002-08,2002-08-01,39.764,294.97522
2002-08,2002-08-01,39.514,290.0204
2002-08,2002-08-01,39.514,292.5327
2002-08,2002-08-01,39.514,293.59436
2002-09,2002-09-01,39.764,286.7063
2002-09,2002-09-01,39.764,289.70154
2002-09,2002-09-01,39.764,290.93396
2002-09,2002-09-01,39.514,285.9613
2002-09,2002-09-01,39.514,288.42346
2002-09,2002-09-01,39.514,289.54382
2002-10,2002-10-01,39.764,277.1902
2002-10,2002-10-01,39.764,279.82043
2002-10,2002-10-01,39.764,280.78162
2002-10,2002-10-01,39.514,276.72546
