valid_time,time,latitude,t2m
2000-01,2000-01-01,42.576,268.2093
2000-01,2000-01-01,42.576,268.29205
2000-01,2000-01-01,42.576,268.43747
2000-01,2000-01-01,42.576,268.25845
2000-01,2000-01-01,42.326,268.4903
2000-01,2000-01-01,42.326,268.55252
2000-01,2000-01-01,42.326,268.58984
2000-01,2000-01-01,42.326,268.53735
2000-01,2000-01-01,42.076,268.68692
2000-01,2000-01-01,42.076,268.5141
2000-01,2000-01-01,42.076,268.51978
2000-01,2000-01-01,42.076,268.61752
2000-02,2000-02-01,42.576,273.27185
2000-02,2000-02-01,42.576,273.22314
2000-02,2000-02-01,42.576,273.05762
2000-02,2000-02-01,42.576,272.0102
2000-02,2000-02-01,42.326,273.5511
2000-02,2000-02-01,42.326,273.35016
2000-02,2000-02-01,42.326,272.88513
2000-02,2000-02-01,42.326,272.12775
2000-02,2000-02-01,42.076,273.55536
2000-02,2000-02-01,42.076,272.3103
2000-02,2000-02-01,42.076,271.74146
2000-02,2000-02-01,42.076,271.4167
2000-03,2000-03-01,42.576,278.84497
2000-03,2000-03-01,42.576,278.92743
2000-03,2000-03-01,42.576,278.91504
2000-03,2000-03-01,42.576,277.84314
2000-03,2000-03-01,42.326,279.04565
2000-03,2000-03-01,42.326,278.96417
2000-03,2000-03-01,42.326,278.83392
2000-03,2000-03-01,42.326,278.15393
2000-03,2000-03-01,42.076,279.17023
2000-03,2000-03-01,42.076,277.9157
2000-03,2000-03-01,42.076,277.4533
2000-03,2000-03-01,42.076,276.97485
2000-04,2000-04-01,42.576,280.96573
2000-04,2000-04-01,42.576,281.05774
2000-04,2000-04-01,42.576,281.13422
2000-04,2000-04-01,42.576,281.2314
2000-04,2000-04-01,42.326,281.287
2000-04,2000-04-01,42.326,281.39474
2000-04,2000-04-01,42.326,281.49976
2000-04,2000-04-01,42.326,281.4655
2000-04,2000-04-01,42.076,281.59958
2000-04,2000-04-01,42.076,281.67877
2000-04,2000-04-01,42.076,281.63544
2000-04,2000-04-01,42.076,281.24435
2000-05,2000-05-01,42.576,288.8901
2000-05,2000-05-01,42.576,289.038
2000-05,2000-05-01,42.576,289.20117
2000-05,2000-05-01,42.576,289.52023
2000-05,2000-05-01,42.326,289.27362
2000-05,2000-05-01,42.326,289.48633
2000-05,2000-05-01,42.326,289.7417
2000-05,2000-05-01,42.326,289.89944
2000-05,2000-05-01,42.076,289.66986
2000-05,2000-05-01,42.076,290.1266
2000-05,2000-05-01,42.076,290.32764
2000-05,2000-05-01,42.076,290.24338
2000-06,2000-06-01,42.576,292.758
2000-06,2000-06-01,42.576,292.97208
2000-06,2000-06-01,42.576,293.2512
2000-06,2000-06-01,42.576,293.65616
2000-06,2000-06-01,42.326,293.06784
2000-06,2000-06-01,42.326,293.3562
2000-06,2000-06-01,42.326,293.69727
2000-06,2000-06-01,42.326,293.9394
2000-06,2000-06-01,42.076,293.4144
2000-06,2000-06-01,42.076,294.00726
2000-06,2000-06-01,42.076,294.31445
2000-06,2000-06-01,42.076,294.35156
2000-07,2000-07-01,42.576,293.1285
2000-07,2000-07-01,42.576,293.34018
2000-07,2000-07-01,42.576,293.556
2000-07,2000-07-01,42.576,293.95084
2000-07,2000-07-01,42.326,293.36005
2000-07,2000-07-01,42.326,293.6617
2000-07,2000-07-01,42.326,294.05017
2000-07,2000-07-01,42.326,294.32523
2000-07,2000-07-01,42.076,293.64975
2000-07,2000-07-01,42.076,294.37207
2000-07,2000-07-01,42.076,294.74054
2000-07,2000-07-01,42.076,294.83688
2000-08,2000-08-01,42.576,293.55978
2000-08,2000-08-01,42.576,293.72723
2000-08,2000-08-01,42.576,293.8912
2000-08,2000-08-01,42.576,294.30713
2000-08,2000-08-01,42.326,293.77084
2000-08,2000-08-01,42.326,294.03268
2000-08,2000-08-01,42.326,294.3579
2000-08,2000-08-01,42.326,294.6334
2000-08,2000-08-01,42.076,294.03268
2000-08,2000-08-01,42.076,294.75558
2000-08,2000-08-01,42.076,295.07697
2000-08,2000-08-01,42.076,295.1261
2000-09,2000-09-01,42.576,289.19174
2000-09,2000-09-01,42.576,289.34256
2000-09,2000-09-01,42.576,289.51855
2000-09,2000-09-01,42.576,290.1013
2000-09,2000-09-01,42.326,289.4446
2000-09,2000-09-01,42.326,289.6905
2000-09,2000-09-01,42.326,290.0348
2000-09,2000-09-01,42.326,290.4116
2000-09,2000-09-01,42.076,289.79202
2000-09,2000-09-01,42.076,290.50674
2000-09,2000-09-01,42.076,290.85468
2000-09,2000-09-01,42.076,290.9782
2000-10,2000-10-01,42.576,285.12988
2000-10,2000-10-01,42.576,285.17627
2000-10,2000-10-01,42.576,285.23984
2000-10,2000-10-01,42.576,285.48438
2000-10,2000-10-01,42.326,285.2848
2000-10,2000-10-01,42.326,285.37134
2000-10,2000-10-01,42.326,285.47525
2000-10,2000-10-01,42.326,285.61255
2000-10,2000-10-01,42.076,285.5249
2000-10,2000-10-01,42.076,285.7704
2000-10,2000-10-01,42.076,285.87387
2000-10,2000-10-01,42.076,285.90674
2000-11,2000-11-01,42.576,276.90964
2000-11,2000-11-01,42.576,277.08673
2000-11,2000-11-01,42.576,277.27112
2000-11,2000-11-01,42.576,277.47156
2000-11,2000-11-01,42.326,277.0941
2000-11,2000-11-01,42.326,277.32996
2000-11,2000-11-01,42.326,277.64285
2000-11,2000-11-01,42.326,277.8982
2000-11,2000-11-01,42.076,277.40033
2000-11,2000-11-01,42.076,277.87427
2000-11,2000-11-01,42.076,278.21442
2000-11,2000-11-01,42.076,278.49982
2000-12,2000-12-01,42.576,265.62878
2000-12,2000-12-01,42.576,265.7708
2000-12,2000-12-01,42.576,266.01184
2000-12,2000-12-01,42.576,266.39798
2000-12,2000-12-01,42.326,265.73184
2000-12,2000-12-01,42.326,265.96658
2000-12,2000-12-01,42.326,266.247
2000-12,2000-12-01,42.326,266.58237
2000-12,2000-12-01,42.076,265.7823
2000-12,2000-12-01,42.076,266.4778
2000-12,2000-12-01,42.076,266.88715
2000-12,2000-12-01,42.076,267.31955
2001-01,2001-01-01,42.576,269.63635
2001-01,2001-01-01,42.576,269.76862
2001-01,2001-01-01,42.576,269.92706
2001-01,2001-01-01,42.576,269.5952
2001-01,2001-01-01,42.326,269.7395
2001-01,2001-01-01,42.326,269.82962
2001-01,2001-01-01,42.326,269.8326
2001-01,2001-01-01,42.326,269.67712
2001-01,2001-01-01,42.076,269.6996
2001-01,2001-01-01,42.076,269.46057
2001-01,2001-01-01,42.076,269.3841
2001-01,2001-01-01,42.076,269.30438
2001-02,2001-02-01,42.576,271.56726
2001-02,2001-02-01,42.576,271.78305
2001-02,2001-02-01,42.576,271.96695
2001-02,2001-02-01,42.576,271.28702
2001-02,2001-02-01,42.326,272.00372
2001-02,2001-02-01,42.326,272.08597
2001-02,2001-02-01,42.326,272.05646
2001-02,2001-02-01,42.326,271.59592
2001-02,2001-02-01,42.076,272.35168
2001-02,2001-02-01,42.076,271.37543
2001-02,2001-02-01,42.076,271.0816
2001-02,2001-02-01,42.076,270.81247
2001-03,2001-03-01,42.576,274.17938
2001-03,2001-03-01,42.576,274.28256
2001-03,2001-03-01,42.576,274.22562
2001-03,2001-03-01,42.576,273.3652
2001-03,2001-03-01,42.326,274.33392
2001-03,2001-03-01,42.326,274.2922
2001-03,2001-03-01,42.326,274.1129
2001-03,2001-03-01,42.326,273.50775
2001-03,2001-03-01,42.076,274.27924
