valid_time,time,latitude,t2m
2000-01,2000-01-01,24.173,291.0249
2000-01,2000-01-01,24.173,290.85822
2000-01,2000-01-01,24.173,290.99628
2000-01,2000-01-01,24.173,291.12405
2000-01,2000-01-01,23.923,291.32056
2000-01,2000-01-01,23.923,291.05438
2000-01,2000-01-01,23.923,291.0693
2000-01,2000-01-01,23.923,291.1504
2000-01,2000-01-01,23.673,291.64764
2000-01,2000-01-01,23.673,291.47104
2000-01,2000-01-01,23.673,291.37244
2000-01,2000-01-01,23.673,291.28357
2000-01,2000-01-01,23.423,291.61206
2000-01,2000-01-01,23.423,291.74243
2000-01,2000-01-01,23.423,291.8502
2000-01,2000-01-01,23.423,291.60657
2000-02,2000-02-01,24.173,292.84387
2000-02,2000-02-01,24.173,292.60114
2000-02,2000-02-01,24.173,292.66464
2000-02,2000-02-01,24.173,292.73624
2000-02,2000-02-01,23.923,293.32074
2000-02,2000-02-01,23.923,292.991
2000-02,2000-02-01,23.923,293.01855
2000-02,2000-02-01,23.923,293.06586
2000-02,2000-02-01,23.673,293.6679
2000-02,2000-02-01,23.673,293.5007
2000-02,2000-02-01,23.673,293.40317
2000-02,2000-02-01,23.673,293.3777
2000-02,2000-02-01,23.423,293.69675
2000-02,2000-02-01,23.423,293.82214
2000-02,2000-02-01,23.423,293.84674
2000-02,2000-02-01,23.423,293.71057
2000-03,2000-03-01,24.173,297.59717
2000-03,2000-03-01,24.173,297.29593
2000-03,2000-03-01,24.173,297.11713
2000-03,2000-03-01,24.173,296.8883
2000-03,2000-03-01,23.923,298.19244
2000-03,2000-03-01,23.923,297.79166
2000-03,2000-03-01,23.923,297.52673
2000-03,2000-03-01,23.923,297.26627
2000-03,2000-03-01,23.673,298.6677
2000-03,2000-03-01,23.673,298.4156
2000-03,2000-03-01,23.673,298.09155
2000-03,2000-03-01,23.673,297.746
2000-03,2000-03-01,23.423,298.80023
2000-03,2000-03-01,23.423,298.69727
2000-03,2000-03-01,23.423,298.62912
2000-03,2000-03-01,23.423,298.24802
2000-04,2000-04-01,24.173,300.33545
2000-04,2000-04-01,24.173,300.05035
2000-04,2000-04-01,24.173,299.9613
2000-04,2000-04-01,24.173,299.90936
2000-04,2000-04-01,23.923,300.865
2000-04,2000-04-01,23.923,300.58286
2000-04,2000-04-01,23.923,300.47766
2000-04,2000-04-01,23.923,300.40222
2000-04,2000-04-01,23.673,301.36694
2000-04,2000-04-01,23.673,301.1888
2000-04,2000-04-01,23.673,301.02228
2000-04,2000-04-01,23.673,300.92175
2000-04,2000-04-01,23.423,301.6746
2000-04,2000-04-01,23.423,301.49377
2000-04,2000-04-01,23.423,301.42184
2000-04,2000-04-01,23.423,301.34286
2000-05,2000-05-01,24.173,301.00012
2000-05,2000-05-01,24.173,300.82654
2000-05,2000-05-01,24.173,300.78888
2000-05,2000-05-01,24.173,300.75323
2000-05,2000-05-01,23.923,301.26132
2000-05,2000-05-01,23.923,301.07727
2000-05,2000-05-01,23.923,301.01437
2000-05,2000-05-01,23.923,300.9371
2000-05,2000-05-01,23.673,301.51672
2000-05,2000-05-01,23.673,301.37408
2000-05,2000-05-01,23.673,301.24896
2000-05,2000-05-01,23.673,301.13135
2000-05,2000-05-01,23.423,301.5506
2000-05,2000-05-01,23.423,301.51987
2000-05,2000-05-01,23.423,301.43585
2000-05,2000-05-01,23.423,301.28207
2000-06,2000-06-01,24.173,301.84546
2000-06,2000-06-01,24.173,301.6897
2000-06,2000-06-01,24.173,301.6303
2000-06,2000-06-01,24.173,301.5648
2000-06,2000-06-01,23.923,301.9275
2000-06,2000-06-01,23.923,301.79144
2000-06,2000-06-01,23.923,301.72107
2000-06,2000-06-01,23.923,301.60956
2000-06,2000-06-01,23.673,301.97937
2000-06,2000-06-01,23.673,301.87344
2000-06,2000-06-01,23.673,301.76746
2000-06,2000-06-01,23.673,301.63245
2000-06,2000-06-01,23.423,301.87872
2000-06,2000-06-01,23.423,301.81332
2000-06,2000-06-01,23.423,301.7096
2000-06,2000-06-01,23.423,301.56757
2000-07,2000-07-01,24.173,301.98224
2000-07,2000-07-01,24.173,301.8763
2000-07,2000-07-01,24.173,301.83978
2000-07,2000-07-01,24.173,301.80408
2000-07,2000-07-01,23.923,301.87396
2000-07,2000-07-01,23.923,301.82425
2000-07,2000-07-01,23.923,301.7812
2000-07,2000-07-01,23.923,301.7002
2000-07,2000-07-01,23.673,301.81866
2000-07,2000-07-01,23.673,301.78687
2000-07,2000-07-01,23.673,301.72314
2000-07,2000-07-01,23.673,301.62976
2000-07,2000-07-01,23.423,301.702
2000-07,2000-07-01,23.423,301.6795
2000-07,2000-07-01,23.423,301.61267
2000-07,2000-07-01,23.423,301.50998
2000-08,2000-08-01,24.173,302.05646
2000-08,2000-08-01,24.173,301.825
2000-08,2000-08-01,24.173,301.6925
2000-08,2000-08-01,24.173,301.5971
2000-08,2000-08-01,23.923,302.04266
2000-08,2000-08-01,23.923,301.85345
2000-08,2000-08-01,23.923,301.70618
2000-08,2000-08-01,23.923,301.56708
2000-08,2000-08-01,23.673,302.00006
2000-08,2000-08-01,23.673,301.87262
2000-08,2000-08-01,23.673,301.7147
2000-08,2000-08-01,23.673,301.55252
2000-08,2000-08-01,23.423,301.87048
2000-08,2000-08-01,23.423,301.79034
2000-08,2000-08-01,23.423,301.65466
2000-08,2000-08-01,23.423,301.48883
2000-09,2000-09-01,24.173,300.9246
2000-09,2000-09-01,24.173,300.7897
2000-09,2000-09-01,24.173,300.8048
2000-09,2000-09-01,24.173,300.8681
2000-09,2000-09-01,23.923,301.06366
2000-09,2000-09-01,23.923,300.95117
2000-09,2000-09-01,23.923,300.95544
2000-09,2000-09-01,23.923,300.96515
2000-09,2000-09-01,23.673,301.21643
2000-09,2000-09-01,23.673,301.17816
2000-09,2000-09-01,23.673,301.12048
2000-09,2000-09-01,23.673,301.03534
2000-09,2000-09-01,23.423,301.06558
2000-09,2000-09-01,23.423,301.17212
2000-09,2000-09-01,23.423,301.1761
2000-09,2000-09-01,23.423,301.04245
2000-10,2000-10-01,24.173,300.1772
2000-10,2000-10-01,24.173,299.99902
2000-10,2000-10-01,24.173,300.0373
2000-10,2000-10-01,24.173,300.15137
2000-10,2000-10-01,23.923,300.4428
2000-10,2000-10-01,23.923,300.22385
2000-10,2000-10-01,23.923,300.2187
2000-10,2000-10-01,23.923,300.2589
2000-10,2000-10-01,23.673,300.76184
2000-10,2000-10-01,23.673,300.6128
