valid_time,time,latitude,t2m
2000-01,2000-01-01,25.399,291.0872
2000-01,2000-01-01,25.149,290.90488
2000-02,2000-02-01,25.399,290.90607
2000-02,2000-02-01,25.149,290.81897
2000-03,2000-03-01,25.399,294.09918
2000-03,2000-03-01,25.149,294.1775
2000-04,2000-04-01,25.399,302.39136
2000-04,2000-04-01,25.149,302.71622
2000-05,2000-05-01,25.399,305.90582
2000-05,2000-05-01,25.149,306.27615
2000-06,2000-06-01,25.399,307.0056
2000-06,2000-06-01,25.149,307.25803
2000-07,2000-07-01,25.399,309.40216
2000-07,2000-07-01,25.149,309.68872
2000-08,2000-08-01,25.399,309.5683
2000-08,2000-08-01,25.149,309.83173
2000-09,2000-09-01,25.399,305.60294
2000-09,2000-09-01,25.149,305.7069
2000-10,2000-10-01,25.399,302.5092
2000-10,2000-10-01,25.149,302.51797
2000-11,2000-11-01,25.399,296.86932
2000-11,2000-11-01,25.149,296.96408
2000-12,2000-12-01,25.399,292.4847
2000-12,2000-12-01,25.149,292.2052
2001-01,2001-01-01,25.399,289.75906
2001-01,2001-01-01,25.149,289.34964
2001-02,2001-02-01,25.399,291.0539
2001-02,2001-02-01,25.149,290.90054
2001-03,2001-03-01,25.399,295.50043
2001-03,2001-03-01,25.149,295.73016
2001-04,2001-04-01,25.399,300.54724
2001-04,2001-04-01,25.149,300.7718
2001-05,2001-05-01,25.399,305.94824
2001-05,2001-05-01,25.149,306.2416
2001-06,2001-06-01,25.399,306.90225
2001-06,2001-06-01,25.149,307.1383
2001-07,2001-07-01,25.399,308.89285
2001-07,2001-07-01,25.149,309.20184
2001-08,2001-08-01,25.399,308.91025
2001-08,2001-08-01,25.149,309.25806
2001-09,2001-09-01,25.399,306.79324
2001-09,2001-09-01,25.149,307.0141
2001-10,2001-10-01,25.399,302.56436
2001-10,2001-10-01,25.149,302.57172
2001-11,2001-11-01,25.399,297.0664
2001-11,2001-11-01,25.149,296.8418
2001-12,2001-12-01,25.399,295.62622
2001-12,2001-12-01,25.149,295.45288
2002-01,2002-01-01,25.399,291.0209
2002-01,2002-01-01,25.149,290.61935
2002-02,2002-02-01,25.399,291.89294
2002-02,2002-02-01,25.149,291.77225
2002-03,2002-03-01,25.399,295.9972
2002-03,2002-03-01,25.149,296.1106
2002-04,2002-04-01,25.399,299.7918
2002-04,2002-04-01,25.149,300.0007
2002-05,2002-05-01,25.399,306.0476
2002-05,2002-05-01,25.149,306.34412
2002-06,2002-06-01,25.399,307.4262
2002-06,2002-06-01,25.149,307.7733
2002-07,2002-07-01,25.399,309.46832
2002-07,2002-07-01,25.149,309.75098
2002-08,2002-08-01,25.399,308.4382
2002-08,2002-08-01,25.149,308.66425
2002-09,2002-09-01,25.399,306.1121
2002-09,2002-09-01,25.149,306.33783
2002-10,2002-10-01,25.399,303.3837
2002-10,2002-10-01,25.149,303.42166
2002-11,2002-11-01,25.399,296.82587
2002-11,2002-11-01,25.149,296.6716
2002-12,2002-12-01,25.399,293.22342
