valid_time,time,latitude,t2m
2000-01,2000-01-01,47.921,267.38974
2000-01,2000-01-01,47.921,267.60236
2000-02,2000-02-01,47.921,272.1663
2000-02,2000-02-01,47.921,272.3237
2000-03,2000-03-01,47.921,274.6632
2000-03,2000-03-01,47.921,274.69455
2000-04,2000-04-01,47.921,286.17697
2000-04,2000-04-01,47.921,286.21353
2000-05,2000-05-01,47.921,286.97913
2000-05,2000-05-01,47.921,287.02283
2000-06,2000-06-01,47.921,291.4697
2000-06,2000-06-01,47.921,291.66904
2000-07,2000-07-01,47.921,295.3523
2000-07,2000-07-01,47.921,295.5107
2000-08,2000-08-01,47.921,294.56216
2000-08,2000-08-01,47.921,294.71237
2000-09,2000-09-01,47.921,287.02213
2000-09,2000-09-01,47.921,287.1301
2000-10,2000-10-01,47.921,281.29187
2000-10,2000-10-01,47.921,281.2911
2000-11,2000-11-01,47.921,274.38098
2000-11,2000-11-01,47.921,274.34637
2000-12,2000-12-01,47.921,273.98874
2000-12,2000-12-01,47.921,273.9443
2001-01,2001-01-01,47.921,272.57486
2001-01,2001-01-01,47.921,272.57443
2001-02,2001-02-01,47.921,270.30353
2001-02,2001-02-01,47.921,270.57568
2001-03,2001-03-01,47.921,276.42245
2001-03,2001-03-01,47.921,276.41763
2001-04,2001-04-01,47.921,283.97638
2001-04,2001-04-01,47.921,284.01083
2001-05,2001-05-01,47.921,287.03394
2001-05,2001-05-01,47.921,287.1657
2001-06,2001-06-01,47.921,290.71558
2001-06,2001-06-01,47.921,290.79904
2001-07,2001-07-01,47.921,298.47656
2001-07,2001-07-01,47.921,298.56528
2001-08,2001-08-01,47.921,294.94513
2001-08,2001-08-01,47.921,295.00363
2001-09,2001-09-01,47.921,288.885
2001-09,2001-09-01,47.921,288.9381
2001-10,2001-10-01,47.921,280.83246
2001-10,2001-10-01,47.921,280.798
2001-11,2001-11-01,47.921,276.03543
2001-11,2001-11-01,47.921,276.10037
2001-12,2001-12-01,47.921,266.00555
2001-12,2001-12-01,47.921,265.97028
2002-01,2002-01-01,47.921,269.18353
2002-01,2002-01-01,47.921,269.2785
2002-02,2002-02-01,47.921,275.58734
2002-02,2002-02-01,47.921,275.6207
2002-03,2002-03-01,47.921,278.03174
2002-03,2002-03-01,47.921,278.06744
2002-04,2002-04-01,47.921,282.12872
2002-04,2002-04-01,47.921,282.1522
2002-05,2002-05-01,47.921,288.60748
2002-05,2002-05-01,47.921,288.62097
2002-06,2002-06-01,47.921,292.35052
2002-06,2002-06-01,47.921,292.46777
2002-07,2002-07-01,47.921,298.27798
2002-07,2002-07-01,47.921,298.36887
2002-08,2002-08-01,47.921,293.53906
2002-08,2002-08-01,47.921,293.55392
2002-09,2002-09-01,47.921,290.0242
2002-09,2002-09-01,47.921,290.07407
2002-10,2002-10-01,47.921,281.23975
2002-10,2002-10-01,47.921,281.3312
2002-11,2002-11-01,47.921,276.5532
2002-11,2002-11-01,47.921,276.52414
2002-12,2002-12-01,47.921,264.53885
2002-12,2002-12-01,47.921,264.5728
2003-01,2003-01-01,47.921,269.2878
2003-01,2003-01-01,47.921,269.38098
2003-02,2003-02-01,47.921,264.40207
2003-02,2003-02-01,47.921,264.39594
2003-03,2003-03-01,47.921,271.30765
2003-03,2003-03-01,47.921,271.37445
2003-04,2003-04-01,47.921,279.91098
2003-04,2003-04-01,47.921,279.96973
2003-05,2003-05-01,47.921,291.95074
2003-05,2003-05-01,47.921,291.95502
2003-06,2003-06-01,47.921,290.89636
2003-06,2003-06-01,47.921,290.96225
2003-07,2003-07-01,47.921,293.41122
2003-07,2003-07-01,47.921,293.52618
2003-08,2003-08-01,47.921,293.18768
2003-08,2003-08-01,47.921,293.33978
2003-09,2003-09-01,47.921,287.54895
2003-09,2003-09-01,47.921,287.61673
2003-10,2003-10-01,47.921,281.48547
