valid_time,time,latitude,t2m
2000-01,2000-01-01,51.542,277.09106
2000-01,2000-01-01,51.542,276.98224
2000-01,2000-01-01,51.542,276.72296
2000-01,2000-01-01,51.542,276.3112
2000-01,2000-01-01,51.542,276.16827
2000-01,2000-01-01,51.292,276.9754
2000-01,2000-01-01,51.292,276.81894
2000-01,2000-01-01,51.292,276.31946
2000-01,2000-01-01,51.292,275.80368
2000-01,2000-01-01,51.292,275.1799
2000-02,2000-02-01,51.542,278.8874
2000-02,2000-02-01,51.542,278.81363
2000-02,2000-02-01,51.542,278.6099
2000-02,2000-02-01,51.542,278.2348
2000-02,2000-02-01,51.542,278.13733
2000-02,2000-02-01,51.292,278.88672
2000-02,2000-02-01,51.292,278.7302
2000-02,2000-02-01,51.292,278.25867
2000-02,2000-02-01,51.292,277.77423
2000-02,2000-02-01,51.292,277.20193
2000-03,2000-03-01,51.542,280.08813
2000-03,2000-03-01,51.542,280.0353
2000-03,2000-03-01,51.542,279.84305
2000-03,2000-03-01,51.542,279.5212
2000-03,2000-03-01,51.542,279.41406
2000-03,2000-03-01,51.292,280.0099
2000-03,2000-03-01,51.292,279.92667
2000-03,2000-03-01,51.292,279.508
2000-03,2000-03-01,51.292,279.10724
2000-03,2000-03-01,51.292,278.65402
2000-04,2000-04-01,51.542,283.9781
2000-04,2000-04-01,51.542,284.02847
2000-04,2000-04-01,51.542,283.96924
2000-04,2000-04-01,51.542,283.7649
2000-04,2000-04-01,51.542,283.73715
2000-04,2000-04-01,51.292,284.04037
2000-04,2000-04-01,51.292,284.04416
2000-04,2000-04-01,51.292,283.79572
2000-04,2000-04-01,51.292,283.51862
2000-04,2000-04-01,51.292,283.17426
2000-05,2000-05-01,51.542,288.65033
2000-05,2000-05-01,51.542,288.64944
2000-05,2000-05-01,51.542,288.56946
2000-05,2000-05-01,51.542,288.32855
2000-05,2000-05-01,51.542,288.25046
2000-05,2000-05-01,51.292,288.61826
2000-05,2000-05-01,51.292,288.6327
2000-05,2000-05-01,51.292,288.4002
2000-05,2000-05-01,51.292,288.08243
2000-05,2000-05-01,51.292,287.67114
2000-06,2000-06-01,51.542,290.16318
2000-06,2000-06-01,51.542,290.19302
2000-06,2000-06-01,51.542,290.14398
2000-06,2000-06-01,51.542,289.90158
2000-06,2000-06-01,51.542,289.86542
2000-06,2000-06-01,51.292,290.28424
2000-06,2000-06-01,51.292,290.2743
2000-06,2000-06-01,51.292,289.98322
2000-06,2000-06-01,51.292,289.65073
2000-06,2000-06-01,51.292,289.237
2000-07,2000-07-01,51.542,288.81375
2000-07,2000-07-01,51.542,288.78702
2000-07,2000-07-01,51.542,288.63934
2000-07,2000-07-01,51.542,288.3511
2000-07,2000-07-01,51.542,288.28055
2000-07,2000-07-01,51.292,288.73584
2000-07,2000-07-01,51.292,288.66565
2000-07,2000-07-01,51.292,288.2756
2000-07,2000-07-01,51.292,287.90445
2000-07,2000-07-01,51.292,287.47586
2000-08,2000-08-01,51.542,291.24988
2000-08,2000-08-01,51.542,291.2408
2000-08,2000-08-01,51.542,291.1194
2000-08,2000-08-01,51.542,290.87796
2000-08,2000-08-01,51.542,290.84778
2000-08,2000-08-01,51.292,291.33884
2000-08,2000-08-01,51.292,291.2962
2000-08,2000-08-01,51.292,290.9706
2000-08,2000-08-01,51.292,290.65094
2000-08,2000-08-01,51.292,290.26498
2000-09,2000-09-01,51.542,288.97623
2000-09,2000-09-01,51.542,288.93515
2000-09,2000-09-01,51.542,288.7854
2000-09,2000-09-01,51.542,288.5025
2000-09,2000-09-01,51.542,288.42902
2000-09,2000-09-01,51.292,289.01
2000-09,2000-09-01,51.292,288.90524
2000-09,2000-09-01,51.292,288.52966
2000-09,2000-09-01,51.292,288.166
2000-09,2000-09-01,51.292,287.743
2000-10,2000-10-01,51.542,284.62802
2000-10,2000-10-01,51.542,284.6406
2000-10,2000-10-01,51.542,284.51425
2000-10,2000-10-01,51.542,284.26718
2000-10,2000-10-01,51.542,284.22406
2000-10,2000-10-01,51.292,284.59006
2000-10,2000-10-01,51.292,284.52896
2000-10,2000-10-01,51.292,284.17798
2000-10,2000-10-01,51.292,283.85883
2000-10,2000-10-01,51.292,283.48843
2000-11,2000-11-01,51.542,281.13257
2000-11,2000-11-01,51.542,281.11108
2000-11,2000-11-01,51.542,280.95328
2000-11,2000-11-01,51.542,280.67267
2000-11,2000-11-01,51.542,280.6292
2000-11,2000-11-01,51.292,281.09302
2000-11,2000-11-01,51.292,280.982
2000-11,2000-11-01,51.292,280.57135
2000-11,2000-11-01,51.292,280.20996
2000-11,2000-11-01,51.292,279.7964
2000-12,2000-12-01,51.542,278.39203
2000-12,2000-12-01,51.542,278.33475
2000-12,2000-12-01,51.542,278.1432
2000-12,2000-12-01,51.542,277.87134
2000-12,2000-12-01,51.542,277.7947
2000-12,2000-12-01,51.292,278.46606
2000-12,2000-12-01,51.292,278.37296
2000-12,2000-12-01,51.292,278.00568
2000-12,2000-12-01,51.292,277.66626
2000-12,2000-12-01,51.292,277.2646
2001-01,2001-01-01,51.542,276.04007
2001-01,2001-01-01,51.542,275.97928
2001-01,2001-01-01,51.542,275.79358
2001-01,2001-01-01,51.542,275.5026
2001-01,2001-01-01,51.542,275.39883
2001-01,2001-01-01,51.292,276.1039
2001-01,2001-01-01,51.292,276.00397
2001-01,2001-01-01,51.292,275.63675
2001-01,2001-01-01,51.292,275.2782
2001-01,2001-01-01,51.292,274.85107
2001-02,2001-02-01,51.542,277.82172
2001-02,2001-02-01,51.542,277.7393
2001-02,2001-02-01,51.542,277.52048
2001-02,2001-02-01,51.542,277.13333
2001-02,2001-02-01,51.542,277.00208
2001-02,2001-02-01,51.292,277.82928
2001-02,2001-02-01,51.292,277.68732
2001-02,2001-02-01,51.292,277.23322
2001-02,2001-02-01,51.292,276.74033
2001-02,2001-02-01,51.292,276.15347
2001-03,2001-03-01,51.542,278.7371
2001-03,2001-03-01,51.542,278.66522
2001-03,2001-03-01,51.542,278.50125
2001-03,2001-03-01,51.542,278.14905
2001-03,2001-03-01,51.542,278.02225
2001-03,2001-03-01,51.292,279.007
2001-03,2001-03-01,51.292,278.87695
2001-03,2001-03-01,51.292,278.47568
2001-03,2001-03-01,51.292,278.02847
2001-03,2001-03-01,51.292,277.482
2001-04,2001-04-01,51.542,281.61035
2001-04,2001-04-01,51.542,281.56958
2001-04,2001-04-01,51.542,281.4031
2001-04,2001-04-01,51.542,281.0901
2001-04,2001-04-01,51.542,280.9995
2001-04,2001-04-01,51.292,281.60413
2001-04,2001-04-01,51.292,281.50827
2001-04,2001-04-01,51.292,281.10803
2001-04,2001-04-01,51.292,280.71143
2001-04,2001-04-01,51.292,280.2532
2001-05,2001-05-01,51.542,288.32275
2001-05,2001-05-01,51.542,288.295
2001-05,2001-05-01,51.542,288.1516
2001-05,2001-05-01,51.542,287.84674
2001-05,2001-05-01,51.542,287.709
2001-05,2001-05-01,51.292,288.43015
