valid_time,time,latitude,t2m
2000-01,2000-01-01,25.439,294.80356
2000-01,2000-01-01,25.439,294.49338
2000-01,2000-01-01,25.439,294.07068
2000-01,2000-01-01,25.189,294.34106
2000-01,2000-01-01,25.189,293.88232
2000-01,2000-01-01,25.189,293.44696
2000-01,2000-01-01,24.939,293.60645
2000-01,2000-01-01,24.939,293.19073
2000-01,2000-01-01,24.939,292.91806
2000-02,2000-02-01,25.439,293.7769
2000-02,2000-02-01,25.439,293.71167
2000-02,2000-02-01,25.439,293.62747
2000-02,2000-02-01,25.189,293.5236
2000-02,2000-02-01,25.189,293.42584
2000-02,2000-02-01,25.189,293.19232
2000-02,2000-02-01,24.939,293.0621
2000-02,2000-02-01,24.939,292.90756
2000-02,2000-02-01,24.939,292.75107
2000-03,2000-03-01,25.439,295.3669
2000-03,2000-03-01,25.439,295.42047
2000-03,2000-03-01,25.439,295.55304
2000-03,2000-03-01,25.189,295.32236
2000-03,2000-03-01,25.189,295.49033
2000-03,2000-03-01,25.189,295.4355
2000-03,2000-03-01,24.939,295.166
2000-03,2000-03-01,24.939,295.15662
2000-03,2000-03-01,24.939,295.11627
2000-04,2000-04-01,25.439,299.9071
2000-04,2000-04-01,25.439,300.29102
2000-04,2000-04-01,25.439,300.99506
2000-04,2000-04-01,25.189,300.28528
2000-04,2000-04-01,25.189,301.30737
2000-04,2000-04-01,25.189,301.7766
2000-04,2000-04-01,24.939,301.0121
2000-04,2000-04-01,24.939,301.7248
2000-04,2000-04-01,24.939,302.1529
2000-05,2000-05-01,25.439,302.73892
2000-05,2000-05-01,25.439,303.0398
2000-05,2000-05-01,25.439,303.7076
2000-05,2000-05-01,25.189,303.1616
2000-05,2000-05-01,25.189,303.82816
2000-05,2000-05-01,25.189,304.2453
2000-05,2000-05-01,24.939,303.61108
2000-05,2000-05-01,24.939,303.9962
2000-05,2000-05-01,24.939,304.32605
2000-06,2000-06-01,25.439,303.79956
2000-06,2000-06-01,25.439,304.2273
2000-06,2000-06-01,25.439,305.1767
2000-06,2000-06-01,25.189,304.229
2000-06,2000-06-01,25.189,305.21204
2000-06,2000-06-01,25.189,305.88647
2000-06,2000-06-01,24.939,304.9054
2000-06,2000-06-01,24.939,305.58276
2000-06,2000-06-01,24.939,306.15247
2000-07,2000-07-01,25.439,306.67493
2000-07,2000-07-01,25.439,307.2213
2000-07,2000-07-01,25.439,308.299
2000-07,2000-07-01,25.189,307.28723
2000-07,2000-07-01,25.189,308.6018
2000-07,2000-07-01,25.189,309.09894
2000-07,2000-07-01,24.939,308.30188
2000-07,2000-07-01,24.939,309.2298
2000-07,2000-07-01,24.939,309.50458
2000-08,2000-08-01,25.439,306.82867
2000-08,2000-08-01,25.439,307.1889
2000-08,2000-08-01,25.439,307.95032
2000-08,2000-08-01,25.189,307.37854
2000-08,2000-08-01,25.189,308.3542
2000-08,2000-08-01,25.189,308.6203
2000-08,2000-08-01,24.939,308.20996
2000-08,2000-08-01,24.939,308.8452
2000-08,2000-08-01,24.939,308.94556
2000-09,2000-09-01,25.439,304.9855
2000-09,2000-09-01,25.439,305.06183
2000-09,2000-09-01,25.439,305.49847
2000-09,2000-09-01,25.189,305.25058
2000-09,2000-09-01,25.189,305.80118
2000-09,2000-09-01,25.189,305.85764
2000-09,2000-09-01,24.939,305.6567
2000-09,2000-09-01,24.939,305.9821
2000-09,2000-09-01,24.939,305.9932
2000-10,2000-10-01,25.439,303.17847
2000-10,2000-10-01,25.439,302.91504
2000-10,2000-10-01,25.439,302.65207
2000-10,2000-10-01,25.189,303.05
2000-10,2000-10-01,25.189,302.78094
2000-10,2000-10-01,25.189,302.50757
2000-10,2000-10-01,24.939,302.6759
2000-10,2000-10-01,24.939,302.5146
2000-10,2000-10-01,24.939,302.45825
2000-11,2000-11-01,25.439,299.45663
2000-11,2000-11-01,25.439,299.07053
2000-11,2000-11-01,25.439,298.53958
2000-11,2000-11-01,25.189,299.1825
2000-11,2000-11-01,25.189,298.65564
2000-11,2000-11-01,25.189,298.06613
2000-11,2000-11-01,24.939,298.61758
2000-11,2000-11-01,24.939,298.185
2000-11,2000-11-01,24.939,297.79446
2000-12,2000-12-01,25.439,295.56665
2000-12,2000-12-01,25.439,295.03015
2000-12,2000-12-01,25.439,294.33325
2000-12,2000-12-01,25.189,295.00287
2000-12,2000-12-01,25.189,294.14252
2000-12,2000-12-01,25.189,293.54102
2000-12,2000-12-01,24.939,294.049
2000-12,2000-12-01,24.939,293.4259
2000-12,2000-12-01,24.939,293.17108
2001-01,2001-01-01,25.439,293.22375
2001-01,2001-01-01,25.439,292.81146
2001-01,2001-01-01,25.439,292.2221
2001-01,2001-01-01,25.189,292.7439
2001-01,2001-01-01,25.189,291.96936
2001-01,2001-01-01,25.189,291.38055
2001-01,2001-01-01,24.939,291.86005
2001-01,2001-01-01,24.939,291.17914
2001-01,2001-01-01,24.939,290.75732
2001-02,2001-02-01,25.439,293.59097
2001-02,2001-02-01,25.439,293.4024
2001-02,2001-02-01,25.439,293.06454
2001-02,2001-02-01,25.189,293.2978
2001-02,2001-02-01,25.189,293.00122
2001-02,2001-02-01,25.189,292.59882
2001-02,2001-02-01,24.939,292.79803
2001-02,2001-02-01,24.939,292.54022
2001-02,2001-02-01,24.939,292.31247
2001-03,2001-03-01,25.439,295.9663
2001-03,2001-03-01,25.439,296.11823
2001-03,2001-03-01,25.439,296.48297
2001-03,2001-03-01,25.189,296.10754
2001-03,2001-03-01,25.189,296.48376
2001-03,2001-03-01,25.189,296.59772
2001-03,2001-03-01,24.939,296.2519
2001-03,2001-03-01,24.939,296.45374
2001-03,2001-03-01,24.939,296.5262
2001-04,2001-04-01,25.439,299.0146
2001-04,2001-04-01,25.439,299.1681
2001-04,2001-04-01,25.439,299.59418
2001-04,2001-04-01,25.189,299.1961
2001-04,2001-04-01,25.189,299.71796
2001-04,2001-04-01,25.189,299.95166
2001-04,2001-04-01,24.939,299.43823
2001-04,2001-04-01,24.939,299.7381
2001-04,2001-04-01,24.939,299.97546
2001-05,2001-05-01,25.439,302.7978
2001-05,2001-05-01,25.439,303.44873
2001-05,2001-05-01,25.439,304.80548
2001-05,2001-05-01,25.189,303.48834
2001-05,2001-05-01,25.189,304.98096
2001-05,2001-05-01,25.189,305.74316
2001-05,2001-05-01,24.939,304.61804
2001-05,2001-05-01,24.939,305.55994
2001-05,2001-05-01,24.939,306.03577
2001-06,2001-06-01,25.439,304.08423
2001-06,2001-06-01,25.439,304.53583
2001-06,2001-06-01,25.439,305.53265
2001-06,2001-06-01,25.189,304.55634
2001-06,2001-06-01,25.189,305.60175
2001-06,2001-06-01,25.189,306.30298
2001-06,2001-06-01,24.939,305.2655
2001-06,2001-06-01,24.939,306.0078
2001-06,2001-06-01,24.939,306.58478
2001-07,2001-07-01,25.439,306.472
2001-07,2001-07-01,25.439,307.0064
2001-07,2001-07-01,25.439,308.252
2001-07,2001-07-01,25.189,307.18854
2001-07,2001-07-01,25.189,308.51465
2001-07,2001-07-01,25.189,309.02777
2001-07,2001-07-01,24.939,308.28094
2001-07,2001-07-01,24.939,309.03967
2001-07,2001-07-01,24.939,309.1621
2001-08,2001-08-01,25.439,306.3659
2001-08,2001-08-01,25.439,306.6928
2001-08,2001-08-01,25.439,307.49396
2001-08,2001-08-01,25.189,306.98767
2001-08,2001-08-01,25.189,307.97968
2001-08,2001-08-01,25.189,308.2428
2001-08,2001-08-01,24.939,307.9618
2001-08,2001-08-01,24.939,308.59302
2001-08,2001-08-01,24.939,308.69586
2001-09,2001-09-01,25.439,305.3344
2001-09,2001-09-01,25.439,305.47382
2001-09,2001-09-01,25.439,306.08276
2001-09,2001-09-01,25.189,305.65384
2001-09,2001-09-01,25.189,306.2836
2001-09,2001-09-01,25.189,306.51596
2001-09,2001-09-01,24.939,306.09238
2001-09,2001-09-01,24.939,306.48895
2001-09,2001-09-01,24.939,306.65286
2001-10,2001-10-01,25.439,303.38565
2001-10,2001-10-01,25.439,303.09882
2001-10,2001-10-01,25.439,302.84348
