valid_time,time,latitude,t2m
2000-01,2000-01-01,-29.853,295.0566
2000-01,2000-01-01,-29.853,296.47556
2000-01,2000-01-01,-30.103,295.60147
2000-01,2000-01-01,-30.103,296.95587
2000-02,2000-02-01,-29.853,296.7722
2000-02,2000-02-01,-29.853,297.97836
2000-02,2000-02-01,-30.103,297.15424
2000-02,2000-02-01,-30.103,298.1964
2000-03,2000-03-01,-29.853,296.15207
2000-03,2000-03-01,-29.853,297.47928
2000-03,2000-03-01,-30.103,296.6171
2000-03,2000-03-01,-30.103,297.90826
2000-04,2000-04-01,-29.853,292.49188
2000-04,2000-04-01,-29.853,294.22882
2000-04,2000-04-01,-30.103,293.25153
2000-04,2000-04-01,-30.103,295.07367
2000-05,2000-05-01,-29.853,289.51172
2000-05,2000-05-01,-29.853,291.6032
2000-05,2000-05-01,-30.103,290.57977
2000-05,2000-05-01,-30.103,292.7854
2000-06,2000-06-01,-29.853,288.8448
2000-06,2000-06-01,-29.853,290.94897
2000-06,2000-06-01,-30.103,290.04877
2000-06,2000-06-01,-30.103,292.3686
2000-07,2000-07-01,-29.853,287.6798
2000-07,2000-07-01,-29.853,289.80902
2000-07,2000-07-01,-30.103,288.85852
2000-07,2000-07-01,-30.103,291.28918
2000-08,2000-08-01,-29.853,290.72168
2000-08,2000-08-01,-29.853,291.85437
2000-08,2000-08-01,-30.103,291.19058
2000-08,2000-08-01,-30.103,292.5667
2000-09,2000-09-01,-29.853,291.11908
2000-09,2000-09-01,-29.853,292.33087
2000-09,2000-09-01,-30.103,291.45245
2000-09,2000-09-01,-30.103,292.68753
2000-10,2000-10-01,-29.853,291.86765
2000-10,2000-10-01,-29.853,292.85425
2000-10,2000-10-01,-30.103,292.14584
2000-10,2000-10-01,-30.103,293.13818
2000-11,2000-11-01,-29.853,293.3331
2000-11,2000-11-01,-29.853,294.47226
2000-11,2000-11-01,-30.103,293.67795
2000-11,2000-11-01,-30.103,294.72003
2000-12,2000-12-01,-29.853,295.2449
2000-12,2000-12-01,-29.853,296.2207
2000-12,2000-12-01,-30.103,295.41702
2000-12,2000-12-01,-30.103,296.3615
2001-01,2001-01-01,-29.853,295.3245
2001-01,2001-01-01,-29.853,296.45956
2001-01,2001-01-01,-30.103,295.64737
2001-01,2001-01-01,-30.103,296.6776
2001-02,2001-02-01,-29.853,295.6168
2001-02,2001-02-01,-29.853,296.75565
2001-02,2001-02-01,-30.103,295.9557
2001-02,2001-02-01,-30.103,297.0427
2001-03,2001-03-01,-29.853,296.248
2001-03,2001-03-01,-29.853,297.26813
2001-03,2001-03-01,-30.103,296.44012
2001-03,2001-03-01,-30.103,297.53708
2001-04,2001-04-01,-29.853,293.4787
2001-04,2001-04-01,-29.853,295.04578
2001-04,2001-04-01,-30.103,294.04248
2001-04,2001-04-01,-30.103,295.68823
2001-05,2001-05-01,-29.853,291.2234
2001-05,2001-05-01,-29.853,293.01483
2001-05,2001-05-01,-30.103,292.1532
2001-05,2001-05-01,-30.103,294.18066
2001-06,2001-06-01,-29.853,289.99677
2001-06,2001-06-01,-29.853,291.6811
2001-06,2001-06-01,-30.103,290.98407
2001-06,2001-06-01,-30.103,292.9124
2001-07,2001-07-01,-29.853,288.84338
2001-07,2001-07-01,-29.853,290.5213
2001-07,2001-07-01,-30.103,289.8026
2001-07,2001-07-01,-30.103,291.56488
2001-08,2001-08-01,-29.853,290.91516
2001-08,2001-08-01,-29.853,292.05127
2001-08,2001-08-01,-30.103,291.39493
2001-08,2001-08-01,-30.103,292.564
2001-09,2001-09-01,-29.853,291.26517
2001-09,2001-09-01,-29.853,292.3005
2001-09,2001-09-01,-30.103,291.6459
2001-09,2001-09-01,-30.103,292.68384
2001-10,2001-10-01,-29.853,292.94412
2001-10,2001-10-01,-29.853,293.8328
2001-10,2001-10-01,-30.103,293.21652
2001-10,2001-10-01,-30.103,294.0413
2001-11,2001-11-01,-29.853,294.76746
2001-11,2001-11-01,-29.853,295.60577
2001-11,2001-11-01,-30.103,294.9112
2001-11,2001-11-01,-30.103,295.63586
2001-12,2001-12-01,-29.853,295.26056
2001-12,2001-12-01,-29.853,296.23557
2001-12,2001-12-01,-30.103,295.5543
2001-12,2001-12-01,-30.103,296.41873
2002-01,2002-01-01,-29.853,296.76868
2002-01,2002-01-01,-29.853,297.54773
2002-01,2002-01-01,-30.103,296.82837
2002-01,2002-01-01,-30.103,297.58484
2002-02,2002-02-01,-29.853,295.21417
2002-02,2002-02-01,-29.853,296.41644
2002-02,2002-02-01,-30.103,295.69092
2002-02,2002-02-01,-30.103,296.78412
2002-03,2002-03-01,-29.853,296.19733
2002-03,2002-03-01,-29.853,297.2296
2002-03,2002-03-01,-30.103,296.6229
2002-03,2002-03-01,-30.103,297.5524
2002-04,2002-04-01,-29.853,294.7802
2002-04,2002-04-01,-29.853,295.7721
2002-04,2002-04-01,-30.103,295.17035
2002-04,2002-04-01,-30.103,296.20856
2002-05,2002-05-01,-29.853,291.54443
2002-05,2002-05-01,-29.853,293.17902
2002-05,2002-05-01,-30.103,292.5442
2002-05,2002-05-01,-30.103,294.20026
2002-06,2002-06-01,-29.853,288.8205
2002-06,2002-06-01,-29.853,290.74994
2002-06,2002-06-01,-30.103,290.02924
2002-06,2002-06-01,-30.103,291.9613
2002-07,2002-07-01,-29.853,288.2975
2002-07,2002-07-01,-29.853,290.182
2002-07,2002-07-01,-30.103,289.58014
2002-07,2002-07-01,-30.103,291.44507
2002-08,2002-08-01,-29.853,290.57086
2002-08,2002-08-01,-29.853,291.9105
2002-08,2002-08-01,-30.103,291.22925
2002-08,2002-08-01,-30.103,292.51132
2002-09,2002-09-01,-29.853,291.30847
2002-09,2002-09-01,-29.853,292.44406
2002-09,2002-09-01,-30.103,291.79425
2002-09,2002-09-01,-30.103,292.9631
2002-10,2002-10-01,-29.853,292.9411
2002-10,2002-10-01,-29.853,293.52414
2002-10,2002-10-01,-30.103,293.0873
2002-10,2002-10-01,-30.103,293.66302
2002-11,2002-11-01,-29.853,293.253
2002-11,2002-11-01,-29.853,293.8553
2002-11,2002-11-01,-30.103,293.38055
2002-11,2002-11-01,-30.103,293.9328
2002-12,2002-12-01,-29.853,295.65988
2002-12,2002-12-01,-29.853,296.4773
2002-12,2002-12-01,-30.103,295.91525
2002-12,2002-12-01,-30.103,296.5387
2003-01,2003-01-01,-29.853,296.46982
2003-01,2003-01-01,-29.853,297.33875
2003-01,2003-01-01,-30.103,296.84814
2003-01,2003-01-01,-30.103,297.50537
2003-02,2003-02-01,-29.853,297.8294
2003-02,2003-02-01,-29.853,298.5102
2003-02,2003-02-01,-30.103,298.14813
2003-02,2003-02-01,-30.103,298.71246
2003-03,2003-03-01,-29.853,296.5003
2003-03,2003-03-01,-29.853,297.3923
2003-03,2003-03-01,-30.103,296.72214
2003-03,2003-03-01,-30.103,297.6455
2003-04,2003-04-01,-29.853,294.76636
2003-04,2003-04-01,-29.853,295.88983
2003-04,2003-04-01,-30.103,295.19373
2003-04,2003-04-01,-30.103,296.3465
2003-05,2003-05-01,-29.853,290.91547
2003-05,2003-05-01,-29.853,292.6595
2003-05,2003-05-01,-30.103,291.97736
2003-05,2003-05-01,-30.103,293.8316
2003-06,2003-06-01,-29.853,288.39575
2003-06,2003-06-01,-29.853,290.32568
2003-06,2003-06-01,-30.103,289.6139
2003-06,2003-06-01,-30.103,291.69696
2003-07,2003-07-01,-29.853,288.3495
2003-07,2003-07-01,-29.853,289.86554
2003-07,2003-07-01,-30.103,289.35693
2003-07,2003-07-01,-30.103,291.11475
2003-08,2003-08-01,-29.853,289.07788
2003-08,2003-08-01,-29.853,290.41724
2003-08,2003-08-01,-30.103,289.7
2003-08,2003-08-01,-30.103,291.18817
2003-09,2003-09-01,-29.853,290.81253
2003-09,2003-09-01,-29.853,291.7862
2003-09,2003-09-01,-30.103,291.17017
