valid_time,time,latitude,t2m
2000-01,2000-01-01,53.423,260.47147
2000-01,2000-01-01,53.423,260.16714
2000-02,2000-02-01,53.423,263.65244
2000-02,2000-02-01,53.423,263.34534
2000-03,2000-03-01,53.423,270.79416
2000-03,2000-03-01,53.423,270.47842
2000-04,2000-04-01,53.423,277.19073
2000-04,2000-04-01,53.423,277.04285
2000-05,2000-05-01,53.423,282.0278
2000-05,2000-05-01,53.423,282.03235
2000-06,2000-06-01,53.423,286.47577
2000-06,2000-06-01,53.423,286.38376
2000-07,2000-07-01,53.423,290.2574
2000-07,2000-07-01,53.423,290.22415
2000-08,2000-08-01,53.423,287.8781
2000-08,2000-08-01,53.423,287.80457
2000-09,2000-09-01,53.423,283.22888
2000-09,2000-09-01,53.423,283.12927
2000-10,2000-10-01,53.423,277.3854
2000-10,2000-10-01,53.423,277.3309
2000-11,2000-11-01,53.423,268.11392
2000-11,2000-11-01,53.423,267.95026
2000-12,2000-12-01,53.423,259.86688
2000-12,2000-12-01,53.423,259.5918
2001-01,2001-01-01,53.423,269.56284
2001-01,2001-01-01,53.423,269.3506
2001-02,2001-02-01,53.423,261.95465
2001-02,2001-02-01,53.423,261.72528
2001-03,2001-03-01,53.423,272.00665
2001-03,2001-03-01,53.423,271.86227
2001-04,2001-04-01,53.423,278.14984
2001-04,2001-04-01,53.423,278.10495
2001-05,2001-05-01,53.423,284.92676
2001-05,2001-05-01,53.423,284.9474
2001-06,2001-06-01,53.423,286.6482
2001-06,2001-06-01,53.423,286.58597
2001-07,2001-07-01,53.423,289.89047
2001-07,2001-07-01,53.423,289.90717
2001-08,2001-08-01,53.423,290.25134
2001-08,2001-08-01,53.423,290.25
2001-09,2001-09-01,53.423,284.73425
2001-09,2001-09-01,53.423,284.68527
2001-10,2001-10-01,53.423,276.13187
2001-10,2001-10-01,53.423,275.91797
2001-11,2001-11-01,53.423,271.32202
2001-11,2001-11-01,53.423,271.27487
2001-12,2001-12-01,53.423,261.03204
2001-12,2001-12-01,53.423,260.84525
2002-01,2002-01-01,53.423,262.63107
2002-01,2002-01-01,53.423,262.393
2002-02,2002-02-01,53.423,268.09174
2002-02,2002-02-01,53.423,267.84543
2002-03,2002-03-01,53.423,260.3616
2002-03,2002-03-01,53.423,259.98834
2002-04,2002-04-01,53.423,271.9068
2002-04,2002-04-01,53.423,271.72217
2002-05,2002-05-01,53.423,282.34012
2002-05,2002-05-01,53.423,282.36517
2002-06,2002-06-01,53.423,290.03778
2002-06,2002-06-01,53.423,290.0222
2002-07,2002-07-01,53.423,291.817
2002-07,2002-07-01,53.423,291.87994
2002-08,2002-08-01,53.423,288.05167
2002-08,2002-08-01,53.423,287.98517
2002-09,2002-09-01,53.423,283.29718
2002-09,2002-09-01,53.423,283.2682
2002-10,2002-10-01,53.423,274.67984
2002-10,2002-10-01,53.423,274.48688
2002-11,2002-11-01,53.423,272.3398
2002-11,2002-11-01,53.423,272.1316
2002-12,2002-12-01,53.423,267.28418
2002-12,2002-12-01,53.423,267.17557
2003-01,2003-01-01,53.423,261.60376
2003-01,2003-01-01,53.423,261.27118
2003-02,2003-02-01,53.423,264.0828
2003-02,2003-02-01,53.423,263.48517
2003-03,2003-03-01,53.423,265.62668
2003-03,2003-03-01,53.423,265.18277
2003-04,2003-04-01,53.423,277.15424
2003-04,2003-04-01,53.423,276.96152
2003-05,2003-05-01,53.423,282.75815
2003-05,2003-05-01,53.423,282.80722
2003-06,2003-06-01,53.423,287.41745
2003-06,2003-06-01,53.423,287.29022
2003-07,2003-07-01,53.423,290.7235
2003-07,2003-07-01,53.423,290.6392
2003-08,2003-08-01,53.423,290.57208
2003-08,2003-08-01,53.423,290.60397
2003-09,2003-09-01,53.423,283.8315
2003-09,2003-09-01,53.423,283.7313
2003-10,2003-10-01,53.423,279.4571
2003-10,2003-10-01,53.423,279.39178
2003-11,2003-11-01,53.423,264.8549
2003-11,2003-11-01,53.423,264.54443
2003-12,2003-12-01,53.423,263.6631
2003-12,2003-12-01,53.423,263.50998
2004-01,2004-01-01,53.423,258.34537
2004-01,2004-01-01,53.423,257.93597
2004-02,2004-02-01,53.423,266.543
2004-02,2004-02-01,53.423,266.12915
2004-03,2004-03-01,53.423,272.09387
2004-03,2004-03-01,53.423,271.50195
2004-04,2004-04-01,53.423,278.82532
2004-04,2004-04-01,53.423,278.6576
2004-05,2004-05-01,53.423,281.96875
2004-05,2004-05-01,53.423,281.92358
2004-06,2004-06-01,53.423,287.41574
2004-06,2004-06-01,53.423,287.32892
2004-07,2004-07-01,53.423,289.92874
2004-07,2004-07-01,53.423,289.87143
2004-08,2004-08-01,53.423,287.65027
2004-08,2004-08-01,53.423,287.58307
2004-09,2004-09-01,53.423,282.43195
2004-09,2004-09-01,53.423,282.39786
2004-10,2004-10-01,53.423,275.5593
2004-10,2004-10-01,53.423,275.3183
2004-11,2004-11-01,53.423,272.93176
2004-11,2004-11-01,53.423,272.6998
2004-12,2004-12-01,53.423,264.729
2004-12,2004-12-01,53.423,264.56528
2005-01,2005-01-01,53.423,259.64417
2005-01,2005-01-01,53.423,259.28458
2005-02,2005-02-01,53.423,266.9792
2005-02,2005-02-01,53.423,266.54047
2005-03,2005-03-01,53.423,271.21393
2005-03,2005-03-01,53.423,270.8743
2005-04,2005-04-01,53.423,279.55307
2005-04,2005-04-01,53.423,279.53345
2005-05,2005-05-01,53.423,283.67368
2005-05,2005-05-01,53.423,283.57886
2005-06,2005-06-01,53.423,286.8499
2005-06,2005-06-01,53.423,286.80835
2005-07,2005-07-01,53.423,289.1766
2005-07,2005-07-01,53.423,289.13043
2005-08,2005-08-01,53.423,287.02805
2005-08,2005-08-01,53.423,286.91342
2005-09,2005-09-01,53.423,282.7882
2005-09,2005-09-01,53.423,282.6731
2005-10,2005-10-01,53.423,278.01965
2005-10,2005-10-01,53.423,277.9382
2005-11,2005-11-01,53.423,272.22354
2005-11,2005-11-01,53.423,272.07602
2005-12,2005-12-01,53.423,266.53198
2005-12,2005-12-01,53.423,266.43707
2006-01,2006-01-01,53.423,268.10046
2006-01,2006-01-01,53.423,267.84006
2006-02,2006-02-01,53.423,266.6382
2006-02,2006-02-01,53.423,266.53442
2006-03,2006-03-01,53.423,267.1015
2006-03,2006-03-01,53.423,266.91843
2006-04,2006-04-01,53.423,280.6787
2006-04,2006-04-01,53.423,280.63263
2006-05,2006-05-01,53.423,284.65872
2006-05,2006-05-01,53.423,284.608
2006-06,2006-06-01,53.423,288.96185
2006-06,2006-06-01,53.423,288.95493
2006-07,2006-07-01,53.423,291.53104
2006-07,2006-07-01,53.423,291.65268
2006-08,2006-08-01,53.423,288.7352
2006-08,2006-08-01,53.423,288.7661
2006-09,2006-09-01,53.423,284.50433
2006-09,2006-09-01,53.423,284.52246
2006-10,2006-10-01,53.423,275.96295
2006-10,2006-10-01,53.423,275.7854
2006-11,2006-11-01,53.423,262.37958
2006-11,2006-11-01,53.423,262.20096
2006-12,2006-12-01,53.423,266.7638
2006-12,2006-12-01,53.423,266.1925
2007-01,2007-01-01,53.423,265.53357
2007-01,2007-01-01,53.423,264.9444
2007-02,2007-02-01,53.423,261.1557
2007-02,2007-02-01,53.423,260.65427
2007-03,2007-03-01,53.423,270.5865
2007-03,2007-03-01,53.423,270.22705
2007-04,2007-04-01,53.423,276.39987
2007-04,2007-04-01,53.423,276.28796
2007-05,2007-05-01,53.423,283.48886
2007-05,2007-05-01,53.423,283.46884
2007-06,2007-06-01,53.423,287.89658
2007-06,2007-06-01,53.423,287.81198
2007-07,2007-07-01,53.423,292.74533
2007-07,2007-07-01,53.423,292.77155
2007-08,2007-08-01,53.423,286.8605
2007-08,2007-08-01,53.423,286.85687
2007-09,2007-09-01,53.423,282.9862
2007-09,2007-09-01,53.423,282.84375
2007-10,2007-10-01,53.423,278.8373
2007-10,2007-10-01,53.423,278.76746
2007-11,2007-11-01,53.423,269.66354
2007-11,2007-11-01,53.423,269.42178
2007-12,2007-12-01,53.423,260.90625
2007-12,2007-12-01,53.423,260.56433
2008-01,2008-01-01,53.423,260.4226
2008-01,2008-01-01,53.423,260.0965
2008-02,2008-02-01,53.423,263.09796
2008-02,2008-02-01,53.423,262.7077
2008-03,2008-03-01,53.423,270.62842
2008-03,2008-03-01,53.423,270.43427
2008-04,2008-04-01,53.423,274.28903
2008-04,2008-04-01,53.423,274.1212
2008-05,2008-05-01,53.423,284.36768
2008-05,2008-05-01,53.423,284.3637
2008-06,2008-06-01,53.423,287.28738
2008-06,2008-06-01,53.423,287.31525
2008-07,2008-07-01,53.423,289.44455
2008-07,2008-07-01,53.423,289.3903
2008-08,2008-08-01,53.423,289.55173
2008-08,2008-08-01,53.423,289.45367
2008-09,2008-09-01,53.423,283.87387
2008-09,2008-09-01,53.423,283.8113
2008-10,2008-10-01,53.423,278.60458
2008-10,2008-10-01,53.423,278.52393
2008-11,2008-11-01,53.423,273.31256
2008-11,2008-11-01,53.423,273.1527
2008-12,2008-12-01,53.423,258.0576
2008-12,2008-12-01,53.423,257.6538
2009-01,2009-01-01,53.423,261.39062
2009-01,2009-01-01,53.423,260.7931
2009-02,2009-02-01,53.423,262.3816
2009-02,2009-02-01,53.423,262.01544
2009-03,2009-03-01,53.423,264.583
2009-03,2009-03-01,53.423,264.15646
2009-04,2009-04-01,53.423,276.1046
2009-04,2009-04-01,53.423,276.05142
2009-05,2009-05-01,53.423,281.99847
2009-05,2009-05-01,53.423,282.0574
2009-06,2009-06-01,53.423,286.79944
2009-06,2009-06-01,53.423,286.96454
2009-07,2009-07-01,53.423,289.31793
2009-07,2009-07-01,53.423,289.2644
2009-08,2009-08-01,53.423,288.48087
2009-08,2009-08-01,53.423,288.52573
2009-09,2009-09-01,53.423,287.75952
2009-09,2009-09-01,53.423,288.01923
2009-10,2009-10-01,53.423,274.75095
2009-10,2009-10-01,53.423,274.753
2009-11,2009-11-01,53.423,273.06116
2009-11,2009-11-01,53.423,273.06516
2009-12,2009-12-01,53.423,256.3367
2009-12,2009-12-01,53.423,256.0225
2010-01,2010-01-01,53.423,262.1441
2010-01,2010-01-01,53.423,261.90244
2010-02,2010-02-01,53.423,265.71436
2010-02,2010-02-01,53.423,265.29282
2010-03,2010-03-01,53.423,273.12717
2010-03,2010-03-01,53.423,273.05792
2010-04,2010-04-01,53.423,279.14877
2010-04,2010-04-01,53.423,279.09583
